source_title,source_catalog_or_lot_number,titles,authors,dates,artists,scribes,languages,materials,places,provenance
2024-07-23 - University of Missouri - Digital Scriptorium Catalog records,DS10146,Philosophical text,,s. XIII(ex); 1285-1299,,,Latin,parchment,England,"John Bagford (1650s-1716) to St. Martin-in-the-Fields; sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742; Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957; William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.;University of Missouri, Fragmenta Manuscripta 073"
2024-07-23 - University of Missouri - Digital Scriptorium Catalog records,DS10147,De gradibus humilitatis et superbiae tractatus,Bernard of Clairvaux,s. XII/XIII; 1190-1210,,,Latin,parchment,England,"John Bagford (1650s-1716) to St. Martin-in-the-Fields; sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742; Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957; William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.;University of Missouri, Fragmenta Manuscripta 074"
2024-07-23 - University of Missouri - Digital Scriptorium Catalog records,DS10148,Moralia in Job,Gregory the Great,s. XIII; 1200-1299,,,Latin,parchment,England?,"John Bagford (1650s-1716) to St. Martin-in-the-Fields; sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742; Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957; William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.;University of Missouri, Fragmenta Manuscripta 075"
2024-07-23 - University of Missouri - Digital Scriptorium Catalog records,DS10149,Bible,,s. XII; 1100-1199,,,Latin,parchment,England,"John Bagford (1650s-1716) to St. Martin-in-the-Fields; sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742; Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957; William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.;University of Missouri, Fragmenta Manuscripta 076"
2024-07-23 - University of Missouri - Digital Scriptorium Catalog records,DS10150,Legal text,,s. XIV(1); 1300-1350,,,Latin,parchment,England,"John Bagford (1650s-1716) to St. Martin-in-the-Fields; sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742; Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957; William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.;University of Missouri, Fragmenta Manuscripta 077"
2024-07-23 - University of Missouri - Digital Scriptorium Catalog records,DS10151,In Ioannis Evangelium tractatus,Augustine of Hippo,s. XIII/XIV; 1290-1310,,,Latin,parchment,England?,"John Bagford (1650s-1716) to St. Martin-in-the-Fields; sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742; Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957; William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.;University of Missouri, Fragmenta Manuscripta 078"
2024-07-23 - University of Missouri - Digital Scriptorium Catalog records,DS10152,Canon law?,,s. XIII/XIV; 1290-1310,,,Latin,parchment,France?,"John Bagford (1650s-1716) to St. Martin-in-the-Fields; sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742; Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957; William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.;University of Missouri, Fragmenta Manuscripta 079"
2024-07-23 - University of Missouri - Digital Scriptorium Catalog records,DS10153,Psalter commentary,,s. XIV(in); 1300-1315,,,Latin,parchment,England,"John Bagford (1650s-1716) to St. Martin-in-the-Fields; sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742; Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957; William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.;University of Missouri, Fragmenta Manuscripta 080"
2024-07-23 - University of Missouri - Digital Scriptorium Catalog records,DS10154,Canon law,,s. XIV(in); 1300-1315,,,Latin,parchment,England,"John Bagford (1650s-1716) to St. Martin-in-the-Fields; sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742; Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957; William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.;University of Missouri, Fragmenta Manuscripta 081"
2024-07-23 - University of Missouri - Digital Scriptorium Catalog records,DS10155,Bible commentary on Canticle of Canticles,,s. XIII(1); 1200-1250,,,Latin,parchment,England,"John Bagford (1650s-1716) to St. Martin-in-the-Fields; sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742; Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957; William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.;University of Missouri, Fragmenta Manuscripta 082"
2024-07-23 - University of Missouri - Digital Scriptorium Catalog records,DS10156,Psalter,,s. XIII(med); 1240-1260,,,Latin,parchment,England,"John Bagford (1650s-1716) to St. Martin-in-the-Fields; sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742; Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957; William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.;University of Missouri, Fragmenta Manuscripta 083"
2024-07-23 - University of Missouri - Digital Scriptorium Catalog records,DS10157,Psalter,,s. XII; 1100-1199,,,Latin,parchment,England,"John Bagford (1650s-1716) to St. Martin-in-the-Fields; sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742; Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957; William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.;University of Missouri, Fragmenta Manuscripta 084"
2024-07-23 - University of Missouri - Digital Scriptorium Catalog records,DS10158,Treatise on logic,,s. XIII/XIV; 1290-1310,,,Latin,parchment,England,"John Bagford (1650s-1716) to St. Martin-in-the-Fields; sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742; Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957; William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.;University of Missouri, Fragmenta Manuscripta 085"
2024-07-23 - University of Missouri - Digital Scriptorium Catalog records,DS10159,"Penitential theory, Sin and penance (theory of)",,s. XIII/XIV; 1290-1310,,,Latin,parchment,Low Countries?,"John Bagford (1650s-1716) to St. Martin-in-the-Fields; sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742; Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957; William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.;University of Missouri, Fragmenta Manuscripta 086"
2024-07-23 - University of Missouri - Digital Scriptorium Catalog records,DS10160,Sententiarum libri,Peter Lombard,s. XIII(1); 1200-1250,,,Latin,parchment,England?,"John Bagford (1650s-1716) to St. Martin-in-the-Fields; sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742; Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957; William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.;University of Missouri, Fragmenta Manuscripta 087"
2024-07-23 - University of Missouri - Digital Scriptorium Catalog records,DS10161,Microtegni,Galen,s. XIII/XIV; 1290-1310,,,Latin,parchment,France,"John Bagford (1650s-1716) to St. Martin-in-the-Fields; sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742; Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957; William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.;University of Missouri, Fragmenta Manuscripta 088"
2024-07-23 - University of Missouri - Digital Scriptorium Catalog records,DS10162,Breviary,,s. XIII(med); 1240-1260,,,Latin,parchment,England,"John Bagford (1650s-1716) to St. Martin-in-the-Fields; sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742; Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957; William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.;University of Missouri, Fragmenta Manuscripta 089"
2024-07-23 - University of Missouri - Digital Scriptorium Catalog records,DS10163,Coronation service,,s. XIII/XIV; 1290-1310,,,Latin,parchment,England,"John Bagford (1650s-1716) to St. Martin-in-the-Fields; sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742; Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957; William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.;University of Missouri, Fragmenta Manuscripta 090"
2024-07-23 - University of Missouri - Digital Scriptorium Catalog records,DS10164,Psalter,,s. XIV(1); 1300-1350,,,Latin,parchment,England,"John Bagford (1650s-1716) to St. Martin-in-the-Fields; sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742; Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957; William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.;University of Missouri, Fragmenta Manuscripta 091"
2024-07-23 - University of Missouri - Digital Scriptorium Catalog records,DS10165,Missal with musical notation,,s. XIII(1); 1200-1250,,,Latin,parchment,England,"John Bagford (1650s-1716) to St. Martin-in-the-Fields; sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742; Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957; William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.;University of Missouri, Fragmenta Manuscripta 092"
2024-07-23 - University of Missouri - Digital Scriptorium Catalog records,DS10166,Psalter,,s. XIII/XIV; 1290-1310,,,Latin,parchment,England,"John Bagford (1650s-1716) to St. Martin-in-the-Fields; sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742; Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957; William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.;University of Missouri, Fragmenta Manuscripta 093"
