ds_label,ds_qid,wikidata_label,wikidata_qid
Alemannic,Q38102,Alemannic,Q131339
Ancient Greek,Q3103,Ancient Greek,Q35497
Anglo-Norman,Q1315,Anglo-Norman,Q35214
Apabhraṃśa,Q27507,Apabhraṃśa,Q616419
Arabic,Q118,Arabic,Q13955
Aramaic,Q3663,Aramaic,Q28602
Armenian,Q792,Armenian,Q8785
Avestan,Q27501,Avestan,Q29572
Awadhi,Q27502,Awadhi,Q29579
Bangla,Q27506,Bangla,Q9610
Belgian Dutch,Q27512,Belgian Dutch,Q1404296
Berber,Q38092,Berber,Q25448
Bohairic,Q27517,Bohairic,Q890733
Braj Bhasha,Q27513,Braj Bhasha,Q35243
Catalan,Q1316,Catalan,Q7026
Cauchois,Q38113,Cauchois,Q2943069
Central German,Q3105,Central German,Q704841
Chinese,Q12715,Chinese,Q7850
Church Slavonic,Q16427,Church Slavonic,Q33251
Coptic,Q4335,Coptic,Q36155
Czech,Q3107,Czech,Q9056
Danish,Q38093,Danish,Q9035
Devanagari,Q38117,Devanagari,Q38592
Dutch,Q793,Dutch,Q7411
Egyptian,Q20367,Egyptian,Q50868
English,Q109,English,Q1860
Flemish,Q10832,Flemish,Q34147
Florentine,Q7216,Florentine,Q5460907
French,Q111,French,Q150
Garshuni,Q38104,Garshuni,Q1494558
Ge'ez,Q3664,Ge'ez,Q35667
German,Q112,German,Q188
Gothic,Q38095,Gothic,Q35722
Greek,Q1318,Greek,Q9129
Gujarati,Q27495,Gujarati,Q5137
Hebrew,Q117,Hebrew,Q9288
Hindi,Q18354,Hindi,Q1568
Hindustani,Q18353,Hindustani,Q11051
Hungarian,Q4336,Hungarian,Q9067
Icelandic,Q38097,Icelandic,Q294
Imperial Aramaic,Q38091,Imperial Aramaic,Q7079491
Indo-Aryan,Q38098,Indo-Aryan,Q33577
Italian,Q116,Italian,Q652
Jaffna Tamil dialect,Q27518,Jaffna Tamil dialect,Q12988285
Japanese,Q12711,Japanese,Q5287
Javanese,Q38105,Javanese,Q33549
Judaeo-Spanish,Q7217,Judaeo-Spanish,Q36196
Judeo-Arabic,Q38106,Judeo-Arabic,Q37733
Kawi,Q38413,Kawi,Q49341
Khmer,Q27499,Khmer,Q9205
Korean,Q12712,Korean,Q9176
K’iche’,Q38121,K’iche’,Q36494
Lahnda,Q38107,Lahnda,Q112670533
Latin,Q113,Latin,Q397
Law French,Q5947,Law French,Q2044323
West Low German,Q19912,West Low German,Q168446
Low German,Q5013,Low German,Q25433
Maharashtri,Q27497,Maharashtri,Q2586773
Malayalam,Q27500,Malayalam,Q36236
Marathi,Q27508,Marathi,Q1571
Marquesan,Q38099,Marquesan,Q33781
Marwari,Q27504,Marwari,Q56312
Middle Dutch,Q10833,Middle Dutch,Q178806
Middle English,Q119,Middle English,Q36395
Middle French,Q110,Middle French,Q1473289
Middle High German,Q115,Middle High German,Q837985
Middle Low German,Q38101,Middle Low German,Q505674
Middle Persian,Q27493,Middle Persian,Q32063
Middle Scots,Q38109,Middle Scots,Q3327000
Modern Greek,Q38096,Modern Greek,Q36510
Nahuatl,Q38112,Nahuatl,Q13300
Nepali,Q27514,Nepali,Q33823
Northern English,Q38094,Northern English,Q1321639
Occitan,Q4338,Occitan,Q14185
Old Catalan,Q40059,Old Catalan,Q15478520
Old Church Slavonic,Q20366,Old Church Slavonic,Q35499
Old English,Q1317,Old English,Q42365
Old French,Q3106,Old French,Q35222
Old High German,Q5946,Old High German,Q35218
Old Norse,Q38103,Old Norse,Q35505
Old Occitan,Q38115,Old Occitan,Q2779185
Old Spanish,Q40060,Old Spanish,Q1088025
Ottoman Turkish,Q3104,Ottoman Turkish,Q36730
Pali,Q27511,Pali,Q36727
Persian,Q120,Persian,Q9168
Picard,Q40058,Picard,Q34024
Polish,Q5014,Polish,Q809
Portuguese,Q38114,Portuguese,Q5146
Prakrit,Q27516,Prakrit,Q192170
Provençal,Q7801,Provençal,Q241243
Punjabi,Q27505,Punjabi,Q58635
Rajasthani,Q27510,Rajasthani,Q13196
Rhine Franconian,Q7802,Rhine Franconian,Q707007
Romance languages,Q38116,Romance languages,Q19814
Samaritan Aramaic,Q6995,Samaritan Aramaic,Q56612
Sanskrit,Q27494,Sanskrit,Q11059
Shilha,Q38120,Tachelhit,Q34152
Sicilian,Q6996,Sicilian,Q33973
Sinhala,Q27509,Sinhala,Q13267
Slavic,Q38119,Slavic,Q23526
Slavonic-Serbian,Q38118,Slavonic-Serbian,Q1639124
Spanish,Q114,Spanish,Q1321
Standard High German,Q38100,Standard High German,Q279350
Syriac,Q12713,Syriac,Q33538
Tamil,Q27498,Tamil,Q5885
Telugu,Q27503,Telugu,Q8097
Thai,Q27515,Thai,Q9217
Turkish,Q4337,Turkish,Q256
Tuscan,Q3661,Tuscan,Q1990745
Urdu,Q27496,Urdu,Q1617
Valencian,Q8381,Valencian,Q32641
Venetian,Q3662,Venetian,Q32724
Welsh,Q38108,Welsh,Q9309
Western Syriac script,Q18352,Western Syriac script,Q12057990
Yucatec Maya,Q38111,Yucatec Maya,Q13354
multiple languages,Q38110,multiple languages,Q20923490
no linguistic content,Q16428,no linguistic content,Q22282939
undetermined language,Q12714,undetermined language,Q22282914
