ds_label,ds_qid,ds_id,type,wikidata_label,wikidata_qid
'A'isha al-Ba'uniyya,Q12377,DSNAME1847,Personal (Name Authority),'A'isha al-Ba'uniyya,Q12222083
'Ali b. Hammud,Q41305,DSNAME4860,Personal (Name Authority),'Ali b. Hammud,Q84032227
'Ali ibn al-'Abbas al-Majusi,Q7082,DSNAME1334,Personal (Name Authority),'Ali ibn al-'Abbas al-Majusi,Q543191
'Amr ibn al-'As,Q40062,DSNAME3617,Personal (Name Authority),'Amr ibn al-'As,Q314781
A. Beijan,Q28014,DSNAME3230,Personal (Name Authority),A. Beijan,Q124130447
A. Boswel,Q17772,DSNAME2564,Personal (Name Authority),A. Boswel,Q123378460
A. J. Bowden,Q17635,DSNAME2426,Personal (Name Authority),A. J. Bowden,Q123378461
A. M. Luledgian,Q41168,DSNAME4723,Personal (Name Authority),A. M. Luledgian,Q124566869
A. Mason,Q17756,DSNAME2548,Personal (Name Authority),A. Mason,Q123378484
A. Rosenthal Ltd.,Q16500,DSNAME2192,Corporate (Name Authority),A. Rosenthal Ltd.,Q120869211
A. S. W. Rosenbach,Q20090,DSNAME2769,Personal (Name Authority),A. S. W. Rosenbach,Q3663160
A. V. Williams Jackson,Q27958,DSNAME3173,Personal (Name Authority),A. V. Williams Jackson,Q4648478
A. W. F. Fuller,Q17730,DSNAME2521,Personal (Name Authority),A. W. F. Fuller,Q4648509
Aaron ben Moses,Q40063,DSNAME3618,Personal (Name Authority),Aaron ben Moses,Q124566701
Abbadia San Salvatore,Q8201,DSNAME1632,Corporate (Name Authority),Abbadia San Salvatore,Q91096
Abbaye de Cambron,Q1592,DSNAME428,Corporate (Name Authority),Abbaye de Cambron,Q948743
Abbaye de Dommartin,Q41925,DSNAME5480,Corporate (Name Authority),Abbaye de Dommartin,Q2424223
Abbaye de Saint-Alyre,Q16513,DSNAME2206,Corporate (Name Authority),Abbaye de Saint-Alyre,Q2820668
Abbaye de Saint-Martin de Tournai,Q16475,DSNAME2167,Corporate (Name Authority),Abbaye de Saint-Martin de Tournai,Q2820407
Abbaye de Saint-Sulpice,Q6117,DSNAME1238,Corporate (Name Authority),Abbaye de Saint-Sulpice,Q1572876
Abbazia di San Domenico,Q1556,DSNAME392,Corporate (Name Authority),Abbazia di San Domenico,Q3603214
Abbe Canal,Q17734,DSNAME2525,Personal (Name Authority),Abbe Canal,Q113818373
Abbey Rents Inc.,Q41978,DSNAME5533,Corporate (Name Authority),Abbey Rents Inc.,Q124257727
Abbey of Morimondo,Q12821,DSNAME2012,Corporate (Name Authority),Abbey of Morimondo,Q1775687
Abbey of Saint Gall,Q42049,DSNAME5604,Corporate (Name Authority),Abbey of Saint Gall,Q155699
Abbey of Saint-Germain-des-Prés,Q6069,DSNAME1190,Corporate (Name Authority),Abbey of Saint-Germain-des-Prés,Q334186
Abbey of Santa Giustina,Q1870,DSNAME635,Corporate (Name Authority),Abbey of Santa Giustina,Q219502
Abbey of St Genevieve,Q42095,DSNAME5622,Corporate (Name Authority),Abbey of St Genevieve,Q1766069
"Abbey of St. Peter (Erfurt, Germany)",Q872,DSNAME259,Corporate (Name Authority),"Abbey of St. Peter (Erfurt, Germany)",Q116598715
Abbey of St. Vaast,Q1544,DSNAME380,Corporate (Name Authority),Abbey of St. Vaast,Q334220
Abbot Raphael of Czerwinsk,Q41559,DSNAME5114,Personal (Name Authority),Abbot Raphael of Czerwinsk,Q124566927
Abbot von Heselwang,Q20106,DSNAME2786,Personal (Name Authority),Abbot von Heselwang,Q114242549
Abd al-Barr bin Al-Shinah,Q12480,DSNAME1950,Personal (Name Authority),Abd al-Barr bin Al-Shinah,Q113678168
Abd al-Ghani al-Nabulsi,Q12278,DSNAME1748,Personal (Name Authority),Abd al-Ghani al-Nabulsi,Q4164547
Abd al-Latif al-Baghdadi,Q12349,DSNAME1819,Personal (Name Authority),Abd al-Latif al-Baghdadi,Q307277
Abd al-Nabī ibn Abī Bakr Kurdī,Q41083,DSNAME4638,Personal (Name Authority),Abd al-Nabī ibn Abī Bakr Kurdī,Q124566853
Abd al-Qadir al-Tabari,Q12303,DSNAME1773,Personal (Name Authority),Abd al-Qadir al-Tabari,Q86075470
Abd al-Rahim ibn al-Husain al-'Iraqi,Q12390,DSNAME1860,Personal (Name Authority),Abd al-Rahim ibn al-Husain al-'Iraqi,Q4664581
Abd al-Rahman al-Sufi,Q27986,DSNAME3202,Personal (Name Authority),Abd al-Rahman al-Sufi,Q11075
Abd al-Salam al-Shatti,Q41656,DSNAME5211,Personal (Name Authority),Abd al-Salam al-Shatti,Q92071264
Abd-al-Baqi al-Zurqani,Q41903,DSNAME5458,Personal (Name Authority),Abd-al-Baqi al-Zurqani,Q4664516
Abdias of Babylon,Q6121,DSNAME1242,Personal (Name Authority),Abdias of Babylon,Q2821315
Abdisho bar berika,Q41910,DSNAME5465,Personal (Name Authority),Abdisho bar berika,Q4665006
Abdollah ibn Bukhtishu,Q40927,DSNAME4482,Personal (Name Authority),Abdollah ibn Bukhtishu,Q4665079
Abdullah Ibn Mahmud al-Mawsili,Q12313,DSNAME1783,Personal (Name Authority),Abdullah Ibn Mahmud al-Mawsili,Q12238806
Abdullah al-Aftah,Q40939,DSNAME4494,Personal (Name Authority),Abdullah al-Aftah,Q12223477
Abdullah bin Asaad Al-Yafi'i,Q3789,DSNAME950,Personal (Name Authority),Abdullah bin Asaad Al-Yafi'i,Q12223451
Abdülbâkî Ârif Efendi,Q18724,DSNAME2677,Personal (Name Authority),Abdülbâkî Ârif Efendi,Q123581714
Abhinanda,Q28181,DSNAME3397,Personal (Name Authority),Abhinanda,Q99972294
Abhinavagupta,Q28076,DSNAME3292,Personal (Name Authority),Abhinavagupta,Q320619
Abhinavanārāyaṇendrasarasvatī,Q28251,DSNAME3467,Personal (Name Authority),Abhinavanārāyaṇendrasarasvatī,Q124252802
Abner of Burgos,Q40133,DSNAME3688,Personal (Name Authority),Abner of Burgos,Q322560
Abraham,Q40067,DSNAME3622,Personal (Name Authority),Abraham,Q124617911
Abraham Abulafia,Q40068,DSNAME3623,Personal (Name Authority),Abraham Abulafia,Q323448
Abraham Bracebridge,Q1684,DSNAME520,Personal (Name Authority),Abraham Bracebridge,Q76006713
Abraham Cohen,Q3808,DSNAME969,Personal (Name Authority),Abraham Cohen,Q4668808
Abraham Faber,Q6158,DSNAME1279,Personal (Name Authority),Abraham Faber,Q67198306
Abraham I. Katsh,Q12926,DSNAME2119,Personal (Name Authority),Abraham I. Katsh,Q30053249
Abraham Jacobi,Q42097,DSNAME5624,Personal (Name Authority),Abraham Jacobi,Q72359
Abraham Pelunis,Q42099,DSNAME5626,Personal (Name Authority),Abraham Pelunis,Q125930753
Abraham Yohannan,Q28027,DSNAME3243,Personal (Name Authority),Abraham Yohannan,Q109854399
Abraham bar Hiyya,Q3736,DSNAME896,Personal (Name Authority),Abraham bar Hiyya,Q31439
Abraham ben Meshullam of Sant'Angelo,Q3733,DSNAME893,Personal (Name Authority),Abraham ben Meshullam of Sant'Angelo,Q124426309
Abraham ben Mordecai Farissol,Q3760,DSNAME921,Personal (Name Authority),Abraham ben Mordecai Farissol,Q329975
Abraham ben Moshe,Q42096,DSNAME5623,Personal (Name Authority),Abraham ben Moshe,Q125930752
Abraham ben Shem-Ṭob,Q42098,DSNAME5625,Personal (Name Authority),Abraham ben Shem-Ṭob,Q109660011
Abraham ibn Ezra,Q40069,DSNAME3624,Personal (Name Authority),Abraham ibn Ezra,Q270670
Abu Bakr al-Hassar,Q2841,DSNAME731,Personal (Name Authority),Abu Bakr al-Hassar,Q4116723
Abu Bakr al-Kalabadhi,Q12435,DSNAME1905,Personal (Name Authority),Abu Bakr al-Kalabadhi,Q334857
Abu Bakr al-Razi,Q3193,DSNAME792,Personal (Name Authority),Abu Bakr al-Razi,Q169234
Abu Hafs Omar al-Nasafi,Q12466,DSNAME1936,Personal (Name Authority),Abu Hafs Omar al-Nasafi,Q5701959
Abu Hatim Muhammad ibn Idris al-Razi,Q40070,DSNAME3625,Personal (Name Authority),Abu Hatim Muhammad ibn Idris al-Razi,Q4670207
Abu Isa at-Tirmidhi,Q12384,DSNAME1854,Personal (Name Authority),Abu Isa at-Tirmidhi,Q293578
Abu Ishaq al-Tha'labi,Q12423,DSNAME1893,Personal (Name Authority),Abu Ishaq al-Tha'labi,Q3015226
Abu Maʻtuq al-Musawi,Q12341,DSNAME1811,Personal (Name Authority),Abu Maʻtuq al-Musawi,Q6537777
Abu Nu`aym,Q12271,DSNAME1741,Personal (Name Authority),Abu Nu`aym,Q2822174
Abu Sulaiman al-Khattabi,Q12446,DSNAME1916,Personal (Name Authority),Abu Sulaiman al-Khattabi,Q12178032
Abu Tammam,Q12323,DSNAME1793,Personal (Name Authority),Abu Tammam,Q1750054
Abu al-Faraj al-Isfahani,Q12345,DSNAME1815,Personal (Name Authority),Abu al-Faraj al-Isfahani,Q335599
Abu al-Hariri,Q12288,DSNAME1758,Personal (Name Authority),Abu al-Hariri,Q286097
Abu al-Hasan al-Shushtari,Q12335,DSNAME1805,Personal (Name Authority),Abu al-Hasan al-Shushtari,Q4118240
Abu al-Layth al-Samarqandi,Q12470,DSNAME1940,Personal (Name Authority),Abu al-Layth al-Samarqandi,Q938348
Abu al-Qasim al-Zahrawi,Q3228,DSNAME827,Personal (Name Authority),Abu al-Qasim al-Zahrawi,Q311495
Abu l-Fath,Q28056,DSNAME3272,Personal (Name Authority),Abu l-Fath,Q3603860
Abu ʻAbd Allāh Muḥammad ibn al-Bahāʼ,Q3264,DSNAME863,Personal (Name Authority),Abu ʻAbd Allāh Muḥammad ibn al-Bahāʼ,Q116418950
Abu'l-Faraj ibn al-Jawzi,Q12290,DSNAME1760,Personal (Name Authority),Abu'l-Faraj ibn al-Jawzi,Q731866
Abu-'l-Ḥasan ʿAlī Ibn-ʿAbdallāh Ibn-Muḥammad an- Nubāhī,Q41350,DSNAME4905,Personal (Name Authority),Abu-'l-Ḥasan ʿAlī Ibn-ʿAbdallāh Ibn-Muḥammad an- Nubāhī,Q55875203
Abu-Shama al-Maqdissí,Q12293,DSNAME1763,Personal (Name Authority),Abu-Shama al-Maqdissí,Q481455
Abu-l-Qāsim ibn Fīrruh Shāṭibī,Q12284,DSNAME1754,Personal (Name Authority),Abu-l-Qāsim ibn Fīrruh Shāṭibī,Q12182523
Abul Hasan ash-Shadhili,Q41652,DSNAME5207,Personal (Name Authority),Abul Hasan ash-Shadhili,Q2704613
Aburrebii ibn Salim Elcolaí,Q12388,DSNAME1858,Personal (Name Authority),Aburrebii ibn Salim Elcolaí,Q11904044
Abū Bakr ibn Aḥmad Ibn Qāḍī Shuhbah,Q12398,DSNAME1868,Personal (Name Authority),Abū Bakr ibn Aḥmad Ibn Qāḍī Shuhbah,Q85461758
Abū Bakr ibn Ismāʻīl Shanawānī,Q27920,DSNAME3134,Personal (Name Authority),Abū Bakr ibn Ismāʻīl Shanawānī,Q28715208
Abū Bakr ibn Muʻāwiyah ʻAymakī,Q41919,DSNAME5474,Personal (Name Authority),Abū Bakr ibn Muʻāwiyah ʻAymakī,Q114242486
Abū Bakr ibn Sulaymān,Q18649,DSNAME2601,Personal (Name Authority),Abū Bakr ibn Sulaymān,Q123581715
