signature,description,instanceOf,materialDS,centuryDS,earliestDate,latestDate,placeDS,scribeWikidata,artistWikidata,scriptNote,languageWikidata,titleRecord,titleStandard,titleDS,authorWikidata,ownerWikidata,holderWikidata,DSID,institutionalID,shelfmark,iiifURL,record,link
"New York, New York, Grolier Club, MS 01",manuscript containing Bible,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q95,1225,1250,https://catalog.digital-scriptorium.org/entity/Q122,,Q114242551,,Q397,Bible,Bible,https://catalog.digital-scriptorium.org/entity/Q661,,,Q5174002,DS197,MS 01,MS 01,https://iiif.archive.org/iiif/images_MS01_24/manifest.json,https://catalog.digital-scriptorium.org/entity/Q913,https://archive.org/details/MS01_24
"New York, New York, Grolier Club, MS 07","manuscript containing Book of hours, use of Paris",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1440,1460,https://catalog.digital-scriptorium.org/entity/Q122,,Q117448635,,Q150|Q397,"Book of hours, use of Paris",Book of hours,https://catalog.digital-scriptorium.org/entity/Q795,,,Q5174002,DS203,MS 07,MS 07,https://iiif.archive.org/iiif/images_MS07_24/manifest.json,https://catalog.digital-scriptorium.org/entity/Q931,https://archive.org/details/MS07_24
"New York, New York, Grolier Club, MS 13",manuscript containing Summary of the Moralia in Job; Moralia in Job,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q93,1000,1099,https://catalog.digital-scriptorium.org/entity/Q134,,,,Q397,Summary of the Moralia in Job|Moralia in Job,Moralia in Job,https://catalog.digital-scriptorium.org/entity/Q863,Q42827,,Q5174002,DS209,MS 13,MS 13,https://iiif.archive.org/iiif/images_MS13_24/manifest.json,https://catalog.digital-scriptorium.org/entity/Q949,https://archive.org/details/MS13_24
"New York, New York, Grolier Club, MS 14",manuscript containing De duobus amantibus; Epistula ad Raymundum; Invectiva ad indivum et detractorem; Sequitur invective Alani ad invidum et detractorem; De miseriis curialium,Q87167,https://catalog.digital-scriptorium.org/entity/Q31,https://catalog.digital-scriptorium.org/entity/Q97,1400,1499,https://catalog.digital-scriptorium.org/entity/Q122,,,,Q397,De duobus amantibus|Epistula ad Raymundum|Invectiva ad indivum et detractorem|Sequitur invective Alani ad invidum et detractorem|De miseriis curialium,De duobus amantibus|Epistula ad Raymundum|Invectiva ad invidum et detractorem|De miseriis curialium,https://catalog.digital-scriptorium.org/entity/Q866|https://catalog.digital-scriptorium.org/entity/Q862|https://catalog.digital-scriptorium.org/entity/Q861|https://catalog.digital-scriptorium.org/entity/Q865,Q114242512|Q982038|Q101437,,Q5174002,DS210,MS 14,MS 14,https://iiif.archive.org/iiif/images_MS14_24/manifest.json,https://catalog.digital-scriptorium.org/entity/Q952,https://archive.org/details/MS14_24
"New York, New York, Grolier Club, MS 15",manuscript containing Missal; Histoire de la mort de Henri IV,Q87167,https://catalog.digital-scriptorium.org/entity/Q31|https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q99|https://catalog.digital-scriptorium.org/entity/Q97,1600|1400,1615|1499,https://catalog.digital-scriptorium.org/entity/Q122|https://catalog.digital-scriptorium.org/entity/Q650,,,,Q397,Missal|Histoire de la mort de Henri IV,Missal|Histoire de la mort de Henri IV,https://catalog.digital-scriptorium.org/entity/Q662|https://catalog.digital-scriptorium.org/entity/Q18501,Q114242545,,Q5174002,DS211,MS 15,MS 15,,https://catalog.digital-scriptorium.org/entity/Q955,https://archive.org/details/MS15_24
"New York, New York, Grolier Club, MS 16",manuscript containing Contra Appionem; Historia ecclesiastica; Excerpts regarding Josephus and Eusebius of Caesarea,Q87167,https://catalog.digital-scriptorium.org/entity/Q31|https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1450,1475,https://catalog.digital-scriptorium.org/entity/Q131,Q117338246,,,Q397,Contra Appionem|Historia ecclesiastica|Excerpts regarding Josephus and Eusebius of Caesarea,Against Apion|Historia ecclesiastica|Eusebius of Caesarea|Josephus,https://catalog.digital-scriptorium.org/entity/Q867|https://catalog.digital-scriptorium.org/entity/Q864|https://catalog.digital-scriptorium.org/entity/Q18553|https://catalog.digital-scriptorium.org/entity/Q18581,,,Q5174002,DS212,MS 16,MS 16,https://iiif.archive.org/iiif/images_MS16_24/manifest.json,https://catalog.digital-scriptorium.org/entity/Q958,https://archive.org/details/MS16_24
"New York, New York, Grolier Club, MS 02",manuscript containing Missal,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97|https://catalog.digital-scriptorium.org/entity/Q95,1400|1200,1499|1299,https://catalog.digital-scriptorium.org/entity/Q131,,,,Q397,Missal,Missal,https://catalog.digital-scriptorium.org/entity/Q662,,Q116598715|Q2757147|Q116598092,Q5174002,DS198,MS 02,MS 02,,https://catalog.digital-scriptorium.org/entity/Q916,https://archive.org/details/MS02_24
"New York, New York, Grolier Club, MS 03",manuscript containing Breviary,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q96,1300,1399,https://catalog.digital-scriptorium.org/entity/Q133,,,,Q397,Breviary,Breviary,https://catalog.digital-scriptorium.org/entity/Q657,,Q114242431,Q5174002,DS199,MS 03,MS 03,https://iiif.archive.org/iiif/images_MS03_24/manifest.json,https://catalog.digital-scriptorium.org/entity/Q919,https://archive.org/details/MS03_24
"New York, New York, Grolier Club, MS 04",manuscript containing Breviary,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1400,1499,https://catalog.digital-scriptorium.org/entity/Q126,,,,Q397,Breviary,Breviary,https://catalog.digital-scriptorium.org/entity/Q657,,Q15485383|Q116626309|Q116598881,Q5174002,DS200,MS 04,MS 04,https://iiif.archive.org/iiif/images_MS04_24/manifest.json,https://catalog.digital-scriptorium.org/entity/Q922,https://archive.org/details/MS04_24
"New York, New York, Grolier Club, MS 05",manuscript containing Antiphonal,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1485,1499,https://catalog.digital-scriptorium.org/entity/Q134,,,,Q397,Antiphonal,Antiphonary,https://catalog.digital-scriptorium.org/entity/Q654,,Q116626344,Q5174002,DS201,MS 05,MS 05,,https://catalog.digital-scriptorium.org/entity/Q925,https://archive.org/details/MS05_24
