signature,description,instanceOf,materialDS,centuryDS,earliestDate,latestDate,placeDS,scribeWikidata,artistWikidata,scriptNote,languageWikidata,titleRecord,titleStandard,titleDS,authorWikidata,ownerWikidata,holderWikidata,DSID,institutionalID,shelfmark,iiifURL,record,link
"Riverside, California, University of California, Riverside, BP128.57 .A2 1700z",manuscript containing Al-Ḥajj 1-15 : manuscript fragment,Q87167,,,,,https://catalog.digital-scriptorium.org/entity/Q650,,,,Q13955|Q9168,Al-Ḥajj 1-15 : manuscript fragment,Qurʼan,https://catalog.digital-scriptorium.org/entity/Q3697,,,Q1075148,DS12085,9917678005006531,BP128.57 .A2 1700z,,https://catalog.digital-scriptorium.org/entity/Q51620,https://calisphere.org/item/ark:/86086/n2t72jgg/
"Riverside, California, University of California, Riverside, BX2080 .C3735 1401",manuscript containing Book of hours (orbi terre) manuscript leaf,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1401,1500,,,,"Script: Gothic; ruled in red; one 2-line initial letter ""A"", opening Psalm 77(78), in blue outlined in red; twenty 1-line initial versal letters some in alternating red and blue outlined in alternating blue and red, marking the first letter in each verse.",Q397,Book of hours (orbi terre) manuscript leaf,Book of hours,https://catalog.digital-scriptorium.org/entity/Q795,Q9592,,Q1075148,DS12086,9914363451906531,BX2080 .C3735 1401,,https://catalog.digital-scriptorium.org/entity/Q51623,
"Riverside, California, University of California, Riverside, BX2033 .A2 1450",manuscript containing Psalterium et hymnarium,Q87167,,https://catalog.digital-scriptorium.org/entity/Q97,1425,1475,,,,,Q397,Psalterium et hymnarium,Psalter|Hymnal,https://catalog.digital-scriptorium.org/entity/Q660|https://catalog.digital-scriptorium.org/entity/Q666,Q9592,,Q1075148,DS12087,9914468034906531,BX2033 .A2 1450,,https://catalog.digital-scriptorium.org/entity/Q51626,
"Riverside, California, University of California, Riverside, (31210025427978)",manuscript containing Psalis & Doxologies for the Coptic Year manuscript leaf,Q87167,https://catalog.digital-scriptorium.org/entity/Q31,https://catalog.digital-scriptorium.org/entity/Q100,1789,1789,,,,,Q36155,Psalis & Doxologies for the Coptic Year manuscript leaf,Psalis|Doxologies,https://catalog.digital-scriptorium.org/entity/Q48656|https://catalog.digital-scriptorium.org/entity/Q48659,,,Q1075148,DS12096,31210025427978,(31210025427978),,https://catalog.digital-scriptorium.org/entity/Q51653,https://calisphere.org/item/ark:/86086/n2dv1kxt/
"Riverside, California, University of California, Riverside, (31210025300375)",manuscript containing Duʿāʾmanuscript leaf,Q87167,https://catalog.digital-scriptorium.org/entity/Q31,https://catalog.digital-scriptorium.org/entity/Q102|https://catalog.digital-scriptorium.org/entity/Q101|https://catalog.digital-scriptorium.org/entity/Q100,1700,1999,,,,,Q13955,Duʿāʾmanuscript leaf,Dua,https://catalog.digital-scriptorium.org/entity/Q48657,,Q116790542,Q1075148,DS12088,31210025300375,(31210025300375),,https://catalog.digital-scriptorium.org/entity/Q51629,https://calisphere.org/item/ark:/86086/n21r6rkv/
"Riverside, California, University of California, Riverside, (31210025300391)",manuscript containing Duʿāʾmanuscript leaf,Q87167,https://catalog.digital-scriptorium.org/entity/Q31,https://catalog.digital-scriptorium.org/entity/Q102|https://catalog.digital-scriptorium.org/entity/Q101|https://catalog.digital-scriptorium.org/entity/Q100,1700,1999,,,,,Q13955,Duʿāʾmanuscript leaf,Dua,https://catalog.digital-scriptorium.org/entity/Q48657,,Q116790542,Q1075148,DS12089,31210025300391,(31210025300391),,https://catalog.digital-scriptorium.org/entity/Q51632,https://calisphere.org/item/ark:/86086/n2x06838/
"Riverside, California, University of California, Riverside, (31210025300383)",manuscript containing Duʿāʾmanuscript leaf,Q87167,https://catalog.digital-scriptorium.org/entity/Q31,https://catalog.digital-scriptorium.org/entity/Q102|https://catalog.digital-scriptorium.org/entity/Q101|https://catalog.digital-scriptorium.org/entity/Q100,1700,1999,,,,,Q13955,Duʿāʾmanuscript leaf,Dua,https://catalog.digital-scriptorium.org/entity/Q48657,,Q116790542,Q1075148,DS12090,31210025300383,(31210025300383),,https://catalog.digital-scriptorium.org/entity/Q51635,https://calisphere.org/item/ark:/86086/n2xs5wfr/
"Riverside, California, University of California, Riverside, (31210025300409)",manuscript containing Duʿāʾmanuscript leaf,Q87167,https://catalog.digital-scriptorium.org/entity/Q31,https://catalog.digital-scriptorium.org/entity/Q102|https://catalog.digital-scriptorium.org/entity/Q101|https://catalog.digital-scriptorium.org/entity/Q100,1700,1999,,,,,Q13955,Duʿāʾmanuscript leaf,Dua,https://catalog.digital-scriptorium.org/entity/Q48657,,Q116790542,Q1075148,DS12091,31210025300409,(31210025300409),,https://catalog.digital-scriptorium.org/entity/Q51638,https://calisphere.org/item/ark:/86086/n28916xh/
"Riverside, California, University of California, Riverside, (31210025427731)",manuscript containing Arabic language manuscript leaf,Q87167,https://catalog.digital-scriptorium.org/entity/Q31,https://catalog.digital-scriptorium.org/entity/Q102|https://catalog.digital-scriptorium.org/entity/Q101|https://catalog.digital-scriptorium.org/entity/Q100,1700,1999,,,,,Q13955,Arabic language manuscript leaf,Arabic text,https://catalog.digital-scriptorium.org/entity/Q38349,,Q116790542,Q1075148,DS12092,31210025427731,(31210025427731),,https://catalog.digital-scriptorium.org/entity/Q51641,https://calisphere.org/item/ark:/86086/n2v69knr/
"Riverside, California, University of California, Riverside, (31210025427624)",manuscript containing Fiqh manuscript leaf,Q87167,https://catalog.digital-scriptorium.org/entity/Q31,https://catalog.digital-scriptorium.org/entity/Q102|https://catalog.digital-scriptorium.org/entity/Q101|https://catalog.digital-scriptorium.org/entity/Q100,1700,1999,,,,,Q13955,Fiqh manuscript leaf,Fiqh,https://catalog.digital-scriptorium.org/entity/Q48658,,Q116790542,Q1075148,DS12093,31210025427624,(31210025427624),,https://catalog.digital-scriptorium.org/entity/Q51644,https://calisphere.org/item/ark:/86086/n23r0tw2/
"Riverside, California, University of California, Riverside, (31210025427707)",manuscript containing Fiqh manuscript leaf,Q87167,https://catalog.digital-scriptorium.org/entity/Q31,https://catalog.digital-scriptorium.org/entity/Q102|https://catalog.digital-scriptorium.org/entity/Q101|https://catalog.digital-scriptorium.org/entity/Q100,1700,1999,,,,,Q13955,Fiqh manuscript leaf,Fiqh,https://catalog.digital-scriptorium.org/entity/Q48658,,Q116790542,Q1075148,DS12094,31210025427707,(31210025427707),,https://catalog.digital-scriptorium.org/entity/Q51647,https://calisphere.org/item/ark:/86086/n2jm2bp0/
"Riverside, California, University of California, Riverside, (31210025427699)",manuscript containing Fiqh manuscript leaf,Q87167,https://catalog.digital-scriptorium.org/entity/Q31,https://catalog.digital-scriptorium.org/entity/Q102|https://catalog.digital-scriptorium.org/entity/Q101|https://catalog.digital-scriptorium.org/entity/Q100,1700,1999,,,,,Q13955,Fiqh manuscript leaf,Fiqh,https://catalog.digital-scriptorium.org/entity/Q48658,,Q116790542,Q1075148,DS12095,31210025427699,(31210025427699),,https://catalog.digital-scriptorium.org/entity/Q51650,https://calisphere.org/item/ark:/86086/n298882r/
"Riverside, California, University of California, Riverside, (31210025427350)",manuscript containing Ḥadīth manuscript leaves,Q87167,https://catalog.digital-scriptorium.org/entity/Q31,https://catalog.digital-scriptorium.org/entity/Q102|https://catalog.digital-scriptorium.org/entity/Q101|https://catalog.digital-scriptorium.org/entity/Q100,1700,1999,,,,,Q13955,Ḥadīth manuscript leaves,Hadith,https://catalog.digital-scriptorium.org/entity/Q3679,,Q116790542,Q1075148,DS12097,31210025427350,(31210025427350),,https://catalog.digital-scriptorium.org/entity/Q51656,https://calisphere.org/item/ark:/86086/n2t154qq/
