signature,description,instanceOf,materialDS,centuryDS,earliestDate,latestDate,placeDS,scribeWikidata,artistWikidata,scriptNotes,languageWikidata,titleRecord,titleStandard,titleDS,authorWikidata,ownerWikidata,holderWikidata,DSID,institutionalID,shelfmark,iiifURL,record,search,link,dsItemID
"San Marino, California, The Huntington Library, Art Museum, and Botanical Gardens, mssHM 62595","manuscript containing Treatises on civil and canon law, etc.",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1450,1499,https://catalog.digital-scriptorium.org/entity/Q122,,,Script: Formal gothic script.,Q397,"Treatises on civil and canon law, etc.",Legal texts,https://catalog.digital-scriptorium.org/entity/Q6030,,Q124364142,Q1400558,DS9638,.b18618625,mssHM 62595,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:53284/manifest.json,https://catalog.digital-scriptorium.org/entity/Q42918,https://search.digital-scriptorium.org/catalog/DS9638,https://catalog.huntington.org/record=b1861862,Q42917
"San Marino, California, The Huntington Library, Art Museum, and Botanical Gardens, mssBA 29",manuscript containing Cartulary of Battle Abbey,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q96|https://catalog.digital-scriptorium.org/entity/Q95,1285,1315,,,,"Part 3. Span folios: ff. 238-247v. Script: Anglicana with secretary features. Assigned Date: s. XIVin. Layout: 29 long lines ruled in ink.|Part 2. Span folios: ff. 100-237v. Other Decoration: Paragraph marks, chapter numbers, running headlines in red. Script: Littera textualis.",Q150|Q397,Cartulary of Battle Abbey,Cartulary,https://catalog.digital-scriptorium.org/entity/Q3686,,Q2147709,Q1400558,DS9645,.b18618704,mssBA 29,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:52859/manifest.json,https://catalog.digital-scriptorium.org/entity/Q42939,https://search.digital-scriptorium.org/catalog/DS9645,https://catalog.huntington.org/record=b1861870,Q42938
"San Marino, California, The Huntington Library, Art Museum, and Botanical Gardens, mssHM 19914",manuscript containing Collection of pastoral works,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q96|https://catalog.digital-scriptorium.org/entity/Q95,1240,1360,https://catalog.digital-scriptorium.org/entity/Q133,,,,Q397,Collection of pastoral works,Pastoral texts,https://catalog.digital-scriptorium.org/entity/Q38403,,Q18559853,Q1400558,DS9652,.b18618777,mssHM 19914,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:51519/manifest.json,https://catalog.digital-scriptorium.org/entity/Q42960,https://search.digital-scriptorium.org/catalog/DS9652,https://catalog.huntington.org/record=b1861877,Q42959
"San Marino, California, The Huntington Library, Art Museum, and Botanical Gardens, mssHM 1140","manuscript containing Devotions, in Dutch",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1485,1499,https://catalog.digital-scriptorium.org/entity/Q651,,,,Q7411,"Devotions, in Dutch",Devotional texts,https://catalog.digital-scriptorium.org/entity/Q5966,,Q3663034,Q1400558,DS9680,.b18619058,mssHM 1140,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:48917/manifest.json,https://catalog.digital-scriptorium.org/entity/Q43044,https://search.digital-scriptorium.org/catalog/DS9680,https://catalog.huntington.org/record=b1861905,Q43043
"San Marino, California, The Huntington Library, Art Museum, and Botanical Gardens, mssHM 1248",manuscript containing Psalter and prayers,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1478,1478,https://catalog.digital-scriptorium.org/entity/Q126,,,,Q397,Psalter and prayers,Psalter,https://catalog.digital-scriptorium.org/entity/Q660,,Q24900668,Q1400558,DS9719,.b18619472,mssHM 1248,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:52331/manifest.json,https://catalog.digital-scriptorium.org/entity/Q43161,https://search.digital-scriptorium.org/catalog/DS9719,https://catalog.huntington.org/record=b1861947,Q43160
"San Marino, California, The Huntington Library, Art Museum, and Botanical Gardens, mssHM 1249",manuscript containing Devotions,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1450,1499,https://catalog.digital-scriptorium.org/entity/Q651,,,,Q397,Devotions,Devotional texts,https://catalog.digital-scriptorium.org/entity/Q5966,,Q116598881,Q1400558,DS9720,.b18619484,mssHM 1249,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:52869/manifest.json,https://catalog.digital-scriptorium.org/entity/Q43164,https://search.digital-scriptorium.org/catalog/DS9720,https://catalog.huntington.org/record=b1861948,Q43163
"San Marino, California, The Huntington Library, Art Museum, and Botanical Gardens, mssHM 195",manuscript containing Prayerbook from Germany,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1440,1460,https://catalog.digital-scriptorium.org/entity/Q131,,,Script: Hybrida.,Q188,Prayerbook from Germany,Nonnberg Passion,https://catalog.digital-scriptorium.org/entity/Q39690,,Q693876,Q1400558,DS9725,.b18619538,mssHM 195,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:52132/manifest.json,https://catalog.digital-scriptorium.org/entity/Q43179,https://search.digital-scriptorium.org/catalog/DS9725,https://catalog.huntington.org/record=b1861953,Q43178
"San Marino, California, The Huntington Library, Art Museum, and Botanical Gardens, mssHM 1048","manuscript containing Devotions, in Dutch",Q87167,https://catalog.digital-scriptorium.org/entity/Q31|https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97|https://catalog.digital-scriptorium.org/entity/Q96|https://catalog.digital-scriptorium.org/entity/Q95|https://catalog.digital-scriptorium.org/entity/Q94,1150,1450,https://catalog.digital-scriptorium.org/entity/Q131|https://catalog.digital-scriptorium.org/entity/Q651,,,Script: Hybrida.,Q397|Q7411,"Devotions, in Dutch",Devotional texts,https://catalog.digital-scriptorium.org/entity/Q5966,,Q5730239,Q1400558,DS9727,.b18619551,mssHM 1048,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:52907/manifest.json,https://catalog.digital-scriptorium.org/entity/Q43185,https://search.digital-scriptorium.org/catalog/DS9727,https://catalog.huntington.org/record=b1861955,Q43184
"San Marino, California, The Huntington Library, Art Museum, and Botanical Gardens, mssHM 39467",manuscript containing Prayer roll,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1485,1499,https://catalog.digital-scriptorium.org/entity/Q122,,,,Q150|Q397,Prayer roll,Prayer roll,https://catalog.digital-scriptorium.org/entity/Q39691,,Q5497139,Q1400558,DS9735,.b18619630,mssHM 39467,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:51752/manifest.json,https://catalog.digital-scriptorium.org/entity/Q43209,https://search.digital-scriptorium.org/catalog/DS9735,https://catalog.huntington.org/record=b1861963,Q43208
"San Marino, California, The Huntington Library, Art Museum, and Botanical Gardens, mssHM 49124",manuscript containing Devotions,Q87167,https://catalog.digital-scriptorium.org/entity/Q31,https://catalog.digital-scriptorium.org/entity/Q97,1461,1499,https://catalog.digital-scriptorium.org/entity/Q131,,,,Q397,Devotions,Devotional texts,https://catalog.digital-scriptorium.org/entity/Q5966,,Q124380417|Q124380418,Q1400558,DS9737,.b18619654,mssHM 49124,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:52910/manifest.json,https://catalog.digital-scriptorium.org/entity/Q43215,https://search.digital-scriptorium.org/catalog/DS9737,https://catalog.huntington.org/record=b1861965,Q43214
"San Marino, California, The Huntington Library, Art Museum, and Botanical Gardens, mssEL 9 H 15","manuscript containing Martyrology and Customal, the House of Bonshommes, Ashridge Priory",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q96,1350,1399,https://catalog.digital-scriptorium.org/entity/Q133,,,Script: Gothic.,Q397,"Martyrology and Customal, the House of Bonshommes, Ashridge Priory",Martyrology|Custumal,https://catalog.digital-scriptorium.org/entity/Q19946|https://catalog.digital-scriptorium.org/entity/Q39601,,Q15192660,Q1400558,DS9738,.b18619666,mssEL 9 H 15,,https://catalog.digital-scriptorium.org/entity/Q43218,https://search.digital-scriptorium.org/catalog/DS9738,https://catalog.huntington.org/record=b1861966,Q43217
"San Marino, California, The Huntington Library, Art Museum, and Botanical Gardens, mssHM 1052","manuscript containing Rule and testament of St. Clare of Assisi, in Dutch",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q98,1540,1560,https://catalog.digital-scriptorium.org/entity/Q651,,,Script: Hybrida; gothic.,Q7411,"Rule and testament of St. Clare of Assisi, in Dutch",Rule of Saint Clare,https://catalog.digital-scriptorium.org/entity/Q40029,,Q5730239|Q124380445,Q1400558,DS9749,.b18619770,mssHM 1052,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:52715/manifest.json,https://catalog.digital-scriptorium.org/entity/Q43251,https://search.digital-scriptorium.org/catalog/DS9749,https://catalog.huntington.org/record=b1861977,Q43250
"San Marino, California, The Huntington Library, Art Museum, and Botanical Gardens, mssHM 1053","manuscript containing Meditations on the Passion, in Spanish",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q98,1591,1591,https://catalog.digital-scriptorium.org/entity/Q129,,,Script: Italic.,Q1321,"Meditations on the Passion, in Spanish",Meditations on the Passion,https://catalog.digital-scriptorium.org/entity/Q39606,,Q3663034,Q1400558,DS9750,.b18619782,mssHM 1053,,https://catalog.digital-scriptorium.org/entity/Q43254,https://search.digital-scriptorium.org/catalog/DS9750,https://catalog.huntington.org/record=b1861978,Q43253
"San Marino, California, The Huntington Library, Art Museum, and Botanical Gardens, mssHM 1548",manuscript containing Portolan chart; cartographic material,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1485,1499,https://catalog.digital-scriptorium.org/entity/Q2823,,,,Q397,Portolan chart; cartographic material,Portolan chart,https://catalog.digital-scriptorium.org/entity/Q38411,,Q15438897|Q15706103,Q1400558,DS9769,.b1861999x,mssHM 1548,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:48444/manifest.json,https://catalog.digital-scriptorium.org/entity/Q43311,https://search.digital-scriptorium.org/catalog/DS9769,https://catalog.huntington.org/record=b1861999,Q43310
