signature,description,instanceOf,materialDS,centuryDS,earliestDate,latestDate,placeDS,scribeWikidata,artistWikidata,scriptNotes,languageWikidata,titleRecord,titleStandard,titleDS,authorWikidata,ownerWikidata,holderWikidata,DSID,institutionalID,shelfmark,iiifURL,record,search,link,dsItemID
"Cambridge, Massachusetts, Harvard University, MS Lat 489",manuscript containing Cena maletractati,Q87167,,https://catalog.digital-scriptorium.org/entity/Q97|https://catalog.digital-scriptorium.org/entity/Q96|https://catalog.digital-scriptorium.org/entity/Q95,1250,1475,,,,,Q397,Cena maletractati,Cena maletractati,https://catalog.digital-scriptorium.org/entity/Q39244,,Q97783947|Q21855104,Q13371,DS10361,99155925377603941,MS Lat 489,,https://catalog.digital-scriptorium.org/entity/Q45185,https://search.digital-scriptorium.org/catalog/DS10361,https://id.lib.harvard.edu/alma/99155925377603941/catalog,https://catalog.digital-scriptorium.org/entity/Q45184
"Cambridge, Massachusetts, Harvard University, MS Fr 707",manuscript containing Bifolium from the legend of Saint Margaret of Antioch,Q87167,,https://catalog.digital-scriptorium.org/entity/Q96,1350,1350,,,,,Q1473289,Bifolium from the legend of Saint Margaret of Antioch,Life of Margaret of Antioch,https://catalog.digital-scriptorium.org/entity/Q39225,,Q98949278,Q13371,DS10381,99153726308703941,MS Fr 707,,https://catalog.digital-scriptorium.org/entity/Q45245,https://search.digital-scriptorium.org/catalog/DS10381,https://id.lib.harvard.edu/alma/99153726308703941/catalog,https://catalog.digital-scriptorium.org/entity/Q45244
"Cambridge, Massachusetts, Harvard University, MS Fr 24.2",manuscript containing Manuscript waste including a fragment of Miroir historial,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q96,1300,1330,,,,,Q150,Manuscript waste including a fragment of Miroir historial,Manuscript waste,https://catalog.digital-scriptorium.org/entity/Q38342,,Q1216036,Q13371,DS10396,990153035330203941,MS Fr 24.2,https://iiif.lib.harvard.edu/manifests/drs:443321910,https://catalog.digital-scriptorium.org/entity/Q45290,https://search.digital-scriptorium.org/catalog/DS10396,https://id.lib.harvard.edu/alma/990153035330203941/catalog,https://catalog.digital-scriptorium.org/entity/Q45289
"Cambridge, Massachusetts, Harvard University, MS Typ 1208",manuscript containing Prayerbook for a bishop,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q98,1525,1530,,,,,Q150|Q397,Prayerbook for a bishop,Prayer book,https://catalog.digital-scriptorium.org/entity/Q1486,,Q120869143,Q13371,DS10392,990152787270203941,MS Typ 1208,,https://catalog.digital-scriptorium.org/entity/Q45278,https://search.digital-scriptorium.org/catalog/DS10392,https://id.lib.harvard.edu/alma/990152787270203941/catalog,https://catalog.digital-scriptorium.org/entity/Q45277
"Cambridge, Massachusetts, Harvard University, MS Arab SM8378",manuscript containing Arabic text,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q92,900,999,,,,,Q13955,Arabic text,Arabic text,https://catalog.digital-scriptorium.org/entity/Q38349,,Q96945239,Q13371,DS10410,990144362270203941,MS Arab SM8378,,https://catalog.digital-scriptorium.org/entity/Q45332,https://search.digital-scriptorium.org/catalog/DS10410,https://id.lib.harvard.edu/alma/990144362270203941/catalog,https://catalog.digital-scriptorium.org/entity/Q45331
"Cambridge, Massachusetts, Harvard University, MS Arab SM8380",manuscript containing Arabic commentary,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q94,1100,1199,,,,,Q13955,Arabic commentary,Arabic commentary,https://catalog.digital-scriptorium.org/entity/Q39200,,Q96945239,Q13371,DS10411,990144365250203941,MS Arab SM8380,,https://catalog.digital-scriptorium.org/entity/Q45335,https://search.digital-scriptorium.org/catalog/DS10411,https://id.lib.harvard.edu/alma/990144365250203941/catalog,https://catalog.digital-scriptorium.org/entity/Q45334
"Cambridge, Massachusetts, Harvard University, MS Arab SM8379",manuscript containing Arabic text,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q92,900,999,,,,,Q13955,Arabic text,Arabic text,https://catalog.digital-scriptorium.org/entity/Q38349,,Q96945239,Q13371,DS10427,990144362970203941,MS Arab SM8379,,https://catalog.digital-scriptorium.org/entity/Q45383,https://search.digital-scriptorium.org/catalog/DS10427,https://id.lib.harvard.edu/alma/990144362970203941/catalog,https://catalog.digital-scriptorium.org/entity/Q45382
"Cambridge, Massachusetts, Harvard University, MS Typ 107",manuscript containing Ein Buch zusammen gezogen auss vilen probirten Kunsten,Q87167,,https://catalog.digital-scriptorium.org/entity/Q98,1510,1510,,,,,Q188,Ein Buch zusammen gezogen auss vilen probirten Kunsten,Ein buch zusammen gezogen auss vilen probirten kunsten,https://catalog.digital-scriptorium.org/entity/Q39362,,Q11928267|Q315332,Q13371,DS10443,990095496720203941,MS Typ 107,,https://catalog.digital-scriptorium.org/entity/Q45431,https://search.digital-scriptorium.org/catalog/DS10443,https://id.lib.harvard.edu/alma/990095496720203941/catalog,https://catalog.digital-scriptorium.org/entity/Q45430
"Cambridge, Massachusetts, Harvard University, MS Typ 111",manuscript containing Modus scribendi,Q87167,,https://catalog.digital-scriptorium.org/entity/Q97,1460,1460,,,,,Q397,Modus scribendi,Modus scribendi,https://catalog.digital-scriptorium.org/entity/Q39620,,Q384501,Q13371,DS10446,990095518910203941,MS Typ 111,https://iiif.lib.harvard.edu/manifests/drs:422492792,https://catalog.digital-scriptorium.org/entity/Q45440,https://search.digital-scriptorium.org/catalog/DS10446,https://id.lib.harvard.edu/alma/990095518910203941/catalog,https://catalog.digital-scriptorium.org/entity/Q45439
"Cambridge, Massachusetts, Harvard University, MS Riant 91",manuscript containing Devotional treatises,Q87167,https://catalog.digital-scriptorium.org/entity/Q31|https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q98,1522,1522,,,,,Q188|Q7411,Devotional treatises,Devotional texts,https://catalog.digital-scriptorium.org/entity/Q5966,,Q53674,Q13371,DS10450,990098162610203941,MS Riant 91,https://iiif.lib.harvard.edu/manifests/drs:47818658,https://catalog.digital-scriptorium.org/entity/Q45452,https://search.digital-scriptorium.org/catalog/DS10450,https://id.lib.harvard.edu/alma/990098162610203941/catalog,https://catalog.digital-scriptorium.org/entity/Q45451
"Cambridge, Massachusetts, Harvard University, MS Richardson 3","manuscript containing New Testament; in the English translation of John Wycliffe, revised by John Purvey",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1400,1400,,,,,Q36395,"New Testament; in the English translation of John Wycliffe, revised by John Purvey",New Testament|Bible,https://catalog.digital-scriptorium.org/entity/Q655|https://catalog.digital-scriptorium.org/entity/Q661,,Q114242437|Q120752896,Q13371,DS10455,990098766260203941,MS Richardson 3,https://iiif.lib.harvard.edu/manifests/drs:6773426,https://catalog.digital-scriptorium.org/entity/Q45467,https://search.digital-scriptorium.org/catalog/DS10455,https://id.lib.harvard.edu/alma/990098766260203941/catalog,https://catalog.digital-scriptorium.org/entity/Q45466
"Cambridge, Massachusetts, Harvard University, MS Syriac 171",manuscript containing Lectionary of the Gospels,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q94,1100,1199,,,,,Q33538,Lectionary of the Gospels,Lectionary,https://catalog.digital-scriptorium.org/entity/Q663,,Q96945239,Q13371,DS10466,990093148760203941,MS Syriac 171,https://iiif.lib.harvard.edu/manifests/ids:51490057|https://iiif.lib.harvard.edu/manifests/ids:51490058,https://catalog.digital-scriptorium.org/entity/Q45500,https://search.digital-scriptorium.org/catalog/DS10466,https://id.lib.harvard.edu/alma/990093148760203941/catalog,https://catalog.digital-scriptorium.org/entity/Q45499
"Cambridge, Massachusetts, Harvard University, MS Syriac 4",manuscript containing The New Testament in the Syriac Peshitta version,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q94,1199,1199,,,,,Q33538,The New Testament in the Syriac Peshitta version,New Testament,https://catalog.digital-scriptorium.org/entity/Q655,,Q16153211,Q13371,DS10469,990092933800203941,MS Syriac 4,https://iiif.lib.harvard.edu/manifests/drs:44443013,https://catalog.digital-scriptorium.org/entity/Q45509,https://search.digital-scriptorium.org/catalog/DS10469,https://id.lib.harvard.edu/alma/990092933800203941/catalog,https://catalog.digital-scriptorium.org/entity/Q45508
"Cambridge, Massachusetts, Harvard University, MS Lat 354",manuscript containing Biblia latina,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q95,1280,1280,,,,,Q397,Biblia latina,Bible,https://catalog.digital-scriptorium.org/entity/Q661,,Q114242525|Q78083260|Q124566865,Q13371,DS10470,990094331530203941,MS Lat 354,https://iiif.lib.harvard.edu/manifests/drs:4298059,https://catalog.digital-scriptorium.org/entity/Q45512,https://search.digital-scriptorium.org/catalog/DS10470,https://id.lib.harvard.edu/alma/990094331530203941/catalog,https://catalog.digital-scriptorium.org/entity/Q45511
"Cambridge, Massachusetts, Harvard University, MS Lat 358",manuscript containing Ænigmata,Q87167,,https://catalog.digital-scriptorium.org/entity/Q98,1550,1550,,,,,Q397,Ænigmata,Ænigmata,https://catalog.digital-scriptorium.org/entity/Q38346,,Q2147709,Q13371,DS10472,990094395280203941,MS Lat 358,https://iiif.lib.harvard.edu/manifests/drs:51994087,https://catalog.digital-scriptorium.org/entity/Q45518,https://search.digital-scriptorium.org/catalog/DS10472,https://id.lib.harvard.edu/alma/990094395280203941/catalog,https://catalog.digital-scriptorium.org/entity/Q45517
"Cambridge, Massachusetts, Harvard University, MS Lat 49",manuscript containing Magni oratoris Guarini Veronensis in Plutarchum de liberis educandis,Q87167,https://catalog.digital-scriptorium.org/entity/Q31|https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1425,1450,,,,,Q397,Magni oratoris Guarini Veronensis in Plutarchum de liberis educandis,De liberis educandis,https://catalog.digital-scriptorium.org/entity/Q39585,,Q124566744,Q13371,DS10476,990093224660203941,MS Lat 49,https://iiif.lib.harvard.edu/manifests/drs:47288816,https://catalog.digital-scriptorium.org/entity/Q45530,https://search.digital-scriptorium.org/catalog/DS10476,https://id.lib.harvard.edu/alma/990093224660203941/catalog,https://catalog.digital-scriptorium.org/entity/Q45529
