signature,description,instanceOf,materialDS,centuryDS,earliestDate,latestDate,placeDS,scribeWikidata,artistWikidata,scriptNotes,languageWikidata,titleRecord,titleStandard,titleDS,authorWikidata,ownerWikidata,holderWikidata,DSID,institutionalID,shelfmark,iiifURL,record,search,link,dsItemID
"Malibu, California, Pepperdine University, Ege 2",manuscript containing Miniature manuscript Bible leaf,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q95,1240,1240,https://catalog.digital-scriptorium.org/entity/Q122,,,,Q397,Miniature manuscript Bible leaf,Bible,https://catalog.digital-scriptorium.org/entity/Q661,,Q7109575,Q117876,DS30371,on1573056635,Ege 2,,https://catalog.digital-scriptorium.org/entity/Q114344,https://search.digital-scriptorium.org/catalog/DS30371,https://pepperdine.on.worldcat.org/oclc/1573056635,https://catalog.digital-scriptorium.org/entity/Q114343
"Malibu, California, Pepperdine University, Ege 1",manuscript containing Armenian manuscript Bible leaf,Q87167,https://catalog.digital-scriptorium.org/entity/Q31,https://catalog.digital-scriptorium.org/entity/Q99,1671,1671,https://catalog.digital-scriptorium.org/entity/Q791,,,,Q8785,Armenian manuscript Bible leaf,Bible,https://catalog.digital-scriptorium.org/entity/Q661,,Q7109575,Q117876,DS30372,on1573055307,Ege 1,,https://catalog.digital-scriptorium.org/entity/Q114347,https://search.digital-scriptorium.org/catalog/DS30372,https://pepperdine.on.worldcat.org/oclc/1573055307,https://catalog.digital-scriptorium.org/entity/Q114346
"Malibu, California, Pepperdine University, Ege 3",manuscript containing Paris manuscript Bible leaf,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q96,1310,1310,https://catalog.digital-scriptorium.org/entity/Q122,,,,Q397,Paris manuscript Bible leaf,Bible,https://catalog.digital-scriptorium.org/entity/Q661,,Q7109575,Q117876,DS30373,on1573359699,Ege 3,,https://catalog.digital-scriptorium.org/entity/Q114350,https://search.digital-scriptorium.org/catalog/DS30373,https://pepperdine.on.worldcat.org/oclc/1573359699,https://catalog.digital-scriptorium.org/entity/Q114349
"Malibu, California, Pepperdine University, BM657.T6",manuscript containing Manuscript Torah scroll,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,,,,https://catalog.digital-scriptorium.org/entity/Q650,,,,Q9288,Manuscript Torah scroll,Torah,https://catalog.digital-scriptorium.org/entity/Q42434,,,Q117876,DS30368,on1572973243,BM657.T6,,https://catalog.digital-scriptorium.org/entity/Q114335,https://search.digital-scriptorium.org/catalog/DS30368,https://pepperdine.on.worldcat.org/oclc/1572973243,https://catalog.digital-scriptorium.org/entity/Q114334
"Malibu, California, Pepperdine University, ML3082.T449 1442","manuscript containing Text of the Gregorian chant, Spain, 1442",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1430,1430,https://catalog.digital-scriptorium.org/entity/Q129|https://catalog.digital-scriptorium.org/entity/Q1298,,,,Q397,"Text of the Gregorian chant, Spain, 1442",Chant book,https://catalog.digital-scriptorium.org/entity/Q7862,,,Q117876,DS30369,on1294314294,ML3082.T449 1442,,https://catalog.digital-scriptorium.org/entity/Q114338,https://search.digital-scriptorium.org/catalog/DS30369,https://pepperdine.on.worldcat.org/oclc/1294314294,https://catalog.digital-scriptorium.org/entity/Q114337
"Malibu, California, Pepperdine University, M2148.L1S7",manuscript containing Valencia gradual single leaf,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q98|https://catalog.digital-scriptorium.org/entity/Q97,1400,1600,https://catalog.digital-scriptorium.org/entity/Q129|https://catalog.digital-scriptorium.org/entity/Q1298,,,,Q397,Valencia gradual single leaf,Gradual,https://catalog.digital-scriptorium.org/entity/Q1121,Q9592,,Q117876,DS30370,on1572256814,M2148.L1S7,,https://catalog.digital-scriptorium.org/entity/Q114341,https://search.digital-scriptorium.org/catalog/DS30370,https://pepperdine.on.worldcat.org/oclc/1572256814,https://catalog.digital-scriptorium.org/entity/Q114340
"Malibu, California, Pepperdine University, CS429.G46","manuscript containing The Genealogie Royall and lineall discent of all the Kinges and Queenes of England since the Conquest together with their issue, unto the most happie and blessed raigne of Queene Elizabeth of ever blessed memorie; truly collected out of the best, and most authentique authors whatsoever",Q87167,https://catalog.digital-scriptorium.org/entity/Q31,https://catalog.digital-scriptorium.org/entity/Q98,1590,1600,https://catalog.digital-scriptorium.org/entity/Q133,,,,Q1860,"The Genealogie Royall and lineall discent of all the Kinges and Queenes of England since the Conquest together with their issue, unto the most happie and blessed raigne of Queene Elizabeth of ever blessed memorie; truly collected out of the best, and most authentique authors whatsoever",Genealogies,https://catalog.digital-scriptorium.org/entity/Q4350,,,Q117876,DS30374,on1285975530,CS429.G46,,https://catalog.digital-scriptorium.org/entity/Q114353,https://search.digital-scriptorium.org/catalog/DS30374,https://pepperdine.on.worldcat.org/oclc/1285975530,https://catalog.digital-scriptorium.org/entity/Q114352
"Malibu, California, Pepperdine University, M2147.H563 1572","manuscript containing Untitled Franciscan antiphonal, 1572, with additions from 1662 and 1798] /",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q98,1572,1572,https://catalog.digital-scriptorium.org/entity/Q129|https://catalog.digital-scriptorium.org/entity/Q3102,,,,Q397,"Untitled Franciscan antiphonal, 1572, with additions from 1662 and 1798] /",Antiphonary,https://catalog.digital-scriptorium.org/entity/Q654,,,Q117876,DS30375,on1277087026,M2147.H563 1572,https://iiif.quartexcollections.com/pepperdine/iiif/8ed180e9-9d1e-4ca4-98ea-f6c4e16d1cae/manifest,https://catalog.digital-scriptorium.org/entity/Q114356,https://search.digital-scriptorium.org/catalog/DS30375,https://pepperdine.on.worldcat.org/oclc/1277087026,https://catalog.digital-scriptorium.org/entity/Q114355
"Malibu, California, Pepperdine University, BX2000.6.A2 1500z","manuscript containing Matutinal breviary from Easter to Pentecost for Dominican use, 1475-1500",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1475,1500,https://catalog.digital-scriptorium.org/entity/Q132|https://catalog.digital-scriptorium.org/entity/Q1303,,,,Q397,"Matutinal breviary from Easter to Pentecost for Dominican use, 1475-1500",Breviary,https://catalog.digital-scriptorium.org/entity/Q657,,,Q117876,DS30376,on1280428293,BX2000.6.A2 1500z,,https://catalog.digital-scriptorium.org/entity/Q114359,https://search.digital-scriptorium.org/catalog/DS30376,https://pepperdine.on.worldcat.org/oclc/1280428293,https://catalog.digital-scriptorium.org/entity/Q114358
"Malibu, California, Pepperdine University, PK6455.A2 1700z",manuscript containing Manuscript copy of part of the Shahnama [the Book of Kings] /,Q87167,,,,,https://catalog.digital-scriptorium.org/entity/Q18345,,,,Q9168,Manuscript copy of part of the Shahnama [the Book of Kings] /,Shahnameh,https://catalog.digital-scriptorium.org/entity/Q18627,Q43459,,Q117876,DS30377,on1561532828,PK6455.A2 1700z,,https://catalog.digital-scriptorium.org/entity/Q114362,https://search.digital-scriptorium.org/catalog/DS30377,https://pepperdine.on.worldcat.org/oclc/1561532828,https://catalog.digital-scriptorium.org/entity/Q114361
