signature,description,instanceOf,materialDS,centuryDS,earliestDate,latestDate,placeDS,scribeWikidata,artistWikidata,scriptNotes,languageWikidata,titleRecord,titleStandard,titleDS,authorWikidata,ownerWikidata,holderWikidata,DSID,institutionalID,shelfmark,iiifURL,record,search,link,dsItemID
"Athens, Ohio, Ohio University, ege-29","manuscript containing Ege leaf 29: Book of hours, France, 1400s",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1400,1499,https://catalog.digital-scriptorium.org/entity/Q122,,,Script: Gothic,Q397,"Ege leaf 29: Book of hours, France, 1400s",Book of hours,https://catalog.digital-scriptorium.org/entity/Q795,,Q7109575,Q1075339,DS30513,ege_29_france_book-hours,ege-29,https://media.library.ohio.edu/iiif/2/p15808coll19:131/manifest.json,https://catalog.digital-scriptorium.org/entity/Q114812,https://search.digital-scriptorium.org/catalog/DS30513,http://media.library.ohio.edu/digital/collection/p15808coll19/id/131,https://catalog.digital-scriptorium.org/entity/Q114811
"Athens, Ohio, Ohio University, ege-31","manuscript containing Ege leaf 31: Book of hours, France, 1400s",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1400,1499,https://catalog.digital-scriptorium.org/entity/Q122,,,Script: Gothic,Q397,"Ege leaf 31: Book of hours, France, 1400s",Book of hours,https://catalog.digital-scriptorium.org/entity/Q795,,Q7109575,Q1075339,DS30514,ege_31_france_book-hours,ege-31,https://media.library.ohio.edu/iiif/2/p15808coll19:115/manifest.json,https://catalog.digital-scriptorium.org/entity/Q114815,https://search.digital-scriptorium.org/catalog/DS30514,http://media.library.ohio.edu/digital/collection/p15808coll19/id/115,https://catalog.digital-scriptorium.org/entity/Q114814
"Athens, Ohio, Ohio University, ege-32","manuscript containing Ege leaf 32: Gradual, Italy, 1400s",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1400,1499,https://catalog.digital-scriptorium.org/entity/Q134|https://catalog.digital-scriptorium.org/entity/Q3084,,,Script: Square (musical notations)|Script: Gothic,Q397,"Ege leaf 32: Gradual, Italy, 1400s",Gradual,https://catalog.digital-scriptorium.org/entity/Q1121,,Q7109575,Q1075339,DS30515,ege_32_italy_gradual,ege-32,https://media.library.ohio.edu/iiif/2/p15808coll19:143/manifest.json,https://catalog.digital-scriptorium.org/entity/Q114818,https://search.digital-scriptorium.org/catalog/DS30515,http://media.library.ohio.edu/digital/collection/p15808coll19/id/143,https://catalog.digital-scriptorium.org/entity/Q114817
"Athens, Ohio, Ohio University, ege-33","manuscript containing Ege leaf 33: Missal, Germany, 1400s",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1400,1499,https://catalog.digital-scriptorium.org/entity/Q131,,,Script: Gothic,Q397,"Ege leaf 33: Missal, Germany, 1400s",Missal,https://catalog.digital-scriptorium.org/entity/Q662,,Q7109575,Q1075339,DS30516,ege_33_germany_missal,ege-33,https://media.library.ohio.edu/iiif/2/p15808coll19:127/manifest.json,https://catalog.digital-scriptorium.org/entity/Q114821,https://search.digital-scriptorium.org/catalog/DS30516,http://media.library.ohio.edu/digital/collection/p15808coll19/id/127,https://catalog.digital-scriptorium.org/entity/Q114820
"Athens, Ohio, Ohio University, ege-34","manuscript containing Ege leaf 34: Psalter, Italy, 1400s",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1400,1499,https://catalog.digital-scriptorium.org/entity/Q134,,,Script: rotunda|Script: Square (musical notations),Q397,"Ege leaf 34: Psalter, Italy, 1400s",Psalter,https://catalog.digital-scriptorium.org/entity/Q660,,Q7109575,Q1075339,DS30517,ege_34_italy_psalter,ege-34,https://media.library.ohio.edu/iiif/2/p15808coll19:119/manifest.json,https://catalog.digital-scriptorium.org/entity/Q114824,https://search.digital-scriptorium.org/catalog/DS30517,http://media.library.ohio.edu/digital/collection/p15808coll19/id/119,https://catalog.digital-scriptorium.org/entity/Q114823
"Athens, Ohio, Ohio University, ege-36","manuscript containing Ege leaf 36: Book of hours, France, 1400s",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1400,1499,https://catalog.digital-scriptorium.org/entity/Q122,,,Script: Gothic,Q397,"Ege leaf 36: Book of hours, France, 1400s",Book of hours,https://catalog.digital-scriptorium.org/entity/Q795,,Q7109575,Q1075339,DS30519,ege_36_france_book-hours,ege-36,https://media.library.ohio.edu/iiif/2/p15808coll19:159/manifest.json,https://catalog.digital-scriptorium.org/entity/Q114830,https://search.digital-scriptorium.org/catalog/DS30519,http://media.library.ohio.edu/digital/collection/p15808coll19/id/159,https://catalog.digital-scriptorium.org/entity/Q114829
"Athens, Ohio, Ohio University, ege-37","manuscript containing Ege leaf 37: Epistolary, Italy, 1400s",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1400,1499,https://catalog.digital-scriptorium.org/entity/Q134,,,Script: Gothic,Q397,"Ege leaf 37: Epistolary, Italy, 1400s",,,,Q7109575,Q1075339,DS30520,ege_37_italy_epistolary,ege-37,https://media.library.ohio.edu/iiif/2/p15808coll19:135/manifest.json,https://catalog.digital-scriptorium.org/entity/Q114833,https://search.digital-scriptorium.org/catalog/DS30520,http://media.library.ohio.edu/digital/collection/p15808coll19/id/135,https://catalog.digital-scriptorium.org/entity/Q114832
"Athens, Ohio, Ohio University, ege-38","manuscript containing Ege leaf 38: TITLE, France, 1400s",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1400,1499,https://catalog.digital-scriptorium.org/entity/Q122|https://catalog.digital-scriptorium.org/entity/Q42076,,,Script: Gothic,Q397,"Ege leaf 38: TITLE, France, 1400s",,,,Q7109575,Q1075339,DS30521,ege_38_france_missal,ege-38,https://media.library.ohio.edu/iiif/2/p15808coll19:151/manifest.json,https://catalog.digital-scriptorium.org/entity/Q114836,https://search.digital-scriptorium.org/catalog/DS30521,http://media.library.ohio.edu/digital/collection/p15808coll19/id/151,https://catalog.digital-scriptorium.org/entity/Q114835
"Athens, Ohio, Ohio University, ege-42","manuscript containing Ege leaf 42: Psalter, Germany, 1499",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1499,1499,https://catalog.digital-scriptorium.org/entity/Q131|https://catalog.digital-scriptorium.org/entity/Q20355,,,Script: Gothic,Q397,"Ege leaf 42: Psalter, Germany, 1499",Psalter,https://catalog.digital-scriptorium.org/entity/Q660,,Q7109575|Q7591728,Q1075339,DS30525,ege_42_germany_psalter,ege-42,https://media.library.ohio.edu/iiif/2/p15808coll19:199/manifest.json,https://catalog.digital-scriptorium.org/entity/Q114848,https://search.digital-scriptorium.org/catalog/DS30525,http://media.library.ohio.edu/digital/collection/p15808coll19/id/199,https://catalog.digital-scriptorium.org/entity/Q114847
"Athens, Ohio, Ohio University, ege-43","manuscript containing Ege leaf 43: Book of hours, Netherlands, 1400s",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1400,1499,https://catalog.digital-scriptorium.org/entity/Q651,,,Script: Gothic,Q397,"Ege leaf 43: Book of hours, Netherlands, 1400s",Book of hours,https://catalog.digital-scriptorium.org/entity/Q795,,Q7109575,Q1075339,DS30526,ege_43_netherlands_book-hours,ege-43,https://media.library.ohio.edu/iiif/2/p15808coll19:171/manifest.json,https://catalog.digital-scriptorium.org/entity/Q114851,https://search.digital-scriptorium.org/catalog/DS30526,http://media.library.ohio.edu/digital/collection/p15808coll19/id/171,https://catalog.digital-scriptorium.org/entity/Q114850
