signature,description,instanceOf,materialDS,centuryDS,earliestDate,latestDate,placeDS,scribeWikidata,artistWikidata,scriptNote,languageWikidata,titleRecord,titleStandard,titleDS,authorWikidata,ownerWikidata,holderWikidata,DSID,institutionalID,shelfmark,iiifURL,record,link
"Poughkeepsie, New York, Vassar College, MS. 25",manuscript containing Privileges du Vicomte de Turenne,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q98,1523,1523,https://catalog.digital-scriptorium.org/entity/Q122,,,"Script: Written by 2 scribes in Gothic bâtarde script: scribe 1, fol. 1r-17v; scribe 2: 17v.",Q150|Q397,Privileges du Vicomte de Turenne,Privileges,https://catalog.digital-scriptorium.org/entity/Q4353,,Q2147709|Q3943957,Q2093794,DS11933,991019126382607396,MS. 25,,https://catalog.digital-scriptorium.org/entity/Q51164,https://vassar.primo.exlibrisgroup.com/permalink/01VAC_INST/349upj/alma991019126382607396
"Poughkeepsie, New York, Vassar College, MS. 19",manuscript containing Portable breviary; Franciscan use,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q96,1320,1360,https://catalog.digital-scriptorium.org/entity/Q7800,,,Script: written in rounded Gothic script.,Q397,Portable breviary; Franciscan use,Breviary,https://catalog.digital-scriptorium.org/entity/Q657,Q9592,,Q2093794,DS11908,991002019079707396,MS. 19,,https://catalog.digital-scriptorium.org/entity/Q51089,https://vassar.primo.exlibrisgroup.com/permalink/01VAC_INST/349upj/alma991002019079707396
"Poughkeepsie, New York, Vassar College, MS. 22",manuscript containing Commendations of Souls,Q87167,https://catalog.digital-scriptorium.org/entity/Q31|https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1400,1400,https://catalog.digital-scriptorium.org/entity/Q131,,,Script: 15th-century texts written in Gothic textura; later addition written in mid-18th- or 19th-century script.,Q397,Commendations of Souls,Commendations of Souls,https://catalog.digital-scriptorium.org/entity/Q48660,,,Q2093794,DS11909,991007770009707396,MS. 22,,https://catalog.digital-scriptorium.org/entity/Q51092,https://vassar.primo.exlibrisgroup.com/permalink/01VAC_INST/349upj/alma991007770009707396
"Poughkeepsie, New York, Vassar College, MS. 21",manuscript containing Compilation of excerpts from Sebastian Franck's Chronica,Q87167,https://catalog.digital-scriptorium.org/entity/Q31,https://catalog.digital-scriptorium.org/entity/Q98,1595,1596,https://catalog.digital-scriptorium.org/entity/Q38180,Q128031515,,Script: Written in a semiprofessional script for the text and in a larger bold formatted script for the headings.,Q188,Compilation of excerpts from Sebastian Franck's Chronica,"Chronica, Zeitbuch und Geschichtsbibel",https://catalog.digital-scriptorium.org/entity/Q48661,,,Q2093794,DS11910,991007770269707396,MS. 21,,https://catalog.digital-scriptorium.org/entity/Q51095,https://vassar.primo.exlibrisgroup.com/permalink/01VAC_INST/349upj/alma991007770269707396
"Poughkeepsie, New York, Vassar College, Scheetz MS. 15",manuscript containing Eleven leaves from a pocket Bible,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q95,1250,1275,https://catalog.digital-scriptorium.org/entity/Q3654,,,Script: Written in Gothic script.,Q397,Eleven leaves from a pocket Bible,Bible,https://catalog.digital-scriptorium.org/entity/Q661,,,Q2093794,DS11911,991008325379707396,Scheetz MS. 15,,https://catalog.digital-scriptorium.org/entity/Q51098,https://vassar.primo.exlibrisgroup.com/permalink/01VAC_INST/349upj/alma991008325379707396
"Poughkeepsie, New York, Vassar College, Scheetz MS. 8",manuscript containing Gradual for Advent and Christmas,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1450,1500,https://catalog.digital-scriptorium.org/entity/Q1243,,,"Script: Written by 2 scribes in Gothic script: scribe 1, fol. 1r-16v; scribe 2, fol. 17r-23v. A third scribe in 17th script, fol. 23v-25v.",Q397,Gradual for Advent and Christmas,Gradual,https://catalog.digital-scriptorium.org/entity/Q1121,Q9592,,Q2093794,DS11912,991008325509707396,Scheetz MS. 8,,https://catalog.digital-scriptorium.org/entity/Q51101,https://vassar.primo.exlibrisgroup.com/permalink/01VAC_INST/349upj/alma991008325509707396
"Poughkeepsie, New York, Vassar College, Scheetz MS. 6",manuscript containing Portions of a psalter,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1400,1425,https://catalog.digital-scriptorium.org/entity/Q133,,,Script: Written in Gothic textura script,Q397,Portions of a psalter,Psalter,https://catalog.digital-scriptorium.org/entity/Q660,Q9592,,Q2093794,DS11913,991008326209707396,Scheetz MS. 6,,https://catalog.digital-scriptorium.org/entity/Q51104,https://vassar.primo.exlibrisgroup.com/permalink/01VAC_INST/349upj/alma991008326209707396
"Poughkeepsie, New York, Vassar College, Scheetz MS. 7",manuscript containing Portion of a breviary; use of Paris,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1400,1400,https://catalog.digital-scriptorium.org/entity/Q136,,,Script: written in Gothic script,Q397,Portion of a breviary; use of Paris,Breviary,https://catalog.digital-scriptorium.org/entity/Q657,Q9592,,Q2093794,DS11914,991008327969707396,Scheetz MS. 7,,https://catalog.digital-scriptorium.org/entity/Q51107,https://vassar.primo.exlibrisgroup.com/permalink/01VAC_INST/349upj/alma991008327969707396
"Poughkeepsie, New York, Vassar College, Scheetz MS. 3",manuscript containing Incomplete Book of hours,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1400,1400,https://catalog.digital-scriptorium.org/entity/Q651,,,"Script: written by 2 scribes in Gothic bookhand: scribe 1, leaves 1r-101v; scribe 2, leaves 102r-119r and additions on leaves 3v, 4r, 4v. Later additions on flyleaf (approximately 1500) written in Gothic script",Q397,Incomplete Book of hours,Book of hours,https://catalog.digital-scriptorium.org/entity/Q795,Q9592,,Q2093794,DS11915,991008329869707396,Scheetz MS. 3,,https://catalog.digital-scriptorium.org/entity/Q51110,https://vassar.primo.exlibrisgroup.com/permalink/01VAC_INST/349upj/alma991008329869707396
"Poughkeepsie, New York, Vassar College, Scheetz MS. 4",manuscript containing Portion of a Book of hours,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q98|https://catalog.digital-scriptorium.org/entity/Q97,1480,1520,https://catalog.digital-scriptorium.org/entity/Q122,,,Script: written in Lettre Bâtarde script.,Q397,Portion of a Book of hours,Book of hours,https://catalog.digital-scriptorium.org/entity/Q795,Q9592,,Q2093794,DS11916,991008330359707396,Scheetz MS. 4,,https://catalog.digital-scriptorium.org/entity/Q51113,https://vassar.primo.exlibrisgroup.com/permalink/01VAC_INST/349upj/alma991008330359707396
