signature,description,instanceOf,materialDS,centuryDS,earliestDate,latestDate,placeDS,scribeWikidata,artistWikidata,scriptNote,languageWikidata,titleRecord,titleStandard,titleDS,authorWikidata,ownerWikidata,holderWikidata,DSID,institutionalID,shelfmark,iiifURL,record,link
"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.2",manuscript containing Missal,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q94,1150,1200,https://catalog.digital-scriptorium.org/entity/Q132|https://catalog.digital-scriptorium.org/entity/Q4333,,,,Q397,Missal,Missal,https://catalog.digital-scriptorium.org/entity/Q662,,Q7109575,Q309331,DS11421,Spec.Rare.MS.MR.Frag.2,Spec.Rare.MS.MR.Frag.2,,https://catalog.digital-scriptorium.org/entity/Q49628,
"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.3",manuscript containing Lectionary,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q94,1125,1175,https://catalog.digital-scriptorium.org/entity/Q134,,,,Q397,Lectionary,Lectionary,https://catalog.digital-scriptorium.org/entity/Q663,,Q7109575,Q309331,DS11422,Spec.Rare.MS.MR.Frag.3,Spec.Rare.MS.MR.Frag.3,,https://catalog.digital-scriptorium.org/entity/Q49631,
"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.5",manuscript containing Bible (portfolio),Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q95,1230,1240,https://catalog.digital-scriptorium.org/entity/Q122,,,,Q397,Bible (portfolio),Bible,https://catalog.digital-scriptorium.org/entity/Q661,,Q7109575,Q309331,DS11424,Spec.Rare.MS.MR.Frag.5,Spec.Rare.MS.MR.Frag.5,,https://catalog.digital-scriptorium.org/entity/Q49637,
"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.6",manuscript containing Bible (portfolio),Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q95,1225,1240,https://catalog.digital-scriptorium.org/entity/Q133,,,,Q397,Bible (portfolio),Bible,https://catalog.digital-scriptorium.org/entity/Q661,,Q7109575|Q654762|Q7791821,Q309331,DS11425,Spec.Rare.MS.MR.Frag.6,Spec.Rare.MS.MR.Frag.6,,https://catalog.digital-scriptorium.org/entity/Q49640,
"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.8",manuscript containing Wilton Processional,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q95,1250,1300,https://catalog.digital-scriptorium.org/entity/Q133,,,,Q397,Wilton Processional,Processional|Wilton Processional,https://catalog.digital-scriptorium.org/entity/Q1336|https://catalog.digital-scriptorium.org/entity/Q44071,,Q7109575|Q125930828|Q125930872,Q309331,DS11427,Spec.Rare.MS.MR.Frag.8,Spec.Rare.MS.MR.Frag.8,,https://catalog.digital-scriptorium.org/entity/Q49646,
"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.9",manuscript containing Bible (pocket),Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q95,1250,1275,https://catalog.digital-scriptorium.org/entity/Q122|https://catalog.digital-scriptorium.org/entity/Q136,,,,Q397,Bible (pocket),Bible,https://catalog.digital-scriptorium.org/entity/Q661,,Q7109575,Q309331,DS11428,Spec.Rare.MS.MR.Frag.9,Spec.Rare.MS.MR.Frag.9,,https://catalog.digital-scriptorium.org/entity/Q49649,
"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.10",manuscript containing Psalter,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q95,1225,1275,https://catalog.digital-scriptorium.org/entity/Q122,,,,Q397,Psalter,Psalter,https://catalog.digital-scriptorium.org/entity/Q660,,Q7109575,Q309331,DS11429,Spec.Rare.MS.MR.Frag.10,Spec.Rare.MS.MR.Frag.10,,https://catalog.digital-scriptorium.org/entity/Q49652,
"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.11",manuscript containing Bible (portable),Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q95,1225,1255,https://catalog.digital-scriptorium.org/entity/Q134,,,,Q397,Bible (portable),Bible,https://catalog.digital-scriptorium.org/entity/Q661,,Q7109575|Q125930780,Q309331,DS11430,Spec.Rare.MS.MR.Frag.11,Spec.Rare.MS.MR.Frag.11,,https://catalog.digital-scriptorium.org/entity/Q49655,
"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.12",manuscript containing Psalter,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q95,1250,1275,https://catalog.digital-scriptorium.org/entity/Q126|https://catalog.digital-scriptorium.org/entity/Q16408,,,,Q397,Psalter,Psalter,https://catalog.digital-scriptorium.org/entity/Q660,,Q7109575|Q22122791,Q309331,DS11431,Spec.Rare.MS.MR.Frag.12,Spec.Rare.MS.MR.Frag.12,,https://catalog.digital-scriptorium.org/entity/Q49658,
"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.13",manuscript containing Bible (portable),Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q95,1225,1275,https://catalog.digital-scriptorium.org/entity/Q133|https://catalog.digital-scriptorium.org/entity/Q3654,,,,Q397,Bible (portable),Bible,https://catalog.digital-scriptorium.org/entity/Q661,,Q7109575|Q125930822|Q125930780,Q309331,DS11432,Spec.Rare.MS.MR.Frag.13,Spec.Rare.MS.MR.Frag.13,,https://catalog.digital-scriptorium.org/entity/Q49661,
