signature,description,instanceOf,materialDS,centuryDS,earliestDate,latestDate,placeDS,scribeWikidata,artistWikidata,scriptNote,languageWikidata,titleRecord,titleStandard,titleDS,authorWikidata,ownerWikidata,holderWikidata,DSID,institutionalID,shelfmark,iiifURL,record,link
"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 36",manuscript containing Antiphonal Music,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1400,1499,,,,,Q397,Antiphonal Music,Antiphonary,https://catalog.digital-scriptorium.org/entity/Q654,,Q112391468|Q6369801,Q1976985,DS296,KG 36,KG 36,https://iiif.archive.org/iiif/images_KG36_46/manifest.json,https://catalog.digital-scriptorium.org/entity/Q1239,https://archive.org/details/KG36_46
"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 37",manuscript containing Book of Hours for Sarum Use,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1475,1500,https://catalog.digital-scriptorium.org/entity/Q1115,,,,Q397,Book of Hours for Sarum Use,Book of hours,https://catalog.digital-scriptorium.org/entity/Q795,,Q6369801|Q116850155,Q1976985,DS297,KG 37,KG 37,,https://catalog.digital-scriptorium.org/entity/Q1242,
"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 01",manuscript containing Rubric: Predictis repetit ut alia addat differentias ponens de gratia et libero arbitrio; Sentiarium libri quatuor,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q95,1225,1275,https://catalog.digital-scriptorium.org/entity/Q122,,,,Q397,Rubric: Predictis repetit ut alia addat differentias ponens de gratia et libero arbitrio|Sentiarium libri quatuor,Sentences,https://catalog.digital-scriptorium.org/entity/Q1119,Q315347,,Q1976985,DS262,KG 01,KG 01,https://iiif.archive.org/iiif/images_KG01_46/manifest.json,https://catalog.digital-scriptorium.org/entity/Q1137,https://archive.org/details/KG01_46
"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 22","manuscript containing Book of Hours; Book of Hours, Psalms from Hours of the Virgin",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q98,1500,1525,https://catalog.digital-scriptorium.org/entity/Q122,Q722911,,,Q397,"Book of Hours|Book of Hours, Psalms from Hours of the Virgin",Book of hours|Psalter|Hours of the Virgin,https://catalog.digital-scriptorium.org/entity/Q795|https://catalog.digital-scriptorium.org/entity/Q660|https://catalog.digital-scriptorium.org/entity/Q8278,,,Q1976985,DS266,KG 22,KG 22,https://iiif.archive.org/iiif/images_KG22_46/manifest.json,https://catalog.digital-scriptorium.org/entity/Q1149,https://archive.org/details/KG22_46
"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 09",manuscript containing Oratio pro se ipso <?>; Book of Hours,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1485,1499,https://catalog.digital-scriptorium.org/entity/Q1114,,,,Q397,Oratio pro se ipso <?>|Book of Hours,Orationes|Book of hours,https://catalog.digital-scriptorium.org/entity/Q799|https://catalog.digital-scriptorium.org/entity/Q795,,Q6369801|Q112391468,Q1976985,DS263,KG 09,KG 09,https://iiif.archive.org/iiif/images_KG09_46/manifest.json,https://catalog.digital-scriptorium.org/entity/Q1140,https://archive.org/details/KG09_46
"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 13",manuscript containing Lectionary,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1400,1499,https://catalog.digital-scriptorium.org/entity/Q134,,,,Q397,Lectionary,Lectionary,https://catalog.digital-scriptorium.org/entity/Q663,,Q6369801|Q112391468,Q1976985,DS264,KG 13,KG 13,https://iiif.archive.org/iiif/images_KG13_46/manifest.json,https://catalog.digital-scriptorium.org/entity/Q1143,https://archive.org/details/KG13_46
"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 19",manuscript containing Book of Hours (Use of Dol.),Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1400,1499,https://catalog.digital-scriptorium.org/entity/Q122,,,,Q397,Book of Hours (Use of Dol.),Book of hours,https://catalog.digital-scriptorium.org/entity/Q795,,Q6369801|Q112391468|Q116790542,Q1976985,DS265,KG 19,KG 19,https://iiif.archive.org/iiif/images_KG19_46/manifest.json,https://catalog.digital-scriptorium.org/entity/Q1146,https://archive.org/details/KG19_46
"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 23",manuscript containing Gradual,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q96,1300,1399,https://catalog.digital-scriptorium.org/entity/Q134,,,,Q397,Gradual,Gradual,https://catalog.digital-scriptorium.org/entity/Q1121,,Q114419595|Q6369801|Q112391468,Q1976985,DS267,KG 23,KG 23,https://iiif.archive.org/iiif/images_KG23_46/manifest.json,https://catalog.digital-scriptorium.org/entity/Q1152,https://archive.org/details/KG23_46
"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 29 (LEV d)",manuscript containing Missal,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1400,1499,https://catalog.digital-scriptorium.org/entity/Q133,,,,Q397,Missal,Missal,https://catalog.digital-scriptorium.org/entity/Q662,,Q6369801|Q66985346|Q94805275,Q1976985,DS268,KG 29 (LEV d),KG 29 (LEV d),https://iiif.archive.org/iiif/images_KG29LEVd_46/manifest.json,https://catalog.digital-scriptorium.org/entity/Q1155,https://archive.org/details/KG29LEVd_46
"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 27 (LEV b)",manuscript containing Kalendar from Book of Hours,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1450,1499,https://catalog.digital-scriptorium.org/entity/Q122,,,,Q150,Kalendar from Book of Hours,Book of hours|Calendar,https://catalog.digital-scriptorium.org/entity/Q795|https://catalog.digital-scriptorium.org/entity/Q1122,,Q6369801|Q116790542|Q66985346,Q1976985,DS269,KG 27 (LEV b),KG 27 (LEV b),https://iiif.archive.org/iiif/images_KG27LEVb_46/manifest.json,https://catalog.digital-scriptorium.org/entity/Q1158,https://archive.org/details/KG27LEVb_46
