signature,description,instanceOf,materialDS,centuryDS,earliestDate,latestDate,placeDS,scribeWikidata,artistWikidata,scriptNote,languageWikidata,titleRecord,titleStandard,titleDS,authorWikidata,ownerWikidata,holderWikidata,DSID,institutionalID,shelfmark,iiifURL,record,link
"Ithaca, New York, Cornell University, Archives 6532 box 4",manuscript containing Medieval manuscript fragments,Q87167,,https://catalog.digital-scriptorium.org/entity/Q94|https://catalog.digital-scriptorium.org/entity/Q93|https://catalog.digital-scriptorium.org/entity/Q92|https://catalog.digital-scriptorium.org/entity/Q91|https://catalog.digital-scriptorium.org/entity/Q99|https://catalog.digital-scriptorium.org/entity/Q98|https://catalog.digital-scriptorium.org/entity/Q100|https://catalog.digital-scriptorium.org/entity/Q97|https://catalog.digital-scriptorium.org/entity/Q96|https://catalog.digital-scriptorium.org/entity/Q95,800,1800,,,,,Q9288|Q7411|Q150|Q188|Q397|Q1321,Medieval manuscript fragments,Medieval manuscript fragment,https://catalog.digital-scriptorium.org/entity/Q20459,,Q129517094,Q49115,DS12267,4916228,Archives 6532 box 4,,https://catalog.digital-scriptorium.org/entity/Q52591,https://catalog.library.cornell.edu/catalog/4916228
"Ithaca, New York, Cornell University, Archives 6532 box 1",manuscript containing Medieval manuscript fragments,Q87167,,https://catalog.digital-scriptorium.org/entity/Q99|https://catalog.digital-scriptorium.org/entity/Q98|https://catalog.digital-scriptorium.org/entity/Q100|https://catalog.digital-scriptorium.org/entity/Q97|https://catalog.digital-scriptorium.org/entity/Q96|https://catalog.digital-scriptorium.org/entity/Q95|https://catalog.digital-scriptorium.org/entity/Q94|https://catalog.digital-scriptorium.org/entity/Q93|https://catalog.digital-scriptorium.org/entity/Q92|https://catalog.digital-scriptorium.org/entity/Q91,800,1800,,,,,Q150|Q188|Q397|Q1321|Q9288|Q7411,Medieval manuscript fragments,Medieval manuscript fragment,https://catalog.digital-scriptorium.org/entity/Q20459,,Q129517094,Q49115,DS12264,4916228,Archives 6532 box 1,,https://catalog.digital-scriptorium.org/entity/Q52582,https://catalog.library.cornell.edu/catalog/4916228
"Ithaca, New York, Cornell University, Archives 6532 box 2",manuscript containing Medieval manuscript fragments,Q87167,,https://catalog.digital-scriptorium.org/entity/Q99|https://catalog.digital-scriptorium.org/entity/Q98|https://catalog.digital-scriptorium.org/entity/Q100|https://catalog.digital-scriptorium.org/entity/Q97|https://catalog.digital-scriptorium.org/entity/Q96|https://catalog.digital-scriptorium.org/entity/Q95|https://catalog.digital-scriptorium.org/entity/Q94|https://catalog.digital-scriptorium.org/entity/Q93|https://catalog.digital-scriptorium.org/entity/Q92|https://catalog.digital-scriptorium.org/entity/Q91,800,1800,,,,,Q150|Q188|Q397|Q1321|Q9288|Q7411,Medieval manuscript fragments,Medieval manuscript fragment,https://catalog.digital-scriptorium.org/entity/Q20459,,Q129517094,Q49115,DS12265,4916228,Archives 6532 box 2,,https://catalog.digital-scriptorium.org/entity/Q52585,https://catalog.library.cornell.edu/catalog/4916228
"Ithaca, New York, Cornell University, Archives 6532 mapcase folder 10",manuscript containing Medieval manuscript fragments,Q87167,,https://catalog.digital-scriptorium.org/entity/Q97|https://catalog.digital-scriptorium.org/entity/Q96|https://catalog.digital-scriptorium.org/entity/Q95|https://catalog.digital-scriptorium.org/entity/Q94|https://catalog.digital-scriptorium.org/entity/Q93|https://catalog.digital-scriptorium.org/entity/Q92|https://catalog.digital-scriptorium.org/entity/Q91|https://catalog.digital-scriptorium.org/entity/Q99|https://catalog.digital-scriptorium.org/entity/Q98|https://catalog.digital-scriptorium.org/entity/Q100,800,1800,,,,,Q9288|Q7411|Q1321|Q150|Q188|Q397,Medieval manuscript fragments,Medieval manuscript fragment,https://catalog.digital-scriptorium.org/entity/Q20459,,Q129517094,Q49115,DS12269,4916228,Archives 6532 mapcase folder 10,,https://catalog.digital-scriptorium.org/entity/Q52597,https://catalog.library.cornell.edu/catalog/4916228
"Ithaca, New York, Cornell University, Archives 6532 mapcase folder 11",manuscript containing Medieval manuscript fragments,Q87167,,https://catalog.digital-scriptorium.org/entity/Q99|https://catalog.digital-scriptorium.org/entity/Q98|https://catalog.digital-scriptorium.org/entity/Q100|https://catalog.digital-scriptorium.org/entity/Q97|https://catalog.digital-scriptorium.org/entity/Q96|https://catalog.digital-scriptorium.org/entity/Q95|https://catalog.digital-scriptorium.org/entity/Q94|https://catalog.digital-scriptorium.org/entity/Q93|https://catalog.digital-scriptorium.org/entity/Q92|https://catalog.digital-scriptorium.org/entity/Q91,800,1800,,,,,Q150|Q188|Q397|Q1321|Q9288|Q7411,Medieval manuscript fragments,Medieval manuscript fragment,https://catalog.digital-scriptorium.org/entity/Q20459,,Q129517094,Q49115,DS12270,4916228,Archives 6532 mapcase folder 11,,https://catalog.digital-scriptorium.org/entity/Q52600,https://catalog.library.cornell.edu/catalog/4916228
"Ithaca, New York, Cornell University, Archives 6532 box 3",manuscript containing Medieval manuscript fragments,Q87167,,https://catalog.digital-scriptorium.org/entity/Q99|https://catalog.digital-scriptorium.org/entity/Q98|https://catalog.digital-scriptorium.org/entity/Q100|https://catalog.digital-scriptorium.org/entity/Q97|https://catalog.digital-scriptorium.org/entity/Q96|https://catalog.digital-scriptorium.org/entity/Q95|https://catalog.digital-scriptorium.org/entity/Q94|https://catalog.digital-scriptorium.org/entity/Q93|https://catalog.digital-scriptorium.org/entity/Q92|https://catalog.digital-scriptorium.org/entity/Q91,800,1800,,,,,Q150|Q188|Q397|Q1321|Q9288|Q7411,Medieval manuscript fragments,Medieval manuscript fragment,https://catalog.digital-scriptorium.org/entity/Q20459,,Q129517094,Q49115,DS12266,4916228,Archives 6532 box 3,,https://catalog.digital-scriptorium.org/entity/Q52588,https://catalog.library.cornell.edu/catalog/4916228
"Ithaca, New York, Cornell University, Archives 6532 mapcase folder 1",manuscript containing Medieval manuscript fragments,Q87167,,https://catalog.digital-scriptorium.org/entity/Q99|https://catalog.digital-scriptorium.org/entity/Q98|https://catalog.digital-scriptorium.org/entity/Q100|https://catalog.digital-scriptorium.org/entity/Q97|https://catalog.digital-scriptorium.org/entity/Q96|https://catalog.digital-scriptorium.org/entity/Q95|https://catalog.digital-scriptorium.org/entity/Q94|https://catalog.digital-scriptorium.org/entity/Q93|https://catalog.digital-scriptorium.org/entity/Q92|https://catalog.digital-scriptorium.org/entity/Q91,800,1800,,,,,Q150|Q188|Q397|Q1321|Q9288|Q7411,Medieval manuscript fragments,Medieval manuscript fragment,https://catalog.digital-scriptorium.org/entity/Q20459,,Q129517094,Q49115,DS12268,4916228,Archives 6532 mapcase folder 1,,https://catalog.digital-scriptorium.org/entity/Q52594,https://catalog.library.cornell.edu/catalog/4916228
"Ithaca, New York, Cornell University, Archives 6532 mapcase folder 13",manuscript containing Medieval manuscript fragments,Q87167,,https://catalog.digital-scriptorium.org/entity/Q94|https://catalog.digital-scriptorium.org/entity/Q93|https://catalog.digital-scriptorium.org/entity/Q92|https://catalog.digital-scriptorium.org/entity/Q91|https://catalog.digital-scriptorium.org/entity/Q99|https://catalog.digital-scriptorium.org/entity/Q98|https://catalog.digital-scriptorium.org/entity/Q100|https://catalog.digital-scriptorium.org/entity/Q97|https://catalog.digital-scriptorium.org/entity/Q96|https://catalog.digital-scriptorium.org/entity/Q95,800,1800,,,,,Q9288|Q7411|Q150|Q188|Q397|Q1321,Medieval manuscript fragments,Medieval manuscript fragment,https://catalog.digital-scriptorium.org/entity/Q20459,,Q129517094,Q49115,DS12272,4916228,Archives 6532 mapcase folder 13,,https://catalog.digital-scriptorium.org/entity/Q52606,https://catalog.library.cornell.edu/catalog/4916228
"Ithaca, New York, Cornell University, Archives 6532 mapcase folder 14",manuscript containing Medieval manuscript fragments,Q87167,,https://catalog.digital-scriptorium.org/entity/Q99|https://catalog.digital-scriptorium.org/entity/Q98|https://catalog.digital-scriptorium.org/entity/Q100|https://catalog.digital-scriptorium.org/entity/Q97|https://catalog.digital-scriptorium.org/entity/Q96|https://catalog.digital-scriptorium.org/entity/Q95|https://catalog.digital-scriptorium.org/entity/Q94|https://catalog.digital-scriptorium.org/entity/Q93|https://catalog.digital-scriptorium.org/entity/Q92|https://catalog.digital-scriptorium.org/entity/Q91,800,1800,,,,,Q150|Q188|Q397|Q1321|Q9288|Q7411,Medieval manuscript fragments,Medieval manuscript fragment,https://catalog.digital-scriptorium.org/entity/Q20459,,Q129517094,Q49115,DS12273,4916228,Archives 6532 mapcase folder 14,,https://catalog.digital-scriptorium.org/entity/Q52609,https://catalog.library.cornell.edu/catalog/4916228
"Ithaca, New York, Cornell University, Archives 6532 mapcase folder 2",manuscript containing Medieval manuscript fragments,Q87167,,https://catalog.digital-scriptorium.org/entity/Q99|https://catalog.digital-scriptorium.org/entity/Q98|https://catalog.digital-scriptorium.org/entity/Q100|https://catalog.digital-scriptorium.org/entity/Q97|https://catalog.digital-scriptorium.org/entity/Q96|https://catalog.digital-scriptorium.org/entity/Q95|https://catalog.digital-scriptorium.org/entity/Q94|https://catalog.digital-scriptorium.org/entity/Q93|https://catalog.digital-scriptorium.org/entity/Q92|https://catalog.digital-scriptorium.org/entity/Q91,800,1800,,,,,Q150|Q188|Q397|Q1321|Q9288|Q7411,Medieval manuscript fragments,Medieval manuscript fragment,https://catalog.digital-scriptorium.org/entity/Q20459,,Q129517094,Q49115,DS12274,4916228,Archives 6532 mapcase folder 2,,https://catalog.digital-scriptorium.org/entity/Q52612,https://catalog.library.cornell.edu/catalog/4916228
