signature,description,instanceOf,materialDS,centuryDS,earliestDate,latestDate,placeDS,scribeWikidata,artistWikidata,scriptNote,languageWikidata,titleRecord,titleStandard,titleDS,authorWikidata,ownerWikidata,holderWikidata,DSID,institutionalID,shelfmark,iiifURL,record,link
"New York, New York, New York Academy of Medicine, MS 08",manuscript containing ,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q96,1300,1400,https://catalog.digital-scriptorium.org/entity/Q1287|https://catalog.digital-scriptorium.org/entity/Q38268,,,"Script: Gothic in French style (e.g. crossed tironian seven; superscript vertical line for the ""qui"" abbreviation).",,,,,,Q3671682|Q2822445,Q2822445,DS11409,MS 08,MS 08,,https://catalog.digital-scriptorium.org/entity/Q49592,
"New York, New York, New York Academy of Medicine, MS 13",manuscript containing Book of Operacioun; Lanterne of fisiciens and of surgeons; Circa instans,Q87167,,https://catalog.digital-scriptorium.org/entity/Q97,1425,1450,https://catalog.digital-scriptorium.org/entity/Q133,,,Script: Anglicana,Q36395,Book of Operacioun|Lanterne of fisiciens and of surgeons|Circa instans,Book of operacioun|Lanterne of fisiciens and of surgeons|Circa instans,https://catalog.digital-scriptorium.org/entity/Q44056|https://catalog.digital-scriptorium.org/entity/Q44055|https://catalog.digital-scriptorium.org/entity/Q3142,,Q2147709|Q2822445,Q2822445,DS11414,MS 13,MS 13,,https://catalog.digital-scriptorium.org/entity/Q49607,
"New York, New York, New York Academy of Medicine, MS 14",manuscript containing ,Q87167,https://catalog.digital-scriptorium.org/entity/Q31,https://catalog.digital-scriptorium.org/entity/Q97,1425,1450,https://catalog.digital-scriptorium.org/entity/Q133,,,Script: Anglicana; rubrics in mixed script of anglicana and secretary.,Q397|Q36395,,,,,Q6283838|Q8012237|Q21166564|Q94995753|Q125930790|Q2822445|Q6222943,Q2822445,DS11415,MS 14,MS 14,,https://catalog.digital-scriptorium.org/entity/Q49610,
"New York, New York, New York Academy of Medicine, MS 01",manuscript containing De re culinaria,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q91,825,850,https://catalog.digital-scriptorium.org/entity/Q131|https://catalog.digital-scriptorium.org/entity/Q12704,,,Script: Anglo-Saxon minuscule; Caroline minuscule,Q397,De re culinaria,De re coquinaria,https://catalog.digital-scriptorium.org/entity/Q3703,Q117841,,Q2822445,DS11402,MS 01,MS 01,,https://catalog.digital-scriptorium.org/entity/Q49571,https://digitalcollections.nyam.org/islandora/object/islandora%3A1116#page/1/mode/2up
"New York, New York, New York Academy of Medicine, MS 02",manuscript containing Medicationis parabole,Q87167,https://catalog.digital-scriptorium.org/entity/Q31,https://catalog.digital-scriptorium.org/entity/Q98,1500,1550,https://catalog.digital-scriptorium.org/entity/Q131,,,Script: Cursive gothic bookhand,Q397,Medicationis parabole,Medicationis parabole,https://catalog.digital-scriptorium.org/entity/Q44026,Q356568,,Q2822445,DS11403,MS 02,MS 02,,https://catalog.digital-scriptorium.org/entity/Q49574,
"New York, New York, New York Academy of Medicine, MS 03",manuscript containing De impressionibus; De primarum qualitatum arcanis et effectibus; Notanda ex canonibus,Q87167,https://catalog.digital-scriptorium.org/entity/Q31,https://catalog.digital-scriptorium.org/entity/Q98,1500,1550,https://catalog.digital-scriptorium.org/entity/Q134,,,Script: Cursive,Q397|Q652,De impressionibus|De primarum qualitatum arcanis et effectibus|Notanda ex canonibus,De impressionibus|De primarum qualitatum arcanis et effectibus|Notanda ex canonibus,https://catalog.digital-scriptorium.org/entity/Q44029|https://catalog.digital-scriptorium.org/entity/Q44027|https://catalog.digital-scriptorium.org/entity/Q44028,Q1022327|Q1291511|Q160362|Q21544875,,Q2822445,DS11404,MS 03,MS 03,,https://catalog.digital-scriptorium.org/entity/Q49577,
"New York, New York, New York Academy of Medicine, MS 04",manuscript containing De arte cognoscendi venena; De balneis Sancti Cassiani et aliis; Chirurgia; De epidemia et peste; De natura balneorum; De balneis viterbiensibus; De lapide Begaar; De venenis; La ciroxia vulgarmente fata,Q87167,https://catalog.digital-scriptorium.org/entity/Q31,https://catalog.digital-scriptorium.org/entity/Q97,1400,1500,https://catalog.digital-scriptorium.org/entity/Q134,,,Script: Cursive gothic,,De arte cognoscendi venena|De balneis Sancti Cassiani et aliis|Chirurgia|De epidemia et peste|De natura balneorum|De balneis viterbiensibus|De lapide Begaar|De venenis|La ciroxia vulgarmente fata,De arte cognoscendi venena|De balneis Sancti Cassiani|Chirurgia|De epidemia et peste|De natura balneorum|De balneis viterbiensibus|De lapide begaar|De venenis|La ciroxia vulgarmente fata,https://catalog.digital-scriptorium.org/entity/Q44037|https://catalog.digital-scriptorium.org/entity/Q44034|https://catalog.digital-scriptorium.org/entity/Q44031|https://catalog.digital-scriptorium.org/entity/Q44038|https://catalog.digital-scriptorium.org/entity/Q44032|https://catalog.digital-scriptorium.org/entity/Q44033|https://catalog.digital-scriptorium.org/entity/Q44036|https://catalog.digital-scriptorium.org/entity/Q44035|https://catalog.digital-scriptorium.org/entity/Q44030,Q326742|Q1337870|Q125930808|Q125930795|Q313174|Q3120458|Q356568,,Q2822445,DS11405,MS 04,MS 04,,https://catalog.digital-scriptorium.org/entity/Q49580,
"New York, New York, New York Academy of Medicine, MS 04",manuscript containing De arte cognoscendi venena; De balneis Sancti Cassiani et aliis; Chirurgia; De epidemia et peste; De natura balneorum; De balneis viterbiensibus; De lapide Begaar; De venenis; La ciroxia vulgarmente fata,Q87167,https://catalog.digital-scriptorium.org/entity/Q31,https://catalog.digital-scriptorium.org/entity/Q97,1400,1500,https://catalog.digital-scriptorium.org/entity/Q134,,,Script: Gothic,,De arte cognoscendi venena|De balneis Sancti Cassiani et aliis|Chirurgia|De epidemia et peste|De natura balneorum|De balneis viterbiensibus|De lapide Begaar|De venenis|La ciroxia vulgarmente fata,De arte cognoscendi venena|De balneis Sancti Cassiani|Chirurgia|De epidemia et peste|De natura balneorum|De balneis viterbiensibus|De lapide begaar|De venenis|La ciroxia vulgarmente fata,https://catalog.digital-scriptorium.org/entity/Q44037|https://catalog.digital-scriptorium.org/entity/Q44034|https://catalog.digital-scriptorium.org/entity/Q44031|https://catalog.digital-scriptorium.org/entity/Q44038|https://catalog.digital-scriptorium.org/entity/Q44032|https://catalog.digital-scriptorium.org/entity/Q44033|https://catalog.digital-scriptorium.org/entity/Q44036|https://catalog.digital-scriptorium.org/entity/Q44035|https://catalog.digital-scriptorium.org/entity/Q44030,Q326742|Q1337870|Q125930808|Q125930795|Q313174|Q3120458|Q356568,,Q2822445,DS11405,MS 04,MS 04,,https://catalog.digital-scriptorium.org/entity/Q49580,
"New York, New York, New York Academy of Medicine, MS 05",manuscript containing De medicinis simplicibus,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q96,1356,1356,https://catalog.digital-scriptorium.org/entity/Q134,,,Script: Gothic,,De medicinis simplicibus,De medicinis simplicibus,https://catalog.digital-scriptorium.org/entity/Q44039,Q82002194|Q109660011|Q3479115,,Q2822445,DS11406,MS 05,MS 05,,https://catalog.digital-scriptorium.org/entity/Q49583,
"New York, New York, New York Academy of Medicine, MS 06",manuscript containing De motu cordis; De sensu communi; De ortu scientiarum; De beneficiis; De mineralibus; De ente et essentia; De aeternitate mundi; De potentiis animae; De laudabilibus bonis,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q96,1300,1400,https://catalog.digital-scriptorium.org/entity/Q122,,,Script: Gothic,Q397,De motu cordis|De sensu communi|De ortu scientiarum|De beneficiis|De mineralibus|De ente et essentia|De aeternitate mundi|De potentiis animae|De laudabilibus bonis,De motu cordis|De sensu communi|De ortu scientiarum|De beneficiis|De mineralibus|On being and essence|On the eternity of the world|De potentiis animae|De laudabilibus bonis,https://catalog.digital-scriptorium.org/entity/Q44047|https://catalog.digital-scriptorium.org/entity/Q44044|https://catalog.digital-scriptorium.org/entity/Q44043|https://catalog.digital-scriptorium.org/entity/Q44048|https://catalog.digital-scriptorium.org/entity/Q44042|https://catalog.digital-scriptorium.org/entity/Q44040|https://catalog.digital-scriptorium.org/entity/Q44041|https://catalog.digital-scriptorium.org/entity/Q44045|https://catalog.digital-scriptorium.org/entity/Q44046,Q110323529|Q1364372|Q28761|Q256541|Q2054|Q8011|Q9438|Q60059,,Q2822445,DS11407,MS 06,MS 06,,https://catalog.digital-scriptorium.org/entity/Q49586,
