signature,description,instanceOf,materialDS,centuryDS,earliestDate,latestDate,placeDS,scribeWikidata,artistWikidata,scriptNote,languageWikidata,titleRecord,titleStandard,titleDS,authorWikidata,ownerWikidata,holderWikidata,DSID,institutionalID,shelfmark,iiifURL,record,link
"Davis, California, University of California, Davis, UCD D-041:08",manuscript containing Sententiarum libri,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1450,1499,https://catalog.digital-scriptorium.org/entity/Q134,,,,Q397,Sententiarum libri,Sententiarum libri,https://catalog.digital-scriptorium.org/entity/Q39769,Q166876,,Q129421,DS10327,UCD D-041:08,UCD D-041:08,https://iiif.archivelab.org/iiif/images_UCDD04108_7/manifest.json,https://catalog.digital-scriptorium.org/entity/Q45083,https://archive.org/details/images_UCDD04108_7
"Davis, California, University of California, Davis, UCD D-041:21",manuscript containing Legendary,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q95,1200,1299,https://catalog.digital-scriptorium.org/entity/Q122,,,,Q397,Legendary,Legendary,https://catalog.digital-scriptorium.org/entity/Q39535,,,Q129421,DS10341,UCD D-041:21,UCD D-041:21,https://iiif.archivelab.org/iiif/images_UCDD04121_7/manifest.json,https://catalog.digital-scriptorium.org/entity/Q45125,https://archive.org/details/images_UCDD04121_7
"Davis, California, University of California, Davis, UCD D-041:22",manuscript containing Processional,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1475,1499,https://catalog.digital-scriptorium.org/entity/Q131,,,,Q397,Processional,Processional,https://catalog.digital-scriptorium.org/entity/Q1336,,,Q129421,DS10342,UCD D-041:22,UCD D-041:22,https://iiif.archivelab.org/iiif/images_UCDD04122_7/manifest.json,https://catalog.digital-scriptorium.org/entity/Q45128,https://archive.org/details/images_UCDD04122_7
"Davis, California, University of California, Davis, UCD D-041:23",manuscript containing Epitaphium Francisci Petrarce; Questo e` il sonnetto ritrovato nel sepulchro di Madonna Laura in questo modo; Vita Petrarce; Biography of Petrarch,Q87167,https://catalog.digital-scriptorium.org/entity/Q31,https://catalog.digital-scriptorium.org/entity/Q97,1450,1499,https://catalog.digital-scriptorium.org/entity/Q134,,,,Q397|Q652,Epitaphium Francisci Petrarce|Questo e` il sonnetto ritrovato nel sepulchro di Madonna Laura in questo modo|Vita Petrarce|Biography of Petrarch,Epitaph|Questo e` il sonnetto ritrovato|Life of Petrarch|Biography of Petrarch,https://catalog.digital-scriptorium.org/entity/Q1446|https://catalog.digital-scriptorium.org/entity/Q39711|https://catalog.digital-scriptorium.org/entity/Q39872|https://catalog.digital-scriptorium.org/entity/Q39913,Q3960051|Q250321,,Q129421,DS10343,UCD D-041:23,UCD D-041:23,https://iiif.archivelab.org/iiif/images_UCDD04123_7/manifest.json,https://catalog.digital-scriptorium.org/entity/Q45131,https://archive.org/details/images_UCDD04123_7
"Davis, California, University of California, Davis, UCD D-041:25",manuscript containing Indenture,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q98,1585,1599,https://catalog.digital-scriptorium.org/entity/Q134|https://catalog.digital-scriptorium.org/entity/Q1100,,,,Q397,Indenture,Indenture,https://catalog.digital-scriptorium.org/entity/Q8388,,,Q129421,DS10348,UCD D-041:25,UCD D-041:25,https://iiif.archivelab.org/iiif/images_UCDD04125_7/manifest.json,https://catalog.digital-scriptorium.org/entity/Q45146,https://archive.org/details/images_UCDD04125_7
"Davis, California, University of California, Davis, UCD BS69.5 1400",manuscript containing Bible,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q95,1240,1260,https://catalog.digital-scriptorium.org/entity/Q133,,,,Q397,Bible,Bible,https://catalog.digital-scriptorium.org/entity/Q661,,Q24203977|Q18528429|Q6076320,Q129421,DS10318,UCD BS69.5 1400,UCD BS69.5 1400,https://iiif.archivelab.org/iiif/images_UCDBS69_51400_7/manifest.json,https://catalog.digital-scriptorium.org/entity/Q45056,https://archive.org/details/images_UCDBS69_51400_7
"Davis, California, University of California, Davis, UCD BX2080 A2 1497","manuscript containing Book of Hours, use of Rome",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1475,1499,https://catalog.digital-scriptorium.org/entity/Q122,,,,Q150|Q397,"Book of Hours, use of Rome",Book of hours,https://catalog.digital-scriptorium.org/entity/Q795,,Q124258072|Q124258082|Q70206983|Q124258064,Q129421,DS10319,UCD BX2080 A2 1497,UCD BX2080 A2 1497,https://iiif.archivelab.org/iiif/images_UCDBX2080A21497_7/manifest.json,https://catalog.digital-scriptorium.org/entity/Q45059,https://archive.org/details/images_UCDBX2080A21497_7
"Davis, California, University of California, Davis, UCD D-041:01",manuscript containing Saints' lives,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1400,1499,https://catalog.digital-scriptorium.org/entity/Q134,,,,Q397,Saints' lives,Lives of the Saints,https://catalog.digital-scriptorium.org/entity/Q1483,,Q94805275,Q129421,DS10320,UCD D-041:01,UCD D-041:01,https://iiif.archivelab.org/iiif/images_UCDD04101_7/manifest.json,https://catalog.digital-scriptorium.org/entity/Q45062,https://archive.org/details/images_UCDD04101_7
"Davis, California, University of California, Davis, UCD D-041:02",manuscript containing Psalter,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1485,1499,https://catalog.digital-scriptorium.org/entity/Q132,,,,Q397,Psalter,Psalter,https://catalog.digital-scriptorium.org/entity/Q660,,Q94805275,Q129421,DS10321,UCD D-041:02,UCD D-041:02,https://iiif.archivelab.org/iiif/images_UCDD04102_7/manifest.json,https://catalog.digital-scriptorium.org/entity/Q45065,https://archive.org/details/images_UCDD04102_7
"Davis, California, University of California, Davis, UCD D-041:03",manuscript containing Commentary on the Liber Sextusof Boniface VIII,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q96,1300,1399,https://catalog.digital-scriptorium.org/entity/Q122,,,,Q397,Commentary on the Liber Sextusof Boniface VIII,Commentary on Liber sextus decretalium,https://catalog.digital-scriptorium.org/entity/Q1416,,Q94805275,Q129421,DS10322,UCD D-041:03,UCD D-041:03,https://iiif.archivelab.org/iiif/images_UCDD04103_7/manifest.json,https://catalog.digital-scriptorium.org/entity/Q45068,https://archive.org/details/images_UCDD04103_7
"Davis, California, University of California, Davis, UCD D-041:04","manuscript containing Life of St. Paternianus, Bishop of Fano",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q96,1300,1399,https://catalog.digital-scriptorium.org/entity/Q134,,,,Q397,"Life of St. Paternianus, Bishop of Fano",Life of Saint Paternianus,https://catalog.digital-scriptorium.org/entity/Q39573,,Q94805275,Q129421,DS10323,UCD D-041:04,UCD D-041:04,https://iiif.archivelab.org/iiif/images_UCDD04104_7/manifest.json,https://catalog.digital-scriptorium.org/entity/Q45071,https://archive.org/details/images_UCDD04104_7
"Davis, California, University of California, Davis, UCD D-041:05",manuscript containing Breviary,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1400,1499,https://catalog.digital-scriptorium.org/entity/Q651,,,,Q397,Breviary,Breviary,https://catalog.digital-scriptorium.org/entity/Q657,,Q94805275,Q129421,DS10324,UCD D-041:05,UCD D-041:05,https://iiif.archivelab.org/iiif/images_UCDD04105_7/manifest.json,https://catalog.digital-scriptorium.org/entity/Q45074,https://archive.org/details/images_UCDD04105_7
"Davis, California, University of California, Davis, UCD D-041:06",manuscript containing Liturgical calendar,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1400,1499,https://catalog.digital-scriptorium.org/entity/Q131,,,,Q397,Liturgical calendar,Liturgical calendar,https://catalog.digital-scriptorium.org/entity/Q39578,,Q94805275,Q129421,DS10325,UCD D-041:06,UCD D-041:06,https://iiif.archivelab.org/iiif/images_UCDD04106_7/manifest.json,https://catalog.digital-scriptorium.org/entity/Q45077,https://archive.org/details/images_UCDD04106_7
"Davis, California, University of California, Davis, UCD D-041:07",manuscript containing Evangeliary,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q96,1300,1399,https://catalog.digital-scriptorium.org/entity/Q134,,,,Q397,Evangeliary,Evangeliary,https://catalog.digital-scriptorium.org/entity/Q20460,,Q94805275,Q129421,DS10326,UCD D-041:07,UCD D-041:07,https://iiif.archivelab.org/iiif/images_UCDD04107_7/manifest.json,https://catalog.digital-scriptorium.org/entity/Q45080,https://archive.org/details/images_UCDD04107_7
"Davis, California, University of California, Davis, UCD D-041:11",manuscript containing Breviary,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1400,1499,https://catalog.digital-scriptorium.org/entity/Q131,,,,Q397,Breviary,Breviary,https://catalog.digital-scriptorium.org/entity/Q657,,Q94805275,Q129421,DS10331,UCD D-041:11,UCD D-041:11,https://iiif.archivelab.org/iiif/images_UCDD04111_7/manifest.json,https://catalog.digital-scriptorium.org/entity/Q45095,https://archive.org/details/images_UCDD04111_7
"Davis, California, University of California, Davis, UCD D-041:12",manuscript containing Prayer,Q87167,https://catalog.digital-scriptorium.org/entity/Q31,https://catalog.digital-scriptorium.org/entity/Q97,1400,1499,https://catalog.digital-scriptorium.org/entity/Q131,,,,Q188|Q397,Prayer,Prayers,https://catalog.digital-scriptorium.org/entity/Q798,,Q94805275,Q129421,DS10332,UCD D-041:12,UCD D-041:12,https://iiif.archivelab.org/iiif/images_UCDD04112_7/manifest.json,https://catalog.digital-scriptorium.org/entity/Q45098,https://archive.org/details/images_UCDD04112_7
"Davis, California, University of California, Davis, UCD D-041:13",manuscript containing Breviary,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q96,1300,1399,https://catalog.digital-scriptorium.org/entity/Q131,,,,Q397,Breviary,Breviary,https://catalog.digital-scriptorium.org/entity/Q657,,Q94805275,Q129421,DS10333,UCD D-041:13,UCD D-041:13,https://iiif.archivelab.org/iiif/images_UCDD04113_7/manifest.json,https://catalog.digital-scriptorium.org/entity/Q45101,https://archive.org/details/images_UCDD04113_7
