signature,description,instanceOf,materialDS,centuryDS,earliestDate,latestDate,placeDS,scribeWikidata,artistWikidata,scriptNotes,languageWikidata,titleRecord,titleStandard,titleDS,authorWikidata,ownerWikidata,holderWikidata,DSID,institutionalID,shelfmark,iiifURL,record,search,link,dsItemID
"Buffalo, New York, Buffalo & Erie County Public Library, RBR Mss. I55 1500",manuscript containing Initial C from a medieval choirbook,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q99|https://catalog.digital-scriptorium.org/entity/Q98,1500,1700,https://catalog.digital-scriptorium.org/entity/Q129,,,,Q397,Initial C from a medieval choirbook,Decorated initial,https://catalog.digital-scriptorium.org/entity/Q19949,,Q4531342,Q4985640,DS26213,ocm51766722,RBR Mss. I55 1500,https://digital.buffalolib.org/iiif/17170/manifest,https://catalog.digital-scriptorium.org/entity/Q100416,https://search.digital-scriptorium.org/catalog/DS26213,https://bepl.ent.sirsi.net/client/en_US/default/search/detailnonmodal/ent:$002f$002fSD_ILS$002f0$002fSD_ILS:1223681/one,https://catalog.digital-scriptorium.org/entity/Q100415
"Buffalo, New York, Buffalo & Erie County Public Library, RBR Print 235",manuscript containing Medieval manuscript leaves,Q87167,,,,,https://catalog.digital-scriptorium.org/entity/Q122,,,,Q397,Medieval manuscript leaves,Leaves,https://catalog.digital-scriptorium.org/entity/Q6031,,Q4531342,Q4985640,DS26299,ocm51934990,RBR Print 235,https://digital.buffalolib.org/iiif/17196/manifest,https://catalog.digital-scriptorium.org/entity/Q100704,https://search.digital-scriptorium.org/catalog/DS26299,https://bepl.ent.sirsi.net/client/en_US/default/search/detailnonmodal/ent:$002f$002fSD_ILS$002f0$002fSD_ILS:1226992/one,https://catalog.digital-scriptorium.org/entity/Q100703
"Buffalo, New York, Buffalo & Erie County Public Library, RBR Mss. F54 1100",manuscript containing Fifty original leaves from medieval manuscripts,Q87167,,https://catalog.digital-scriptorium.org/entity/Q98|https://catalog.digital-scriptorium.org/entity/Q97|https://catalog.digital-scriptorium.org/entity/Q96|https://catalog.digital-scriptorium.org/entity/Q95,1200,1600,https://catalog.digital-scriptorium.org/entity/Q10830,,,,Q1860,Fifty original leaves from medieval manuscripts,,,,,Q4985640,DS26208,ocm29107350,RBR Mss. F54 1100,https://digital.buffalolib.org/iiif/1671/manifest,https://catalog.digital-scriptorium.org/entity/Q100401,https://search.digital-scriptorium.org/catalog/DS26208,https://bepl.ent.sirsi.net/client/en_US/default/search/detailnonmodal/ent:$002f$002fSD_ILS$002f0$002fSD_ILS:1181493/one,https://catalog.digital-scriptorium.org/entity/Q100400
"Buffalo, New York, Buffalo & Erie County Public Library, RBR Mss. C33A6 1000z",manuscript containing Antiphonarium,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q94,1100,1200,https://catalog.digital-scriptorium.org/entity/Q131|https://catalog.digital-scriptorium.org/entity/Q132,,,,Q397,Antiphonarium,Antiphonary,https://catalog.digital-scriptorium.org/entity/Q654,Q9592,,Q4985640,DS26209,ocm51766671,RBR Mss. C33A6 1000z,https://digital.buffalolib.org/iiif/17159/manifest,https://catalog.digital-scriptorium.org/entity/Q100641,https://search.digital-scriptorium.org/catalog/DS26209,https://bepl.ent.sirsi.net/client/en_US/default/search/detailnonmodal/ent:$002f$002fSD_ILS$002f0$002fSD_ILS:1223677/one,https://catalog.digital-scriptorium.org/entity/Q100640
"Buffalo, New York, Buffalo & Erie County Public Library, RBR Mss. C33A63 1400z",manuscript containing Gradual,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1400,1500,https://catalog.digital-scriptorium.org/entity/Q134,,,,Q397,Gradual,Gradual,https://catalog.digital-scriptorium.org/entity/Q1121,Q9592,,Q4985640,DS26210,ocm51766682,RBR Mss. C33A63 1400z,https://digital.buffalolib.org/iiif/17171/manifest,https://catalog.digital-scriptorium.org/entity/Q100644,https://search.digital-scriptorium.org/catalog/DS26210,https://bepl.ent.sirsi.net/client/en_US/default/search/detailnonmodal/ent:$002f$002fSD_ILS$002f0$002fSD_ILS:1223678/one,https://catalog.digital-scriptorium.org/entity/Q100643
"Buffalo, New York, Buffalo & Erie County Public Library, RBR Mss. C33A64 1400z",manuscript containing Antiphonarium,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q98|https://catalog.digital-scriptorium.org/entity/Q97,1400,1600,https://catalog.digital-scriptorium.org/entity/Q132,,,,Q397,Antiphonarium,Antiphonary,https://catalog.digital-scriptorium.org/entity/Q654,Q9592,,Q4985640,DS26211,ocm51766691,RBR Mss. C33A64 1400z,https://digital.buffalolib.org/iiif/17174/manifest,https://catalog.digital-scriptorium.org/entity/Q100647,https://search.digital-scriptorium.org/catalog/DS26211,https://bepl.ent.sirsi.net/client/en_US/default/search/detailnonmodal/ent:$002f$002fSD_ILS$002f0$002fSD_ILS:1223679/one,https://catalog.digital-scriptorium.org/entity/Q100646
"Buffalo, New York, Buffalo & Erie County Public Library, RBR Mss. C33B7 1000z","manuscript containing Breviarium, notated",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q94,1100,1200,https://catalog.digital-scriptorium.org/entity/Q122,,,,Q397,"Breviarium, notated",Breviary,https://catalog.digital-scriptorium.org/entity/Q657,Q9592,,Q4985640,DS26212,ocm51766708,RBR Mss. C33B7 1000z,https://digital.buffalolib.org/iiif/17158/manifest,https://catalog.digital-scriptorium.org/entity/Q100650,https://search.digital-scriptorium.org/catalog/DS26212,https://bepl.ent.sirsi.net/client/en_US/default/search/detailnonmodal/ent:$002f$002fSD_ILS$002f0$002fSD_ILS:1223680/one,https://catalog.digital-scriptorium.org/entity/Q100649
"Buffalo, New York, Buffalo & Erie County Public Library, RBR Mss. C33M54 1400",manuscript containing Missale,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1400,1450,https://catalog.digital-scriptorium.org/entity/Q122,,,,Q397,Missale,Missal,https://catalog.digital-scriptorium.org/entity/Q662,Q9592,,Q4985640,DS26214,ocm51766859,RBR Mss. C33M54 1400,https://digital.buffalolib.org/iiif/17168/manifest,https://catalog.digital-scriptorium.org/entity/Q100653,https://search.digital-scriptorium.org/catalog/DS26214,https://bepl.ent.sirsi.net/client/en_US/default/search/detailnonmodal/ent:$002f$002fSD_ILS$002f0$002fSD_ILS:1223696/one,https://catalog.digital-scriptorium.org/entity/Q100652
"Buffalo, New York, Buffalo & Erie County Public Library, RBR Mss. C33G74 1300z",manuscript containing Gradual,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q96,1300,1400,https://catalog.digital-scriptorium.org/entity/Q131,,,,Q397,Gradual,Gradual,https://catalog.digital-scriptorium.org/entity/Q1121,Q9592,,Q4985640,DS26215,ocm51766864,RBR Mss. C33G74 1300z,https://digital.buffalolib.org/iiif/17162/manifest,https://catalog.digital-scriptorium.org/entity/Q100656,https://search.digital-scriptorium.org/catalog/DS26215,https://bepl.ent.sirsi.net/client/en_US/default/search/detailnonmodal/ent:$002f$002fSD_ILS$002f0$002fSD_ILS:1223697/one,https://catalog.digital-scriptorium.org/entity/Q100655
"Buffalo, New York, Buffalo & Erie County Public Library, RBR Mss. C33B74 900z",manuscript containing Breviarium,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q102|https://catalog.digital-scriptorium.org/entity/Q99|https://catalog.digital-scriptorium.org/entity/Q98|https://catalog.digital-scriptorium.org/entity/Q101|https://catalog.digital-scriptorium.org/entity/Q100|https://catalog.digital-scriptorium.org/entity/Q97|https://catalog.digital-scriptorium.org/entity/Q96|https://catalog.digital-scriptorium.org/entity/Q95|https://catalog.digital-scriptorium.org/entity/Q94|https://catalog.digital-scriptorium.org/entity/Q93|https://catalog.digital-scriptorium.org/entity/Q92,900,1999,https://catalog.digital-scriptorium.org/entity/Q131,,,,Q397,Breviarium,Breviary,https://catalog.digital-scriptorium.org/entity/Q657,Q9592,,Q4985640,DS26284,ocm51766869,RBR Mss. C33B74 900z,https://digital.buffalolib.org/iiif/17153/manifest,https://catalog.digital-scriptorium.org/entity/Q100659,https://search.digital-scriptorium.org/catalog/DS26284,https://bepl.ent.sirsi.net/client/en_US/default/search/detailnonmodal/ent:$002f$002fSD_ILS$002f0$002fSD_ILS:1223699/one,https://catalog.digital-scriptorium.org/entity/Q100658
