signature,description,instanceOf,materialDS,centuryDS,earliestDate,latestDate,placeDS,scribeWikidata,artistWikidata,scriptNotes,languageWikidata,titleRecord,titleStandard,titleDS,authorWikidata,ownerWikidata,holderWikidata,DSID,institutionalID,shelfmark,iiifURL,record,search,link,dsItemID
"New York City, New York, Fordham University, MS Item 22",manuscript containing Permission to build a chapel,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q96,1300,1315,https://catalog.digital-scriptorium.org/entity/Q122,,,,Q397,Permission to build a chapel,,,,Q27940646,Q130965,DS26247,MS Item 22,MS Item 22,,https://catalog.digital-scriptorium.org/entity/Q100518,https://search.digital-scriptorium.org/catalog/DS26247,https://archive.org/details/MSItem22_3,https://catalog.digital-scriptorium.org/entity/Q100517
"New York City, New York, Fordham University, Gemunde Document 05",manuscript containing Deed,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q98,1540,1560,https://catalog.digital-scriptorium.org/entity/Q131|https://catalog.digital-scriptorium.org/entity/Q38210,,,,Q188,Deed,Deed,https://catalog.digital-scriptorium.org/entity/Q1319,,Q72940895,Q130965,DS26248,Gemunde Document 05,Gemunde Document 05,,https://catalog.digital-scriptorium.org/entity/Q100521,https://search.digital-scriptorium.org/catalog/DS26248,https://archive.org/details/GemundeDocument05_3,https://catalog.digital-scriptorium.org/entity/Q100520
"New York City, New York, Fordham University, Gemunde Document 06",manuscript containing Tax Proclamation,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q98,1525,1550,https://catalog.digital-scriptorium.org/entity/Q131,,,,Q188,Tax Proclamation,Taxes,https://catalog.digital-scriptorium.org/entity/Q3705,,Q72940895,Q130965,DS26249,Gemunde Document 06,Gemunde Document 06,,https://catalog.digital-scriptorium.org/entity/Q100524,https://search.digital-scriptorium.org/catalog/DS26249,https://archive.org/details/GemundeDocument06_3,https://catalog.digital-scriptorium.org/entity/Q100523
"New York City, New York, Fordham University, Gemunde Document 07",manuscript containing Deed,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q96,1375,1399,https://catalog.digital-scriptorium.org/entity/Q131,,,,Q188,Deed,Deed,https://catalog.digital-scriptorium.org/entity/Q1319,,Q72940895,Q130965,DS26250,Gemunde Document 07,Gemunde Document 07,,https://catalog.digital-scriptorium.org/entity/Q100527,https://search.digital-scriptorium.org/catalog/DS26250,https://archive.org/details/GemundeDocument07_3,https://catalog.digital-scriptorium.org/entity/Q100526
"New York City, New York, Fordham University, Gemunde Document 09",manuscript containing Deed,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q96,1385,1399,https://catalog.digital-scriptorium.org/entity/Q131,,,,Q188,Deed,Deed,https://catalog.digital-scriptorium.org/entity/Q1319,,Q72940895,Q130965,DS26252,Gemunde Document 09,Gemunde Document 09,,https://catalog.digital-scriptorium.org/entity/Q100533,https://search.digital-scriptorium.org/catalog/DS26252,https://archive.org/details/GemundeDocument09_3,https://catalog.digital-scriptorium.org/entity/Q100532
"New York City, New York, Fordham University, Gemunde Document 10",manuscript containing Deed,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1475,1499,https://catalog.digital-scriptorium.org/entity/Q131|https://catalog.digital-scriptorium.org/entity/Q38210,,,,Q188,Deed,Deed,https://catalog.digital-scriptorium.org/entity/Q1319,,Q72940895,Q130965,DS26253,Gemunde Document 10,Gemunde Document 10,,https://catalog.digital-scriptorium.org/entity/Q100536,https://search.digital-scriptorium.org/catalog/DS26253,https://archive.org/details/GemundeDocument10_3,https://catalog.digital-scriptorium.org/entity/Q100535
"New York City, New York, Fordham University, Gemunde Document 11",manuscript containing Will,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1440,1460,https://catalog.digital-scriptorium.org/entity/Q133|https://catalog.digital-scriptorium.org/entity/Q1294,,,,Q397,Will,Will,https://catalog.digital-scriptorium.org/entity/Q1422,,Q72940895,Q130965,DS26254,Gemunde Document 11,Gemunde Document 11,,https://catalog.digital-scriptorium.org/entity/Q100539,https://search.digital-scriptorium.org/catalog/DS26254,https://archive.org/details/GemundeDocument11_3,https://catalog.digital-scriptorium.org/entity/Q100538
"New York City, New York, Fordham University, Gemunde Document 13",manuscript containing Deed,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q96,1350,1399,https://catalog.digital-scriptorium.org/entity/Q131,,,,Q188,Deed,Deed,https://catalog.digital-scriptorium.org/entity/Q1319,,Q72940895,Q130965,DS26255,Gemunde Document 13,Gemunde Document 13,,https://catalog.digital-scriptorium.org/entity/Q100542,https://search.digital-scriptorium.org/catalog/DS26255,https://archive.org/details/GemundeDocument13_3,https://catalog.digital-scriptorium.org/entity/Q100541
"New York City, New York, Fordham University, Gemunde Document 14",manuscript containing Deed,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q96,1375,1399,https://catalog.digital-scriptorium.org/entity/Q131,,,,Q188,Deed,Deed,https://catalog.digital-scriptorium.org/entity/Q1319,,Q72940895,Q130965,DS26256,Gemunde Document 14,Gemunde Document 14,,https://catalog.digital-scriptorium.org/entity/Q100545,https://search.digital-scriptorium.org/catalog/DS26256,https://archive.org/details/GemundeDocument14_3,https://catalog.digital-scriptorium.org/entity/Q100544
"New York City, New York, Fordham University, Gemunde Document 15",manuscript containing Deed,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q96,1375,1399,https://catalog.digital-scriptorium.org/entity/Q131,,,,Q188,Deed,Deed,https://catalog.digital-scriptorium.org/entity/Q1319,,Q72940895,Q130965,DS26257,Gemunde Document 15,Gemunde Document 15,,https://catalog.digital-scriptorium.org/entity/Q100548,https://search.digital-scriptorium.org/catalog/DS26257,https://archive.org/details/GemundeDocument15_3,https://catalog.digital-scriptorium.org/entity/Q100547
