signature,description,instanceOf,materialDS,centuryDS,earliestDate,latestDate,placeDS,scribeWikidata,artistWikidata,scriptNotes,languageWikidata,titleRecord,titleStandard,titleDS,authorWikidata,ownerWikidata,holderWikidata,DSID,institutionalID,shelfmark,iiifURL,record,search,link,dsItemID
"Bethlehem, Pennsylvania, Lehigh University, Lehigh Codex 6",manuscript containing Deed of release,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,,,,https://catalog.digital-scriptorium.org/entity/Q133|https://catalog.digital-scriptorium.org/entity/Q110664,,,Script: Gothic--cursiva,Q397,Deed of release,Deed,https://catalog.digital-scriptorium.org/entity/Q1319,,Q138772277,Q622137,DS30051,Lehigh Codex 6,Lehigh Codex 6,,https://catalog.digital-scriptorium.org/entity/Q113368,https://search.digital-scriptorium.org/catalog/DS30051,https://openn.library.upenn.edu/Data/0007/html/lehigh_codex_006.html,https://catalog.digital-scriptorium.org/entity/Q113367
"Bethlehem, Pennsylvania, Lehigh University, Lehigh Codex 12",manuscript containing Anon. Portolan charts,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q98,1500,1599,https://catalog.digital-scriptorium.org/entity/Q134,,,Script: Humanistic cursive,Q397,Anon. Portolan charts,Portolan chart,https://catalog.digital-scriptorium.org/entity/Q38411,,Q113864827,Q622137,DS30056,Lehigh Codex 12,Lehigh Codex 12,,https://catalog.digital-scriptorium.org/entity/Q113383,https://search.digital-scriptorium.org/catalog/DS30056,https://openn.library.upenn.edu/Data/0007/html/lehigh_codex_012.html,https://catalog.digital-scriptorium.org/entity/Q113382
"Bethlehem, Pennsylvania, Lehigh University, Lehigh Codex 15","manuscript containing Book of Hours, Franciscan Use",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97|https://catalog.digital-scriptorium.org/entity/Q96,1350,1450,https://catalog.digital-scriptorium.org/entity/Q38264|https://catalog.digital-scriptorium.org/entity/Q100357,,,Script: Gothic--textualis semi-quadrata,Q397|Q178806,"Book of Hours, Franciscan Use",Book of hours,https://catalog.digital-scriptorium.org/entity/Q795,,Q113864827,Q622137,DS30059,Lehigh Codex 15,Lehigh Codex 15,,https://catalog.digital-scriptorium.org/entity/Q113392,https://search.digital-scriptorium.org/catalog/DS30059,https://openn.library.upenn.edu/Data/0007/html/lehigh_codex_015.html,https://catalog.digital-scriptorium.org/entity/Q113391
"Bethlehem, Pennsylvania, Lehigh University, Lehigh Codex 19","manuscript containing Book of Hours, Use of Rome",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q98,1500,1515,https://catalog.digital-scriptorium.org/entity/Q126,,,Script: Gothic--rotunda,Q397|Q1321,"Book of Hours, Use of Rome",Book of hours,https://catalog.digital-scriptorium.org/entity/Q795,,Q113864827|Q120752912,Q622137,DS30063,Lehigh Codex 19,Lehigh Codex 19,,https://catalog.digital-scriptorium.org/entity/Q113404,https://search.digital-scriptorium.org/catalog/DS30063,https://openn.library.upenn.edu/Data/0007/html/lehigh_codex_019.html,https://catalog.digital-scriptorium.org/entity/Q113403
"Bethlehem, Pennsylvania, Lehigh University, Lehigh Codex 20","manuscript containing Book of Hours, Use of Rome",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,,,,https://catalog.digital-scriptorium.org/entity/Q122|https://catalog.digital-scriptorium.org/entity/Q136,,,Script: Gothic--textualis,Q1473289|Q397,"Book of Hours, Use of Rome",Book of hours,https://catalog.digital-scriptorium.org/entity/Q795,,Q318067,Q622137,DS30064,Lehigh Codex 20,Lehigh Codex 20,,https://catalog.digital-scriptorium.org/entity/Q113407,https://search.digital-scriptorium.org/catalog/DS30064,https://openn.library.upenn.edu/Data/0007/html/lehigh_codex_020.html,https://catalog.digital-scriptorium.org/entity/Q113406
"Bethlehem, Pennsylvania, Lehigh University, Lehigh Codex 27",manuscript containing Collection of leaves from a gradual/antiphon,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q98,1500,1599,https://catalog.digital-scriptorium.org/entity/Q129,,,Script: Gothic--textualis quadrata,Q397,Collection of leaves from a gradual/antiphon,Antiphonary,https://catalog.digital-scriptorium.org/entity/Q654,,Q94645523,Q622137,DS30070,Lehigh Codex 27,Lehigh Codex 27,,https://catalog.digital-scriptorium.org/entity/Q113425,https://search.digital-scriptorium.org/catalog/DS30070,https://openn.library.upenn.edu/Data/0007/html/lehigh_codex_027.html,https://catalog.digital-scriptorium.org/entity/Q113424
"Bethlehem, Pennsylvania, Lehigh University, Lehigh Codex 10",manuscript containing Alchemical writings,Q87167,https://catalog.digital-scriptorium.org/entity/Q31,https://catalog.digital-scriptorium.org/entity/Q97,1472,1490,https://catalog.digital-scriptorium.org/entity/Q3099|https://catalog.digital-scriptorium.org/entity/Q134,,,Script: Gothic--cursiva,Q7026|Q32641|Q397|Q652,Alchemical writings,Alchemical texts,https://catalog.digital-scriptorium.org/entity/Q3132,Q1329212|Q193660|Q169234|Q356568|Q60059|Q18122964|Q298892|Q192358|Q287492|Q17493693|Q82778|Q2273936|Q167852,,Q622137,DS30054,Lehigh Codex 10,Lehigh Codex 10,,https://catalog.digital-scriptorium.org/entity/Q113377,https://search.digital-scriptorium.org/catalog/DS30054,https://openn.library.upenn.edu/Data/0007/html/lehigh_codex_010.html,https://catalog.digital-scriptorium.org/entity/Q113376
"Bethlehem, Pennsylvania, Lehigh University, Lehigh Codex 11",manuscript containing De artetica et de caculosa passione,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,,,,https://catalog.digital-scriptorium.org/entity/Q134,,,Script: Humanistic,Q397,De artetica et de caculosa passione,,,Q110217312,,Q622137,DS30055,Lehigh Codex 11,Lehigh Codex 11,,https://catalog.digital-scriptorium.org/entity/Q113380,https://search.digital-scriptorium.org/catalog/DS30055,https://openn.library.upenn.edu/Data/0007/html/lehigh_codex_011.html,https://catalog.digital-scriptorium.org/entity/Q113379
"Bethlehem, Pennsylvania, Lehigh University, Lehigh Codex 13",manuscript containing Aeneid,Q87167,https://catalog.digital-scriptorium.org/entity/Q31,,,,https://catalog.digital-scriptorium.org/entity/Q134,,,Script: Humanistic,Q397,Aeneid,Aeneid,https://catalog.digital-scriptorium.org/entity/Q5978,Q1398,,Q622137,DS30057,Lehigh Codex 13,Lehigh Codex 13,,https://catalog.digital-scriptorium.org/entity/Q113386,https://search.digital-scriptorium.org/catalog/DS30057,https://openn.library.upenn.edu/Data/0007/html/lehigh_codex_013.html,https://catalog.digital-scriptorium.org/entity/Q113385
"Bethlehem, Pennsylvania, Lehigh University, Lehigh Codex 14",manuscript containing Varii artis veterinariae scriptores graeci,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,,,,https://catalog.digital-scriptorium.org/entity/Q122,,,Script: Scribe: Joannes Helewaert|Script: Humanistic Cursive,Q397,Varii artis veterinariae scriptores graeci,,,Q1592626,,Q622137,DS30058,Lehigh Codex 14,Lehigh Codex 14,,https://catalog.digital-scriptorium.org/entity/Q113389,https://search.digital-scriptorium.org/catalog/DS30058,https://openn.library.upenn.edu/Data/0007/html/lehigh_codex_014.html,https://catalog.digital-scriptorium.org/entity/Q113388
