item,itemLabel,description,DSID,manuscriptQID,recordQID,collection,identifiers
http://www.wikidata.org/entity/Q130922028,"Conception, Missouri, Conception Abbey and Seminary, CA 01","manuscript containing Bible, OT",DS157,Q672,Q673,Conception Seminary College,CA 01
http://www.wikidata.org/entity/Q130922031,"Conception, Missouri, Conception Abbey and Seminary, CA 02",manuscript containing Sacramentary,DS158,Q675,Q676,Conception Seminary College,CA 02
http://www.wikidata.org/entity/Q130922032,"Conception, Missouri, Conception Abbey and Seminary, CA 19","manuscript containing Decretals of Gregory IX, commentary on",DS159,Q678,Q679,Conception Seminary College,CA 19
http://www.wikidata.org/entity/Q130922012,"Conception, Missouri, Conception Abbey and Seminary, CA 35",manuscript containing Meteorologica,DS160,Q681,Q682,Conception Seminary College,CA 35
http://www.wikidata.org/entity/Q130922034,"Conception, Missouri, Conception Abbey and Seminary, CA 12",manuscript containing Missal,DS161,Q684,Q685,Conception Seminary College,CA 12
http://www.wikidata.org/entity/Q130922037,"Conception, Missouri, Conception Abbey and Seminary, CA 13",manuscript containing Breviary,DS162,Q687,Q688,Conception Seminary College,CA 13
http://www.wikidata.org/entity/Q130922039,"Conception, Missouri, Conception Abbey and Seminary, CA 14",manuscript containing Breviary,DS163,Q690,Q691,Conception Seminary College,CA 14
http://www.wikidata.org/entity/Q130922041,"Conception, Missouri, Conception Abbey and Seminary, CA 15",manuscript containing Breviary,DS164,Q693,Q694,Conception Seminary College,CA 15
http://www.wikidata.org/entity/Q130922043,"Conception, Missouri, Conception Abbey and Seminary, CA 16",manuscript containing Breviary,DS165,Q696,Q697,Conception Seminary College,CA 16
http://www.wikidata.org/entity/Q130922045,"Conception, Missouri, Conception Abbey and Seminary, CA 17",manuscript containing Breviary,DS166,Q699,Q700,Conception Seminary College,CA 17
http://www.wikidata.org/entity/Q130922051,"Conception, Missouri, Conception Abbey and Seminary, CA 18",manuscript containing Breviary,DS167,Q702,Q703,Conception Seminary College,CA 18
http://www.wikidata.org/entity/Q130922054,"Conception, Missouri, Conception Abbey and Seminary, CA 20",manuscript containing Collectarium,DS168,Q705,Q706,Conception Seminary College,CA 20
http://www.wikidata.org/entity/Q130922056,"Conception, Missouri, Conception Abbey and Seminary, CA 21",manuscript containing Psalter,DS169,Q708,Q709,Conception Seminary College,CA 21
http://www.wikidata.org/entity/Q130922059,"Conception, Missouri, Conception Abbey and Seminary, CA 22",manuscript containing Breviary,DS170,Q711,Q712,Conception Seminary College,CA 22
http://www.wikidata.org/entity/Q130922061,"Conception, Missouri, Conception Abbey and Seminary, CA 23",manuscript containing Breviary,DS171,Q714,Q715,Conception Seminary College,CA 23
http://www.wikidata.org/entity/Q130922063,"Conception, Missouri, Conception Abbey and Seminary, CA 26",manuscript containing Breviary,DS172,Q717,Q718,Conception Seminary College,CA 26
http://www.wikidata.org/entity/Q130922066,"Conception, Missouri, Conception Abbey and Seminary, CA 28",manuscript containing Missal,DS173,Q720,Q721,Conception Seminary College,CA 28
http://www.wikidata.org/entity/Q130922067,"Conception, Missouri, Conception Abbey and Seminary, CA 29",manuscript containing Missal,DS174,Q723,Q724,Conception Seminary College,CA 29
http://www.wikidata.org/entity/Q130922070,"Conception, Missouri, Conception Abbey and Seminary, CA 30",manuscript containing Missal,DS175,Q726,Q727,Conception Seminary College,CA 30
http://www.wikidata.org/entity/Q130922077,"Conception, Missouri, Conception Abbey and Seminary, CA 31",manuscript containing Missal,DS176,Q729,Q730,Conception Seminary College,CA 31
http://www.wikidata.org/entity/Q130922081,"Conception, Missouri, Conception Abbey and Seminary, CA 33",manuscript containing Hymnary,DS177,Q732,Q733,Conception Seminary College,CA 33
http://www.wikidata.org/entity/Q130922015,"Conception, Missouri, Conception Abbey and Seminary, CA 34",manuscript containing De vita contemplativa,DS178,Q735,Q736,Conception Seminary College,CA 34
http://www.wikidata.org/entity/Q130922082,"Conception, Missouri, Conception Abbey and Seminary, CA 03",manuscript containing Psalter,DS179,Q738,Q739,Conception Seminary College,CA 03
http://www.wikidata.org/entity/Q130922085,"Conception, Missouri, Conception Abbey and Seminary, CA 04",manuscript containing Lectionary,DS180,Q741,Q742,Conception Seminary College,CA 04
http://www.wikidata.org/entity/Q130922086,"Conception, Missouri, Conception Abbey and Seminary, CA 05",manuscript containing Lectionary,DS181,Q744,Q745,Conception Seminary College,CA 05
http://www.wikidata.org/entity/Q130922089,"Conception, Missouri, Conception Abbey and Seminary, CA 06",manuscript containing Breviary,DS182,Q747,Q748,Conception Seminary College,CA 06
http://www.wikidata.org/entity/Q130922091,"Conception, Missouri, Conception Abbey and Seminary, CA 07",manuscript containing Breviary,DS183,Q750,Q751,Conception Seminary College,CA 07
http://www.wikidata.org/entity/Q130922094,"Conception, Missouri, Conception Abbey and Seminary, CA 08",manuscript containing Sacramentary,DS184,Q753,Q754,Conception Seminary College,CA 08
http://www.wikidata.org/entity/Q130922096,"Conception, Missouri, Conception Abbey and Seminary, CA 09",manuscript containing Breviary,DS185,Q756,Q757,Conception Seminary College,CA 09
http://www.wikidata.org/entity/Q130922102,"Conception, Missouri, Conception Abbey and Seminary, CA 11",manuscript containing Sacramentary,DS186,Q759,Q760,Conception Seminary College,CA 11
http://www.wikidata.org/entity/Q130922016,"Conception, Missouri, Conception Abbey and Seminary, CA 24",manuscript containing Missal,DS187,Q762,Q763,Conception Seminary College,CA 24
http://www.wikidata.org/entity/Q130922018,"Conception, Missouri, Conception Abbey and Seminary, CA 10",manuscript containing Monastic life,DS188,Q765,Q766,Conception Seminary College,CA 10
http://www.wikidata.org/entity/Q130922020,"Conception, Missouri, Conception Abbey and Seminary, CA 36",manuscript containing Document,DS189,Q768,Q769,Conception Seminary College,CA 36
http://www.wikidata.org/entity/Q130922022,"Conception, Missouri, Conception Abbey and Seminary, CA 38",manuscript containing Choir psalter,DS190,Q771,Q772,Conception Seminary College,CA 38
http://www.wikidata.org/entity/Q130922023,"Conception, Missouri, Conception Abbey and Seminary, CA 39",manuscript containing Choir psalter,DS191,Q774,Q775,Conception Seminary College,CA 39
http://www.wikidata.org/entity/Q130922024,"Conception, Missouri, Conception Abbey and Seminary, CA 40",manuscript containing Choir psalter,DS192,Q777,Q778,Conception Seminary College,CA 40
http://www.wikidata.org/entity/Q130922106,"Conception, Missouri, Conception Abbey and Seminary, CA 41",manuscript containing Antiphonal,DS193,Q780,Q781,Conception Seminary College,CA 41
