item,itemLabel,description,DSID,collection,identifiers
http://www.wikidata.org/entity/Q131086423,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 001",manuscript containing Lectionary for the office,DS10074,University of Missouri,Fragmenta Manuscripta 001
http://www.wikidata.org/entity/Q131086760,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 002","manuscript containing Excerpta de Scauri et Palladi libris; Institutio de nomine, pronomine et verbo; De orthographia",DS10075,University of Missouri,Fragmenta Manuscripta 002
http://www.wikidata.org/entity/Q131086425,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 003",manuscript containing Sacramentary,DS10076,University of Missouri,Fragmenta Manuscripta 003
http://www.wikidata.org/entity/Q131086426,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 004",manuscript containing Bible,DS10077,University of Missouri,Fragmenta Manuscripta 004
http://www.wikidata.org/entity/Q131086761,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 005",manuscript containing De ecclesiasticis sacramentis et officiis,DS10078,University of Missouri,Fragmenta Manuscripta 005
http://www.wikidata.org/entity/Q131086762,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 006",manuscript containing De fide catholica ex veteri et novo testamento,DS10079,University of Missouri,Fragmenta Manuscripta 006
http://www.wikidata.org/entity/Q131086428,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 007",manuscript containing Breviary with neumes,DS10080,University of Missouri,Fragmenta Manuscripta 007
http://www.wikidata.org/entity/Q131086763,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 008",manuscript containing Moralia in Job,DS10081,University of Missouri,Fragmenta Manuscripta 008
http://www.wikidata.org/entity/Q131086771,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 009",manuscript containing De civitate Dei,DS10082,University of Missouri,Fragmenta Manuscripta 009
http://www.wikidata.org/entity/Q131086430,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 010",manuscript containing Penitential text,DS10083,University of Missouri,Fragmenta Manuscripta 010
http://www.wikidata.org/entity/Q131086773,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 011",manuscript containing Enarrationes in Psalmos,DS10084,University of Missouri,Fragmenta Manuscripta 011
http://www.wikidata.org/entity/Q131087305,"Columbia, Missouri, University of Missouri, Fragmenta Manuscripta 012","manuscript containing Bible, glossed",DS10085,University of Missouri,Fragmenta Manuscripta 012
