item,itemLabel,description,DSID,manuscriptQID,recordQID,collection,identifiers
http://www.wikidata.org/entity/Q131478006,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.1",manuscript containing Bible (glossed),DS11420,Q49624,Q49625,Ohio State University,Spec.Rare.MS.MR.Frag.1
http://www.wikidata.org/entity/Q131477601,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.2",manuscript containing Missal,DS11421,Q49627,Q49628,Ohio State University,Spec.Rare.MS.MR.Frag.2
http://www.wikidata.org/entity/Q131477602,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.3",manuscript containing Lectionary,DS11422,Q49630,Q49631,Ohio State University,Spec.Rare.MS.MR.Frag.3
http://www.wikidata.org/entity/Q131478008,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.4",manuscript containing Sermons on the Psalms,DS11423,Q49633,Q49634,Ohio State University,Spec.Rare.MS.MR.Frag.4
http://www.wikidata.org/entity/Q131477603,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.5",manuscript containing Bible (portfolio),DS11424,Q49636,Q49637,Ohio State University,Spec.Rare.MS.MR.Frag.5
http://www.wikidata.org/entity/Q131477604,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.6",manuscript containing Bible (portfolio),DS11425,Q49639,Q49640,Ohio State University,Spec.Rare.MS.MR.Frag.6
http://www.wikidata.org/entity/Q131478009,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.7",manuscript containing Aurora,DS11426,Q49642,Q49643,Ohio State University,Spec.Rare.MS.MR.Frag.7
http://www.wikidata.org/entity/Q131477605,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.8",manuscript containing Wilton Processional,DS11427,Q49645,Q49646,Ohio State University,Spec.Rare.MS.MR.Frag.8
http://www.wikidata.org/entity/Q131477606,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.9",manuscript containing Bible (pocket),DS11428,Q49648,Q49649,Ohio State University,Spec.Rare.MS.MR.Frag.9
http://www.wikidata.org/entity/Q131477607,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.10",manuscript containing Psalter,DS11429,Q49651,Q49652,Ohio State University,Spec.Rare.MS.MR.Frag.10
http://www.wikidata.org/entity/Q131477608,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.11",manuscript containing Bible (portable),DS11430,Q49654,Q49655,Ohio State University,Spec.Rare.MS.MR.Frag.11
http://www.wikidata.org/entity/Q131477609,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.12",manuscript containing Psalter,DS11431,Q49657,Q49658,Ohio State University,Spec.Rare.MS.MR.Frag.12
http://www.wikidata.org/entity/Q131477610,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.13",manuscript containing Bible (portable),DS11432,Q49660,Q49661,Ohio State University,Spec.Rare.MS.MR.Frag.13
http://www.wikidata.org/entity/Q131477611,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.14",manuscript containing Bible (lectern),DS11433,Q49663,Q49664,Ohio State University,Spec.Rare.MS.MR.Frag.14
