item,itemLabel,description,DSID,collection,identifiers
http://www.wikidata.org/entity/Q131467852,"Wellesley, Massachusetts, Wellesley College, MS Arabic 2",manuscript containing Ḥilyat al-rijāl,DS12769,Wellesley College,in00000671672|MS Arabic 2
http://www.wikidata.org/entity/Q131467853,"Wellesley, Massachusetts, Wellesley College, MS 15",manuscript containing Regulations for the establishment of the Confadria de Santa Maria de la ho[pital] de Recomador,DS12770,Wellesley College,MS 15|in00000625540
http://www.wikidata.org/entity/Q131467854,"Wellesley, Massachusetts, Wellesley College, MS Greek 1",manuscript containing Compilation of Greek texts,DS12771,Wellesley College,in00000671653|MS Greek 1
http://www.wikidata.org/entity/Q131467855,"Wellesley, Massachusetts, Wellesley College, MS Greek 2",manuscript containing Compilation of Greek liturgical texts,DS12772,Wellesley College,in00000671654|MS Greek 2
http://www.wikidata.org/entity/Q131467856,"Wellesley, Massachusetts, Wellesley College, MS Arabic 3","manuscript containing Arabic manuscript about a waqf, from the Mamluk Sultanate, Cairo, Egypt",DS12773,Wellesley College,in00000671684|MS Arabic 3
http://www.wikidata.org/entity/Q131467858,"Wellesley, Massachusetts, Wellesley College, P900",manuscript containing Paradiso,DS12774,Wellesley College,P900|in00000626089
http://www.wikidata.org/entity/Q131467859,"Wellesley, Massachusetts, Wellesley College, MS 3",manuscript containing Gradual,DS12775,Wellesley College,in00000625707|MS 3
http://www.wikidata.org/entity/Q131467860,"Wellesley, Massachusetts, Wellesley College, MS 13",manuscript containing Carta de hidalguia,DS12776,Wellesley College,in00000625539|MS 13
http://www.wikidata.org/entity/Q131467861,"Wellesley, Massachusetts, Wellesley College, P946",manuscript containing De vita solitaria /,DS12777,Wellesley College,P946|in00000626431
http://www.wikidata.org/entity/Q131467862,"Wellesley, Massachusetts, Wellesley College, MS 7",manuscript containing Interpretationes Vergilianae,DS12778,Wellesley College,in00000626049|MS 7
http://www.wikidata.org/entity/Q131467846,"Wellesley, Massachusetts, Wellesley College, MS 1","manuscript containing Lectionary, for Augustinian use",DS12779,Wellesley College,MS 1|in00000624338
http://www.wikidata.org/entity/Q131467863,"Wellesley, Massachusetts, Wellesley College, MS 14",manuscript containing Carta de hidalguia,DS12780,Wellesley College,MS 14|in00000625538
http://www.wikidata.org/entity/Q131467849,"Wellesley, Massachusetts, Wellesley College, MS 5","manuscript containing Antiphonal and hymnal, Franciscan use",DS12781,Wellesley College,MS 5|in00000625981
http://www.wikidata.org/entity/Q131467864,"Wellesley, Massachusetts, Wellesley College, MS 18",manuscript containing Antiphonal,DS12782,Wellesley College,MS 18|in00000625668
http://www.wikidata.org/entity/Q131467865,"Wellesley, Massachusetts, Wellesley College, MS 19",manuscript containing De laudibus Beatae Mariae,DS12783,Wellesley College,in00000625690|MS 19
http://www.wikidata.org/entity/Q131467850,"Wellesley, Massachusetts, Wellesley College, MS 26","manuscript containing Psalter, Breviary",DS12784,Wellesley College,MS 26|in00000625703
http://www.wikidata.org/entity/Q131467866,"Wellesley, Massachusetts, Wellesley College, P1187",manuscript containing I trionfi,DS12785,Wellesley College,P1187|in00000626073
http://www.wikidata.org/entity/Q131467867,"Wellesley, Massachusetts, Wellesley College, MS 28","manuscript containing Book of Hours, use of Rome",DS12786,Wellesley College,in00000625705|MS 28
http://www.wikidata.org/entity/Q131467868,"Wellesley, Massachusetts, Wellesley College, MS 20","manuscript containing Book of Hours, Use of Rome",DS12787,Wellesley College,in00000625692|MS 20
http://www.wikidata.org/entity/Q131467869,"Wellesley, Massachusetts, Wellesley College, MS Ege 2","manuscript containing Leaf from Bible, II Chronicles 29:10 ""et avertat""-31:4",DS12788,Wellesley College,in00000626091|MS Ege 2
http://www.wikidata.org/entity/Q131467870,"Wellesley, Massachusetts, Wellesley College, MS Ege A","manuscript containing Leaf from Bible, Matthew 15-16",DS12789,Wellesley College,in00000626094|MS Ege A
http://www.wikidata.org/entity/Q131467851,"Wellesley, Massachusetts, Wellesley College, MS 30","manuscript containing Book of Hours, Use of Rouen",DS12790,Wellesley College,MS 30|in00000625976
