item,itemLabel,description,DSID,collection,identifiers
http://www.wikidata.org/entity/Q131749866,"Lawrence, Kansas, University of Kansas, MS C25",manuscript containing Psalterium abreviatum; et varii tractatus,DS1102,University of Kansas,2616666|MS C25
http://www.wikidata.org/entity/Q131749867,"Lawrence, Kansas, University of Kansas, MS B15",manuscript containing Ordinatio totius officii divini secundum usum monasterii Beatae Mariae de Balgentiaco,DS1103,University of Kansas,2954523|MS B15
http://www.wikidata.org/entity/Q131749869,"Lawrence, Kansas, University of Kansas, MS A10",manuscript containing Book of hours,DS1104,University of Kansas,2954526|MS A10
http://www.wikidata.org/entity/Q131749870,"Lawrence, Kansas, University of Kansas, MS A28","manuscript containing Leaf from a book of hours, calendar for November",DS1105,University of Kansas,2954833|MS A28
http://www.wikidata.org/entity/Q131749871,"Lawrence, Kansas, University of Kansas, MS A6",manuscript containing Book of hours,DS1106,University of Kansas,2954834|MS A6
http://www.wikidata.org/entity/Q131749872,"Lawrence, Kansas, University of Kansas, MS E91",manuscript containing Priorista fiorentino dal 1282-1466,DS1107,University of Kansas,2954836|MS E91
http://www.wikidata.org/entity/Q131749873,"Lawrence, Kansas, University of Kansas, MS E69",manuscript containing Le anime de quelli defuncti liquali āno facti relicti alla Venerabile cōpagnia del Confalone de Roma,DS1108,University of Kansas,2954842|MS E69
http://www.wikidata.org/entity/Q131749874,"Lawrence, Kansas, University of Kansas, MS A17","manuscript containing Collections of excerpts, including Liber scintillarum by Defensor of Ligugé",DS1109,University of Kansas,2955124|MS A17
http://www.wikidata.org/entity/Q131749875,"Lawrence, Kansas, University of Kansas, MS A7",manuscript containing Prediche sul nome di Gesu /,DS1110,University of Kansas,2955129|MS A7
http://www.wikidata.org/entity/Q131749876,"Lawrence, Kansas, University of Kansas, MS A20",manuscript containing Instructions on how to use a breviary,DS1111,University of Kansas,2955133|MS A20
http://www.wikidata.org/entity/Q131749877,"Lawrence, Kansas, University of Kansas, MS A18",manuscript containing La reigle et status des monasteres de vierges de lordre Sainct Benoist reformees au diocese de Paris /,DS1112,University of Kansas,2955140|MS A18
http://www.wikidata.org/entity/Q131749878,"Lawrence, Kansas, University of Kansas, MS A30",manuscript containing Exercise book on Latin grammar and arithmetic,DS1113,University of Kansas,2955142|MS A30
http://www.wikidata.org/entity/Q131749879,"Lawrence, Kansas, University of Kansas, MS A35","manuscript containing La regola de frati minori in volgare [and other Italian religious works, including the Laudi of Jacopone da Todi",DS1114,University of Kansas,2955145|MS A35
http://www.wikidata.org/entity/Q131749880,"Lawrence, Kansas, University of Kansas, MS A15",manuscript containing Trattato de'sette vitii capitali cioè de peccati mortali,DS1115,University of Kansas,2955275|MS A15
http://www.wikidata.org/entity/Q131749882,"Lawrence, Kansas, University of Kansas, MS A19","manuscript containing Liber scintillarum, De virtutibus et vitiis, and other collections of excerpts and religious tracts /",DS1116,University of Kansas,2955284|MS A19
http://www.wikidata.org/entity/Q131749810,"Lawrence, Kansas, University of Kansas, MS B17","manuscript containing Hagiographical accounts of Saint Vitus, Saint Modestus and Saint Crescentia",DS1117,University of Kansas,2955434|MS B17
http://www.wikidata.org/entity/Q131749883,"Lawrence, Kansas, University of Kansas, MS B19","manuscript containing Laudes, sermones, miracula, exempla, etc. de Beata Maria Virgine",DS1118,University of Kansas,2955435|MS B19
http://www.wikidata.org/entity/Q131749884,"Lawrence, Kansas, University of Kansas, MS B20",manuscript containing Vita del beato S. Giovanni Battista; Libro della stultizia ovvero della spirituale battaglia,DS1119,University of Kansas,2955436|MS B20
http://www.wikidata.org/entity/Q131749885,"Lawrence, Kansas, University of Kansas, MS B21","manuscript containing Itinerary, Naples-Paris-Sermoneta",DS1120,University of Kansas,2955437|MS B21
http://www.wikidata.org/entity/Q131749886,"Lawrence, Kansas, University of Kansas, MS B45",manuscript containing Observationes in regularum ordinis Sancti Dominici,DS1121,University of Kansas,2955452|MS B45
http://www.wikidata.org/entity/Q131749887,"Lawrence, Kansas, University of Kansas, MS B44",manuscript containing Sermones quadragesimales,DS1122,University of Kansas,2955470|MS B44
http://www.wikidata.org/entity/Q131749888,"Lawrence, Kansas, University of Kansas, MS B61",manuscript containing Registrum brevium and other legal texts,DS1123,University of Kansas,2955481|MS B61
