item,itemLabel,description,DSID,collection,identifiers
http://www.wikidata.org/entity/Q131767469,"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 01",manuscript containing Rubric: Predictis repetit ut alia addat differentias ponens de gratia et libero arbitrio; Sentiarium libri quatuor,DS262,The Nelson-Atkins Museum of Art,KG 01
http://www.wikidata.org/entity/Q131767471,"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 09",manuscript containing Oratio pro se ipso <?>; Book of Hours,DS263,The Nelson-Atkins Museum of Art,KG 09
http://www.wikidata.org/entity/Q131767472,"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 13",manuscript containing Lectionary,DS264,The Nelson-Atkins Museum of Art,KG 13
http://www.wikidata.org/entity/Q131767473,"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 19",manuscript containing Book of Hours (Use of Dol.),DS265,The Nelson-Atkins Museum of Art,KG 19
http://www.wikidata.org/entity/Q131767470,"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 22","manuscript containing Book of Hours; Book of Hours, Psalms from Hours of the Virgin",DS266,The Nelson-Atkins Museum of Art,KG 22
http://www.wikidata.org/entity/Q131767474,"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 23",manuscript containing Gradual,DS267,The Nelson-Atkins Museum of Art,KG 23
http://www.wikidata.org/entity/Q131767475,"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 29 (LEV d)",manuscript containing Missal,DS268,The Nelson-Atkins Museum of Art,KG 29 (LEV d)
http://www.wikidata.org/entity/Q131767476,"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 27 (LEV b)",manuscript containing Kalendar from Book of Hours,DS269,The Nelson-Atkins Museum of Art,KG 27 (LEV b)
http://www.wikidata.org/entity/Q131767477,"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 02","manuscript containing Antoninus Florentinus: Summa Sacrae Theologiae, luris Pontifici et Caesarei",DS270,The Nelson-Atkins Museum of Art,KG 02
http://www.wikidata.org/entity/Q131767478,"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 05","manuscript containing 15th century breviary for feast of August 29,30, September 8",DS273,The Nelson-Atkins Museum of Art,KG 05
http://www.wikidata.org/entity/Q131767479,"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 26 (LEV a)",manuscript containing Text for monastic liturgical use (proto-breviary),DS275,The Nelson-Atkins Museum of Art,KG 26 (LEV a)
http://www.wikidata.org/entity/Q131767481,"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 40","manuscript containing Book of Hours, excerpt Hours of the Cross",DS276,The Nelson-Atkins Museum of Art,KG 40
http://www.wikidata.org/entity/Q131767482,"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 43","manuscript containing Bible, II Kings 13:5 - II Kings 15:10",DS277,The Nelson-Atkins Museum of Art,KG 43
http://www.wikidata.org/entity/Q131767483,"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 10",manuscript containing Biblia Veteris et Novi Testamenti,DS280,The Nelson-Atkins Museum of Art,KG 10
http://www.wikidata.org/entity/Q131767484,"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 39",manuscript containing Book of Hours,DS281,The Nelson-Atkins Museum of Art,KG 39
http://www.wikidata.org/entity/Q131767485,"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 14",manuscript containing Stephen Langton Interpretation of Hebrew Names of Bible,DS282,The Nelson-Atkins Museum of Art,KG 14
http://www.wikidata.org/entity/Q131767486,"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 38",manuscript containing Stephen Langton Interpretation of Hebrew Names of Bible,DS283,The Nelson-Atkins Museum of Art,KG 38
http://www.wikidata.org/entity/Q131767487,"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 15",manuscript containing Breviary,DS284,The Nelson-Atkins Museum of Art,KG 15
http://www.wikidata.org/entity/Q131767488,"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 18",manuscript containing Book of Hours,DS285,The Nelson-Atkins Museum of Art,KG 18
http://www.wikidata.org/entity/Q131767489,"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 20",manuscript containing Book of Hours,DS286,The Nelson-Atkins Museum of Art,KG 20
http://www.wikidata.org/entity/Q131767490,"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 21",manuscript containing Book of Hours (Bifolium),DS287,The Nelson-Atkins Museum of Art,KG 21
http://www.wikidata.org/entity/Q131767491,"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 24",manuscript containing Psalter,DS288,The Nelson-Atkins Museum of Art,KG 24
http://www.wikidata.org/entity/Q131767492,"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 25",manuscript containing Book of Hours,DS289,The Nelson-Atkins Museum of Art,KG 25
http://www.wikidata.org/entity/Q131767493,"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 28 (LEV c)",manuscript containing Breviary,DS290,The Nelson-Atkins Museum of Art,KG 28 (LEV c)
http://www.wikidata.org/entity/Q131767494,"Kansas City, Missouri, The Nelson-Atkins Museum of Art, KG 30 (LEV e)",manuscript containing Book of Hours,DS291,The Nelson-Atkins Museum of Art,KG 30 (LEV e)
