item,itemLabel,description,DSID,manuscriptQID,recordQID,collection,identifiers
http://www.wikidata.org/entity/Q131784762,"Brunswick, New Jersey, Rutgers University, USA Ms. 30",manuscript containing Haggadah,DS11330,Q49354,Q49355,Rutgers University,USA Ms. 30
http://www.wikidata.org/entity/Q131784763,"Brunswick, New Jersey, Rutgers University, USA Ms. 29",manuscript containing Haggadah,DS11331,Q49357,Q49358,Rutgers University,USA Ms. 29
http://www.wikidata.org/entity/Q131784764,"Brunswick, New Jersey, Rutgers University, USA Ms. 55",manuscript containing Haftaroth,DS11332,Q49360,Q49361,Rutgers University,USA Ms. 55
http://www.wikidata.org/entity/Q131784765,"Brunswick, New Jersey, Rutgers University, USA Ms. 42",manuscript containing Collection of pages,DS11333,Q49363,Q49364,Rutgers University,USA Ms. 42
http://www.wikidata.org/entity/Q131784766,"Brunswick, New Jersey, Rutgers University, USA Ms. 41",manuscript containing Collection of pages,DS11334,Q49366,Q49367,Rutgers University,USA Ms. 41
http://www.wikidata.org/entity/Q131784747,"Brunswick, New Jersey, Rutgers University, USA Ms. 4",manuscript containing Taj,DS11335,Q49369,Q49370,Rutgers University,USA Ms. 4
http://www.wikidata.org/entity/Q131784767,"Brunswick, New Jersey, Rutgers University, USA Ms. 17",manuscript containing Haftaroth,DS11336,Q49372,Q49373,Rutgers University,USA Ms. 17
http://www.wikidata.org/entity/Q131784768,"Brunswick, New Jersey, Rutgers University, USA Ms. 34",manuscript containing Machzor,DS11337,Q49375,Q49376,Rutgers University,USA Ms. 34
http://www.wikidata.org/entity/Q131784769,"Brunswick, New Jersey, Rutgers University, USA Ms. 37",manuscript containing Selichot,DS11338,Q49378,Q49379,Rutgers University,USA Ms. 37
http://www.wikidata.org/entity/Q131784655,"Brunswick, New Jersey, Rutgers University, USA Ms. 20",manuscript containing Haftaroth,DS11339,Q49381,Q49382,Rutgers University,USA Ms. 20
http://www.wikidata.org/entity/Q131784770,"Brunswick, New Jersey, Rutgers University, USA Ms. 52",manuscript containing Haftaroth,DS11340,Q49384,Q49385,Rutgers University,USA Ms. 52
http://www.wikidata.org/entity/Q131784771,"Brunswick, New Jersey, Rutgers University, USA Ms. 1",manuscript containing Torah (Genesis-Exodus),DS11341,Q49387,Q49388,Rutgers University,USA Ms. 1
http://www.wikidata.org/entity/Q131784772,"Brunswick, New Jersey, Rutgers University, USA Ms. 14",manuscript containing Haftaroth,DS11342,Q49390,Q49391,Rutgers University,USA Ms. 14
http://www.wikidata.org/entity/Q131784656,"Brunswick, New Jersey, Rutgers University, USA Ms. 13",manuscript containing Haftaroth,DS11343,Q49393,Q49394,Rutgers University,USA Ms. 13
http://www.wikidata.org/entity/Q131784657,"Brunswick, New Jersey, Rutgers University, USA Ms. 33",manuscript containing Mahzor,DS11344,Q49396,Q49397,Rutgers University,USA Ms. 33
http://www.wikidata.org/entity/Q131784773,"Brunswick, New Jersey, Rutgers University, USA Ms. 16",manuscript containing Haftaroth,DS11345,Q49399,Q49400,Rutgers University,USA Ms. 16
http://www.wikidata.org/entity/Q131784774,"Brunswick, New Jersey, Rutgers University, USA Ms. 45",manuscript containing Torah Commentary,DS11346,Q49402,Q49403,Rutgers University,USA Ms. 45
http://www.wikidata.org/entity/Q131784775,"Brunswick, New Jersey, Rutgers University, USA Ms. 36",manuscript containing The Lamp of Illumination,DS11347,Q49405,Q49406,Rutgers University,USA Ms. 36
http://www.wikidata.org/entity/Q131784776,"Brunswick, New Jersey, Rutgers University, USA Ms. 12c",manuscript containing Taj,DS11348,Q49408,Q49409,Rutgers University,USA Ms. 12c
http://www.wikidata.org/entity/Q131784777,"Brunswick, New Jersey, Rutgers University, USA Ms. 24",manuscript containing Haftaroth,DS11349,Q49411,Q49412,Rutgers University,USA Ms. 24
http://www.wikidata.org/entity/Q131784778,"Brunswick, New Jersey, Rutgers University, USA Ms. 50",manuscript containing Sha'arei Orah,DS11350,Q49414,Q49415,Rutgers University,USA Ms. 50
http://www.wikidata.org/entity/Q131784779,"Brunswick, New Jersey, Rutgers University, USA Ms. 9",manuscript containing Taj (Vikra),DS11351,Q49417,Q49418,Rutgers University,USA Ms. 9
http://www.wikidata.org/entity/Q131784780,"Brunswick, New Jersey, Rutgers University, USA Ms. 8",manuscript containing Taj (Genesis-Shemot),DS11352,Q49420,Q49421,Rutgers University,USA Ms. 8
http://www.wikidata.org/entity/Q131784781,"Brunswick, New Jersey, Rutgers University, USA Ms. 5",manuscript containing Taj (Wikra),DS11353,Q49423,Q49424,Rutgers University,USA Ms. 5
http://www.wikidata.org/entity/Q131784782,"Brunswick, New Jersey, Rutgers University, USA Ms. 6",manuscript containing Taj (Genesis),DS11354,Q49426,Q49427,Rutgers University,USA Ms. 6
http://www.wikidata.org/entity/Q131784783,"Brunswick, New Jersey, Rutgers University, USA Ms. 7",manuscript containing Torah (Genesis-Shemot),DS11355,Q49429,Q49430,Rutgers University,USA Ms. 7
http://www.wikidata.org/entity/Q131784784,"Brunswick, New Jersey, Rutgers University, USA Ms. 12b",manuscript containing Torah (Genesis),DS11356,Q49432,Q49433,Rutgers University,USA Ms. 12b
http://www.wikidata.org/entity/Q131784785,"Brunswick, New Jersey, Rutgers University, USA Ms. 49",manuscript containing Shulchan Aruch,DS11357,Q49435,Q49436,Rutgers University,USA Ms. 49
http://www.wikidata.org/entity/Q131784664,"Brunswick, New Jersey, Rutgers University, USA Ms. 25",manuscript containing Haftaroth,DS11358,Q49438,Q49439,Rutgers University,USA Ms. 25
http://www.wikidata.org/entity/Q131784665,"Brunswick, New Jersey, Rutgers University, USA Ms. 38",manuscript containing Collection of poems,DS11359,Q49441,Q49442,Rutgers University,USA Ms. 38
http://www.wikidata.org/entity/Q131784666,"Brunswick, New Jersey, Rutgers University, USA Ms. 39",manuscript containing Commentary on the Pentateuch and Lamentations,DS11360,Q49444,Q49445,Rutgers University,USA Ms. 39
http://www.wikidata.org/entity/Q131784658,"Brunswick, New Jersey, Rutgers University, USA Ms. 15",manuscript containing Haftaroth,DS11361,Q49447,Q49448,Rutgers University,USA Ms. 15
http://www.wikidata.org/entity/Q131784667,"Brunswick, New Jersey, Rutgers University, USA Ms. 51",manuscript containing Haftaroth,DS11362,Q49450,Q49451,Rutgers University,USA Ms. 51
http://www.wikidata.org/entity/Q131784668,"Brunswick, New Jersey, Rutgers University, USA Ms. 3",manuscript containing Torah (Deuteronomy),DS11363,Q49453,Q49454,Rutgers University,USA Ms. 3
http://www.wikidata.org/entity/Q131784670,"Brunswick, New Jersey, Rutgers University, USA Ms. 32",manuscript containing Variae,DS11364,Q49456,Q49457,Rutgers University,USA Ms. 32
http://www.wikidata.org/entity/Q131784671,"Brunswick, New Jersey, Rutgers University, USA Ms. 12a",manuscript containing Torah (Genesis),DS11365,Q49459,Q49460,Rutgers University,USA Ms. 12a
http://www.wikidata.org/entity/Q131784672,"Brunswick, New Jersey, Rutgers University, USA Ms. 26b",manuscript containing Haftaroth,DS11366,Q49462,Q49463,Rutgers University,USA Ms. 26b
http://www.wikidata.org/entity/Q131784659,"Brunswick, New Jersey, Rutgers University, USA Ms. 19",manuscript containing Haftaroth,DS11367,Q49465,Q49466,Rutgers University,USA Ms. 19
http://www.wikidata.org/entity/Q131784673,"Brunswick, New Jersey, Rutgers University, USA Ms. 35",manuscript containing Variae,DS11368,Q49468,Q49469,Rutgers University,USA Ms. 35
http://www.wikidata.org/entity/Q131784674,"Brunswick, New Jersey, Rutgers University, USA Ms. 18",manuscript containing Haftaroth,DS11369,Q49471,Q49472,Rutgers University,USA Ms. 18
http://www.wikidata.org/entity/Q131784676,"Brunswick, New Jersey, Rutgers University, USA Ms. 11",manuscript containing Megilloth,DS11370,Q49474,Q49475,Rutgers University,USA Ms. 11
http://www.wikidata.org/entity/Q131784660,"Brunswick, New Jersey, Rutgers University, USA Ms. 2",manuscript containing Torah (Genesis-Exodus),DS11371,Q49477,Q49478,Rutgers University,USA Ms. 2
http://www.wikidata.org/entity/Q131784678,"Brunswick, New Jersey, Rutgers University, USA Ms. 23",manuscript containing Haftaroth,DS11372,Q49480,Q49481,Rutgers University,USA Ms. 23
http://www.wikidata.org/entity/Q131784679,"Brunswick, New Jersey, Rutgers University, USA Ms. 53",manuscript containing אניות סוחר,DS11373,Q49483,Q49484,Rutgers University,USA Ms. 53
http://www.wikidata.org/entity/Q131784680,"Brunswick, New Jersey, Rutgers University, USA Ms. 31",manuscript containing Commentary to Tehillat Hashem,DS11374,Q49486,Q49487,Rutgers University,USA Ms. 31
http://www.wikidata.org/entity/Q131784681,"Brunswick, New Jersey, Rutgers University, USA Ms. 46",manuscript containing Mishneh Torah,DS11375,Q49489,Q49490,Rutgers University,USA Ms. 46
http://www.wikidata.org/entity/Q131784682,"Brunswick, New Jersey, Rutgers University, USA Ms. 10",manuscript containing Megilloth,DS11376,Q49492,Q49493,Rutgers University,USA Ms. 10
http://www.wikidata.org/entity/Q131784683,"Brunswick, New Jersey, Rutgers University, USA Ms. 27",manuscript containing Ritual Manual,DS11377,Q49495,Q49496,Rutgers University,USA Ms. 27
http://www.wikidata.org/entity/Q131784684,"Brunswick, New Jersey, Rutgers University, USA Ms. 44b",manuscript containing חדושים ודרושים,DS11378,Q49498,Q49499,Rutgers University,USA Ms. 44b
http://www.wikidata.org/entity/Q131784685,"Brunswick, New Jersey, Rutgers University, USA Ms. 21",manuscript containing Haftaroth,DS11379,Q49501,Q49502,Rutgers University,USA Ms. 21
http://www.wikidata.org/entity/Q131784661,"Brunswick, New Jersey, Rutgers University, USA Ms. 40d",manuscript containing שאלה ותשובה,DS11380,Q49504,Q49505,Rutgers University,USA Ms. 40d
http://www.wikidata.org/entity/Q131784686,"Brunswick, New Jersey, Rutgers University, USA Ms. 26a",manuscript containing Haftaroth,DS11381,Q49507,Q49508,Rutgers University,USA Ms. 26a
http://www.wikidata.org/entity/Q131784687,"Brunswick, New Jersey, Rutgers University, USA Ms. 54",manuscript containing קבץ בפולקלור,DS11382,Q49510,Q49511,Rutgers University,USA Ms. 54
http://www.wikidata.org/entity/Q131784688,"Brunswick, New Jersey, Rutgers University, USA Ms. 43b",manuscript containing חדושים ודרשות,DS11383,Q49513,Q49514,Rutgers University,USA Ms. 43b
http://www.wikidata.org/entity/Q131784689,"Brunswick, New Jersey, Rutgers University, USA Ms. 40b",manuscript containing דרושים לחנוכה ופורים,DS11384,Q49516,Q49517,Rutgers University,USA Ms. 40b
http://www.wikidata.org/entity/Q131784690,"Brunswick, New Jersey, Rutgers University, USA Ms. 40a",manuscript containing Variae,DS11385,Q49519,Q49520,Rutgers University,USA Ms. 40a
http://www.wikidata.org/entity/Q131784691,"Brunswick, New Jersey, Rutgers University, USA Ms. 28",manuscript containing Sermons,DS11386,Q49522,Q49523,Rutgers University,USA Ms. 28
http://www.wikidata.org/entity/Q131784692,"Brunswick, New Jersey, Rutgers University, USA Ms. 22",manuscript containing Haftaroth,DS11387,Q49525,Q49526,Rutgers University,USA Ms. 22
http://www.wikidata.org/entity/Q131784663,"Brunswick, New Jersey, Rutgers University, USA Ms. 43a",manuscript containing צדק ומשפט,DS11388,Q49528,Q49529,Rutgers University,USA Ms. 43a
http://www.wikidata.org/entity/Q131784693,"Brunswick, New Jersey, Rutgers University, USA Ms. 44a",manuscript containing חדושים,DS11389,Q49531,Q49532,Rutgers University,USA Ms. 44a
http://www.wikidata.org/entity/Q131784694,"Brunswick, New Jersey, Rutgers University, USA Ms. 47",manuscript containing Collection of Laws,DS11390,Q49534,Q49535,Rutgers University,USA Ms. 47
http://www.wikidata.org/entity/Q131784695,"Brunswick, New Jersey, Rutgers University, USA Ms. 50c",manuscript containing דרושים,DS11391,Q49537,Q49538,Rutgers University,USA Ms. 50c
http://www.wikidata.org/entity/Q131784696,"Brunswick, New Jersey, Rutgers University, USA Ms. 48",manuscript containing Collection of Laws,DS11392,Q49540,Q49541,Rutgers University,USA Ms. 48
http://www.wikidata.org/entity/Q131784697,"Brunswick, New Jersey, Rutgers University, MC 0886:01",manuscript containing Book of Hours,DS439,Q2278,Q2279,Rutgers University,MC 0886:01
http://www.wikidata.org/entity/Q131784698,"Brunswick, New Jersey, Rutgers University, MC 0886:02","manuscript containing Book of Hours, use of Dol",DS440,Q2281,Q2282,Rutgers University,MC 0886:02
http://www.wikidata.org/entity/Q131784699,"Brunswick, New Jersey, Rutgers University, MC 0886:03",manuscript containing Book of Hours,DS441,Q2284,Q2285,Rutgers University,MC 0886:03
http://www.wikidata.org/entity/Q131784700,"Brunswick, New Jersey, Rutgers University, MC 0886:04",manuscript containing Book of Hours,DS442,Q2287,Q2288,Rutgers University,MC 0886:04
http://www.wikidata.org/entity/Q131784701,"Brunswick, New Jersey, Rutgers University, MC 0886:05",manuscript containing Breviary for Augustinian use,DS443,Q2290,Q2291,Rutgers University,MC 0886:05
http://www.wikidata.org/entity/Q131784702,"Brunswick, New Jersey, Rutgers University, MC 0886:06",manuscript containing Gradual,DS444,Q2293,Q2294,Rutgers University,MC 0886:06
http://www.wikidata.org/entity/Q131784703,"Brunswick, New Jersey, Rutgers University, MC 0886:08",manuscript containing Rules of the Brotherhood of the Archangel Michael,DS445,Q2296,Q2297,Rutgers University,MC 0886:08
http://www.wikidata.org/entity/Q131784705,"Brunswick, New Jersey, Rutgers University, MC 0886:09",manuscript containing Grant of arms,DS446,Q2299,Q2300,Rutgers University,MC 0886:09
http://www.wikidata.org/entity/Q131784706,"Brunswick, New Jersey, Rutgers University, MC 0886:10",manuscript containing Bible,DS447,Q2302,Q2303,Rutgers University,MC 0886:10
http://www.wikidata.org/entity/Q131784707,"Brunswick, New Jersey, Rutgers University, MC 0886:11",manuscript containing Bible,DS448,Q2305,Q2306,Rutgers University,MC 0886:11
http://www.wikidata.org/entity/Q131784708,"Brunswick, New Jersey, Rutgers University, MC 0886:12",manuscript containing Book of Hours,DS449,Q2308,Q2309,Rutgers University,MC 0886:12
http://www.wikidata.org/entity/Q131784709,"Brunswick, New Jersey, Rutgers University, MC 0886:13",manuscript containing Bible,DS450,Q2311,Q2312,Rutgers University,MC 0886:13
http://www.wikidata.org/entity/Q131784710,"Brunswick, New Jersey, Rutgers University, MC 0886:14",manuscript containing Book of Hours,DS451,Q2314,Q2315,Rutgers University,MC 0886:14
http://www.wikidata.org/entity/Q131784711,"Brunswick, New Jersey, Rutgers University, MC 0886:15",manuscript containing Book of Hours,DS452,Q2317,Q2318,Rutgers University,MC 0886:15
http://www.wikidata.org/entity/Q131784712,"Brunswick, New Jersey, Rutgers University, MC 0886:16",manuscript containing Prayerbook,DS453,Q2320,Q2321,Rutgers University,MC 0886:16
http://www.wikidata.org/entity/Q131784748,"Brunswick, New Jersey, Rutgers University, MC 0886:17",manuscript containing In Joannis Evangelium Tractatus,DS454,Q2323,Q2324,Rutgers University,MC 0886:17
http://www.wikidata.org/entity/Q131784713,"Brunswick, New Jersey, Rutgers University, MC 0886:18",manuscript containing Will?,DS455,Q2326,Q2327,Rutgers University,MC 0886:18
http://www.wikidata.org/entity/Q131784715,"Brunswick, New Jersey, Rutgers University, MC 0886:19",manuscript containing Receipt,DS456,Q2329,Q2330,Rutgers University,MC 0886:19
http://www.wikidata.org/entity/Q131784716,"Brunswick, New Jersey, Rutgers University, MC 0886:20",manuscript containing Lease,DS457,Q2332,Q2333,Rutgers University,MC 0886:20
http://www.wikidata.org/entity/Q131784717,"Brunswick, New Jersey, Rutgers University, MC 1220:08",manuscript containing Missal,DS458,Q2335,Q2336,Rutgers University,MC 1220:08
http://www.wikidata.org/entity/Q131784718,"Brunswick, New Jersey, Rutgers University, MC 1228","manuscript containing Psalter, ferial",DS459,Q2338,Q2339,Rutgers University,MC 1228
