item,itemLabel,description,DSID,collection,identifiers
http://www.wikidata.org/entity/Q132169447,"Berkeley, California, University of California, Berkeley, BANC MS UCB 16","manuscript containing Commentaria in Vetus Testamentum, Genesis, Libri I et II Regum",DS12296,"University of California, Berkeley",991044801889706532|BANC MS UCB 16
http://www.wikidata.org/entity/Q132169448,"Berkeley, California, University of California, Berkeley, BANC MS UCB 18","manuscript containing Epistola Iacobi ; Epistolae Petri I-II ; Epistola Iohannis I, 1-IV, 3",DS12297,"University of California, Berkeley",991044802059706532|BANC MS UCB 18
http://www.wikidata.org/entity/Q132169449,"Berkeley, California, University of California, Berkeley, BANC MS UCB 19",manuscript containing Postilla sup[er] epistolas Pauli ap[osto]li,DS12298,"University of California, Berkeley",991044802099706532|BANC MS UCB 19
http://www.wikidata.org/entity/Q132169451,"Berkeley, California, University of California, Berkeley, BANC MS UCB 20",manuscript containing Apocryphal Gospels,DS12299,"University of California, Berkeley",991044802139706532|BANC MS UCB 20
http://www.wikidata.org/entity/Q132169452,"Berkeley, California, University of California, Berkeley, BANC MS UCB 21",manuscript containing Kunstlichs unnd zierlichs schreibens; a calligraphy sampler,DS12300,"University of California, Berkeley",991044802659706532|BANC MS UCB 21
http://www.wikidata.org/entity/Q132169453,"Berkeley, California, University of California, Berkeley, BANC MS UCB 22","manuscript containing Hymnarium, sive, Hymni per circulum anni",DS12301,"University of California, Berkeley",991044802779706532|BANC MS UCB 22
http://www.wikidata.org/entity/Q132169411,"Berkeley, California, University of California, Berkeley, BANC MS UCB 23",manuscript containing Miscellanea ecclesiastica,DS12302,"University of California, Berkeley",991044802999706532|BANC MS UCB 23
http://www.wikidata.org/entity/Q132169455,"Berkeley, California, University of California, Berkeley, BANC MS UCB 24",manuscript containing Epistola ... pertinente ad la perfectione de la vita [ed altre opere,DS12303,"University of California, Berkeley",991044803589706532|BANC MS UCB 24
http://www.wikidata.org/entity/Q132169456,"Berkeley, California, University of California, Berkeley, BANC MS UCB 25",manuscript containing Sermones ; Epistolae,DS12304,"University of California, Berkeley",991044803709706532|BANC MS UCB 25
http://www.wikidata.org/entity/Q132169457,"Berkeley, California, University of California, Berkeley, BANC MS UCB 26",manuscript containing Breviarium Romanum,DS12305,"University of California, Berkeley",991044903089706532|BANC MS UCB 26
http://www.wikidata.org/entity/Q132169458,"Berkeley, California, University of California, Berkeley, BANC MS UCB 27",manuscript containing Ordo Breviarii Moguntinum,DS12306,"University of California, Berkeley",991044903129706532|BANC MS UCB 27
http://www.wikidata.org/entity/Q132169459,"Berkeley, California, University of California, Berkeley, BANC MS UCB 28",manuscript containing Psalterium et preces ad usum Gandarum,DS12307,"University of California, Berkeley",991044903909706532|BANC MS UCB 28
http://www.wikidata.org/entity/Q132169460,"Berkeley, California, University of California, Berkeley, BANC MS UCB 29",manuscript containing Horae Beatae Virginis Mariae ad usum Parisiensem,DS12308,"University of California, Berkeley",991044906959706532|BANC MS UCB 29
http://www.wikidata.org/entity/Q132169462,"Berkeley, California, University of California, Berkeley, BANC MS UCB 30",manuscript containing Horae Beatae Virginis Mariae ad usum Romanum,DS12309,"University of California, Berkeley",991044907469706532|BANC MS UCB 30
http://www.wikidata.org/entity/Q132169463,"Berkeley, California, University of California, Berkeley, BANC MS UCB 31",manuscript containing Book of hours,DS12310,"University of California, Berkeley",991044908149706532|BANC MS UCB 31
http://www.wikidata.org/entity/Q132169465,"Berkeley, California, University of California, Berkeley, BANC MS UCB 32","manuscript containing Spanish legal documents concerning a disputed grant of nobility; Zafra, Spain",DS12311,"University of California, Berkeley",991044908229706532|BANC MS UCB 32
http://www.wikidata.org/entity/Q132169466,"Berkeley, California, University of California, Berkeley, BANC MS UCB 33",manuscript containing Almi viri Francisci Senensis vita,DS12312,"University of California, Berkeley",991044908269706532|BANC MS UCB 33
http://www.wikidata.org/entity/Q132169467,"Berkeley, California, University of California, Berkeley, BANC MS UCB 34","manuscript containing Grant in fee simple, 1420 Aug. 28, by Richard Bolter and Geoffrey Hale to Gregory Irmynglond, John Mogell, John Thrower, and William Cobbe, of land and marsh in Norfolk",DS12313,"University of California, Berkeley",991044910649706532|BANC MS UCB 34
http://www.wikidata.org/entity/Q132169468,"Berkeley, California, University of California, Berkeley, BANC MS UCB 35","manuscript containing Probate copy of a will, 1549 Nov. 15, of Robert Reade of Colby, County Norfolk",DS12314,"University of California, Berkeley",991044913989706532|BANC MS UCB 35
http://www.wikidata.org/entity/Q132169469,"Berkeley, California, University of California, Berkeley, BANC MS UCB 36",manuscript containing Elizabethan records,DS12315,"University of California, Berkeley",991044915589706532|BANC MS UCB 36
http://www.wikidata.org/entity/Q132169474,"Berkeley, California, University of California, Berkeley, BANC MS UCB 143 v.47-48",manuscript containing Collecção Corioza de varias noticias,DS12316,"University of California, Berkeley",991045014959706532|BANC MS UCB 143 v.47-48
http://www.wikidata.org/entity/Q132169475,"Berkeley, California, University of California, Berkeley, 4MS PL5179.C4",manuscript containing Javanese manuscripts,DS12317,"University of California, Berkeley",4MS PL5179.C4|991045173169706532
http://www.wikidata.org/entity/Q132169476,"Berkeley, California, University of California, Berkeley, BANC MS UCB 143 v.180",manuscript containing Varios,DS12318,"University of California, Berkeley",991046104469706532|BANC MS UCB 143 v.180
http://www.wikidata.org/entity/Q132169477,"Berkeley, California, University of California, Berkeley, BANC MS UCB 143 v.170",manuscript containing Varios,DS12319,"University of California, Berkeley",991046352369706532|BANC MS UCB 143 v.170
http://www.wikidata.org/entity/Q132169470,"Berkeley, California, University of California, Berkeley, BANC MS UCB 150",manuscript containing Horae Beatae Virginis Mariae ad usum Ecclesiae Sarisburiensis,DS12320,"University of California, Berkeley",991046674079706532|BANC MS UCB 150
http://www.wikidata.org/entity/Q132169471,"Berkeley, California, University of California, Berkeley, BANC MS UCB 140",manuscript containing La chanson de geste de Garin le Loherain; France,DS12321,"University of California, Berkeley",991046679959706532|BANC MS UCB 140
http://www.wikidata.org/entity/Q132169472,"Berkeley, California, University of California, Berkeley, BANC MS UCB 168",manuscript containing La vida y milagros del bien aventurado Sancto Antonio de Padua padre nuestro,DS12322,"University of California, Berkeley",991046741559706532|BANC MS UCB 168
http://www.wikidata.org/entity/Q132169478,"Berkeley, California, University of California, Berkeley, BANC MS UCB 170",manuscript containing Reglas de la Cofradía de Santa María de la Transfiguración de Çaragoça,DS12323,"University of California, Berkeley",991046934199706532|BANC MS UCB 170
http://www.wikidata.org/entity/Q132169479,"Berkeley, California, University of California, Berkeley, BANC MS UCB 183",manuscript containing Ordinances and proceedings of the Cofradía Mayor de Medinaceli,DS12324,"University of California, Berkeley",991046946929706532|BANC MS UCB 183
http://www.wikidata.org/entity/Q132169481,"Berkeley, California, University of California, Berkeley, 4MS BP100 1773",manuscript containing al-Qurʼān,DS12325,"University of California, Berkeley",4MS BP100 1773|991047193579706532
http://www.wikidata.org/entity/Q132169485,"Berkeley, California, University of California, Berkeley, 4MS PK6501.M3 1800z",manuscript containing Haft kilīd-i dar-i ganj-i ḥakīm,DS12326,"University of California, Berkeley",4MS PK6501.M3 1800z|991047194809706532
