item,itemLabel,description,DSID,collection,identifiers
http://www.wikidata.org/entity/Q132169380,"Davis, California, University of California, Davis, UCD BS69.5 1400",manuscript containing Bible,DS10318,"University of California, Davis",UCD BS69.5 1400
http://www.wikidata.org/entity/Q132169381,"Davis, California, University of California, Davis, UCD BX2080 A2 1497","manuscript containing Book of Hours, use of Rome",DS10319,"University of California, Davis",UCD BX2080 A2 1497
http://www.wikidata.org/entity/Q132169382,"Davis, California, University of California, Davis, UCD D-041:01",manuscript containing Saints' lives,DS10320,"University of California, Davis",UCD D-041:01
http://www.wikidata.org/entity/Q132169383,"Davis, California, University of California, Davis, UCD D-041:02",manuscript containing Psalter,DS10321,"University of California, Davis",UCD D-041:02
http://www.wikidata.org/entity/Q132169384,"Davis, California, University of California, Davis, UCD D-041:03",manuscript containing Commentary on the Liber Sextusof Boniface VIII,DS10322,"University of California, Davis",UCD D-041:03
http://www.wikidata.org/entity/Q132169385,"Davis, California, University of California, Davis, UCD D-041:04","manuscript containing Life of St. Paternianus, Bishop of Fano",DS10323,"University of California, Davis",UCD D-041:04
http://www.wikidata.org/entity/Q132169386,"Davis, California, University of California, Davis, UCD D-041:05",manuscript containing Breviary,DS10324,"University of California, Davis",UCD D-041:05
http://www.wikidata.org/entity/Q132169387,"Davis, California, University of California, Davis, UCD D-041:06",manuscript containing Liturgical calendar,DS10325,"University of California, Davis",UCD D-041:06
http://www.wikidata.org/entity/Q132169388,"Davis, California, University of California, Davis, UCD D-041:07",manuscript containing Evangeliary,DS10326,"University of California, Davis",UCD D-041:07
http://www.wikidata.org/entity/Q132169374,"Davis, California, University of California, Davis, UCD D-041:08",manuscript containing Sententiarum libri,DS10327,"University of California, Davis",UCD D-041:08
http://www.wikidata.org/entity/Q132169393,"Davis, California, University of California, Davis, UCD D-041:09",manuscript containing Missal,DS10328,"University of California, Davis",UCD D-041:09
http://www.wikidata.org/entity/Q132169394,"Davis, California, University of California, Davis, UCD D-041:26",manuscript containing Antiphonal,DS10329,"University of California, Davis",UCD D-041:26
http://www.wikidata.org/entity/Q132169395,"Davis, California, University of California, Davis, UCD D-041:10",manuscript containing Prayerbook,DS10330,"University of California, Davis",UCD D-041:10
http://www.wikidata.org/entity/Q132169390,"Davis, California, University of California, Davis, UCD D-041:11",manuscript containing Breviary,DS10331,"University of California, Davis",UCD D-041:11
http://www.wikidata.org/entity/Q132169391,"Davis, California, University of California, Davis, UCD D-041:12",manuscript containing Prayer,DS10332,"University of California, Davis",UCD D-041:12
http://www.wikidata.org/entity/Q132169392,"Davis, California, University of California, Davis, UCD D-041:13",manuscript containing Breviary,DS10333,"University of California, Davis",UCD D-041:13
http://www.wikidata.org/entity/Q132169396,"Davis, California, University of California, Davis, UCD D-041:14",manuscript containing Breviary,DS10334,"University of California, Davis",UCD D-041:14
http://www.wikidata.org/entity/Q132169397,"Davis, California, University of California, Davis, UCD D-041:15",manuscript containing Missal,DS10335,"University of California, Davis",UCD D-041:15
http://www.wikidata.org/entity/Q132169398,"Davis, California, University of California, Davis, UCD D-041:16",manuscript containing Sermon material,DS10336,"University of California, Davis",UCD D-041:16
http://www.wikidata.org/entity/Q132169400,"Davis, California, University of California, Davis, UCD D-041:17",manuscript containing Sermons,DS10337,"University of California, Davis",UCD D-041:17
http://www.wikidata.org/entity/Q132169401,"Davis, California, University of California, Davis, UCD D-041:18",manuscript containing Sermons,DS10338,"University of California, Davis",UCD D-041:18
http://www.wikidata.org/entity/Q132169402,"Davis, California, University of California, Davis, UCD D-041:19",manuscript containing Civil Law material,DS10339,"University of California, Davis",UCD D-041:19
http://www.wikidata.org/entity/Q132169403,"Davis, California, University of California, Davis, UCD D-041:20",manuscript containing Lectionary,DS10340,"University of California, Davis",UCD D-041:20
http://www.wikidata.org/entity/Q132169375,"Davis, California, University of California, Davis, UCD D-041:21",manuscript containing Legendary,DS10341,"University of California, Davis",UCD D-041:21
http://www.wikidata.org/entity/Q132169376,"Davis, California, University of California, Davis, UCD D-041:22",manuscript containing Processional,DS10342,"University of California, Davis",UCD D-041:22
http://www.wikidata.org/entity/Q132169377,"Davis, California, University of California, Davis, UCD D-041:23",manuscript containing Epitaphium Francisci Petrarce; Questo e` il sonnetto ritrovato nel sepulchro di Madonna Laura in questo modo; Vita Petrarce; Biography of Petrarch,DS10343,"University of California, Davis",UCD D-041:23
http://www.wikidata.org/entity/Q132169404,"Davis, California, University of California, Davis, UCD D-041:24",manuscript containing Breviary,DS10344,"University of California, Davis",UCD D-041:24
http://www.wikidata.org/entity/Q132169406,"Davis, California, University of California, Davis, UCD BS2551 A4 no. 2641","manuscript containing Bible, N.T., Gospels",DS10345,"University of California, Davis",UCD BS2551 A4 no. 2641
http://www.wikidata.org/entity/Q132169407,"Davis, California, University of California, Davis, UCD BS2565 A24 no. 1983",manuscript containing Gospel Lectionary,DS10346,"University of California, Davis",UCD BS2565 A24 no. 1983
http://www.wikidata.org/entity/Q132169408,"Davis, California, University of California, Davis, UCD BS2551 A4 no. 2642","manuscript containing Bible, N.T. Gospels",DS10347,"University of California, Davis",UCD BS2551 A4 no. 2642
http://www.wikidata.org/entity/Q132169378,"Davis, California, University of California, Davis, UCD D-041:25",manuscript containing Indenture,DS10348,"University of California, Davis",UCD D-041:25
http://www.wikidata.org/entity/Q132169410,"Davis, California, University of California, Davis, UCD D-041:27",manuscript containing Gradual,DS10349,"University of California, Davis",UCD D-041:27
