item,itemLabel,description,DSID,collection,identifiers
http://www.wikidata.org/entity/Q132169358,"Riverside, California, University of California, Riverside, BP128.57 .A2 1700z",manuscript containing Al-Ḥajj 1-15 : manuscript fragment,DS12085,"University of California, Riverside",9917678005006531|BP128.57 .A2 1700z
http://www.wikidata.org/entity/Q132169359,"Riverside, California, University of California, Riverside, BX2080 .C3735 1401",manuscript containing Book of hours (orbi terre) manuscript leaf,DS12086,"University of California, Riverside",9914363451906531|BX2080 .C3735 1401
http://www.wikidata.org/entity/Q132169361,"Riverside, California, University of California, Riverside, BX2033 .A2 1450",manuscript containing Psalterium et hymnarium,DS12087,"University of California, Riverside",9914468034906531|BX2033 .A2 1450
http://www.wikidata.org/entity/Q132169363,"Riverside, California, University of California, Riverside, (31210025300375)",manuscript containing Duʿāʾmanuscript leaf,DS12088,"University of California, Riverside",-31210025300375|31210025300375
http://www.wikidata.org/entity/Q132169364,"Riverside, California, University of California, Riverside, (31210025300391)",manuscript containing Duʿāʾmanuscript leaf,DS12089,"University of California, Riverside",-31210025300391|31210025300391
http://www.wikidata.org/entity/Q132169365,"Riverside, California, University of California, Riverside, (31210025300383)",manuscript containing Duʿāʾmanuscript leaf,DS12090,"University of California, Riverside",-31210025300383|31210025300383
http://www.wikidata.org/entity/Q132169366,"Riverside, California, University of California, Riverside, (31210025300409)",manuscript containing Duʿāʾmanuscript leaf,DS12091,"University of California, Riverside",-31210025300409|31210025300409
http://www.wikidata.org/entity/Q132169367,"Riverside, California, University of California, Riverside, (31210025427731)",manuscript containing Arabic language manuscript leaf,DS12092,"University of California, Riverside",-31210025427731|31210025427731
http://www.wikidata.org/entity/Q132169369,"Riverside, California, University of California, Riverside, (31210025427624)",manuscript containing Fiqh manuscript leaf,DS12093,"University of California, Riverside",-31210025427624|31210025427624
http://www.wikidata.org/entity/Q132169371,"Riverside, California, University of California, Riverside, (31210025427707)",manuscript containing Fiqh manuscript leaf,DS12094,"University of California, Riverside",-31210025427707|31210025427707
http://www.wikidata.org/entity/Q132169372,"Riverside, California, University of California, Riverside, (31210025427699)",manuscript containing Fiqh manuscript leaf,DS12095,"University of California, Riverside",-31210025427699|31210025427699
http://www.wikidata.org/entity/Q132169362,"Riverside, California, University of California, Riverside, (31210025427978)",manuscript containing Psalis & Doxologies for the Coptic Year manuscript leaf,DS12096,"University of California, Riverside",-31210025427978|31210025427978
http://www.wikidata.org/entity/Q132169373,"Riverside, California, University of California, Riverside, (31210025427350)",manuscript containing Ḥadīth manuscript leaves,DS12097,"University of California, Riverside",-31210025427350|31210025427350
