item,itemLabel,description,DSID,manuscriptQID,recordQID,collection,identifiers
http://www.wikidata.org/entity/Q133280831,"Rochester, New York, Rochester Institute of Technology, CSC-0154 Box 1 Folder 1",manuscript containing Missal,DS16438,Q69006,Q69007,Rochester Institute of Technology,carcsc_0154_1_1|CSC-0154 Box 1 Folder 1
http://www.wikidata.org/entity/Q133280832,"Rochester, New York, Rochester Institute of Technology, CSC-0154 Box 1 Folder 2",manuscript containing Antiphonary,DS16439,Q69009,Q69010,Rochester Institute of Technology,carcsc_0154_1_2|CSC-0154 Box 1 Folder 2
http://www.wikidata.org/entity/Q133280833,"Rochester, New York, Rochester Institute of Technology, CSC-0154 Box 1 Folder 4",manuscript containing Psalter,DS16440,Q69012,Q69013,Rochester Institute of Technology,carcsc_0154_1_4|CSC-0154 Box 1 Folder 4
http://www.wikidata.org/entity/Q133280834,"Rochester, New York, Rochester Institute of Technology, CSC-0154 Box 1 Folder 5",manuscript containing Missal,DS16441,Q69015,Q69016,Rochester Institute of Technology,carcsc_0154_1_5|CSC-0154 Box 1 Folder 5
http://www.wikidata.org/entity/Q133280835,"Rochester, New York, Rochester Institute of Technology, CSC-0154 Box 1 Folder 6",manuscript containing Breviary,DS16442,Q69018,Q69019,Rochester Institute of Technology,carcsc_0154_1_6|CSC-0154 Box 1 Folder 6
http://www.wikidata.org/entity/Q133280836,"Rochester, New York, Rochester Institute of Technology, CSC-0154 Box 1 Folder 7",manuscript containing Prayer book,DS16443,Q69021,Q69022,Rochester Institute of Technology,carcsc_0154_1_7|CSC-0154 Box 1 Folder 7
http://www.wikidata.org/entity/Q133280837,"Rochester, New York, Rochester Institute of Technology, CSC-0154 Box 1 Folder 8",manuscript containing Bible,DS16444,Q69024,Q69025,Rochester Institute of Technology,carcsc_0154_1_8|CSC-0154 Box 1 Folder 8
http://www.wikidata.org/entity/Q133280838,"Rochester, New York, Rochester Institute of Technology, CSC-0154 Box 1 Folder 9",manuscript containing Epistles,DS16445,Q69027,Q69028,Rochester Institute of Technology,carcsc_0154_1_9|CSC-0154 Box 1 Folder 9
http://www.wikidata.org/entity/Q133280839,"Rochester, New York, Rochester Institute of Technology, CSC-0154 Box 1 Folder 10",manuscript containing Missal,DS16446,Q69030,Q69031,Rochester Institute of Technology,carcsc_0154_1_10|CSC-0154 Box 1 Folder 10
http://www.wikidata.org/entity/Q133280840,"Rochester, New York, Rochester Institute of Technology, CSC-0154 Box 1 Folder 12",manuscript containing Gradual,DS16447,Q69033,Q69034,Rochester Institute of Technology,carcsc_0154_1_12|CSC-0154 Box 1 Folder 12
http://www.wikidata.org/entity/Q133280841,"Rochester, New York, Rochester Institute of Technology, CSC-0154 Box 1 Folder 11",manuscript containing Bible,DS16448,Q69036,Q69037,Rochester Institute of Technology,carcsc_0154_1_11|CSC-0154 Box 1 Folder 11
http://www.wikidata.org/entity/Q133280842,"Rochester, New York, Rochester Institute of Technology, CSC-0154 Box 1 Folder 13",manuscript containing Book of hours,DS16449,Q69039,Q69040,Rochester Institute of Technology,carcsc_0154_1_13|CSC-0154 Box 1 Folder 13
http://www.wikidata.org/entity/Q133280843,"Rochester, New York, Rochester Institute of Technology, CSC-0154 Box 1 Folder 14",manuscript containing Prayer book,DS16450,Q69042,Q69043,Rochester Institute of Technology,carcsc_0154_1_14|CSC-0154 Box 1 Folder 14
http://www.wikidata.org/entity/Q133280844,"Rochester, New York, Rochester Institute of Technology, CSC-0154 Box 1 Folder 15",manuscript containing Missal,DS16451,Q69045,Q69046,Rochester Institute of Technology,carcsc_0154_1_15|CSC-0154 Box 1 Folder 15
http://www.wikidata.org/entity/Q133280845,"Rochester, New York, Rochester Institute of Technology, CSC-0154 Box 1 Folder 16",manuscript containing Bible,DS16452,Q69048,Q69049,Rochester Institute of Technology,carcsc_0154_1_16|CSC-0154 Box 1 Folder 16
http://www.wikidata.org/entity/Q133280847,"Rochester, New York, Rochester Institute of Technology, CSC-0154 Box 2 Folder 1",manuscript containing Noted breviary,DS16453,Q69051,Q69052,Rochester Institute of Technology,carcsc_0154_2_1|CSC-0154 Box 2 Folder 1
http://www.wikidata.org/entity/Q133280848,"Rochester, New York, Rochester Institute of Technology, CSC-0154 Box 3 Folder 1",manuscript containing Missal,DS16454,Q69054,Q69055,Rochester Institute of Technology,carcsc_0154_3_1|CSC-0154 Box 3 Folder 1
http://www.wikidata.org/entity/Q133280849,"Rochester, New York, Rochester Institute of Technology, CSC-0154 Box 3 Folder 2",manuscript containing Book of hours,DS16455,Q69057,Q69058,Rochester Institute of Technology,carcsc_0154_3_2|CSC-0154 Box 3 Folder 2
http://www.wikidata.org/entity/Q133280850,"Rochester, New York, Rochester Institute of Technology, CSC-0154 Box 3 Folder 3",manuscript containing Georgii Trapezuntii Prologus in Interpretationem Eusebii Caesariensis,DS16456,Q69060,Q69061,Rochester Institute of Technology,carcsc_0154_3_3|CSC-0154 Box 3 Folder 3
http://www.wikidata.org/entity/Q133280851,"Rochester, New York, Rochester Institute of Technology, CSC-0154 Box 3 Folder 4",manuscript containing Bibles,DS16457,Q69063,Q69064,Rochester Institute of Technology,carcsc_0154_3_4|CSC-0154 Box 3 Folder 4
http://www.wikidata.org/entity/Q133280852,"Rochester, New York, Rochester Institute of Technology, CSC-0154 Box 3 Folder 5",manuscript containing Missal,DS16458,Q69066,Q69067,Rochester Institute of Technology,carcsc_0154_3_5|CSC-0154 Box 3 Folder 5
http://www.wikidata.org/entity/Q133280853,"Rochester, New York, Rochester Institute of Technology, CSC-0154 Box 3 Folder 6",manuscript containing Psalter,DS16459,Q69069,Q69070,Rochester Institute of Technology,carcsc_0154_3_6|CSC-0154 Box 3 Folder 6
http://www.wikidata.org/entity/Q133280854,"Rochester, New York, Rochester Institute of Technology, CSC-0154 Box 3 Folder 7",manuscript containing Missal,DS16460,Q69072,Q69073,Rochester Institute of Technology,carcsc_0154_3_7|CSC-0154 Box 3 Folder 7
http://www.wikidata.org/entity/Q133280855,"Rochester, New York, Rochester Institute of Technology, CSC-0154 Box 3 Folder 8",manuscript containing Acts of St. Blaise,DS16461,Q69075,Q69076,Rochester Institute of Technology,carcsc_0154_3_8|CSC-0154 Box 3 Folder 8
