item,itemLabel,description,DSID,searchURL,manuscriptQID,recordQID,collection,identifiers
http://www.wikidata.org/entity/Q137777414,"Kalamazoo, Michigan, Western Michigan University, WMU MS 198",manuscript containing Book of hours; Use in Paris,DS26320,https://search.digital-scriptorium.org/catalog/DS26320,Q100916,Q100917,Western Michigan University,99510018759502436|WMU MS 198
http://www.wikidata.org/entity/Q137777415,"Kalamazoo, Michigan, Western Michigan University, WMU MS 197b",manuscript containing Binding fragments in University Script,DS26321,https://search.digital-scriptorium.org/catalog/DS26321,Q100919,Q100920,Western Michigan University,99509963790802436|WMU MS 197b
http://www.wikidata.org/entity/Q137777416,"Kalamazoo, Michigan, Western Michigan University, Z4 .P33x, v. 1, no. 7",manuscript containing Koran manuscript leaf,DS26322,https://search.digital-scriptorium.org/catalog/DS26322,Q100922,Q100923,Western Michigan University,"exws_pages_b01_item07|Z4 .P33x, v. 1, no. 7"
http://www.wikidata.org/entity/Q137777417,"Kalamazoo, Michigan, Western Michigan University, Z4 .P33x, v. 1, no. 8",manuscript containing Leaf from the book of Jeremiah,DS26323,https://search.digital-scriptorium.org/catalog/DS26323,Q100925,Q100926,Western Michigan University,"exws_pages_b01_item08|Z4 .P33x, v. 1, no. 8"
http://www.wikidata.org/entity/Q137777418,"Kalamazoo, Michigan, Western Michigan University, Z4 .P33x, v. 1, no. 9",manuscript containing Flemish Book of Hours manuscript leaf,DS26324,https://search.digital-scriptorium.org/catalog/DS26324,Q100928,Q100929,Western Michigan University,"exws_pages_b01_item09|Z4 .P33x, v. 1, no. 9"
http://www.wikidata.org/entity/Q137777419,"Kalamazoo, Michigan, Western Michigan University, Z4 .P33x, v. 2, no. 2",manuscript containing Leaf from early legal manuscript,DS26325,https://search.digital-scriptorium.org/catalog/DS26325,Q100931,Q100932,Western Michigan University,"exws_pages_b02_item02|Z4 .P33x, v. 2, no. 2"
http://www.wikidata.org/entity/Q137777420,"Kalamazoo, Michigan, Western Michigan University, Z4 .P33x, v. 2, no. 3",manuscript containing Leaf from Sermones of Simon de Cremona,DS26326,https://search.digital-scriptorium.org/catalog/DS26326,Q100934,Q100935,Western Michigan University,"exws_pages_b02_item03|Z4 .P33x, v. 2, no. 3"
http://www.wikidata.org/entity/Q137777421,"Kalamazoo, Michigan, Western Michigan University, Z4 .P33x, v. 2, no. 4",manuscript containing Leaf from Los Virtuosos Varones,DS26327,https://search.digital-scriptorium.org/catalog/DS26327,Q100937,Q100938,Western Michigan University,"exws_pages_b02_item04|Z4 .P33x, v. 2, no. 4"
http://www.wikidata.org/entity/Q137777422,"Kalamazoo, Michigan, Western Michigan University, Z4 .P33x, v. 2, no. 6",manuscript containing Leaf from a 15th century Breviary,DS26328,https://search.digital-scriptorium.org/catalog/DS26328,Q100940,Q100941,Western Michigan University,"exws_pages_b02_item06|Z4 .P33x, v. 2, no. 6"
http://www.wikidata.org/entity/Q137777423,"Kalamazoo, Michigan, Western Michigan University, Z4 .P33x, v. 2, no. 15",manuscript containing Koran manuscript leaf,DS26329,https://search.digital-scriptorium.org/catalog/DS26329,Q100943,Q100944,Western Michigan University,"exws_pages_b02_item15|Z4 .P33x, v. 2, no. 15"
http://www.wikidata.org/entity/Q137777424,"Kalamazoo, Michigan, Western Michigan University, Z4 .P33x, v. 2, no. 39",manuscript containing Manuscript leaf,DS26330,https://search.digital-scriptorium.org/catalog/DS26330,Q100946,Q100947,Western Michigan University,"exws_pages_b02_item39|Z4 .P33x, v. 2, no. 39"
http://www.wikidata.org/entity/Q137777425,"Kalamazoo, Michigan, Western Michigan University, MS 210",manuscript containing Leaf from Interpretationes Hebraicorum Nominum,DS26331,https://search.digital-scriptorium.org/catalog/DS26331,Q100949,Q100950,Western Michigan University,exwsms210_bk|MS 210
http://www.wikidata.org/entity/Q137777426,"Kalamazoo, Michigan, Western Michigan University, MS 211",manuscript containing Leaf from an Antiphonary for Matins,DS26332,https://search.digital-scriptorium.org/catalog/DS26332,Q100952,Q100953,Western Michigan University,exwsms211_bk|MS 211
http://www.wikidata.org/entity/Q137777427,"Kalamazoo, Michigan, Western Michigan University, MS 212",manuscript containing Bifolium from a Missal,DS26333,https://search.digital-scriptorium.org/catalog/DS26333,Q100955,Q100956,Western Michigan University,exwsms212_bk|MS 212
http://www.wikidata.org/entity/Q137777428,"Kalamazoo, Michigan, Western Michigan University, MS 213",manuscript containing Leaf from Gregory’s Homilarium in Evangelica,DS26334,https://search.digital-scriptorium.org/catalog/DS26334,Q100958,Q100959,Western Michigan University,MS 213|exwsms213_bk
http://www.wikidata.org/entity/Q137777429,"Kalamazoo, Michigan, Western Michigan University, MS 214",manuscript containing Cutting from Palladius's Historia Lausiaca,DS26335,https://search.digital-scriptorium.org/catalog/DS26335,Q100961,Q100962,Western Michigan University,MS 214|exwsms214_bk
http://www.wikidata.org/entity/Q137777430,"Kalamazoo, Michigan, Western Michigan University, MS 216","manuscript containing Papal document, 15th century, of anti-Pope Benedict XIV",DS26336,https://search.digital-scriptorium.org/catalog/DS26336,Q100964,Q100965,Western Michigan University,exwsms216_bk|MS 216
http://www.wikidata.org/entity/Q137777431,"Kalamazoo, Michigan, Western Michigan University, MS 218",manuscript containing Genealogical Roll of the Everingham Family,DS26337,https://search.digital-scriptorium.org/catalog/DS26337,Q100967,Q100968,Western Michigan University,exwsms_218_01|MS 218
http://www.wikidata.org/entity/Q137777432,"Kalamazoo, Michigan, Western Michigan University, Z4 .P33x, v. 1, no. 18",manuscript containing Illuminated Persian manuscript leaf,DS26338,https://search.digital-scriptorium.org/catalog/DS26338,Q100970,Q100971,Western Michigan University,"exws_pages_b01_item18|Z4 .P33x, v. 1, no. 18"
http://www.wikidata.org/entity/Q137777433,"Kalamazoo, Michigan, Western Michigan University, Z4 .P33x, v. 3, no. 28",manuscript containing Manuscript leaf from a Persian manuscript,DS26339,https://search.digital-scriptorium.org/catalog/DS26339,Q100973,Q100974,Western Michigan University,"exws_pages_b03_item28|Z4 .P33x, v. 3, no. 28"
http://www.wikidata.org/entity/Q137777434,"Kalamazoo, Michigan, Western Michigan University, Palm Leaf MS 01","manuscript containing Palm Leaf Manuscript 1, illustrations",DS26340,https://search.digital-scriptorium.org/catalog/DS26340,Q100976,Q100977,Western Michigan University,exws_PalmBook01_003|Palm Leaf MS 01
http://www.wikidata.org/entity/Q137777435,"Kalamazoo, Michigan, Western Michigan University, Palm Leaf MS 02",manuscript containing Palm Leaf Manuscript 2,DS26341,https://search.digital-scriptorium.org/catalog/DS26341,Q100979,Q100980,Western Michigan University,exwsPalmBook02_300ppi|Palm Leaf MS 02
http://www.wikidata.org/entity/Q137777436,"Kalamazoo, Michigan, Western Michigan University, WMU MS 119",manuscript containing Breviary leaves,DS6366,https://search.digital-scriptorium.org/catalog/DS6366,Q28434,Q28435,Western Michigan University,9915003353802436|WMU MS 119
http://www.wikidata.org/entity/Q137777437,"Kalamazoo, Michigan, Western Michigan University, WMU MS 141",manuscript containing Manuscript leaf from a 13th century French glossed Bible,DS6367,https://search.digital-scriptorium.org/catalog/DS6367,Q28437,Q28438,Western Michigan University,9917630613802436|WMU MS 141
http://www.wikidata.org/entity/Q137777438,"Kalamazoo, Michigan, Western Michigan University, WMU MS 142",manuscript containing L'abbaye cistercienne de Cambron legal dispute,DS6368,https://search.digital-scriptorium.org/catalog/DS6368,Q28440,Q28441,Western Michigan University,9917631463802436|WMU MS 142
http://www.wikidata.org/entity/Q137777439,"Kalamazoo, Michigan, Western Michigan University, WMU MS 143",manuscript containing Manuscript leaf from a French pocket Bible,DS6369,https://search.digital-scriptorium.org/catalog/DS6369,Q28443,Q28444,Western Michigan University,9917631503802436|WMU MS 143
http://www.wikidata.org/entity/Q137777440,"Kalamazoo, Michigan, Western Michigan University, WMU MS 102",manuscript containing Book of Hours,DS6372,https://search.digital-scriptorium.org/catalog/DS6372,Q28452,Q28453,Western Michigan University,9922037823802436|WMU MS 102
http://www.wikidata.org/entity/Q137777441,"Kalamazoo, Michigan, Western Michigan University, WMU MS 111","manuscript containing Donation, 1222 August, rent of ten Tournai sous, to Abbaye-Aux Dames",DS6373,https://search.digital-scriptorium.org/catalog/DS6373,Q28455,Q28456,Western Michigan University,9922037883802436|WMU MS 111
http://www.wikidata.org/entity/Q137777442,"Kalamazoo, Michigan, Western Michigan University, WMU MS 148","manuscript containing Pseudo-Gilbertus, Liber Sex Principiorum; manuscript leaf",DS6374,https://search.digital-scriptorium.org/catalog/DS6374,Q28458,Q28459,Western Michigan University,9922038243802436|WMU MS 148
http://www.wikidata.org/entity/Q137777443,"Kalamazoo, Michigan, Western Michigan University, WMU MS 105",manuscript containing Missal abreviatum,DS6380,https://search.digital-scriptorium.org/catalog/DS6380,Q28476,Q28477,Western Michigan University,9923567983802436|WMU MS 105
http://www.wikidata.org/entity/Q137777444,"Kalamazoo, Michigan, Western Michigan University, WMU MS 109",manuscript containing Gradual leaf,DS6381,https://search.digital-scriptorium.org/catalog/DS6381,Q28479,Q28480,Western Michigan University,9923568163802436|WMU MS 109
http://www.wikidata.org/entity/Q137777445,"Kalamazoo, Michigan, Western Michigan University, WMU MS 112",manuscript containing Bull of Pope Sixtus IV,DS6382,https://search.digital-scriptorium.org/catalog/DS6382,Q28482,Q28483,Western Michigan University,9923568173802436|WMU MS 112
http://www.wikidata.org/entity/Q137777446,"Kalamazoo, Michigan, Western Michigan University, WMU MS 144",manuscript containing Noted Missal,DS6383,https://search.digital-scriptorium.org/catalog/DS6383,Q28485,Q28486,Western Michigan University,9923568183802436|WMU MS 144
http://www.wikidata.org/entity/Q137777448,"Kalamazoo, Michigan, Western Michigan University, WMU MS 115","manuscript containing Receipt, 1401 July 26, of Pierre de Traville from Guillaument le Moine",DS6384,https://search.digital-scriptorium.org/catalog/DS6384,Q28488,Q28489,Western Michigan University,9923604243802436|WMU MS 115
http://www.wikidata.org/entity/Q137777449,"Kalamazoo, Michigan, Western Michigan University, WMU MS 101",manuscript containing Vocabularium,DS6385,https://search.digital-scriptorium.org/catalog/DS6385,Q28491,Q28492,Western Michigan University,9923604493802436|WMU MS 101
http://www.wikidata.org/entity/Q137777450,"Kalamazoo, Michigan, Western Michigan University, WMU MS 160",manuscript containing Excerpts from The golden legend and Sermones de tempore] /,DS6386,https://search.digital-scriptorium.org/catalog/DS6386,Q28494,Q28495,Western Michigan University,9939824433802436|WMU MS 160
http://www.wikidata.org/entity/Q137777451,"Kalamazoo, Michigan, Western Michigan University, WMU MS 161",manuscript containing Breviary fragment,DS6387,https://search.digital-scriptorium.org/catalog/DS6387,Q28497,Q28498,Western Michigan University,9943651583802436|WMU MS 161
http://www.wikidata.org/entity/Q137777452,"Kalamazoo, Michigan, Western Michigan University, WMU MS 187","manuscript containing Bible leaf, Tobit",DS6388,https://search.digital-scriptorium.org/catalog/DS6388,Q28500,Q28501,Western Michigan University,99509657734202436|WMU MS 187
http://www.wikidata.org/entity/Q137777453,"Kalamazoo, Michigan, Western Michigan University, WMU MS 192",manuscript containing Psalter in Latin,DS6389,https://search.digital-scriptorium.org/catalog/DS6389,Q28503,Q28504,Western Michigan University,99509753934102436|WMU MS 192
http://www.wikidata.org/entity/Q137777454,"Kalamazoo, Michigan, Western Michigan University, WMU MS 107",manuscript containing Book of hours bifolium,DS6390,https://search.digital-scriptorium.org/catalog/DS6390,Q28506,Q28507,Western Michigan University,99509885133802436|WMU MS 107
http://www.wikidata.org/entity/Q137777455,"Kalamazoo, Michigan, Western Michigan University, WMU MS 108",manuscript containing Missal leaf,DS6391,https://search.digital-scriptorium.org/catalog/DS6391,Q28509,Q28510,Western Michigan University,99509885334502436|WMU MS 108
http://www.wikidata.org/entity/Q137777456,"Kalamazoo, Michigan, Western Michigan University, WMU MS 106",manuscript containing Prayer book,DS6392,https://search.digital-scriptorium.org/catalog/DS6392,Q28512,Q28513,Western Michigan University,99509885434402436|WMU MS 106
http://www.wikidata.org/entity/Q137777458,"Kalamazoo, Michigan, Western Michigan University, WMU MS 113",manuscript containing Binding fragment from the Bible of Stephen Harding,DS6393,https://search.digital-scriptorium.org/catalog/DS6393,Q28515,Q28516,Western Michigan University,99509888134402436|WMU MS 113
http://www.wikidata.org/entity/Q137777459,"Kalamazoo, Michigan, Western Michigan University, WMU MS 110","manuscript containing Grant, 1241 March 1, of Land to the Abbey of La Garde-Dieu",DS6394,https://search.digital-scriptorium.org/catalog/DS6394,Q28518,Q28519,Western Michigan University,99509888234602436|WMU MS 110
http://www.wikidata.org/entity/Q137777460,"Kalamazoo, Michigan, Western Michigan University, WMU MS 118",manuscript containing Papal bull,DS6395,https://search.digital-scriptorium.org/catalog/DS6395,Q28521,Q28522,Western Michigan University,99509909931602436|WMU MS 118
http://www.wikidata.org/entity/Q137777461,"Kalamazoo, Michigan, Western Michigan University, WMU MS 116",manuscript containing Missal fragment,DS6396,https://search.digital-scriptorium.org/catalog/DS6396,Q28524,Q28525,Western Michigan University,99509909931802436|WMU MS 116
http://www.wikidata.org/entity/Q137777462,"Kalamazoo, Michigan, Western Michigan University, WMU MS 117",manuscript containing Foundation charter of Bruern Abbey,DS6397,https://search.digital-scriptorium.org/catalog/DS6397,Q28527,Q28528,Western Michigan University,99509910533302436|WMU MS 117
http://www.wikidata.org/entity/Q137777463,"Kalamazoo, Michigan, Western Michigan University, WMU MS 114",manuscript containing Charter,DS6398,https://search.digital-scriptorium.org/catalog/DS6398,Q28530,Q28531,Western Michigan University,99509910633702436|WMU MS 114
http://www.wikidata.org/entity/Q137777464,"Kalamazoo, Michigan, Western Michigan University, WMU MS 127",manuscript containing Homiliae in evangelia; bifolium fragment,DS6399,https://search.digital-scriptorium.org/catalog/DS6399,Q28533,Q28534,Western Michigan University,99509918532402436|WMU MS 127
http://www.wikidata.org/entity/Q137777465,"Kalamazoo, Michigan, Western Michigan University, WMU MS 122",manuscript containing Catalonian legal document. sale of land,DS6400,https://search.digital-scriptorium.org/catalog/DS6400,Q28536,Q28537,Western Michigan University,99509918532702436|WMU MS 122
http://www.wikidata.org/entity/Q137777466,"Kalamazoo, Michigan, Western Michigan University, WMU MS 126","manuscript containing Receipt, 1462 July 14, by Charles, Duke of Orleans' Valet, Blois, France",DS6401,https://search.digital-scriptorium.org/catalog/DS6401,Q28539,Q28540,Western Michigan University,99509918632202436|WMU MS 126
http://www.wikidata.org/entity/Q137777467,"Kalamazoo, Michigan, Western Michigan University, WMU MS 125","manuscript containing Receipt, 1440 March 5, of Marie of Cleves for Pierre Sauvage, Blois, France",DS6402,https://search.digital-scriptorium.org/catalog/DS6402,Q28542,Q28543,Western Michigan University,99509918632302436|WMU MS 125
http://www.wikidata.org/entity/Q137777469,"Kalamazoo, Michigan, Western Michigan University, WMU MS 121",manuscript containing Catalonian legal document,DS6403,https://search.digital-scriptorium.org/catalog/DS6403,Q28545,Q28546,Western Michigan University,99509918632502436|WMU MS 121
http://www.wikidata.org/entity/Q137777470,"Kalamazoo, Michigan, Western Michigan University, WMU MS 120","manuscript containing Grant, 1182, of lands to the Abbey of Messines, France",DS6404,https://search.digital-scriptorium.org/catalog/DS6404,Q28548,Q28549,Western Michigan University,99509918633102436|WMU MS 120
http://www.wikidata.org/entity/Q137777471,"Kalamazoo, Michigan, Western Michigan University, WMU MS 124","manuscript containing Pension, 1475, from Charles the Bold to Vassal Ranlequin de Fontaines, Nancy, Burgundy",DS6406,https://search.digital-scriptorium.org/catalog/DS6406,Q28554,Q28555,Western Michigan University,99509918732602436|WMU MS 124
http://www.wikidata.org/entity/Q137777472,"Kalamazoo, Michigan, Western Michigan University, WMU MS 123","manuscript containing Legal complaint, 1386 May 10, of the Bishop of the Church in Nevers, Paris",DS6407,https://search.digital-scriptorium.org/catalog/DS6407,Q28557,Q28558,Western Michigan University,99509918732802436|WMU MS 123
http://www.wikidata.org/entity/Q137777473,"Kalamazoo, Michigan, Western Michigan University, WMU MS 145",manuscript containing Calendar from a book of hours,DS6419,https://search.digital-scriptorium.org/catalog/DS6419,Q28593,Q28594,Western Michigan University,99509920634602436|WMU MS 145
http://www.wikidata.org/entity/Q137777474,"Kalamazoo, Michigan, Western Michigan University, WMU MS 147",manuscript containing Liturgical manuscript binding fragment,DS6420,https://search.digital-scriptorium.org/catalog/DS6420,Q28596,Q28597,Western Michigan University,99509924232202436|WMU MS 147
http://www.wikidata.org/entity/Q137777475,"Kalamazoo, Michigan, Western Michigan University, WMU MS 149",manuscript containing Breviary leaf,DS6421,https://search.digital-scriptorium.org/catalog/DS6421,Q28599,Q28600,Western Michigan University,99509924532202436|WMU MS 149
http://www.wikidata.org/entity/Q137777476,"Kalamazoo, Michigan, Western Michigan University, WMU MS 146","manuscript containing Grant, 1220 October 23, of church and land to the Dominicans of Milan",DS6422,https://search.digital-scriptorium.org/catalog/DS6422,Q28602,Q28603,Western Michigan University,99509924632902436|WMU MS 146
http://www.wikidata.org/entity/Q137777478,"Kalamazoo, Michigan, Western Michigan University, WMU MS 150",manuscript containing Sacramentary leaf,DS6423,https://search.digital-scriptorium.org/catalog/DS6423,Q28605,Q28606,Western Michigan University,99509926134202436|WMU MS 150
http://www.wikidata.org/entity/Q137777482,"Kalamazoo, Michigan, Western Michigan University, WMU MS 151",manuscript containing Letter from King Charles V of France to the keeper of the royal salt store,DS6424,https://search.digital-scriptorium.org/catalog/DS6424,Q28608,Q28609,Western Michigan University,99509926334302436|WMU MS 151
http://www.wikidata.org/entity/Q137777483,"Kalamazoo, Michigan, Western Michigan University, WMU MS 153","manuscript containing Bible leaf, Deuteronomy",DS6425,https://search.digital-scriptorium.org/catalog/DS6425,Q28611,Q28612,Western Michigan University,99509926534202436|WMU MS 153
http://www.wikidata.org/entity/Q137777484,"Kalamazoo, Michigan, Western Michigan University, WMU MS 152","manuscript containing Bible leaf, Genesis",DS6426,https://search.digital-scriptorium.org/catalog/DS6426,Q28614,Q28615,Western Michigan University,99509926534302436|WMU MS 152
http://www.wikidata.org/entity/Q137777479,"Kalamazoo, Michigan, Western Michigan University, WMU MS 156",manuscript containing Release and quitclaim by Hugh son of Simon of Rodes,DS6427,https://search.digital-scriptorium.org/catalog/DS6427,Q28617,Q28618,Western Michigan University,99509927033802436|WMU MS 156
