item,itemLabel,description,DSID,searchURL,manuscriptQID,recordQID,collection,identifiers
http://www.wikidata.org/entity/Q137711543,"Buffalo, New York, Buffalo & Erie County Public Library, RBR Mss. F54 1100",manuscript containing Fifty original leaves from medieval manuscripts,DS26208,https://search.digital-scriptorium.org/catalog/DS26208,Q100400,Q100401,Buffalo & Erie County Public Library System,ocm29107350|RBR Mss. F54 1100
http://www.wikidata.org/entity/Q137711544,"Buffalo, New York, Buffalo & Erie County Public Library, RBR Mss. C33A6 1000z",manuscript containing Antiphonarium,DS26209,https://search.digital-scriptorium.org/catalog/DS26209,Q100640,Q100641,Buffalo & Erie County Public Library System,ocm51766671|RBR Mss. C33A6 1000z
http://www.wikidata.org/entity/Q137711545,"Buffalo, New York, Buffalo & Erie County Public Library, RBR Mss. C33A63 1400z",manuscript containing Gradual,DS26210,https://search.digital-scriptorium.org/catalog/DS26210,Q100643,Q100644,Buffalo & Erie County Public Library System,ocm51766682|RBR Mss. C33A63 1400z
http://www.wikidata.org/entity/Q137711546,"Buffalo, New York, Buffalo & Erie County Public Library, RBR Mss. C33A64 1400z",manuscript containing Antiphonarium,DS26211,https://search.digital-scriptorium.org/catalog/DS26211,Q100646,Q100647,Buffalo & Erie County Public Library System,ocm51766691|RBR Mss. C33A64 1400z
http://www.wikidata.org/entity/Q137711547,"Buffalo, New York, Buffalo & Erie County Public Library, RBR Mss. C33B7 1000z","manuscript containing Breviarium, notated",DS26212,https://search.digital-scriptorium.org/catalog/DS26212,Q100649,Q100650,Buffalo & Erie County Public Library System,ocm51766708|RBR Mss. C33B7 1000z
http://www.wikidata.org/entity/Q137711541,"Buffalo, New York, Buffalo & Erie County Public Library, RBR Mss. I55 1500",manuscript containing Initial C from a medieval choirbook,DS26213,https://search.digital-scriptorium.org/catalog/DS26213,Q100415,Q100416,Buffalo & Erie County Public Library System,ocm51766722|RBR Mss. I55 1500
http://www.wikidata.org/entity/Q137711548,"Buffalo, New York, Buffalo & Erie County Public Library, RBR Mss. C33M54 1400",manuscript containing Missale,DS26214,https://search.digital-scriptorium.org/catalog/DS26214,Q100652,Q100653,Buffalo & Erie County Public Library System,ocm51766859|RBR Mss. C33M54 1400
http://www.wikidata.org/entity/Q137711549,"Buffalo, New York, Buffalo & Erie County Public Library, RBR Mss. C33G74 1300z",manuscript containing Gradual,DS26215,https://search.digital-scriptorium.org/catalog/DS26215,Q100655,Q100656,Buffalo & Erie County Public Library System,ocm51766864|RBR Mss. C33G74 1300z
http://www.wikidata.org/entity/Q137711550,"Buffalo, New York, Buffalo & Erie County Public Library, RBR Mss. C33B74 900z",manuscript containing Breviarium,DS26284,https://search.digital-scriptorium.org/catalog/DS26284,Q100658,Q100659,Buffalo & Erie County Public Library System,ocm51766869|RBR Mss. C33B74 900z
http://www.wikidata.org/entity/Q137711551,"Buffalo, New York, Buffalo & Erie County Public Library, RBR Mss. C33G73 1100z",manuscript containing Gradual,DS26285,https://search.digital-scriptorium.org/catalog/DS26285,Q100661,Q100662,Buffalo & Erie County Public Library System,ocm51775160|RBR Mss. C33G73 1100z
http://www.wikidata.org/entity/Q137711552,"Buffalo, New York, Buffalo & Erie County Public Library, RBR Mss. C36 1300z",manuscript containing Constitutiones Clementinae,DS26286,https://search.digital-scriptorium.org/catalog/DS26286,Q100664,Q100665,Buffalo & Erie County Public Library System,ocm51775180|RBR Mss. C36 1300z
http://www.wikidata.org/entity/Q137711553,"Buffalo, New York, Buffalo & Erie County Public Library, RBR Mss. C33A62 1100z",manuscript containing Antiphonarium,DS26287,https://search.digital-scriptorium.org/catalog/DS26287,Q100667,Q100668,Buffalo & Erie County Public Library System,ocm51775213|RBR Mss. C33A62 1100z
http://www.wikidata.org/entity/Q137711554,"Buffalo, New York, Buffalo & Erie County Public Library, RBR Mss. C33G72 1500z",manuscript containing Graduale,DS26288,https://search.digital-scriptorium.org/catalog/DS26288,Q100670,Q100671,Buffalo & Erie County Public Library System,ocm51775235|RBR Mss. C33G72 1500z
http://www.wikidata.org/entity/Q137711555,"Buffalo, New York, Buffalo & Erie County Public Library, RBR Mss. C33G71 1300z",manuscript containing Graduale,DS26289,https://search.digital-scriptorium.org/catalog/DS26289,Q100673,Q100674,Buffalo & Erie County Public Library System,ocm51775411|RBR Mss. C33G71 1300z
http://www.wikidata.org/entity/Q137711556,"Buffalo, New York, Buffalo & Erie County Public Library, RBR Mss. C33S47 1400z",manuscript containing Sequentiary,DS26290,https://search.digital-scriptorium.org/catalog/DS26290,Q100676,Q100677,Buffalo & Erie County Public Library System,ocm51775421|RBR Mss. C33S47 1400z
http://www.wikidata.org/entity/Q137711557,"Buffalo, New York, Buffalo & Erie County Public Library, RBR Mss. C33G73 1400z",manuscript containing Gradual,DS26291,https://search.digital-scriptorium.org/catalog/DS26291,Q100679,Q100680,Buffalo & Erie County Public Library System,ocm51775430|RBR Mss. C33G73 1400z
http://www.wikidata.org/entity/Q137711558,"Buffalo, New York, Buffalo & Erie County Public Library, RBR Mss. C33H96 1400z",manuscript containing Hymnal,DS26292,https://search.digital-scriptorium.org/catalog/DS26292,Q100682,Q100683,Buffalo & Erie County Public Library System,ocm51775444|RBR Mss. C33H96 1400z
http://www.wikidata.org/entity/Q137711559,"Buffalo, New York, Buffalo & Erie County Public Library, RBR Mss. C33G76 1400z",manuscript containing Gradual,DS26293,https://search.digital-scriptorium.org/catalog/DS26293,Q100685,Q100686,Buffalo & Erie County Public Library System,ocm51775460|RBR Mss. C33G76 1400z
http://www.wikidata.org/entity/Q137711560,"Buffalo, New York, Buffalo & Erie County Public Library, RBR Mss. C33A65 1400z",manuscript containing Antiphonarium,DS26294,https://search.digital-scriptorium.org/catalog/DS26294,Q100688,Q100689,Buffalo & Erie County Public Library System,ocm51777046|RBR Mss. C33A65 1400z
http://www.wikidata.org/entity/Q137711561,"Buffalo, New York, Buffalo & Erie County Public Library, RBR Mss. C33G77 1400z",manuscript containing Gradual,DS26295,https://search.digital-scriptorium.org/catalog/DS26295,Q100691,Q100692,Buffalo & Erie County Public Library System,ocm51777106|RBR Mss. C33G77 1400z
http://www.wikidata.org/entity/Q137711562,"Buffalo, New York, Buffalo & Erie County Public Library, RBR Mss. F74 1300z",manuscript containing Inventarium iuris canonici]. /,DS26296,https://search.digital-scriptorium.org/catalog/DS26296,Q100694,Q100695,Buffalo & Erie County Public Library System,ocm51777213|RBR Mss. F74 1300z
http://www.wikidata.org/entity/Q137711563,"Buffalo, New York, Buffalo & Erie County Public Library, RBR Mss. C33A66 1400z",manuscript containing Antiphonarium,DS26297,https://search.digital-scriptorium.org/catalog/DS26297,Q100697,Q100698,Buffalo & Erie County Public Library System,ocm51784099|RBR Mss. C33A66 1400z
http://www.wikidata.org/entity/Q137711564,"Buffalo, New York, Buffalo & Erie County Public Library, RBR Mss. C33A58 1200z",manuscript containing Antiphonarium,DS26298,https://search.digital-scriptorium.org/catalog/DS26298,Q100700,Q100701,Buffalo & Erie County Public Library System,ocm51785848|RBR Mss. C33A58 1200z
http://www.wikidata.org/entity/Q137711542,"Buffalo, New York, Buffalo & Erie County Public Library, RBR Print 235",manuscript containing Medieval manuscript leaves,DS26299,https://search.digital-scriptorium.org/catalog/DS26299,Q100703,Q100704,Buffalo & Erie County Public Library System,ocm51934990|RBR Print 235
http://www.wikidata.org/entity/Q137711565,"Buffalo, New York, Buffalo & Erie County Public Library, RBR Mss. O75 1480",manuscript containing Original leaf from an illuminated manuscript on vellum,DS26300,https://search.digital-scriptorium.org/catalog/DS26300,Q100706,Q100707,Buffalo & Erie County Public Library System,ocm52093223|RBR Mss. O75 1480
http://www.wikidata.org/entity/Q137711566,"Buffalo, New York, Buffalo & Erie County Public Library, RBR Mss. B66 1450",manuscript containing Book of hours of the Blessed Virgin Mary,DS26301,https://search.digital-scriptorium.org/catalog/DS26301,Q100709,Q100710,Buffalo & Erie County Public Library System,ocm52580430|RBR Mss. B66 1450
http://www.wikidata.org/entity/Q137711567,"Buffalo, New York, Buffalo & Erie County Public Library, RBR Mss. C33M55 1400z",manuscript containing Manuscript missel on vellum of the XV century [Book of hours] /,DS26302,https://search.digital-scriptorium.org/catalog/DS26302,Q100712,Q100713,Buffalo & Erie County Public Library System,ocm52581244|RBR Mss. C33M55 1400z
