item,itemLabel,description,DSID,searchURL,manuscriptQID,recordQID,collection,identifiers
http://www.wikidata.org/entity/Q138106186,"Williamstown, Massachusetts, Williams College, Codex Mss 001",manuscript containing [New Testament. Codex Theodori],DS25480,https://search.digital-scriptorium.org/catalog/DS25480,Q98166,Q98167,Williams College,Codex Mss 001
http://www.wikidata.org/entity/Q138105939,"Williamstown, Massachusetts, Williams College, Codex Mss 002",manuscript containing [Lectionary of the Gospels].; Evangelii fragmenta membra Greca sec XI,DS25481,https://search.digital-scriptorium.org/catalog/DS25481,Q98169,Q98170,Williams College,Codex Mss 002
http://www.wikidata.org/entity/Q138106188,"Williamstown, Massachusetts, Williams College, Codex Mss 003",manuscript containing [Homeliae super Genesim],DS25482,https://search.digital-scriptorium.org/catalog/DS25482,Q98172,Q98173,Williams College,Codex Mss 003
http://www.wikidata.org/entity/Q138106189,"Williamstown, Massachusetts, Williams College, Codex Mss 004",manuscript containing [Liber Genesis cum commentarius Bedae].,DS25483,https://search.digital-scriptorium.org/catalog/DS25483,Q98175,Q98176,Williams College,Codex Mss 004
http://www.wikidata.org/entity/Q138106191,"Williamstown, Massachusetts, Williams College, Codex Mss 005",manuscript containing [Liber (visionis) esaiae prophetae cum prologo et expositione S. Hieronymi].,DS25484,https://search.digital-scriptorium.org/catalog/DS25484,Q98178,Q98179,Williams College,Codex Mss 005
http://www.wikidata.org/entity/Q138105941,"Williamstown, Massachusetts, Williams College, Codex Mss 006",manuscript containing [Actus Apostolorum].,DS25485,https://search.digital-scriptorium.org/catalog/DS25485,Q98181,Q98182,Williams College,Codex Mss 006
http://www.wikidata.org/entity/Q138105943,"Williamstown, Massachusetts, Williams College, Codex Mss 007",manuscript containing Lectiones evangeliorum de circulo anni.,DS25486,https://search.digital-scriptorium.org/catalog/DS25486,Q98184,Q98185,Williams College,Codex Mss 007
http://www.wikidata.org/entity/Q138105944,"Williamstown, Massachusetts, Williams College, Codex Mss 008",manuscript containing [Psalterium cum canticis],DS25487,https://search.digital-scriptorium.org/catalog/DS25487,Q98187,Q98188,Williams College,Codex Mss 008
http://www.wikidata.org/entity/Q138105946,"Williamstown, Massachusetts, Williams College, Codex Mss 009",manuscript containing [Psalterium Benedictum],DS25488,https://search.digital-scriptorium.org/catalog/DS25488,Q98190,Q98191,Williams College,Codex Mss 009
http://www.wikidata.org/entity/Q138105948,"Williamstown, Massachusetts, Williams College, Codex Mss 010",manuscript containing [Psalterium Romanum ad Usum Ord. Francisci].,DS25489,https://search.digital-scriptorium.org/catalog/DS25489,Q98193,Q98194,Williams College,Codex Mss 010
http://www.wikidata.org/entity/Q138105949,"Williamstown, Massachusetts, Williams College, Codex Mss 011",manuscript containing [Processionale Purificationes B.V. Mariae].,DS25490,https://search.digital-scriptorium.org/catalog/DS25490,Q98196,Q98197,Williams College,Codex Mss 011
http://www.wikidata.org/entity/Q138105958,"Williamstown, Massachusetts, Williams College, Codex Mss 012",manuscript containing Graduale,DS25491,https://search.digital-scriptorium.org/catalog/DS25491,Q98199,Q98200,Williams College,Codex Mss 012
http://www.wikidata.org/entity/Q138105961,"Williamstown, Massachusetts, Williams College, Codex Mss 013",manuscript containing [Horae B.V.M. use of Autun].,DS25492,https://search.digital-scriptorium.org/catalog/DS25492,Q98202,Q98203,Williams College,Codex Mss 013
http://www.wikidata.org/entity/Q138105962,"Williamstown, Massachusetts, Williams College, Codex Mss 014",manuscript containing [Horae B.V.M. use of Rome].,DS25493,https://search.digital-scriptorium.org/catalog/DS25493,Q98205,Q98206,Williams College,Codex Mss 014
http://www.wikidata.org/entity/Q138105964,"Williamstown, Massachusetts, Williams College, Codex Mss 015",manuscript containing [Horae B.V.M. use of Sens (Troyes)].,DS25494,https://search.digital-scriptorium.org/catalog/DS25494,Q98208,Q98209,Williams College,Codex Mss 015
