item,itemLabel,description,DSID,searchURL,manuscriptQID,recordQID,collection,identifiers
http://www.wikidata.org/entity/Q131312575,"Poughkeepsie, New York, Vassar College, MS. 19",manuscript containing Portable breviary; Franciscan use,DS11908,https://search.digital-scriptorium.org/catalog/DS11908,Q51088,Q51089,Vassar College,991002019079707396|MS. 19
http://www.wikidata.org/entity/Q131312576,"Poughkeepsie, New York, Vassar College, MS. 22",manuscript containing Commendations of Souls,DS11909,https://search.digital-scriptorium.org/catalog/DS11909,Q51091,Q51092,Vassar College,991007770009707396|MS. 22
http://www.wikidata.org/entity/Q131312577,"Poughkeepsie, New York, Vassar College, MS. 21",manuscript containing Compilation of excerpts from Sebastian Franck's Chronica,DS11910,https://search.digital-scriptorium.org/catalog/DS11910,Q51094,Q51095,Vassar College,991007770269707396|MS. 21
http://www.wikidata.org/entity/Q131312578,"Poughkeepsie, New York, Vassar College, Scheetz MS. 15",manuscript containing Eleven leaves from a pocket Bible,DS11911,https://search.digital-scriptorium.org/catalog/DS11911,Q51097,Q51098,Vassar College,991008325379707396|Scheetz MS. 15
http://www.wikidata.org/entity/Q131312579,"Poughkeepsie, New York, Vassar College, Scheetz MS. 8",manuscript containing Gradual for Advent and Christmas,DS11912,https://search.digital-scriptorium.org/catalog/DS11912,Q51100,Q51101,Vassar College,991008325509707396|Scheetz MS. 8
http://www.wikidata.org/entity/Q131312580,"Poughkeepsie, New York, Vassar College, Scheetz MS. 6",manuscript containing Portions of a psalter,DS11913,https://search.digital-scriptorium.org/catalog/DS11913,Q51103,Q51104,Vassar College,991008326209707396|Scheetz MS. 6
http://www.wikidata.org/entity/Q131312581,"Poughkeepsie, New York, Vassar College, Scheetz MS. 7",manuscript containing Portion of a breviary; use of Paris,DS11914,https://search.digital-scriptorium.org/catalog/DS11914,Q51106,Q51107,Vassar College,991008327969707396|Scheetz MS. 7
http://www.wikidata.org/entity/Q131312582,"Poughkeepsie, New York, Vassar College, Scheetz MS. 3",manuscript containing Incomplete Book of hours,DS11915,https://search.digital-scriptorium.org/catalog/DS11915,Q51109,Q51110,Vassar College,991008329869707396|Scheetz MS. 3
http://www.wikidata.org/entity/Q131312584,"Poughkeepsie, New York, Vassar College, Scheetz MS. 4",manuscript containing Portion of a Book of hours,DS11916,https://search.digital-scriptorium.org/catalog/DS11916,Q51112,Q51113,Vassar College,991008330359707396|Scheetz MS. 4
http://www.wikidata.org/entity/Q131312585,"Poughkeepsie, New York, Vassar College, Scheetz MS. 1",manuscript containing Summa abel,DS11917,https://search.digital-scriptorium.org/catalog/DS11917,Q51115,Q51116,Vassar College,991008523579707396|Scheetz MS. 1
