item,itemLabel,description,DSID,searchURL,manuscriptQID,recordQID,collection,identifiers
http://www.wikidata.org/entity/Q138499894,"Cambridge, Massachusetts, Harvard University, MS Fr 770",manuscript containing Le livre de lamentations,DS10350,https://search.digital-scriptorium.org/catalog/DS10350,Q45151,Q45152,Harvard University,99156744581003941|MS Fr 770
http://www.wikidata.org/entity/Q138499895,"Cambridge, Massachusetts, Harvard University, MS Lat 493",manuscript containing Breviary,DS10351,https://search.digital-scriptorium.org/catalog/DS10351,Q45154,Q45155,Harvard University,99156720872703941|MS Lat 493
http://www.wikidata.org/entity/Q138499896,"Cambridge, Massachusetts, Harvard University, MS Typ 1342","manuscript containing Quatrains du Sieur de Pybrac, gentil-homme françois [sic; escrit [sic] en diverses sortes de lettres par Esther Anglois françoise [sic] à Lislebourg le X. de Dec. 1599",DS10352,https://search.digital-scriptorium.org/catalog/DS10352,Q45157,Q45158,Harvard University,99156682379203941|MS Typ 1342
http://www.wikidata.org/entity/Q138499897,"Cambridge, Massachusetts, Harvard University, MS Lat 491",manuscript containing Breviary,DS10353,https://search.digital-scriptorium.org/catalog/DS10353,Q45160,Q45161,Harvard University,99156656783103941|MS Lat 491
http://www.wikidata.org/entity/Q138499898,"Cambridge, Massachusetts, Harvard University, MS Lat 492",manuscript containing Psalter leaf,DS10354,https://search.digital-scriptorium.org/catalog/DS10354,Q45163,Q45164,Harvard University,99156572768703941|MS Lat 492
http://www.wikidata.org/entity/Q138499899,"Cambridge, Massachusetts, Harvard University, MS Lat 488",manuscript containing Sacra poesis ... Jano Bernuio Villanouano interprete,DS10355,https://search.digital-scriptorium.org/catalog/DS10355,Q45166,Q45167,Harvard University,99156379175703941|MS Lat 488
http://www.wikidata.org/entity/Q138499900,"Cambridge, Massachusetts, Harvard University, MS Fr 756",manuscript containing Grant,DS10356,https://search.digital-scriptorium.org/catalog/DS10356,Q45169,Q45170,Harvard University,99156374681603941|MS Fr 756
http://www.wikidata.org/entity/Q138499901,"Cambridge, Massachusetts, Harvard University, MS Typ 1326",manuscript containing Prayer book,DS10357,https://search.digital-scriptorium.org/catalog/DS10357,Q45172,Q45173,Harvard University,99156354970803941|MS Typ 1326
http://www.wikidata.org/entity/Q138499902,"Cambridge, Massachusetts, Harvard University, MS Lat 487",manuscript containing Book of hours,DS10358,https://search.digital-scriptorium.org/catalog/DS10358,Q45175,Q45176,Harvard University,99156324583103941|MS Lat 487
http://www.wikidata.org/entity/Q138499903,"Cambridge, Massachusetts, Harvard University, MS Lat 485",manuscript containing Three leaves from a noted breviary,DS10359,https://search.digital-scriptorium.org/catalog/DS10359,Q45178,Q45179,Harvard University,99156175579903941|MS Lat 485
http://www.wikidata.org/entity/Q138499904,"Cambridge, Massachusetts, Harvard University, MS Lat 486",manuscript containing Two consecutive leaves from a Spanish antiphonary,DS10360,https://search.digital-scriptorium.org/catalog/DS10360,Q45181,Q45182,Harvard University,99156175579703941|MS Lat 486
http://www.wikidata.org/entity/Q138499343,"Cambridge, Massachusetts, Harvard University, MS Lat 489",manuscript containing Cena maletractati,DS10361,https://search.digital-scriptorium.org/catalog/DS10361,Q45184,Q45185,Harvard University,99155925377603941|MS Lat 489
http://www.wikidata.org/entity/Q138499905,"Cambridge, Massachusetts, Harvard University, MS Ger 333",manuscript containing Von dem hochwurdigen sacrament unsers Herren,DS10362,https://search.digital-scriptorium.org/catalog/DS10362,Q45187,Q45188,Harvard University,99155238919403941|MS Ger 333
http://www.wikidata.org/entity/Q138499906,"Cambridge, Massachusetts, Harvard University, MS Indic 209",manuscript containing Prauḍhamanoramā ; Vaidikīprakriyā,DS10363,https://search.digital-scriptorium.org/catalog/DS10363,Q45190,Q45191,Harvard University,99154202018403941|MS Indic 209
http://www.wikidata.org/entity/Q138499915,"Cambridge, Massachusetts, Harvard University, MS Slavic 27",manuscript containing Paterik pecherskīĭ,DS10364,https://search.digital-scriptorium.org/catalog/DS10364,Q45193,Q45194,Harvard University,99153836171803941|MS Slavic 27
http://www.wikidata.org/entity/Q138499917,"Cambridge, Massachusetts, Harvard University, MS Lat 477",manuscript containing Missal leaf,DS10365,https://search.digital-scriptorium.org/catalog/DS10365,Q45196,Q45197,Harvard University,99153818504403941|MS Lat 477
http://www.wikidata.org/entity/Q138499918,"Cambridge, Massachusetts, Harvard University, MS Indic 47",manuscript containing Kumārasaṁbhava,DS10366,https://search.digital-scriptorium.org/catalog/DS10366,Q45199,Q45200,Harvard University,99153801365203941|MS Indic 47
http://www.wikidata.org/entity/Q138499922,"Cambridge, Massachusetts, Harvard University, MS Typ 552",manuscript containing Fragment of a sutra,DS10367,https://search.digital-scriptorium.org/catalog/DS10367,Q45202,Q45203,Harvard University,99153799907903941|MS Typ 552
http://www.wikidata.org/entity/Q138499923,"Cambridge, Massachusetts, Harvard University, MS Typ 551","manuscript containing Monk Konin conversing with a layman by the seashore, from the legendary history of the Jin'o-ji",DS10368,https://search.digital-scriptorium.org/catalog/DS10368,Q45205,Q45206,Harvard University,99153770701103941|MS Typ 551
