item,itemLabel,description,DSID,searchURL,manuscriptQID,recordQID,collection,identifiers
http://www.wikidata.org/entity/Q138878335,"Philadelphia, Pennsylvania, University of Pennsylvania, Ms. Codex 1268",manuscript containing Manuale Bernardi Canal notarii de Rippis,DS1000,https://search.digital-scriptorium.org/catalog/DS1000,Q5449,Q5450,University of Pennsylvania,9944209083503681|Ms. Codex 1268
http://www.wikidata.org/entity/Q138878336,"Philadelphia, Pennsylvania, University of Pennsylvania, Ms. Codex 1271",manuscript containing Opuscula,DS1001,https://search.digital-scriptorium.org/catalog/DS1001,Q5452,Q5453,University of Pennsylvania,9944265733503681|Ms. Codex 1271
http://www.wikidata.org/entity/Q138878337,"Philadelphia, Pennsylvania, University of Pennsylvania, Ms. Codex 1272",manuscript containing Ledger of Medici debtors and creditors,DS1002,https://search.digital-scriptorium.org/catalog/DS1002,Q5509,Q5510,University of Pennsylvania,9944266983503681|Ms. Codex 1272
http://www.wikidata.org/entity/Q138878338,"Philadelphia, Pennsylvania, University of Pennsylvania, Ms. Codex 1273",manuscript containing Ledger of Medici debtors and creditors,DS1003,https://search.digital-scriptorium.org/catalog/DS1003,Q5512,Q5513,University of Pennsylvania,9944270223503681|Ms. Codex 1273
http://www.wikidata.org/entity/Q138878340,"Philadelphia, Pennsylvania, University of Pennsylvania, Ms. Codex 1274",manuscript containing Ledger of Medici debtors and creditors,DS1004,https://search.digital-scriptorium.org/catalog/DS1004,Q5515,Q5516,University of Pennsylvania,9944279193503681|Ms. Codex 1274
http://www.wikidata.org/entity/Q138878341,"Philadelphia, Pennsylvania, University of Pennsylvania, Ms. Codex 1275",manuscript containing Ledger of Medici debtors and creditors,DS1005,https://search.digital-scriptorium.org/catalog/DS1005,Q5518,Q5519,University of Pennsylvania,9944332753503681|Ms. Codex 1275
http://www.wikidata.org/entity/Q138878342,"Philadelphia, Pennsylvania, University of Pennsylvania, Ms. Codex 1276",manuscript containing Property inventory of Bivigliano de' Medici,DS1006,https://search.digital-scriptorium.org/catalog/DS1006,Q5521,Q5522,University of Pennsylvania,9944285313503681|Ms. Codex 1276
http://www.wikidata.org/entity/Q138878343,"Philadelphia, Pennsylvania, University of Pennsylvania, Oversize Ms. Codex 1277",manuscript containing Ledger of debtors and creditors,DS1007,https://search.digital-scriptorium.org/catalog/DS1007,Q5524,Q5525,University of Pennsylvania,9944285343503681|Oversize Ms. Codex 1277
http://www.wikidata.org/entity/Q138878345,"Philadelphia, Pennsylvania, University of Pennsylvania, Ms. Codex 1278",manuscript containing Ledger of Medici debtors and creditors,DS1008,https://search.digital-scriptorium.org/catalog/DS1008,Q5527,Q5528,University of Pennsylvania,9944302473503681|Ms. Codex 1278
http://www.wikidata.org/entity/Q138878346,"Philadelphia, Pennsylvania, University of Pennsylvania, Ms. Codex 1279",manuscript containing Ledger of Medici debtors and creditors,DS1009,https://search.digital-scriptorium.org/catalog/DS1009,Q5530,Q5531,University of Pennsylvania,9944302493503681|Ms. Codex 1279
http://www.wikidata.org/entity/Q138877631,"Philadelphia, Pennsylvania, University of Pennsylvania, LJS 191",manuscript containing Commentary on the Ephemerides of Regiomontanus,DS101,https://search.digital-scriptorium.org/catalog/DS101,Q483,Q484,University of Pennsylvania,9950320043503681|LJS 191
http://www.wikidata.org/entity/Q138878347,"Philadelphia, Pennsylvania, University of Pennsylvania, Ms. Codex 1280",manuscript containing Ledger of Medici debtors and creditors,DS1010,https://search.digital-scriptorium.org/catalog/DS1010,Q5533,Q5534,University of Pennsylvania,9944302523503681|Ms. Codex 1280
http://www.wikidata.org/entity/Q138878348,"Philadelphia, Pennsylvania, University of Pennsylvania, Ms. Codex 1281",manuscript containing Ledger of Medici debtors and creditors,DS1011,https://search.digital-scriptorium.org/catalog/DS1011,Q5536,Q5537,University of Pennsylvania,9944302533503681|Ms. Codex 1281
http://www.wikidata.org/entity/Q138878349,"Philadelphia, Pennsylvania, University of Pennsylvania, Ms. Codex 1282",manuscript containing Ledger of Medici debtors and creditors,DS1012,https://search.digital-scriptorium.org/catalog/DS1012,Q5539,Q5540,University of Pennsylvania,9944307083503681|Ms. Codex 1282
http://www.wikidata.org/entity/Q138878351,"Philadelphia, Pennsylvania, University of Pennsylvania, Ms. Codex 1283",manuscript containing Ledger of Medici debtors and creditors,DS1013,https://search.digital-scriptorium.org/catalog/DS1013,Q5542,Q5543,University of Pennsylvania,9944307123503681|Ms. Codex 1283
http://www.wikidata.org/entity/Q138878352,"Philadelphia, Pennsylvania, University of Pennsylvania, Ms. Codex 1284",manuscript containing Ledger of Medici debtors and creditors,DS1014,https://search.digital-scriptorium.org/catalog/DS1014,Q5545,Q5546,University of Pennsylvania,9944307113503681|Ms. Codex 1284
http://www.wikidata.org/entity/Q138878353,"Philadelphia, Pennsylvania, University of Pennsylvania, Ms. Codex 1285",manuscript containing Survey of property in Tarn,DS1015,https://search.digital-scriptorium.org/catalog/DS1015,Q5548,Q5549,University of Pennsylvania,9944307033503681|Ms. Codex 1285
http://www.wikidata.org/entity/Q138878354,"Philadelphia, Pennsylvania, University of Pennsylvania, Ms. Codex 1286",manuscript containing Ledger of Medici debtors and creditors,DS1016,https://search.digital-scriptorium.org/catalog/DS1016,Q5551,Q5552,University of Pennsylvania,9944311153503681|Ms. Codex 1286
http://www.wikidata.org/entity/Q138878355,"Philadelphia, Pennsylvania, University of Pennsylvania, Ms. Codex 1287",manuscript containing Ledger of Medici debtors and creditors,DS1017,https://search.digital-scriptorium.org/catalog/DS1017,Q5554,Q5555,University of Pennsylvania,9944311163503681|Ms. Codex 1287
http://www.wikidata.org/entity/Q138878356,"Philadelphia, Pennsylvania, University of Pennsylvania, Ms. Codex 1288",manuscript containing Ledger of Medici debtors and creditors,DS1018,https://search.digital-scriptorium.org/catalog/DS1018,Q5557,Q5558,University of Pennsylvania,9944311173503681|Ms. Codex 1288
http://www.wikidata.org/entity/Q138878358,"Philadelphia, Pennsylvania, University of Pennsylvania, Ms. Codex 1289",manuscript containing Ledger of Medici debtors and creditors,DS1019,https://search.digital-scriptorium.org/catalog/DS1019,Q5560,Q5561,University of Pennsylvania,9944311183503681|Ms. Codex 1289
http://www.wikidata.org/entity/Q125808969,"Philadelphia, University of Pennsylvania, Kislak Center for Special Collections, LJS 264","Medieval manuscript containing the text ""Ymage du Monde""",DS102,https://search.digital-scriptorium.org/catalog/DS102,Q486,Q487,University of Pennsylvania,9957607433503681|LJS 264
http://www.wikidata.org/entity/Q138878359,"Philadelphia, Pennsylvania, University of Pennsylvania, Ms. Codex 1290",manuscript containing Ledger of Medici debtors and creditors,DS1020,https://search.digital-scriptorium.org/catalog/DS1020,Q5563,Q5564,University of Pennsylvania,9944311303503681|Ms. Codex 1290
http://www.wikidata.org/entity/Q138878360,"Philadelphia, Pennsylvania, University of Pennsylvania, Ms. Codex 1291",manuscript containing Ledger of Medici accounts,DS1021,https://search.digital-scriptorium.org/catalog/DS1021,Q5566,Q5567,University of Pennsylvania,9944329633503681|Ms. Codex 1291
http://www.wikidata.org/entity/Q138878361,"Philadelphia, Pennsylvania, University of Pennsylvania, Ms. Codex 1292","manuscript containing Ledger of Medici debtors and creditors, memoranda and other records",DS1022,https://search.digital-scriptorium.org/catalog/DS1022,Q5569,Q5570,University of Pennsylvania,9944329703503681|Ms. Codex 1292
http://www.wikidata.org/entity/Q138878410,"Philadelphia, Pennsylvania, University of Pennsylvania, Ms. Codex 1293",manuscript containing Ledger of Medici debtors and creditors,DS1023,https://search.digital-scriptorium.org/catalog/DS1023,Q5572,Q5573,University of Pennsylvania,9944329743503681|Ms. Codex 1293
http://www.wikidata.org/entity/Q138878411,"Philadelphia, Pennsylvania, University of Pennsylvania, Ms. Codex 1294",manuscript containing Ledger of Medici accounts,DS1024,https://search.digital-scriptorium.org/catalog/DS1024,Q5575,Q5576,University of Pennsylvania,9944329803503681|Ms. Codex 1294
