item,itemLabel,description,DSID,searchURL,manuscriptQID,recordQID,collection,identifiers
http://www.wikidata.org/entity/Q139390455,"Malibu, California, Pepperdine University, BM657.T6",manuscript containing Manuscript Torah scroll,DS30368,https://search.digital-scriptorium.org/catalog/DS30368,Q114334,Q114335,Pepperdine University,on1572973243|BM657.T6
http://www.wikidata.org/entity/Q139390457,"Malibu, California, Pepperdine University, ML3082.T449 1442","manuscript containing Text of the Gregorian chant, Spain, 1442",DS30369,https://search.digital-scriptorium.org/catalog/DS30369,Q114337,Q114338,Pepperdine University,on1294314294|ML3082.T449 1442
http://www.wikidata.org/entity/Q139390459,"Malibu, California, Pepperdine University, M2148.L1S7",manuscript containing Valencia gradual single leaf,DS30370,https://search.digital-scriptorium.org/catalog/DS30370,Q114340,Q114341,Pepperdine University,on1572256814|M2148.L1S7
http://www.wikidata.org/entity/Q139390450,"Malibu, California, Pepperdine University, Ege 2",manuscript containing Miniature manuscript Bible leaf,DS30371,https://search.digital-scriptorium.org/catalog/DS30371,Q114343,Q114344,Pepperdine University,on1573056635|Ege 2
http://www.wikidata.org/entity/Q139390452,"Malibu, California, Pepperdine University, Ege 1",manuscript containing Armenian manuscript Bible leaf,DS30372,https://search.digital-scriptorium.org/catalog/DS30372,Q114346,Q114347,Pepperdine University,on1573055307|Ege 1
http://www.wikidata.org/entity/Q139390454,"Malibu, California, Pepperdine University, Ege 3",manuscript containing Paris manuscript Bible leaf,DS30373,https://search.digital-scriptorium.org/catalog/DS30373,Q114349,Q114350,Pepperdine University,on1573359699|Ege 3
http://www.wikidata.org/entity/Q139390460,"Malibu, California, Pepperdine University, CS429.G46",manuscript containing The Genealogie Royall and lineall discent of all the Kinges and Queenes of England,DS30374,https://search.digital-scriptorium.org/catalog/DS30374,Q114352,Q114353,Pepperdine University,on1285975530|CS429.G46
http://www.wikidata.org/entity/Q139390462,"Malibu, California, Pepperdine University, M2147.H563 1572","manuscript containing Untitled Franciscan antiphonal, 1572, with additions from 1662 and 1798] /",DS30375,https://search.digital-scriptorium.org/catalog/DS30375,Q114355,Q114356,Pepperdine University,on1277087026|M2147.H563 1572
http://www.wikidata.org/entity/Q139390464,"Malibu, California, Pepperdine University, BX2000.6.A2 1500z","manuscript containing Matutinal breviary from Easter to Pentecost for Dominican use, 1475-1500",DS30376,https://search.digital-scriptorium.org/catalog/DS30376,Q114358,Q114359,Pepperdine University,on1280428293|BX2000.6.A2 1500z
http://www.wikidata.org/entity/Q139390472,"Malibu, California, Pepperdine University, PK6455.A2 1700z",manuscript containing Manuscript copy of part of the Shahnama [the Book of Kings] /,DS30377,https://search.digital-scriptorium.org/catalog/DS30377,Q114361,Q114362,Pepperdine University,on1561532828|PK6455.A2 1700z
http://www.wikidata.org/entity/Q139390474,"Malibu, California, Pepperdine University, BS1372.5.E88 1800z",manuscript containing Scroll of the Book of Esther,DS30378,https://search.digital-scriptorium.org/catalog/DS30378,Q114364,Q114365,Pepperdine University,on1285327311|BS1372.5.E88 1800z
http://www.wikidata.org/entity/Q139390476,"Malibu, California, Pepperdine University, BX1319.P37 1554","manuscript containing Official papal brief, 1554",DS30379,https://search.digital-scriptorium.org/catalog/DS30379,Q114367,Q114368,Pepperdine University,on1286630839|BX1319.P37 1554
http://www.wikidata.org/entity/Q139390478,"Malibu, California, Pepperdine University, BX2080.B36 1450z",manuscript containing Book of hours; use of Rome,DS30380,https://search.digital-scriptorium.org/catalog/DS30380,Q114370,Q114371,Pepperdine University,on1527206060|BX2080.B36 1450z
http://www.wikidata.org/entity/Q139390479,"Malibu, California, Pepperdine University, M2148.L1S634 no.1",manuscript containing Gradual single leaf no.1,DS30381,https://search.digital-scriptorium.org/catalog/DS30381,Q114373,Q114374,Pepperdine University,on1572381805|M2148.L1S634 no.1
http://www.wikidata.org/entity/Q139390481,"Malibu, California, Pepperdine University, M2148.L1S634 no.2",manuscript containing Gradual single leaf no.2,DS30382,https://search.digital-scriptorium.org/catalog/DS30382,Q114376,Q114377,Pepperdine University,on1572717991|M2148.L1S634 no.2
http://www.wikidata.org/entity/Q139390483,"Malibu, California, Pepperdine University, M2148.L1S634 no.3",manuscript containing Gradual single leaf no.3,DS30383,https://search.digital-scriptorium.org/catalog/DS30383,Q114379,Q114380,Pepperdine University,on1572726603|M2148.L1S634 no.3
http://www.wikidata.org/entity/Q139390485,"Malibu, California, Pepperdine University, M2148.L1S634 no.4",manuscript containing Gradual leaves no.4,DS30384,https://search.digital-scriptorium.org/catalog/DS30384,Q114382,Q114383,Pepperdine University,on1572726683|M2148.L1S634 no.4
