ds_id,date_added,date_last_updated,source_type,cataloging_convention,holding_institution_ds_qid,holding_institution_as_recorded,holding_institution_id_number,holding_institution_shelfmark,link_to_holding_institution_record,iiif_manifest,production_place_as_recorded,production_place_ds_qid,production_date_as_recorded,production_date,century,century_aat,dated,title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_agr,standard_title_ds_qid,genre_as_recorded,genre_ds_qid,subject_as_recorded,subject_ds_qid,author_as_recorded,author_as_recorded_agr,author_ds_qid,artist_as_recorded,artist_as_recorded_agr,artist_ds_qid,scribe_as_recorded,scribe_as_recorded_agr,scribe_ds_qid,associated_agent_as_recorded,associated_agent_as_recorded_agr,associated_agent_ds_qid,former_owner_as_recorded,former_owner_as_recorded_agr,former_owner_ds_qid,language_as_recorded,language_ds_qid,material_as_recorded,material_ds_qid,physical_description,note,acknowledgments,data_processed_at,data_source_modified,source_file
,"","",marc-xml,amremm,Q67876,University of Chicago,2648826,Codex Ms. 19,http://pi.lib.uchicago.edu/1001/cat/bib/2648826,https://iiif-collection.lib.uchicago.edu/object/ark:61001/b22r97w8w16z.json,Germany?,Q131,14--,1400,15,http://vocab.getty.edu/aat/300404465,false,Evangeliorum Quattuor Harmonia,"",Bible,"",Q661;Q6034,codices (bound manuscripts)|Manuscript waste,Q168|Q5892,"Bible. Gospels--Harmonies|Manuscripts, Latin (Medieval and modern)--Illinois--Chicago|Manuscrits latins médiévaux et modernes--Illinois--Chicago",Q5839;Q38597|Q10783;Q67920|Q10783;Q67920,"","","","","","","","","","","","","Hengstenberg, Ernst Wilhelm, 1802-1869|Baptist Union Theological Seminary (Morgan Park, Ill.)",|,Q68567|Q68662,In Latin,Q113,"","",Extent: 120 leaves ; 134 x 101 (95 x 70) mm,"Codex manuscript.|Title supplied by cataloger.|Forms part of the Edgar J. Goodspeed Collection of New Testament Manuscripts. Formerly Goodspeed Ms. Lat. 1.|Collation: Paper; 2 (unfoliated flyleaves) + 117 + 1 (unfoliated flyleaf). Flyleaves conjoint with pastedowns. Modern foliation in Arabic numerals in pencil 1-117. Earlier foliation of leaf openings in red. Quires 1 through 9 of 12 leaves, the 10th quire is of 9 leaves. Catchwords at the end of quires 1 through 9. It is presumed the prologue, table of contents, and table description were bound initially in front of the Harmony's main text. At the beginning and end of the table of contents, the titles of gospel sections on lost leaves range from the conception of John the Baptist to his imprisonment by Herod Antipas, and from Jesus's cleansing of the temple to his ascension. Catchwords at the end of quires 1 through 9.|Watermarks: Watermark for quires 2 through 7 similar to Briquet, Balance dans un cercle 2447 (Gurck 1448, Munich 1450-1459, Hungary 1453-1470, Vienne 1454-1459). For quires 8, 9, and fol. 116, the watermark is similar to Briquet, Tour 15872 (Wied, 1477, Halberstadt, 1446, Gnessen, 1448).|Layout: 1 column, 24 to 26 lines (variants of 22 to 27 lines). Frame ruling with lead point.|Script: Written in cursive script mainly in dark brown ink (moderate fading).|Decoration: Major initials (10-15 mm) in blue ink with penwork flourishes in red. Minor initials in red or blue. The first letter of the opening word of most verses is highlighted in yellow.|Condition: Some marginal titles and ink foliation marred owing to trimming. Several leaves detached at the end of the manuscript. Random water, dirt, and grease stains.|Binding: Bound with parchment pieces of 2 missals upon which square musical notation (no staff lines), text, and penwork flourishes are visible. Phrase on back inside cover [s]eruorum tuorum..., possibly Psalm 73:22. Some marginal titles and ink foliation marred owing to trimming. Several leaves detached at the end of the manuscript.|Origin: The manuscript is dated to the 15th century, and may have been written in Germany.|Former shelfmark: Chicago, IL, University of Chicago, Goodspeed Ms. Lat. 1.|Former shelfmark: Chicago, IL, University of Chicago, BS3560.A4L3 1450.|Shelfmark: Chicago, IL, University of Chicago, Ms19.|Provenance unknown from the 15th to the mid-19th century. Belonged to German Lutheran theologian Ernst Wilhelm Hengstenberg (1802-1869), his surname inscribed in pencil (front flyleaf). Belonged also to the Baptist Union Theological Seminary of Chicago, Illinois which purchased Hengstenberg's Library from his heirs, December 1869. University of Chicago Libraries bookplate and stamp (front pastedown, flyleaf). Inscriptions and notation: adi 17 marzo 1550 io do zuav..., maria di nargarado, ego johanes + Caminus[?] (front flyleaf); Carissimo amant[issim]o m[esser] barba Sariti contento di mandarmi (fol. 111v); este liber est mei (back flyleaf, recto); adi 17 marzo 1550 io do.... (back flyleaf, verso); hec sine numine domini[?] eveniunt, este liber est mei domini....(back pastedown).","",2025-01-30 10:07:04 -0500,20240117,20250113-chicago-marc.xml
,"","",marc-xml,amremm,Q67876,University of Chicago,2660206,Codex Ms. 46,http://pi.lib.uchicago.edu/1001/cat/bib/2660206,https://iiif-collection.lib.uchicago.edu/object/ark:61001/b2r49613m73b.json,Greece,Q16421,12--,1200,13,http://vocab.getty.edu/aat/300404505,false,Haskell Gospels,"",Bible,"",Q661;Q6034;Q68155,codices (bound manuscripts)|Presentation leaves|Signed bindings,Q168|Q67921|Q16282,"Bible. Gospels.--Greek|Manuscripts, Greek--Illinois--Chicago",Q5839;Q67947|Q3512;Q67920,"","","","","","","Theodōros, ho Hagiopetritēs, active 13th century-14th century","",Q68597,"","","","","","",In Greek,Q1318,illustrations,"","Extent: 273 leaves : illustrations ; 265 x 180 (182 x 117) mm, bound to 279 x 194 mm","Manuscript codex.|Forms part of the Edgar J. Goodspeed Collection of New Testament Manuscripts. Formerly Goodspeed Ms. Grk. 2.|Title supplied by cataloger.|Collation: Parchment; fol. iii (unfoliated parchment leaves) + 267 + iii (unfoliated parchment leaves). Flyleaves of parchment are contemporary with the manuscript's rebinding of 1897. Modern foliation in Arabic numerals in pencil 1-267. 40 quires, each of 8 leaves, with the exception of quire 40 which contains 7 leaves. Estimate of content lost: 2 leaves of the lectionary references table (Johannine text, Easter through Pentecost); leaves 1 and 8 of quire 4 (after fols. 35 and 41, portions of Matthew 9:35-10:10, 12:15-29); leaf 1 of quire 15 (after fol. 121, Mark 7:24-36); leaves 1 and 8 of quire 16 (after fols. 128 and 134, Mark 9:48-10:14, and chap. 12); quires 17-23 (Mark 11:33-end; verse, headpiece, initial, Luke 1:1-9:2); leaves 1 and 8 of quire 32 (after fol. 198, verse, headpiece, initial, John 1:1-14, and after fol. 204, 3:14-27). Quire numbers recorded on the first and last leaf of each quire (lower margin) beginning at fol. 12 (1-40, [alpha]-[mu]).|Layout: 1 column, 20 lines (variants of 19 to 21 lines). Ruling with hard point. Pricking in the outer margins.|Script: Written in minuscule script in brown ink (some fading). Punctuation includes high point, comma, marks of elision and interrogation. Quotation marks in the left margin next to each line of quoted text.|Decoration: Titles in red. Headpieces of floral, foliate, and geometric designs in red, blue, green, and gold (fols. 12r, 100r). The major initial of Matthew is composed of a lion and serpents intertwined to form the letter [beta] (30 mm). The initial of Mark's opening line is of beads and leaves (48 mm). Minor initials set off from the text in red.|Condition: Portion of leaf torn (fol. 144). Sections of the outer margins cut away (fols. 51, 208). Some faded letters overwritten. Random stains.|Binding: Bound in brown morocco by Stikeman & Company in 1897. Title on spine in gold: Four Gospels in Greek, c. A.D. 1500. An Epistles Lectionary fragment (fols. 268-273) bound with the manuscript was removed and rebound as Ms. 50.|Origin: The manuscript is dated to the 13th century, and is judged to have been written in Greece by illuminator and scribe Theodore Hagiopetrites.|Byname: Haskell Gospels.|Former shelfmark: Chicago, IL, University of Chicago, Goodspeed Ms. Grk. 2.|Former shelfmark: Chicago, IL, University of Chicago, BS3552 1500.|Related shelfmark: Chicago, IL, University of Chicago, Ms50.|Shelfmark: Chicago, IL, University of Chicago, Ms46.|Belonged to Pericles Morades, who is said to have brought the manuscript to the United States from the Greek island of Thera. Added presentation leaf bound in: ""A Greek manuscript of the four Gospels. Purchased for the Haskell Museum through Caspar René Gregory and Ernest D. Burton, September 12, 1895. From Constantine Mitchell as administrator of the estate of Pericles Morades (anglice Perckly Moratz), a Greek who resided in Chicago and died there. Bound in 1897."" University of Chicago Libraries bookplate (front pastedown); scrollwork, marginal notes, and inscriptions (fols. 82r, 96r, 97v, 105r, 223r-223v).","",2025-01-30 10:07:04 -0500,20240117,20250113-chicago-marc.xml
,"","",marc-xml,amremm,Q67876,University of Chicago,2660586,Codex Ms. 50,http://pi.lib.uchicago.edu/1001/cat/bib/2660586,https://iiif-collection.lib.uchicago.edu/object/ark:61001/b2252c21c40b.json,Greece,Q16421,12--,1200,13,http://vocab.getty.edu/aat/300404505,false,Haskell lectionary,"",Bible,"",Q663;Q68136,Early works,Q300,"Bible. New Testament.--Greek|Bible. New Testament|Lent--Early works to 1800|Manuscripts, Greek|Carême--Ouvrages avant 1800|Manuscrits grecs|Lent|Manuscripts, Greek",Q12598;Q67947|Q12598|Q4279;Q300|Q3512|Q4279;Q300|Q3512|Q4279|Q3512,"","","","","","","","","","","","","","","",Text in Greek,Q1318,"","","Extent: 6 leaves ; 262 x 165 (180-190 x 110-120) mm, bound to 266 x 173 mm","Manuscript codex.|Title supplied by cataloger.|Forms part of the Edgar J. Goodspeed Collection of New Testament Manuscripts. Formerly Goodspeed Ms. Grk. 3.|Collation: Parchment; i (unfoliated parchment flyleaf) + 6 + i (unfoliated paper flyleaf). Modern foliation in Arabic numerals in pencil 268-273. The leaves were bound at the end of Ms. 46, and the foliation completed before the gospel manuscript and lectionary leaves were separated.|Layout: 1 column, 39-43 lines. Frame ruling with hard point. Titles in red (faded). Contains date, or holy day, and epistle source.|Script: Written in minuscule script in dark brown ink (some flaking). Punctuation includes high point, comma, marks of elision and interrogation.|Decoration: Major initials (20-40 mm) set off from the text in red (faded).|Condition: Torn leaf (fol. 268). Moderately cockled. Water and dirt stains. Insect damage.|Binding: Bound in brown morocco by Stikeman & Company. Shelf number in gold on front cover.|Origin: The manuscript to which the present leaves belonged is judged to have been written in the 13th century in Greece.|Medieval to late 19th century provenance unknown. Two 19th-century inscriptions in Greek on fol. 273v. Belonged to Pericles Morades, who is said to have brought the lectionary leaves (bound with Ms. 46) to the United States from the Greek island of Thera. Marginal notes in Syriac in pencil. University of Chicago Libraries bookplate (front pastedown). Notation in Greek (fols. 269v).|Byname: Haskell Lectionary.|Former shelfmark: Chicago, IL, University of Chicago Library, Goodspeed Ms. Grk. 3.|Former shelfmark: Chicago, IL, University of Chicago Library, BS3632 1200.|Related shelfmark: Chicago, IL, University of Chicago Library, Ms46.|Shelfmark: Chicago, IL, University of Chicago Library, Ms50.","",2025-01-30 10:07:04 -0500,20240117,20250113-chicago-marc.xml
,"","",marc-xml,amremm,Q67876,University of Chicago,2663078,Codex Ms. 62,http://pi.lib.uchicago.edu/1001/cat/bib/2663078,https://iiif-collection.lib.uchicago.edu/object/ark:61001/b21h2qs1kq9s.json,Balkan Peninsula,Q27480,12--,1200,13,http://vocab.getty.edu/aat/300404505,false,Sir Edwin Pears Gospels,"",Bible,"",Q661;Q6034;Q68150,codices (bound manuscripts),Q168,"Bible. Gospels.--Greek|Bible. Gospels|Manuscripts, Greek--Illinois--Chicago|Manuscrits grecs|Manuscripts, Greek",Q5839;Q67947|Q5839|Q3512;Q67920|Q3512|Q3512,"","","","","","","","","","","","","Pears, Edwin, 1835-1919","",Q68589,Text in Greek,Q1318,"","",Extent: 117 leaves ; 215 x 140 (150 x 95) mm,"Manuscript codex.|Forms part of the Edgar J. Goodspeed Collection of New Testament Manuscripts. Formerly Goodspeed Ms. Grk. 60.|Title supplied by cataloger.|Collation: Parchment ; fol. 117 (modern foliation in Arabic numerals in pencil). Of the 15 extant quires, quire 10 beginning at Matthew 9:6 belongs between those currently numbered 1 and 2, and quire 11 beginning at Mark 7:37 should follow quire 6. It is believed the manuscript's initial quires each contained 8 leaves. Estimate of content lost: kephalaia tables for Matthew and John, and an unknown number of leaves containing the text of Matthew 7:21- 9:6; 12:42-13:15; Luke 19:15-24:53; and John 1:1-3:3, 6:64-21:25.|Layout: 2 columns, 30 lines (variants of 26 to 32 lines). Each column is 150 x 42 mm with a space of 11 mm between. Ruling with hard point. Pricking in outer margins. Lections noted in the margins with the indicators arche (beginning) and telos (end).|Script: Written in minuscule script in black ink (fading and flaking). Punctuation includes high point, comma, marks of interrogation and elision. Quotation marks next to lines of Old Testament quotes are placed in the left margin. Errors are corrected either by erasure, or with various reference marks in cases of omission.|Binding: Covers lost. Quires stitched together with cord.|Origin: The manuscript is dated to the 13th century, and is judged to have been written in the Balkan Peninsula.|Condition: Parchment speckled and cockled. Discolored edges. Some tears and holes. Overwriting of faded text with black ink. Water and grease stains.|Former shelfmark: Chicago, IL, University of Chicago Library, Goodspeed Ms. Grk. 60.|Shelfmark: Chicago, IL, University of Chicago Library, Ms62.|Medieval to late 19th century provenance unknown. Belonged to Sir Edwin Pears (1835-1919), British barrister and historian. He is said to have purchased the manuscript in the 1880s in Constantinople, the present-day Istanbul, Turkey, wherein he practiced law in the consular courts for over forty years.","",2025-01-30 10:07:04 -0500,20240117,20250113-chicago-marc.xml
,"","",marc-xml,appm,Q67876,University of Chicago,2689363,Codex Ms. 125,http://pi.lib.uchicago.edu/1001/cat/bib/2689363,https://iiif-collection.lib.uchicago.edu/object/ark:61001/b27k6f76xv22.json,"","",12--].,1200,13,http://vocab.getty.edu/aat/300404505,false,D'Hendecourt Scroll,"",Bible,"",Q661;Q68172,"","","Bible. New Testament|Bible. New Testament|Manuscripts, Greek|Manuscripts, Arabic|Manuscripts, Arabic|Manuscripts, Greek",Q12598|Q12598|Q3512|Q256|Q256|Q3512,"","","","","","","","","","","","","","","",Text in Greek and Arabic,Q1318;Q118,"","",Extent: 1 roll ; 175 x 9 cm,Framed between plexi-glass.|Forms part of the Edgar J. Goodspeed Collection of New Testament Manuscripts. Formerly Goodspeed Grk. 16.,"",2025-01-30 10:07:04 -0500,20141031,20250113-chicago-marc.xml
,"","",marc-xml,appm,Q67876,University of Chicago,2689364,Codex Ms. 126,http://pi.lib.uchicago.edu/1001/cat/bib/2689364,https://iiif-collection.lib.uchicago.edu/object/ark:/61001/b2zw1sk10z2p.json,"","",ca. 1300].,1300,14,http://vocab.getty.edu/aat/300404506,false,Scott Brown New Testament,"","","",Q655;Q68148,"","","Bible. New Testament.--Greek|Bible. New Testament|Manuscripts, Greek (Medieval and modern)|Manuscripts, Greek (Medieval and modern)",Q12598;Q67947|Q12598|Q2962|Q2962,"","","","","","","","","","","","","","","",Text in Greek,Q1318,"","",Extent: 1 volume ; 21 x 16 cm,Forms part of the Edgar J. Goodspeed Collection of New Testament Manuscripts. Formerly Goodspeed Grk. 22.,"",2025-01-30 10:07:04 -0500,20141031,20250113-chicago-marc.xml
,"","",marc-xml,appm,Q67876,University of Chicago,2689385,Codex Ms. 128,http://pi.lib.uchicago.edu/1001/cat/bib/2689385,https://iiif-collection.lib.uchicago.edu/object/ark:61001/b2v66c772m2q.json,"","",9--].,900,10,http://vocab.getty.edu/aat/300404502,false,Argos Lectionary,"",Bible,"",Q663;Q68151,Early works,Q300,"Synaxarion--Early works to 1800|Manuscripts, Greek (Medieval and modern)|Manuscripts, Greek (Medieval and modern)|Synaxarion",Q68036;Q300|Q2962|Q2962|Q68036,"","","","","","","","","","","","","","","",Text in Greek,Q1318,"","",Extent: 1 volume ; 29 x 22 cm,Forms part of the Edgar J. Goodspeed Collection of New Testament Manuscripts. Formerly Goodspeed Grk. 17.,"",2025-01-30 10:07:04 -0500,20141031,20250113-chicago-marc.xml
,"","",marc-xml,rdaamremm,Q67876,University of Chicago,2689850,Codex Ms. 129,http://pi.lib.uchicago.edu/1001/cat/bib/2689850,https://iiif-collection.lib.uchicago.edu/object/ark:61001/b2hg4dv0t19t.json,"Edessa, Macedonia",Q68008;Q68009,"between May 4, 1133 and 1500?",1133^1500,12;13;14;15,http://vocab.getty.edu/aat/300404504;http://vocab.getty.edu/aat/300404505;http://vocab.getty.edu/aat/300404506;http://vocab.getty.edu/aat/300404465,true,Nicolaus Gospels,"",Bible,"",Q661;Q6034;Q68123,Illuminations (paintings),Q225,"Bible. New Testament.--Greek|Synaxarion--Early works to 1800|Manuscripts, Greek (Medieval and modern)--Illinois--Chicago",Q12598;Q67947|Q68036;Q300|Q2962;Q67920,"","","","","","","Nikolaos, of Edessa, active 12th century","",Q68586,"","","","","","",Text in Greek,Q1318,"parchment and paper, illumination",Q31;Q33,"Extent: 218 leaves : parchment and paper, illumination ; 125 x 98 (90 x 70) mm bound to 135 x 107 mm","Composite codex manuscript.|Title devised by cataloger.|Forms part of the Edgar J. Goodspeed Collection of New Testament Manuscripts. Formerly Goodspeed Grk. 11.|Date of production for Gospels text from colophon (fols. 192v-193r): ""mnēsthēti kyrie tou grapsantos Nikolaou tou hamartōlou monachou tou Edesinou kai tōn autou... Eteleiōthē mēni Artemēsiō, tō kata Rōmaious Maiō D. Indiktiō ia tou schma etous"" (Remember, Lord, the writer, the sinful monk Nicolaus and his family... Finished in the month Artemision, which is in the Roman reckoning May, on the 4th day, the 11th indication, in the year 6641 [that is, 1133]).|Date of production for the miniature on fol. 1v (late 13th or early 14th century) from its style.|Date of production for the lectionary tables on fols. 195r-219v (late 15th century) from the script and the watermarks of the paper. Watermark of lectionary leaves, fols. 196, 207, and 208, similar to Briquet, Balance dans un cercle à plateaux circulaires suspendus à l'attache mediane, 2551 (Ferrare, 1475). For fols. 210, 211, and 221, the watermark is similar to Briquet, Tête de boeuf au serpent s'enroulant autour d'une croix ou d'une tige, 15366 (Brescia, 1474).|Parchment (fols. 1-193) and paper (fols. 194-221); fol. 219 (foliated in pencil 1-3, 5-60, 62-148, 150-221); 1⁶(-4) 2⁶ 3-5⁸ 6⁸(±4) 7-8⁸ 9⁸(-1) 10-19⁸ 20⁸(-1) 21-24⁸ 25⁶(-6) 26⁶ 27¹⁰ 28⁶ 29⁸(-7,8); lacks fols. 4 (miniatures of Matthew and Luke), 61 (miniature of Mark), and 149 (miniature of John); a 15th-century replacement paper leaf containing the text of Matthew 19:1-19:19 was inserted between fols. 40 and 42.|Layout: 1 column, 21 to 25 lines. Ruling with hard point. Pricking in the outer margins. Titles and indicators arche (beginning) and telos (end) in red.|Script: Written in minuscule script in dark brown ink (some flaking). Punctuation includes high and low points, comma, marks of elision and interrogation. Quotation marks in left margin next to each line of quoted text.|Decoration: Illuminated miniature of Virgin Mary with suppliant on fol. 1v. Virgin at left, wearing a blue robe and wimple or kerchief, and red shoes; her hand extends over a suppliant kneeling, lower right; suppliant, dressed in gray cape, blue head covering, robe, and pectoral decorated with a red cross; hand of god emerges from clouds, upper right. Headpieces embellished with birds and foliate motifs in blue, rose, gold, and green (fols. 5r, 62r, 94r, 150r). Major initials (30 mm) composed of bead and foliate designs in blue, rose, and gold. Minor initials in red set off from the text (occasional duplication of an end letter of the preceding line).|In an 1864 catalogue entry, Emmanuel Joannides described 5 miniatures within the manuscript as portraits of the Evangelists, and of the Hyperagia Theotokos (most Holy Mother of God) pictured with a young woman. A second catalogue description by Athanasios Papadopoulos-Kerameus, published in 1915, notes 4 extant miniatures, all of which were said to be Evangelists, as the Virgin Mary (fol. 1v) was misidentified as St. Matthew. All 4 miniatures of the Evangelists were missing when the University of Chicago acquired this codex in 1929. In 2023, the University of Chicago acquired a detached leaf (fol. 61) for the miniature of Mark from this codex (Ms129 pt.2).|Origin: The manuscript was written in Macedonia in the city of Edessa, the present-day Édhessa, Greece by the monk Nicolaus, who completed his work May 4, 1133 (his colophon, fols. 192v-193r). The miniature of the Virgin Mary with suppliant is judged to be a later addition from the late 13th or early 14th century. The lectionary tables (Synaxarion, Menologion) on paper on fols. 195r-219v were written in the late 15th century.|Former shelfmark: Constantinople, Ottoman Empire, Metochion Panagiou Taphou, 419.|Former shelfmark: Constantinople, Ottoman Empire, Metochion Panagiou Taphou, 767.|Former shelfmark: Constantinople, Ottoman Empire, Metochion Panagiou Taphou, 799.|Former shelfmark: Chicago, Illinois, University of Chicago, Goodspeed Ms. Grk. 11.|Former shelfmark: Chicago, Illinois, University of Chicago, BS3552 1133.|Related shelfmark: Chicago, Illinois, University of Chicago, Ms129 pt.2.|The manuscript was in the collection of the Metochion of the Holy Sepulchre in Constantinople, the present-day Istanbul, Turkey, where it was seen and catalogued by Emmanuel Joannides in the early 1860s, and by Athanasios Papadopoulos-Kerameus in the early 20th century. Catalogues and scholarly publications have noted the shelfmarks 419, 767, and 799 as those assigned at various times to the gospels while it was part of the Metochion Library.|Acquired by the University of Chicago in 1929 from Rudolf M. Riefstahl (New York), with funds provided by Chicago businessman Frederick T. Haskell.|University of Chicago Libraries bookplate (pastedown, front); stamp (illegible, fol. 1r); notation, 62.94.150 (pastedown, back).","",2025-01-30 10:07:04 -0500,20230901,20250113-chicago-marc.xml
,"","",marc-xml,appm,Q67876,University of Chicago,2689871,Codex Ms. 130,http://pi.lib.uchicago.edu/1001/cat/bib/2689871,https://iiif-collection.lib.uchicago.edu/object/ark:61001/b2jm34q08d9t.json,"","",12--].,1200,13,http://vocab.getty.edu/aat/300404505,false,Barnabas Gospels,"",Bible,"",Q661;Q6034;Q68154,"","","Bible. New Testament--Manuscripts, Greek|Bible. New Testament|Manuscripts, Greek|Manuscripts, Greek",Q12598;Q3512|Q12598|Q3512|Q3512,"","","","","","","","","","","","","","","",Text in Greek,Q1318,"","",Extent: 1 volume ; 17 x 12 cm,Forms part of the Edgar J. Goodspeed Collection of New Testament Manuscripts. Formerly Goodspeed Grk. 20.,"",2025-01-30 10:07:04 -0500,20141031,20250113-chicago-marc.xml
,"","",marc-xml,appm,Q67876,University of Chicago,2689901,Codex Ms. 131,http://pi.lib.uchicago.edu/1001/cat/bib/2689901,https://iiif-collection.lib.uchicago.edu/object/ark:61001/b20b66b16m9w.json,"","",11--].,1100,12,http://vocab.getty.edu/aat/300404504,false,Chrysanthus Gospels,"",Bible,"",Q661;Q6034;Q68164,"","","Bible. New Testament--Manuscripts, Greek|Bible. New Testament|Manuscripts, Greek|Manuscripts, Greek",Q12598;Q3512|Q12598|Q3512|Q3512,"","","","","","","","","","","","","","","",Text in Greek and Church Slavonic,Q1318;Q16427,"","",Extent: 1 volume ; 20 x 15 cm,Forms part of the Edgar J. Goodspeed Collection of New Testament Manuscripts. Formerly Goodspeed Grk. 7.,"",2025-01-30 10:07:04 -0500,20141031,20250113-chicago-marc.xml
