ds_id,date_added,date_last_updated,source_type,cataloging_convention,holding_institution_ds_qid,holding_institution_as_recorded,holding_institution_id_number,holding_institution_shelfmark,link_to_holding_institution_record,iiif_manifest,production_place_as_recorded,production_place_ds_qid,production_date_as_recorded,production_date,century,century_aat,dated,title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_agr,standard_title_ds_qid,genre_as_recorded,genre_ds_qid,subject_as_recorded,subject_ds_qid,author_as_recorded,author_as_recorded_agr,author_ds_qid,artist_as_recorded,artist_as_recorded_agr,artist_ds_qid,scribe_as_recorded,scribe_as_recorded_agr,scribe_ds_qid,associated_agent_as_recorded,associated_agent_as_recorded_agr,associated_agent_ds_qid,former_owner_as_recorded,former_owner_as_recorded_agr,former_owner_ds_qid,language_as_recorded,language_ds_qid,material_as_recorded,material_ds_qid,physical_description,note,acknowledgments,data_processed_at,data_source_modified,source_file
,"","",ds-csv,ds-schema,Q67876,University of Chicago,Bacon Ms1667,Bacon Ms1667,http://pi.lib.uchicago.edu/1001/scrc/ead/ICU.SPCL.BACON,"",England,Q133,1284 circa,1259^1309,13;14,http://vocab.getty.edu/aat/300404505;http://vocab.getty.edu/aat/300404506,false,"Undated; 1. Sir William Grimland son of Lord Robert Grimland 2. Robert Grimland his eldest son; Grant of Knight's Fee in Northamton, Lincoln, Huntindome","","","",Q5982,Charter and Deeds,Q2793;Q283,"","","","","","","","","","","","","","","","","","","","","","","Sir Nicholas Bacon Collection of English Court and Manorial Documents|The Sir Nicholas Bacon Collection comprises a chronological series of English court and manorial documents spanning the period from 1200 to 1785.|The core of the collection consists of the muniments of title, court rolls, account rolls, rentals, and other documents that came to Sir Nicholas Bacon (1510-1579), Lord Keeper of the Great Seal under Queen Elizabeth and father of Sir Francis Bacon, when he purchased monastic and other lands in the mid-sixteenth century.","",2025-04-09 11:34:26 -0400,20250226,20250226-chicago-csv-bacon.csv
,"","",ds-csv,ds-schema,Q67876,University of Chicago,Bacon Ms1680,Bacon Ms1680,http://pi.lib.uchicago.edu/1001/scrc/ead/ICU.SPCL.BACON,"",England,Q133,1284-1291 circa,1284^1291,13,http://vocab.getty.edu/aat/300404505,false,"Undated; 1. Robert de Reidon 2. William Prop de Reidon and Rose his wife; Reidon (X); 24s, 2d an. rent and 1 ob toward scutage; Gift","","","",Q18511;Q8301,Charter and Deeds,Q2793;Q283,"","","","","","","","","","","","","","","","","","","","","","","Sir Nicholas Bacon Collection of English Court and Manorial Documents|The Sir Nicholas Bacon Collection comprises a chronological series of English court and manorial documents spanning the period from 1200 to 1785.|The core of the collection consists of the muniments of title, court rolls, account rolls, rentals, and other documents that came to Sir Nicholas Bacon (1510-1579), Lord Keeper of the Great Seal under Queen Elizabeth and father of Sir Francis Bacon, when he purchased monastic and other lands in the mid-sixteenth century.","",2025-04-09 11:34:26 -0400,20250226,20250226-chicago-csv-bacon.csv
,"","",ds-csv,ds-schema,Q67876,University of Chicago,Bacon Ms1704,Bacon Ms1704,http://pi.lib.uchicago.edu/1001/scrc/ead/ICU.SPCL.BACON,"",England,Q133,1289,1289^1289,13,http://vocab.getty.edu/aat/300404505,false,"17 Edward I, October 20; 1. Ralph Lotum de Reydon 2. Roger de Reymes; Reydon (X); 6 marks, 4d an. rent and 12d toward 20s scutage; Gift","","","",Q18511;Q8301,Charter and Deeds,Q2793;Q283,"","","","","","","","","","","","","","","","","","","","","","","Sir Nicholas Bacon Collection of English Court and Manorial Documents|The Sir Nicholas Bacon Collection comprises a chronological series of English court and manorial documents spanning the period from 1200 to 1785.|The core of the collection consists of the muniments of title, court rolls, account rolls, rentals, and other documents that came to Sir Nicholas Bacon (1510-1579), Lord Keeper of the Great Seal under Queen Elizabeth and father of Sir Francis Bacon, when he purchased monastic and other lands in the mid-sixteenth century.","",2025-04-09 11:34:26 -0400,20250226,20250226-chicago-csv-bacon.csv
,"","",ds-csv,ds-schema,Q67876,University of Chicago,Bacon Ms1696,Bacon Ms1696,http://pi.lib.uchicago.edu/1001/scrc/ead/ICU.SPCL.BACON,"",England,Q133,1289 circa,1264^1314,13;14,http://vocab.getty.edu/aat/300404505;http://vocab.getty.edu/aat/300404506,false,Undated; 1. Richard le Warner de Meleford 2. Adam de Waldingfeld; Messuage in Meleford (X); 20s; Quitclaim,"","","",Q6018,Charter and Deeds,Q2793;Q283,"","","","","","","","","","","","","","","","","","","","","","","Sir Nicholas Bacon Collection of English Court and Manorial Documents|The Sir Nicholas Bacon Collection comprises a chronological series of English court and manorial documents spanning the period from 1200 to 1785.|The core of the collection consists of the muniments of title, court rolls, account rolls, rentals, and other documents that came to Sir Nicholas Bacon (1510-1579), Lord Keeper of the Great Seal under Queen Elizabeth and father of Sir Francis Bacon, when he purchased monastic and other lands in the mid-sixteenth century.","",2025-04-09 11:34:26 -0400,20250226,20250226-chicago-csv-bacon.csv
,"","",ds-csv,ds-schema,Q67876,University of Chicago,Bacon Ms1699,Bacon Ms1699,http://pi.lib.uchicago.edu/1001/scrc/ead/ICU.SPCL.BACON,"",England,Q133,1289 circa,1264^1314,13;14,http://vocab.getty.edu/aat/300404505;http://vocab.getty.edu/aat/300404506,false,Undated; 1. Fordanus le Waleys 2. Geoffrey de Beaumes; Cleydune; 3s; Quitclaim of 2d an. rent,"","","",Q6018,Charter and Deeds,Q2793;Q283,"","","","","","","","","","","","","","","","","","","","","","","Sir Nicholas Bacon Collection of English Court and Manorial Documents|The Sir Nicholas Bacon Collection comprises a chronological series of English court and manorial documents spanning the period from 1200 to 1785.|The core of the collection consists of the muniments of title, court rolls, account rolls, rentals, and other documents that came to Sir Nicholas Bacon (1510-1579), Lord Keeper of the Great Seal under Queen Elizabeth and father of Sir Francis Bacon, when he purchased monastic and other lands in the mid-sixteenth century.","",2025-04-09 11:34:26 -0400,20250226,20250226-chicago-csv-bacon.csv
,"","",ds-csv,ds-schema,Q67876,University of Chicago,Bacon Ms1705,Bacon Ms1705,http://pi.lib.uchicago.edu/1001/scrc/ead/ICU.SPCL.BACON,"",England,Q133,1289-1291 circa,1289^1291,13,http://vocab.getty.edu/aat/300404505,false,Undated; 1. Adam Spendelow de Wenham 2. John de Berking and John Testard; Reydon (X); a sum of money and 1 rose an. rent; Grant of 18d an. rent,"","","",Q76589,Charter and Deeds,Q2793;Q283,"","","","","","","","","","","","","","","","","","","","","","","Sir Nicholas Bacon Collection of English Court and Manorial Documents|The Sir Nicholas Bacon Collection comprises a chronological series of English court and manorial documents spanning the period from 1200 to 1785.|The core of the collection consists of the muniments of title, court rolls, account rolls, rentals, and other documents that came to Sir Nicholas Bacon (1510-1579), Lord Keeper of the Great Seal under Queen Elizabeth and father of Sir Francis Bacon, when he purchased monastic and other lands in the mid-sixteenth century.","",2025-04-09 11:34:26 -0400,20250226,20250226-chicago-csv-bacon.csv
,"","",ds-csv,ds-schema,Q67876,University of Chicago,Bacon Ms1713,Bacon Ms1713,http://pi.lib.uchicago.edu/1001/scrc/ead/ICU.SPCL.BACON,"",England,Q133,1290,1290^1290,13,http://vocab.getty.edu/aat/300404505,false,"18 Edward I, May 17; 1. Peter son of Robert le Fermer de Foxherde 2. William son of Walter Faber de Borle; Pentelowe (X); 7s and 12d an. rent; Gift","","","",Q18511;Q8301,Charter and Deeds,Q2793;Q283,"","","","","","","","","","","","","","","","","","","","","","","Sir Nicholas Bacon Collection of English Court and Manorial Documents|The Sir Nicholas Bacon Collection comprises a chronological series of English court and manorial documents spanning the period from 1200 to 1785.|The core of the collection consists of the muniments of title, court rolls, account rolls, rentals, and other documents that came to Sir Nicholas Bacon (1510-1579), Lord Keeper of the Great Seal under Queen Elizabeth and father of Sir Francis Bacon, when he purchased monastic and other lands in the mid-sixteenth century.","",2025-04-09 11:34:26 -0400,20250226,20250226-chicago-csv-bacon.csv
,"","",ds-csv,ds-schema,Q67876,University of Chicago,Bacon Ms1715,Bacon Ms1715,http://pi.lib.uchicago.edu/1001/scrc/ead/ICU.SPCL.BACON,"",England,Q133,1290,1290^1290,13,http://vocab.getty.edu/aat/300404505,false,"18 Edward I, October 27; 1. Ralph Lotun de Reydon 2. Roger de Reymes de Hecham; Reydon (X); 20 marks; several amounts of grain, 3s and 1 rose an. rent plus 12d toward 20s scutage of Convent of St. Antoni de Kerseye; Gift [description applies to Ms 1715 and 1716]","","","",Q18511;Q8301,Charter and Deeds,Q2793;Q283,"","","","","","","","","","","","","","","","","","","","","","","Sir Nicholas Bacon Collection of English Court and Manorial Documents|The Sir Nicholas Bacon Collection comprises a chronological series of English court and manorial documents spanning the period from 1200 to 1785.|The core of the collection consists of the muniments of title, court rolls, account rolls, rentals, and other documents that came to Sir Nicholas Bacon (1510-1579), Lord Keeper of the Great Seal under Queen Elizabeth and father of Sir Francis Bacon, when he purchased monastic and other lands in the mid-sixteenth century.","",2025-04-09 11:34:26 -0400,20250226,20250226-chicago-csv-bacon.csv
,"","",ds-csv,ds-schema,Q67876,University of Chicago,Bacon Ms1716,Bacon Ms1716,http://pi.lib.uchicago.edu/1001/scrc/ead/ICU.SPCL.BACON,"",England,Q133,1290,1290^1290,13,http://vocab.getty.edu/aat/300404505,false,"18 Edward I, October 27; 1. Ralph Lotun de Reydon 2. Roger de Reymes de Hecham; Reydon (X); 20 marks; several amounts of grain, 3s and 1 rose an. rent plus 12d toward 20s scutage of Convent of St. Antoni de Kerseye; Gift [description applies to Ms 1715 and 1716]","","","",Q18511;Q8301,Charter and Deeds,Q2793;Q283,"","","","","","","","","","","","","","","","","","","","","","","Sir Nicholas Bacon Collection of English Court and Manorial Documents|The Sir Nicholas Bacon Collection comprises a chronological series of English court and manorial documents spanning the period from 1200 to 1785.|The core of the collection consists of the muniments of title, court rolls, account rolls, rentals, and other documents that came to Sir Nicholas Bacon (1510-1579), Lord Keeper of the Great Seal under Queen Elizabeth and father of Sir Francis Bacon, when he purchased monastic and other lands in the mid-sixteenth century.","",2025-04-09 11:34:26 -0400,20250226,20250226-chicago-csv-bacon.csv
,"","",ds-csv,ds-schema,Q67876,University of Chicago,Bacon Ms1718,Bacon Ms1718,http://pi.lib.uchicago.edu/1001/scrc/ead/ICU.SPCL.BACON,"",England,Q133,1290-1297 circa,1290^1297,13,http://vocab.getty.edu/aat/300404505,false,"Undated; 1. William son of John de Iuele de Pentlowe (X); 40s, 16d an. rent and 4 capons for Qurtilage; Gift","","","",Q18511;Q8301,Charter and Deeds,Q2793;Q283,"","","","","","","","","","","","","","","","","","","","","","","Sir Nicholas Bacon Collection of English Court and Manorial Documents|The Sir Nicholas Bacon Collection comprises a chronological series of English court and manorial documents spanning the period from 1200 to 1785.|The core of the collection consists of the muniments of title, court rolls, account rolls, rentals, and other documents that came to Sir Nicholas Bacon (1510-1579), Lord Keeper of the Great Seal under Queen Elizabeth and father of Sir Francis Bacon, when he purchased monastic and other lands in the mid-sixteenth century.","",2025-04-09 11:34:26 -0400,20250226,20250226-chicago-csv-bacon.csv
,"","",ds-csv,ds-schema,Q67876,University of Chicago,Bacon Ms1719,Bacon Ms1719,http://pi.lib.uchicago.edu/1001/scrc/ead/ICU.SPCL.BACON,"",England,Q133,1290-1297 circa,1290^1297,13,http://vocab.getty.edu/aat/300404505,false,Undated; 1. Thomas son of Sir Ralph de Melles 2. John son of Thomas de Derneford in marriage to Alma his sister; Melles (X); 12d an. rent; Gift,"","","",Q18511;Q8301,Charter and Deeds,Q2793;Q283,"","","","","","","","","","","","","","","","","","","","","","","Sir Nicholas Bacon Collection of English Court and Manorial Documents|The Sir Nicholas Bacon Collection comprises a chronological series of English court and manorial documents spanning the period from 1200 to 1785.|The core of the collection consists of the muniments of title, court rolls, account rolls, rentals, and other documents that came to Sir Nicholas Bacon (1510-1579), Lord Keeper of the Great Seal under Queen Elizabeth and father of Sir Francis Bacon, when he purchased monastic and other lands in the mid-sixteenth century.","",2025-04-09 11:34:26 -0400,20250226,20250226-chicago-csv-bacon.csv
,"","",ds-csv,ds-schema,Q67876,University of Chicago,Bacon Ms1720,Bacon Ms1720,http://pi.lib.uchicago.edu/1001/scrc/ead/ICU.SPCL.BACON,"",England,Q133,1291,1291^1291,13,http://vocab.getty.edu/aat/300404505,false,19 Edward I no day; 1. William de Northall de Burgate 2. William son of Sir Robert de Burgate; Burgate (X); 1/2 mark and 1 ob an. rent; Gift,"","","",Q18511;Q8301,Charter and Deeds,Q2793;Q283,"","","","","","","","","","","","","","","","","","","","","","","Sir Nicholas Bacon Collection of English Court and Manorial Documents|The Sir Nicholas Bacon Collection comprises a chronological series of English court and manorial documents spanning the period from 1200 to 1785.|The core of the collection consists of the muniments of title, court rolls, account rolls, rentals, and other documents that came to Sir Nicholas Bacon (1510-1579), Lord Keeper of the Great Seal under Queen Elizabeth and father of Sir Francis Bacon, when he purchased monastic and other lands in the mid-sixteenth century.","",2025-04-09 11:34:26 -0400,20250226,20250226-chicago-csv-bacon.csv
