ds_id,date_added,date_last_updated,source_type,cataloging_convention,holding_institution_ds_qid,holding_institution_as_recorded,holding_institution_id_number,holding_institution_shelfmark,link_to_holding_institution_record,iiif_manifest,production_place_as_recorded,production_place_ds_qid,production_date_as_recorded,production_date,century,century_aat,dated,title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_agr,standard_title_ds_qid,genre_as_recorded,genre_ds_qid,subject_as_recorded,subject_ds_qid,author_as_recorded,author_as_recorded_agr,author_ds_qid,artist_as_recorded,artist_as_recorded_agr,artist_ds_qid,scribe_as_recorded,scribe_as_recorded_agr,scribe_ds_qid,associated_agent_as_recorded,associated_agent_as_recorded_agr,associated_agent_ds_qid,former_owner_as_recorded,former_owner_as_recorded_agr,former_owner_ds_qid,language_as_recorded,language_ds_qid,material_as_recorded,material_ds_qid,physical_description,note,acknowledgments,data_processed_at,data_source_modified,source_file
,"","",ds-csv,ds-schema,Q67876,University of Chicago,Rosenthal Ms 441,Rosenthal Ms 441,http://pi.lib.uchicago.edu/1001/scrc/ead/ICU.SPCL.ROSENTHALMSS,"",Verona,Q124,1574 March 8,1574^1574,16,http://vocab.getty.edu/aat/300404510,false,Renewal of investiture,"","","",Q39460,Veronese Notarial Documents,"","","","","","","","","","","","","","","","Phillipps, Thomas, Sir, 1792-1872|William H. Robinson, Ltd.|H.P. Kraus (Firm)",||,Q385|Q1594|Q1676,Latin,Q113,"","","","Provenance: First Party: Rambaldi; Second Party: Leonardi; Place About: Castagne|Samuel R. and Marie-Louise Collection of Northern Italian Documents|The Samuel R. and Marie-Louise Rosenthal Collection of Northern Italian Documents is a group of 2,455 legal manuscripts, nearly all notorial, dating from the late-twelfth century to the eighteenth century.","",2025-04-09 11:42:21 -0400,20250226,20250226-chicago-csv-rosenthal.csv
,"","",ds-csv,ds-schema,Q67876,University of Chicago,Rosenthal Ms 454,Rosenthal Ms 454,http://pi.lib.uchicago.edu/1001/scrc/ead/ICU.SPCL.ROSENTHALMSS,"",Verona,Q124,1574-03-08,1574^1574,16,http://vocab.getty.edu/aat/300404510,false,Renewal of investiture,"","","",Q39460,Veronese Notarial Documents,"","","","","","","","","","","","","","","","Phillipps, Thomas, Sir, 1792-1872|William H. Robinson, Ltd.|H.P. Kraus (Firm)",||,Q385|Q1594|Q1676,Latin,Q113,"","","","Provenance: First Party: Vallisnieri; Second Party: Da Calcaria; Place About: Castagne|Samuel R. and Marie-Louise Collection of Northern Italian Documents|The Samuel R. and Marie-Louise Rosenthal Collection of Northern Italian Documents is a group of 2,455 legal manuscripts, nearly all notorial, dating from the late-twelfth century to the eighteenth century.","",2025-04-09 11:42:21 -0400,20250226,20250226-chicago-csv-rosenthal.csv
,"","",ds-csv,ds-schema,Q67876,University of Chicago,Rosenthal Ms 1771,Rosenthal Ms 1771,http://pi.lib.uchicago.edu/1001/scrc/ead/ICU.SPCL.ROSENTHALMSS,"",Verona,Q124,1574-05-07,1574^1574,16,http://vocab.getty.edu/aat/300404510,false,Land sale,"","","",Q5052,Veronese Notarial Documents,"","","","","","","","","","","","","","","","Phillipps, Thomas, Sir, 1792-1872|William H. Robinson, Ltd.|H.P. Kraus (Firm)",||,Q385|Q1594|Q1676,Latin,Q113,"","","","Provenance: First Party: Sori; Second Party: Filiberi; Place About: Verona|Samuel R. and Marie-Louise Collection of Northern Italian Documents|The Samuel R. and Marie-Louise Rosenthal Collection of Northern Italian Documents is a group of 2,455 legal manuscripts, nearly all notorial, dating from the late-twelfth century to the eighteenth century.","",2025-04-09 11:42:21 -0400,20250226,20250226-chicago-csv-rosenthal.csv
,"","",ds-csv,ds-schema,Q67876,University of Chicago,Rosenthal Ms 1770,Rosenthal Ms 1770,http://pi.lib.uchicago.edu/1001/scrc/ead/ICU.SPCL.ROSENTHALMSS,"",Rovereto,Q76255,1574-05-08,1574^1574,16,http://vocab.getty.edu/aat/300404510,false,Land sale -- cf. 1768,"","","",Q5052,Veronese Notarial Documents,"","","","","","","","","","","","","","","","Phillipps, Thomas, Sir, 1792-1872|William H. Robinson, Ltd.|H.P. Kraus (Firm)",||,Q385|Q1594|Q1676,Latin,Q113,"","","","Provenance: First Party: Della Zena; Second Party: Tacchi; Place About: Rovereto|Samuel R. and Marie-Louise Collection of Northern Italian Documents|The Samuel R. and Marie-Louise Rosenthal Collection of Northern Italian Documents is a group of 2,455 legal manuscripts, nearly all notorial, dating from the late-twelfth century to the eighteenth century.","",2025-04-09 11:42:21 -0400,20250226,20250226-chicago-csv-rosenthal.csv
,"","",ds-csv,ds-schema,Q67876,University of Chicago,Rosenthal Ms 172,Rosenthal Ms 172,http://pi.lib.uchicago.edu/1001/scrc/ead/ICU.SPCL.ROSENTHALMSS,"",Verona,Q124,1574-05-31,1574^1574,16,http://vocab.getty.edu/aat/300404510,false,Land investiture,"","","",Q39460,Veronese Notarial Documents,"","","","","","","","","","","","","","","","Phillipps, Thomas, Sir, 1792-1872|William H. Robinson, Ltd.|H.P. Kraus (Firm)",||,Q385|Q1594|Q1676,Latin,Q113,"","","","Provenance: First Party: Rambaldi; Second Party: Da Albisano; Place About: Albisano|Samuel R. and Marie-Louise Collection of Northern Italian Documents|The Samuel R. and Marie-Louise Rosenthal Collection of Northern Italian Documents is a group of 2,455 legal manuscripts, nearly all notorial, dating from the late-twelfth century to the eighteenth century.","",2025-04-09 11:42:21 -0400,20250226,20250226-chicago-csv-rosenthal.csv
,"","",ds-csv,ds-schema,Q67876,University of Chicago,Rosenthal Ms 2165,Rosenthal Ms 2165,http://pi.lib.uchicago.edu/1001/scrc/ead/ICU.SPCL.ROSENTHALMSS,"",Venice,Q2823,1574 June 18,1574^1574,16,http://vocab.getty.edu/aat/300404510,false,Arbitration of land dispute,"","","",Q8301,Veneto Notarial Documents,"","","","","","","","","","","","","","","","Phillipps, Thomas, Sir, 1792-1872|William H. Robinson, Ltd.|H.P. Kraus (Firm)",||,Q385|Q1594|Q1676,"","","","","","Provenance: First Party: Mocenigo; Second Party: Sessa; Place About: Poseto|Samuel R. and Marie-Louise Collection of Northern Italian Documents|The Samuel R. and Marie-Louise Rosenthal Collection of Northern Italian Documents is a group of 2,455 legal manuscripts, nearly all notorial, dating from the late-twelfth century to the eighteenth century.","",2025-04-09 11:42:21 -0400,20250226,20250226-chicago-csv-rosenthal.csv
,"","",ds-csv,ds-schema,Q67876,University of Chicago,Rosenthal Ms 2166,Rosenthal Ms 2166,http://pi.lib.uchicago.edu/1001/scrc/ead/ICU.SPCL.ROSENTHALMSS,"",Treviso,Q38311,1574-07-04,1574^1574,16,http://vocab.getty.edu/aat/300404510,false,Land repurchase -- cf. 2162,"","","",Q8301,Veneto Notarial Documents,"","","","","","","","","","","","","","","","Phillipps, Thomas, Sir, 1792-1872|William H. Robinson, Ltd.|H.P. Kraus (Firm)",||,Q385|Q1594|Q1676,Latin,Q113,"","","","Provenance: First Party: Aproino; Second Party: Del Tempio; Place About: Paderno|Samuel R. and Marie-Louise Collection of Northern Italian Documents|The Samuel R. and Marie-Louise Rosenthal Collection of Northern Italian Documents is a group of 2,455 legal manuscripts, nearly all notorial, dating from the late-twelfth century to the eighteenth century.","",2025-04-09 11:42:21 -0400,20250226,20250226-chicago-csv-rosenthal.csv
,"","",ds-csv,ds-schema,Q67876,University of Chicago,Rosenthal Ms 30,Rosenthal Ms 30,http://pi.lib.uchicago.edu/1001/scrc/ead/ICU.SPCL.ROSENTHALMSS,"",Verona,Q124,1574-07-21,1574^1574,16,http://vocab.getty.edu/aat/300404510,false,Testament,"","","",Q8301,Veronese Notarial Documents,"","","","","","","","","","","","","","","","Phillipps, Thomas, Sir, 1792-1872|William H. Robinson, Ltd.|H.P. Kraus (Firm)",||,Q385|Q1594|Q1676,Latin,Q113,"","","","Provenance: First Party: Tramarini|Samuel R. and Marie-Louise Collection of Northern Italian Documents|The Samuel R. and Marie-Louise Rosenthal Collection of Northern Italian Documents is a group of 2,455 legal manuscripts, nearly all notorial, dating from the late-twelfth century to the eighteenth century.","",2025-04-09 11:42:21 -0400,20250226,20250226-chicago-csv-rosenthal.csv
,"","",ds-csv,ds-schema,Q67876,University of Chicago,Rosenthal Ms 341,Rosenthal Ms 341,http://pi.lib.uchicago.edu/1001/scrc/ead/ICU.SPCL.ROSENTHALMSS,"",San Ambrogio,Q76292,1574-08-15,1574^1574,16,http://vocab.getty.edu/aat/300404510,false,Land exchange,"","","",Q8301,Veronese Notarial Documents,"","","","","","","","","","","","","","","","Phillipps, Thomas, Sir, 1792-1872|William H. Robinson, Ltd.|H.P. Kraus (Firm)",||,Q385|Q1594|Q1676,Latin,Q113,"","","","Provenance: First Party: Rambaldi; Second Party: Maggi; Place About: San Ambrogio|Samuel R. and Marie-Louise Collection of Northern Italian Documents|The Samuel R. and Marie-Louise Rosenthal Collection of Northern Italian Documents is a group of 2,455 legal manuscripts, nearly all notorial, dating from the late-twelfth century to the eighteenth century.","",2025-04-09 11:42:21 -0400,20250226,20250226-chicago-csv-rosenthal.csv
,"","",ds-csv,ds-schema,Q67876,University of Chicago,Rosenthal Ms 2167,Rosenthal Ms 2167,http://pi.lib.uchicago.edu/1001/scrc/ead/ICU.SPCL.ROSENTHALMSS,"",Nervesa,Q76310,1574-10-26,1574^1574,16,http://vocab.getty.edu/aat/300404510,false,Land repurchase,"","","",Q8301,Veneto Notarial Documents,"","","","","","","","","","","","","","","","Phillipps, Thomas, Sir, 1792-1872|William H. Robinson, Ltd.|H.P. Kraus (Firm)",||,Q385|Q1594|Q1676,Latin,Q113,"","","","Provenance: First Party: Bologna; Second Party: Priuli; Place About: Nervesa|Samuel R. and Marie-Louise Collection of Northern Italian Documents|The Samuel R. and Marie-Louise Rosenthal Collection of Northern Italian Documents is a group of 2,455 legal manuscripts, nearly all notorial, dating from the late-twelfth century to the eighteenth century.","",2025-04-09 11:42:21 -0400,20250226,20250226-chicago-csv-rosenthal.csv
