ds_id,date_added,date_last_updated,source_type,holding_institution,holding_institution_as_recorded,holding_institution_id_number,link_to_holding_institution_record,iiif_manifest,production_place_as_recorded,production_place,production_date_as_recorded,production_date,century,century_aat,dated,uniform_title,uniform_title_as_recorded,uniform_title_agr,title_as_recorded_245,title_as_recorded_245_agr,genre_as_recorded,genre_as_recorded_lcsh,genre_as_recorded_aat,genre_as_recorded_rbprov,genre,named_subject_as_recorded,subject_as_recorded,subject,author_as_recorded,author_as_recorded_agr,author,artist_as_recorded,artist_as_recorded_agr,artist,scribe_as_recorded,scribe_as_recorded_agr,scribe,language_as_recorded,language,former_owner_as_recorded,former_owner_as_recorded_agr,former_owner,material,material_placeholder,physical_description,acknowledgements,data_processed_at,data_source_modified,source_file
,,,marc-xml,Q49088,Columbia University,MS Or 15.|on1056625888,"",,"",,1650-1799,1650^1799,17;18,http://vocab.getty.edu/aat/300404511;http://vocab.getty.edu/aat/300404512,,,"","",Sharḥ-i ṣad kalimah-i Baṭlamiyūs.,شرح صد کلمه بطلمىوس,"","",Codices.|Translations (documents)|Manuscripts.,"",,Pseudo-Ptolemy.--Centiloquium.,"Astrology, Arab--Early works to 1800.|Manuscripts, Persian.",,"Ṭūsī, Naṣīr al-Dīn Muḥammad ibn Muḥammad, 1201-1274.",طوسي، نصير الدين محمد بن محمد، 1201-1274.,,"","",,"Ṣāḥibdād, Sayyid ʻImād al-Dīn ibn Sayyid Mubārak,",صاحب‌داد، سيد عماد الدىن بن سيد مبارک.,,Persian with Arabic source-text.,per|ara,"Smith, David Eugene, 1860-1944,","",,,paper ;,"Extent: 28 foliated leaves : paper ; 250 x 160 (185 x 95) mm, bound to 255 x 170 mm.",,2022-04-04T09:34:56-04:00,,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/prototype-data/columbia/ms_or_015-marc.xml
,,,marc-xml,Q49088,Columbia University.,MS Or 16.|on1076587509,"",,"",,1813,1813,19,http://vocab.getty.edu/aat/300404513,,,"","",On charms and talismans.,"","","",Codices.|Diagrams.|Tables (documents)|Manuscripts.,"",,"","Islamic magic--Early works to 1800.|Talismans--Religious aspects--Islam--Early works to 1800.|Manuscripts, Arabic.",,"","",,"","",,"","",,Arabic.,ara,"Smith, David Eugene, 1860-1944,|ʻAṭṭār, Muḥammad Amīn,",|عطار، محمد امين.,,,"paper, illustrations ;","Extent: 79 leaves : paper, illustrations ; 235 x 165 (235 x 165) mm, bound to 230 x 165 mm.",,2022-04-04T09:34:56-04:00,,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/prototype-data/columbia/ms_or_016-marc.xml
,,,marc-xml,Q49088,Columbia University,MS Or 19.|on1055768650,"",,"",,1750-1899,1750^1899,18;19,http://vocab.getty.edu/aat/300404512;http://vocab.getty.edu/aat/300404513,,,"","",Panjāh bāb-i sulṭānī bi-ʻilm-i usṭurlāb.,پنجاه باب سلطانى بعلم اسطرلاب.,"","",Manuscripts.|Codices.|Diagrams.|Tables (documents),"",,"","Astrolabes--Early works to 1800.|Astronomy--Early works to 1800.|Astronomical instruments--Early works to 1800.|Manuscripts, Persian.",,"Āmulī, Rukn ibn Sharaf al-Dīn, active 1456.","آملى، رکن بن شرف الدىن, active 1456.",,"","",,"","",,Persian.,per,"Smith, David Eugene, 1860-1944,","",,,"paper, illustrations ;","Extent: 42 bi-paginated leaves : paper, illustrations ; 200 x 140 (165 x 110) mm, bound to 220 x 150 mm.",,2022-04-04T09:34:56-04:00,,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/prototype-data/columbia/ms_or_019-marc.xml
,,,marc-xml,Q49088,Columbia University.,MS Or 21.|on1054927810,"",,"",,1500-1840,1500^1840,16;17;18;19,http://vocab.getty.edu/aat/300404510;http://vocab.getty.edu/aat/300404511;http://vocab.getty.edu/aat/300404512;http://vocab.getty.edu/aat/300404513,,,"","",al-Mulakhkhaṣ fī al-hayʼah.,الملخص في الهيئة.,"","",Codices.|Manuscripts.|Diagrams.|Tables (documents),"",,"","Geography, Arab--Early works to 1800.|Astronomy--Islamic countries--History.|Manuscripts, Arabic.|Astronomy.|Geography, Arab.|Manuscripts, Arabic.|Islamic countries.",,"Jighmīnī, Maḥmūd ibn Muḥammad, -1221?","جغميني، محمود بن محمد, -1221",,"","",,"","",,Arabic.,ara,"Smith, David Eugene, 1860-1944,","",,,"paper, illustrations ;","Extent: 67 paginated leaves : paper, illustrations ; 220 x 130 (170 x 90 and 170 x 75) mm.",,2022-04-04T09:34:56-04:00,,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/prototype-data/columbia/ms_or_021-marc.xml
,,,marc-xml,Q49088,Columbia University,MS Or 24.|on1054927257,"",,"",,1653,1653,17,http://vocab.getty.edu/aat/300404511,,,"","",Calendar for year 1064 AH,"","","",Calendars (documents by form)|Tables (documents)|Volvelles.|Manuscripts.,"",,"","Islamic calendar--Early works to 1800.|Astrology, Arab--Early works to 1800.|Medicine--Turkey--Early works to 1800.|Manuscripts, Turkish.",,"","",,"","",,"","",,Ottoman Turkish.,ota,"Smith, David Eugene, 1860-1944,","",,,"paper, illustrations ;","Extent: 8 foliated leaves : paper, illustrations ; 205 x 135 (148 x 85) mm.",,2022-04-04T09:34:56-04:00,,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/prototype-data/columbia/ms_or_024-marc.xml
,,,marc-xml,Q49088,Columbia University,MS Or 25.|on1054926635,"",,"",,1850-1899,1850^1899,19,http://vocab.getty.edu/aat/300404513,,,De sphaericis.,"",Kitāb al-ukar.,كتاب الاكر.,"","",Manuscripts.|Codices.|Diagrams.,"",,"","Geometry--Arab countries--History.|Manuscripts, Arabic.",,"Theodosius, active 1st century B.C.","ثاوذوسيوس, active 1st century B.C.",,"","",,"","",,Arabic.,ara,"Smith, David Eugene, 1860-1944,","",,,"paper, illustrations ;","Extent: 38 foliated leaves : paper, illustrations ; 218 x 125 (120 x 65) mm, bound to 210 x 130 mm.",,2022-04-04T09:34:56-04:00,,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/prototype-data/columbia/ms_or_025-marc.xml
,,,marc-xml,Q49088,Columbia University.,MS Or 30 - FOLIO/FLAT.|on1054926663,"",,"",,1348,1348,14,http://vocab.getty.edu/aat/300404506,,,Elements.,"",Uṣūl al-handasah wa-al-ḥisāb /,اصول الهندسة والحساب /,"","",Manuscripts.|Codices.|Diagrams.,"",,"","Geometry--Early works to 1800.|Geometry--Arab countries--History.|Manuscripts, Arabic.",,Euclid.,"",,"","",,"","",,Arabic.,ara,"Smith, David Eugene, 1860-1944,","",,,"paper, illustrations ;","Extent: 95 foliated leaves : paper, illustrations ; 285 x 165 (185 x 95) mm, bound to 295 x 190 mm.",,2022-04-04T09:34:56-04:00,,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/prototype-data/columbia/ms_or_030-marc.xml
,,,marc-xml,Q49088,Columbia University,MS Or 32.|on1054927036,"",,"",,1775-1825,1775^1825,18;19,http://vocab.getty.edu/aat/300404512;http://vocab.getty.edu/aat/300404513,,,"","",Treatise on composing letters,"","","",Codices.|Manuscripts.|Manuals (instructional materials),Insertions (Provenance),,"","Education--Turkey--History--Ottoman Empire, 1288-1918.|Letter writing, Turkish.|Manuscripts, Turkish.",,"","",,"","",,"","",,Ottoman with translations from Arabic; inserts in Persian laid in.,ota|ara,"Smith, David Eugene, 1860-1944,","",,,paper ;,"Extent: 35 foliated leaves : paper ; 257 x 185 (155 x 91) mm, bound to 257 x 185 mm.",,2022-04-04T09:34:56-04:00,,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/prototype-data/columbia/ms_or_032-marc.xml
,,,marc-xml,Q49088,Columbia University.,MS Or 33.|on1054927097,"",,"",,1650-1843,1650^1843,17;18;19,http://vocab.getty.edu/aat/300404511;http://vocab.getty.edu/aat/300404512;http://vocab.getty.edu/aat/300404513,,,"","",Khulāṣat al-ḥisāb.,خلاصة الحساب.,"","",Manuscripts.|Codices.|Diagrams.|Tables (documents),"",,"","Arithmetic--Early works to 1900.|Mathematics, Arab--Early works to 1800.|Manuscripts, Arabic.",,"ʻĀmilī, Bahāʼ al-Dīn Muḥammad ibn Ḥusayn, 1547-1621.",عاملي، بهاء الدين محمد بن حسين، 1547-1621.,,"","",,"","",,Arabic with some Persian marginalia.,ara|per,"Smith, David Eugene, 1860-1944,","",,,"paper, illustrations ;","Extent: 30 foliated leaves : paper, illustrations ; 245 x 160 (145 x 97) mm, bound to 250 x 175 mm.",,2022-04-04T09:34:56-04:00,,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/prototype-data/columbia/ms_or_033-marc.xml
,,,marc-xml,Q49088,Columbia University.,MS Or 36.|on1053902029,"",,"",,1851,1851,19,http://vocab.getty.edu/aat/300404513,,,"","",Badīʻ al-ḥisāb.,بدیع الحساب.,"","",Codices.|Diagrams.|Manuals (instructional materials)|Manuscripts.,Insertions (Provenance),,"","Arithmetic.|Geometry.|Manuscripts, Persian.",,Rajab ʻAlī Beg.,رجب علی بیگ.,,"","",,"","",,Persian.,per,"Smith, David Eugene, 1860-1944,","",,,"paper, diagrams ;","Extent: 1, 76, 2 foliated leaves : paper, diagrams ; 258 x 172 (185 x 90) mm, bound to 263 x 176 mm.",,2022-04-04T09:34:56-04:00,,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/prototype-data/columbia/ms_or_036-marc.xml
,,,marc-xml,Q49088,Columbia University.,MS Or 37.|on1053901906,"",,"",,1664,1664,17,http://vocab.getty.edu/aat/300404511,,,"","",Badāʼiʻ al-funūn.,بدائع الفنون.,"","",Manuscripts.|Codices.|Manuals (instructional materials),"",,"","Markets--Islamic countries--Handbooks, manuals, etc.|Islamic countries--Commerce--Handbooks, manuals, etc.|Manuscripts, Persian.",,"","",,"","",,"","",,Persian.,per,"Smith, David Eugene, 1860-1944,","",,,paper ;,"Extent: 56 foliated leaves : paper ; 236 x 140 (190 x 100) mm, bound to 245 x 145 mm.",,2022-04-04T09:34:56-04:00,,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/prototype-data/columbia/ms_or_037-marc.xml
,,,marc-xml,Q49088,Columbia University.,MS Or 38.|on1055768294,"",,"",,1711,1711,18,http://vocab.getty.edu/aat/300404512,,,Līlāvatī.,"",Līlāvatī.,لیلاوتى.,"","",Codices.,"",,"","Geometry.|Arithmetic.|Manuscripts, Persian.",,"Bhāskarācārya, 1114-","باسکراکاریا, 1114-.",,"","",,"","",,Persian.,per,"Smith, David Eugene, 1860-1944,","",,,paper ;,"Extent: 2, 56, 2 foliated leaves : paper ; 215 x 155 (160 x 100) mm, bound to 220 x 165 mm.",,2022-04-04T09:34:56-04:00,,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/prototype-data/columbia/ms_or_038-marc.xml
,,,marc-xml,Q49088,Columbia University.,MS Or 39.|on1055768434,"",,"",,1528,1528,16,http://vocab.getty.edu/aat/300404510,,,"","",Kitāb-i Surkhāb dar ʻilm-i raml.,کتاب سرخاب در علم رمل.,"","",Manuscripts.|Codices.|Tables (documents),"",,"","Geomancy--Islamic countries--Early works to 1800.|Manuscripts, Persian.",,Surkhāb.,سرخاب.,,"","",,"","",,Persian.,per,"Smith, David Eugene, 1860-1944,","",,,"paper, illustrations ;","Extent: 63 foliated leaves : paper, illustrations ; 225 x 155 (175 x 110) mm.",,2022-04-04T09:34:56-04:00,,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/prototype-data/columbia/ms_or_039-marc.xml
,,,marc-xml,Q49088,Columbia University.,MS Or 41.|on1080314357,"",,"",,1602-1603,1602^1603,17,http://vocab.getty.edu/aat/300404511,,,"","",Sabʻ samawāt li-sirr samāʼī.,سبع سموات لسر سمائي.,"","",Codices (bound manuscripts)|Diagrams.|Tables (documents)|Manuscripts (documents),"",,"","Astronomy, Arab--Tables--Early works to 1800.|Astrology, Arab--Early works to 1800.|Divination--Early works to 1800.|Manuscripts, Persian.",,"Fārūqī, Fatḥ Allāh ibn Muṣṭafá ibn ʻAbd al-Shakūr, active approximately 16th century-17th century.",فاروقى، فتح الله بن مصطفى بن عبد الشکور، active approximately 16th century-17th century,,"","",,"","",,Persian.,per,"Smith, David Eugene, 1860-1944,","",,,"paper, illustrations ;","Extent: 86 foliated leaves : paper, illustrations ; 235 x 155 (200 x 110) mm, bound to 245 x 160 mm.",,2022-04-04T09:34:56-04:00,,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/prototype-data/columbia/ms_or_041-marc.xml
,,,marc-xml,Q49088,Columbia University.,MS Or 43.|on1055768542,"",,"",,1685-1700,1685^1700,17,http://vocab.getty.edu/aat/300404511,,,"","",Sharḥ ashkāl al-taʼsīs.,شرح أشكال التأسيس.,"","",Codices.|Manuscripts.|Diagrams.,"",,"","Geometry--Arab countries--History.|Manuscripts, Arabic.",,"Qāḍīʹzādah, Mūsá ibn Muḥammad, -approximately 1436.","قاضي‌زاده، موسى بن محمد, -approximately 1436.",,"","",,"","",,Arabic.,ara,"Smith, David Eugene, 1860-1944,","",,,"paper, illustrations ;","Extent: 48 foliated leaves : paper, illustrations ; 195 x 115 (145 x 70) mm, bound to 205 x 130 mm.",,2022-04-04T09:34:56-04:00,,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/prototype-data/columbia/ms_or_043-marc.xml
,,,marc-xml,Q49088,Columbia University.,MS Or 44.|on1055768579,"",,"",,1830-1899,1830^1899,19,http://vocab.getty.edu/aat/300404513,,,De sphaera quae movetur.,"",Kitāb al-kurah al-mutaḥarrikah /,كتاب الكرة المتحركة /,"","",Manuscripts.|Codices.|Diagrams.,"",,"","Geometry--Arab countries--History.|Manuscripts, Arabic.",,"Autolycus, active 2nd century.","",,"","",,"","",,Arabic.,ara,"Smith, David Eugene, 1860-1944,","",,,"paper, diagrams ;","Extent: 7 unpaginated leaves : paper, diagrams ; 205 x 127 (160 x 60) mm, bound to 210 x 125 mm.",,2022-04-04T09:34:56-04:00,,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/prototype-data/columbia/ms_or_044-marc.xml
,,,marc-xml,Q49088,Columbia University,MS Or 46.|on1055768592,"",,"",,1596,1596,16,http://vocab.getty.edu/aat/300404510,,,"","",Sharḥ-i ʻaṣā-yi mukhtariʻ-i humāyūn pādshāh. Ganj-i nahān khānah-i ḥayy-i qadīm.,شرح عصاى مخترع هماىون پادشاه. گنج نهان خانه حي قدىم.,"","",Codices.|Manuscripts.,"",,"","Geometry--Islamic countries--History.|Manuscripts, Persian.",,"","",,"","",,"","",,Persian.,per,"Smith, David Eugene, 1860-1944,","",,,paper ;,Extent: 11 foliated leaves : paper ; 200 x 110 (130 x 55) mm.,,2022-04-04T09:34:56-04:00,,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/prototype-data/columbia/ms_or_046-marc.xml
