ds_id,date_added,date_last_updated,source_type,cataloging_convention,holding_institution_ds_qid,holding_institution_as_recorded,holding_institution_id_number,holding_institution_shelfmark,link_to_holding_institution_record,iiif_manifest,production_place_as_recorded,production_place_ds_qid,production_date_as_recorded,production_date,century,century_aat,dated,title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_agr,standard_title_ds_qid,genre_as_recorded,genre_ds_qid,subject_as_recorded,subject_ds_qid,author_as_recorded,author_as_recorded_agr,author_ds_qid,artist_as_recorded,artist_as_recorded_agr,artist_ds_qid,scribe_as_recorded,scribe_as_recorded_agr,scribe_ds_qid,associated_agent_as_recorded,associated_agent_as_recorded_agr,associated_agent_ds_qid,former_owner_as_recorded,former_owner_as_recorded_agr,former_owner_ds_qid,language_as_recorded,language_ds_qid,material_as_recorded,material_ds_qid,physical_description,note,acknowledgments,data_processed_at,data_source_modified,source_file
,"","",marc-xml,amremm,Q27887,Columbia University Rare Book & Manuscript Library,2369984,X892.9 N35,https://clio.columbia.edu/catalog/2369984,"","","",14--?-15--?,1400^1599,15;16,http://vocab.getty.edu/aat/300404465;http://vocab.getty.edu/aat/300404510,false,Sharakan,Շարական,Sharaknotsʻ,"",Q39851,Codices (bound manuscripts)|Hymnals|Manuscripts (documents)|Manuscripts (documents),Q168|Q19868|Q10789|Q10789,"Armenian Church--Hymns|Hymns, Armenian--Early works to 1800|Manuscripts, Armenian",Q38574;Q6878|Q16372;Q300|Q2964,Armenian Church,"",Q41936,"","","","","","","","","","","","",Armenian,Q792,"","","Extent: 262 leaves ; 140 x 90 (95 x 60) mm, bound to 140 x 92.5 x 60 mm","Decoration: Marginal ornaments in purple, pink and blue, throughout. Rubricated initials and titles throughout.|Layout: Written in 21 long lines.|Manuscript codex.|Origin: undated, possibly in the 15th or 16th century.|Scribe: Łazar (note on fol. 91v).|Script: Written in Bolorgir script in black ink.|Shelfmark: X892.9 N35.","",2025-04-09 09:17:15 -0400,20230405,20250214-columbia-marc-mmw.xml
DS6726,"","",marc-xml,amremm,Q27887,Columbia University Rare Book & Manuscript Library,15321924,X892.8 Sa16,https://clio.columbia.edu/catalog/15321924,https://iiif.archive.org/iiif/ldpd_15467901_000/manifest.json,India?,Q138,1757.,1757,18,http://vocab.getty.edu/aat/300404512,true,Būstān. Pandnāmah,بوستان. پندنامه,"","",Q18625,Codices (bound manuscripts)|Manuscripts (documents),Q168|Q10789,"Manuscripts, Persian|Persian literature--747-1500|Persian poetry--747-1500",Q255|Q3612|Q3582,Saʻdī,سعدي,Q3799,"","","","Dāʼim, Muḥammad, active 1757",دائم، محمد، active 1757،,Q28055,"","","","Jackson, A. V. Williams 1862-1937","",Q27958,Persian,Q120,paper,Q31,"Extent: v, 153, v foliated leaves : paper ; 224 x 152 (155 x 91) mm, bound to 224 x 160 x 18 mm",Decoration: Rubrications in red.|Layout: Written in 15 lines in two columns.|Manuscript codex.|Note saying the manuscript was exhibited by A.V. Williams Jackson with some (somewhat erroneous) information about it laid in. Errata sheet also laid in.|Origin: Copy completed in the year 1170 A.H. (1757 CE) by Muḥammad Dāʼim (f. 152r).|Script: Written in nastaʻlīq in black ink; pointed.|Shelfmark: X892.8 Sa16.|Formerly owned by A. V. Williams Jackson.,"",2025-04-09 09:17:15 -0400,20240627,20250214-columbia-marc-mmw.xml
DS6729,"","",marc-xml,amremm,Q27887,Columbia University Rare Book & Manuscript Library,15321941,X893.7 F84,https://clio.columbia.edu/catalog/15321941,https://iiif.archive.org/iiif/ldpd_15467906_000/manifest.json,"","",1830?-1899?,1830^1899,19,http://vocab.getty.edu/aat/300404513,false,Fragment of an Arabic grammar,"","","",Q27591,Codices (bound manuscripts)|Manuscripts (documents),Q168|Q10789,"Arabic language--Grammar|Manuscripts, Arabic",Q3523|Q256,"","","","","","","","","","","","","","","",Arabic,Q118,paper,Q31,"Extent: ii, 10, xii foliated leaves : paper ; 235 x 164 (150 x 108) mm, bound to 245 x 172 x 9 mm",Layout: Written in 15 long lines.|Manuscript codex.|Origin: The item is undated; probably 19th century.|Script: Written in naskh in black ink; pointed.|Shelfmark: X893.7 F84|Title supplied by cataloger.,"",2025-04-09 09:17:15 -0400,20240627,20250214-columbia-marc-mmw.xml
DS6560,"","",marc-xml,amremm,Q27887,Columbia University Rare Book & Manuscript Library,13673604,MS Or 222,https://clio.columbia.edu/catalog/13673604,https://iiif.archive.org/iiif/ldpd_14230690_000/manifest.json,Iran?,Q2822,1728.,1728,18,http://vocab.getty.edu/aat/300404512,true,al-Qurʼān,القرآن,Qurʼan,"",Q3697,Codices (bound manuscripts)|Early works to 1800|Early works|Illuminations (painting)|Lacquered bindings (Binding)|Manuscripts (documents)|Painted (decoration)|Qur'ans|Stamps (Provenance),Q168|Q300|Q300|Q225|Q27295|Q10789|Q26732|Q3532|Q3075,"Qurʼan|Manuscripts, Arabic|Manuscripts, Persian",Q11441|Q256|Q255,"","","","","","","Iṣfahānī, Muḥammad Muḥsin",اصفهاني، محمد محسن،,Q27917,"","","","Smith, David Eugene, 1860-1944","",Q27891,Arabic with Persian translation and marginal notes,Q118;Q120,"non-European laid paper, illuminations",Q31,"Extent: iv, 392, iii leaves : non-European laid paper, illuminations ; 242 x 152 (163 x 93) mm, bound to 248 x 160 mm","Decoration: Double-page polychrome (chiefly blue, pink, red) and gold illuminated opening (f. 1v-2r). Illuminated sūrah headings in red ink on gold cartouche framed in many different polychrome patterns; marginal text division markers in gold pointed medallion shape with a blue finial surrounded by bright, multi-colored flames. Verse endings marked by four petal rosette with a green center, red and blue highlights. Textblock border-ruled in black, gold, blue; page-opening framed in a thin, gold rule. Lines of text are ruled in gold with the first letters of each line, and the central line of the page written in gold. Readings in red.|Foliation: Modern foliation added in pencil, upper left recto; catchwords every verso, lower left; sūrah title in red every recto, upper left.|Former shelfmark: MS X893.7 K84 I147.|Layout: 22 gold-ruled lines alternating full and half height with Arabic in the full height and Persian in the half-height. Central line of each page in gold display script.|Manuscript codex.|Origin: Copy completed in Ramaḍān 1140 AH (1728 CE) by Muḥammad Muḥsin al-Iṣfahānī (f. 392r), probably in Iran.|Script: Written in naskh in black ink; pointed, vocalized with translation in nastaʻlīq in red ink; pointed. Central line of each page in muḥaqqaq in gold ink; pointed, vocalized.|Shelfmark: MS Or 222.|Title from colophon (f. 392r).|Customs stamp solar dated 1310/1932 (f. 1r, 392v). Owner's stamp in triplicate, possibly dated 1318/1900-01 (f. 392r).","",2025-04-09 09:17:15 -0400,20230405,20250214-columbia-marc-mmw.xml
DS6561,"","",marc-xml,amremm,Q27887,Columbia University Rare Book & Manuscript Library,13673610,MS Or 229,https://clio.columbia.edu/catalog/13673610,https://iiif.archive.org/iiif/ldpd_14230691_000/manifest.json,Turkey?,Q3079,1835 or 1836.,1835^1836,19,http://vocab.getty.edu/aat/300404513,true,Dalāʼil al-khayrāt wa shawāriq al-anwār fī dhikr al-ṣalāh ʻalá al-nabī al-mukhtār,دلائل الخيرات و شوارق الانوار في ذكر الصلوة على النبي المختار,Dalāʼil al-khayrāt,دلائل الخيرات,Q18568,Codices (bound manuscripts)|Envelope flaps (features)|Full covers|Illuminations (painting)|Islamic bindings (Binding)|Manuscripts (documents)|Miniatures (paintings)|Onlays (decoration)|Prayers,Q168|Q3541|Q26878|Q225|Q16307|Q10789|Q262|Q3046|Q3062,"Muḥammad, Prophet, -632--Prayers and devotions--Early works to 1800|Islam--Prayers and devotions--Early works to 1800|Manuscripts, Arabic|Prayer--Islam--Early works to 1800|Mecca (Saudi Arabia)--Pictorial works|Medina (Saudi Arabia)--Pictorial works",Q3639;Q3052;Q300|Q3549;Q3052;Q300|Q256|Q11135;Q300|Q11321;Q240|Q18323;Q240,"Jazūlī, Muḥammad ibn Sulaymān, 1404-1465",جزولي، محمد بن سليمان، 1404-1465,Q18651,"","","",Ḥasan Niyāzī Afandīʹzādah Muḥammad Amīn Ḥilmī,حسن نيازي افندي‌زاده محمد امين حلمي,Q27918,"","","","Smith, David Eugene, 1860-1944","",Q27891,Arabic with a few pages in Ottoman Turkish,Q118;Q3104,"laid paper with watermark, illustrations, illuminations",Q31,"Extent: 87 leaves : laid paper with watermark, illustrations, illuminations ; 178 x 115 (108 x 60) mm, bound to 178 x 115 mm","Decoration: Gold and polychrome headpieces; the first in pink, blue, purple (f. 1v), the second in beige orange, blue (f. 15r). Gold and polychrome text divisions panels (f. 9r, 12r, 14r, 14v, 21r, 22v, 30r, 31r, 35r, 39v, 45v, 48r, 59r, 60r, 64v, 69r, 78v, 83r, 85r, 85v). Full page polychrome (white, blue, pink, red/orange tones with highlights in gold) illustrations of Mecca and Medina (f. 12v-13r). In the image of Medina, 5 tombs are represented (the three usual ones and two others in a square below). Textblock is border ruled in wide gold, narrow blue and red. Text is punctuated throughout by gold roundels with white centers, edged with four orange and blue dots. Rubrications in red.|Layout: 13 long lines, border-ruled.|Manuscript codex.|Origin: Copy completed in 1251 AH by Ḥasan Niyāzī Afandīʹzādah Muḥammad Amīn Ḥilmī, a student of ʻAlī ʻUlawī (f. 85v).|Script: Written in naskh in black ink; pointed, vocalized.|Shelfmark: MS Or 229.|Title from introduction (f. 2r).","",2025-04-09 09:17:15 -0400,20230405,20250214-columbia-marc-mmw.xml
DS6563,"","",marc-xml,amremm,Q27887,Columbia University Rare Book & Manuscript Library,13673627,MS Or 234,https://clio.columbia.edu/catalog/13673627,https://iiif.archive.org/iiif/ldpd_14230714_000/manifest.json,Turkey?,Q3079,17-- or 18--,1700^1899,18;19,http://vocab.getty.edu/aat/300404512;http://vocab.getty.edu/aat/300404513,false,al-Qurʼān,القرآن,Qurʼan,قرآن,Q3697,Blind tooled (decoration)|Codices (bound manuscripts)|Early works to 1800|Early works|Envelope flaps (features)|Full covers|Illuminations (painting)|Islamic bindings (Binding)|Manuscripts (documents)|Qur'ans,Q27291|Q168|Q300|Q300|Q3541|Q26878|Q225|Q16307|Q10789|Q3532,"Qurʼan|Manuscripts, Arabic",Q11441|Q256,"","","","","","","","","","","","","Smith, David Eugene, 1860-1944","",Q27891,Arabic,Q118,"laid paper, illuminations",Q31,"Extent: 281 foliated leaves : laid paper, illuminations ; 210 x 145 (162 x 79) mm, bound to 210 x 150 mm","Decoration: Matching illuminated headpieces in beige, pink and green on the first opening (f. 1v-2r). Sūrah headers in red ink. Rubrications in red. Readings in red. Verse endings marked by a red open circle or heart shape.|Former shelfmark: MS X893.7 K84 I114.|Layout: 12 to 15 lines per page. Some pages, particularly near the beginning, have two lines of text in larger thuluth followed by four lines of text in smaller naskh, three lines in larger thuluth, four lines in smaller naskh and a final two lines in larger thuluth. Most pages have text of a uniform size.|Manuscript codex.|Origin: Item is undated, but probably copied in the 18th or 19th century, perhaps in Turkey.|Script: Written in naskh and thuluth in black ink; pointed, vocalized.|Shelfmark: MS Or 234.|Title supplied by cataloger.","",2025-04-09 09:17:15 -0400,20230405,20250214-columbia-marc-mmw.xml
DS6564,"","",marc-xml,amremm,Q27887,Columbia University Rare Book & Manuscript Library,13673634,MS Or 237,https://clio.columbia.edu/catalog/13673634,https://iiif.archive.org/iiif/ldpd_14230716_000/manifest.json,Syria or Egypt?,Q3096;Q3086,between 1300 and 1499?,1300^1499,14;15,http://vocab.getty.edu/aat/300404506;http://vocab.getty.edu/aat/300404465,false,al-Juzʼ al-thālith ʻashar,الجزء الثالث عشر,Qurʼan,قرآن,Q3697,Blind tooled (decoration)|Codices (bound manuscripts)|Envelope flaps (features)|Full covers|Illuminations (painting)|Islamic bindings (Binding)|Manuscripts (documents)|Qur'ans,Q27291|Q168|Q3541|Q26878|Q225|Q16307|Q10789|Q3532,"Qurʼan|Manuscripts, Arabic",Q11441|Q256,"","","","","","","","","","","","","Smith, David Eugene, 1860-1944","",Q27891,Arabic,Q118,laid paper,Q31,"Extent: 28 foliated leaves : laid paper ; 265 x 175 (195 x 125) mm, bound to 266 x 184 mm","Decoration: Gold and blue illuminated header and footer with the title in white on a gold background with gold flowers on blue backgrounds on each end and a circular medallion in blue and gold extending into the margin next to the header; first opening is also border-ruled in blue and gold (f. 1v-2r). Sūrah titles in white ink on gold illuminated background lined in blue with blue and gold medallions in the margin. Text divisions marked in gold in the margin. Gold roundels mark verse endings.|Layout: 7 long lines.|Manuscript codex.|Origin: Item is undated. Perhaps produced in Syria or Egypt in the 14th or 15th century.|Script: Written in widely spaced naskh in black ink; pointed, vocalized.|Shelfmark: MS Or 237.|Title from illuminated heading on first opening (f. 1v-2r).","",2025-04-09 09:17:15 -0400,20230405,20250214-columbia-marc-mmw.xml
DS6568,"","",marc-xml,amremm,Q27887,Columbia University Rare Book & Manuscript Library,13673640,MS Or 242,https://clio.columbia.edu/catalog/13673640,https://iiif.archive.org/iiif/ldpd_14230789_000/manifest.json,"","",between 1750 and 1850?,1750^1850,18;19,http://vocab.getty.edu/aat/300404512;http://vocab.getty.edu/aat/300404513,false,al-Juzʼ al-thānī wa-al-ʻishrūn,الجزء الثاني والعشرون,Qurʼan,قرآن,Q3697,Blind tooled (decoration)|Codices (bound manuscripts)|Envelope flaps (features)|Full covers|Illuminations (painting)|Islamic bindings (Binding)|Manuscripts (documents)|Qur'ans,Q27291|Q168|Q3541|Q26878|Q225|Q16307|Q10789|Q3532,"Qurʼan|Manuscripts, Arabic",Q11441|Q256,"","","","","","","","","","","","","Smith, David Eugene, 1860-1944","",Q27891,Arabic,Q118,"paper, illuminations",Q31,"Extent: 27 leaves : paper, illuminations ; 238 x 162 (137 x 85) mm, bound to 245 x 170 mm","Decoration: Polychrome (blue, green) and gold illuminated headpiece (f. 1v). Textblock is border-ruled in gold. Text divisions marked in gold in the margin. Sūrah titles in gold ink. Gold roundels mark verse endings.|Layout: 8 long lines.|Manuscript codex.|One volume of a Qur'ān set, of which RBML holds five volumes under separate shelfmarks; See also MSS Or. 239, 240, 241, and 243.|Origin: Item is undated. Probably copied in the mid-18th to mid-19th century.|Script: Written in naskh in black ink; pointed, vocalized.|Shelfmark: MS Or 242.|Title from caption title in headpiece (f. 1v).","",2025-04-09 09:17:15 -0400,20230405,20250214-columbia-marc-mmw.xml
DS6681,"","",marc-xml,amremm,Q27887,Columbia University Rare Book & Manuscript Library,14974216,MS Or 202,https://clio.columbia.edu/catalog/14974216,https://iiif.archive.org/iiif/ldpd_15147159_000/manifest.json,Turkey?,Q3079,17--? - 18--?,1700^1899,18;19,http://vocab.getty.edu/aat/300404512;http://vocab.getty.edu/aat/300404513,false,al-Shifāʼ fī taʻrīf ḥuqūq al-Muṣṭafá,الشفاء في تعريف حقوق المصطفى,"","",Q3687,Codices (bound manuscripts)|Miniatures (paintings)|Onlays (decorative components),Q168|Q262|Q3046,"Muḥammad, Prophet, -632--Biography--Early works to 1800|Manuscripts, Arabic",Q3639;Q3051;Q300|Q256,"ʻIyāḍ ibn Mūsá, 1083-1149",عياض بن موسى، 1083-1149,Q3786,"","","","","","","","","","Smith, David Eugene, 1860-1944","",Q27891,Arabic,Q118,laid paper,Q31,"Extent: iii, 260, iii leaves : laid paper ; 124 x 82 (75 x 48) mm, bound to 124 x 88 mm","Decoration: Headpiece lined in gold with painting of the mosque at Medina (f. 1v); textblock border-ruled in gold; rubrications in red.|Layout: Written in 19 long lines.|Manuscript codex.|Origin: The item is undated, possibly 18th or 19th century.|Script: Written in naskh in black ink; pointed.|Shelfmark: MS Or 202.|Title from introduction (f. 3v)","",2025-04-09 09:17:15 -0400,20240627,20250214-columbia-marc-mmw.xml
DS6682,"","",marc-xml,amremm,Q27887,Columbia University Rare Book & Manuscript Library,14974250,MS Or 249,https://clio.columbia.edu/catalog/14974250,https://iiif.archive.org/iiif/ldpd_15147162_000/manifest.json,"","",1537.,1537,16,http://vocab.getty.edu/aat/300404510,true,al-Qurʼān,القرآن,Qurʼan,قرآن,Q3697,Codices (bound manuscripts)|Flap bindings (Binding)|Illuminations (painting)|Manuscripts (documents)|Qurʼans,Q168|Q5826|Q225|Q10789|Q3532,"Qurʼan--Manuscripts|Manuscripts, Arabic",Q11441;Q38609|Q256,"","","","","","","Khawāfī, Burhān ibn Waḥīd, active 1537",خوافي، برهان بن وحيد، active 1537،,Q28020,"","","","Smith, David Eugene, 1860-1944","",Q27891,Arabic,Q118,non-European laid paper,Q31,"Extent: 410 leaves : non-European laid paper ; 186 x 121 (120 x 74) mm, bound to 190 x 137 mm","Decoration: Blue, gold, and red illuminated dual-page first opening (f. 1v-2r); gold roundels with pink and blue dots mark verse endings; sūrah headings in gold; textblock border-ruled in gold and blue.|Former shelfmark: MS X893.7 K84 I129.|Layout: Written in 11 long lines; catchwords every verso, lower left.|Manuscript codex.|Origin: Copy completed by Burhān ibn Waḥīd, known as Zayn al-Dīn al-Khawāfī at the beginning of Jumādá al-Thānī in 944 A.H. (1537 CE) (f. 410r).|Script: Written in naskh in black ink, pointed, vocalized; titles in thuluth in gold, pointed, vocalized.|Shelfmark: MS Or 249.|Title supplied by cataloger.","",2025-04-09 09:17:15 -0400,20240627,20250214-columbia-marc-mmw.xml
