ds_id,date_added,date_last_updated,source_type,cataloging_convention,holding_institution_ds_qid,holding_institution_as_recorded,holding_institution_id_number,holding_institution_shelfmark,link_to_holding_institution_record,iiif_manifest,production_place_as_recorded,production_place_ds_qid,production_date_as_recorded,production_date,century,century_aat,dated,title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_agr,standard_title_ds_qid,genre_as_recorded,genre_ds_qid,subject_as_recorded,subject_ds_qid,author_as_recorded,author_as_recorded_agr,author_ds_qid,artist_as_recorded,artist_as_recorded_agr,artist_ds_qid,scribe_as_recorded,scribe_as_recorded_agr,scribe_ds_qid,associated_agent_as_recorded,associated_agent_as_recorded_agr,associated_agent_ds_qid,former_owner_as_recorded,former_owner_as_recorded_agr,former_owner_ds_qid,language_as_recorded,language_ds_qid,material_as_recorded,material_ds_qid,physical_description,note,acknowledgments,data_processed_at,data_source_modified,source_file
DS157,,,ds-mets-xml,ds-mets,Q667,Conception Abbey and Seminary,CA 01,CA 01,https://archive.org/details/CA01_15,https://iiif.archive.org/iiif/images_CA01_15/manifest.json,France?,Q122,s. IX/X; 890-910,890^910,9;10,http://vocab.getty.edu/aat/300404501;http://vocab.getty.edu/aat/300404502,false,"Bible, O.T.","","","",Q661;Q664,"","","","","","","","","","","","","","","","",Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,"",Q668,Latin,Q113,parchment,Q33,"Script, f. 1r-v: Caroline minuscule.","Manuscript note: Part of left margin, recto, has been cut away; replaced with a piece of parchment of similar size sewed on with golden silk thread.|Bibliography: G. Ecker, Descriptive Catalog of the Carolingian Manuscripts in Conception Abbey Library (unpublished), pp. 17-19.|f. 1r-v: Latin.|f. 1r-v: Ecclesiastes 5:18 to 6:9 and 7:9 to 7:21.",We thank Michael W. Heil for his work in making this description available.,2024-10-16 10:20:40 -0400,2011-11-08T03:09:09,ds_50_15_00132322.xml
DS158,,,ds-mets-xml,ds-mets,Q667,Conception Abbey and Seminary,CA 02,CA 02,https://archive.org/details/CA02_15,https://iiif.archive.org/iiif/images_CA02_15/manifest.json,Germany?,Q131,s. X; 900-999,900^999,10,http://vocab.getty.edu/aat/300404502,false,Sacramentary,"","","",Q653,"","","","","","","","","","","","","","","","",Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,"",Q668,Latin,Q113,parchment,Q33,"Script, f. 1r-v: Caroline minuscule.","Bibliography: G. Ecker, Descriptive Catalog of the Carolingian Manuscripts in Conception Abbey Library (unpublished), pp. 20-22.|f. 1r-v: Latin.|f. 1r-v: Recto: conclusion of one formulary, then the Mass for the octave day of the feast of Ss. Peter and Paul (6 July); verso: Mass text for feast of S. Kilian and companions Ss. Totnan and Colon (8 July).",We thank Michael W. Heil for his work in making this description available.,2024-10-16 10:20:40 -0400,2011-11-08T03:12:51,ds_50_15_00132323.xml
DS179,,,ds-mets-xml,ds-mets,Q667,Conception Abbey and Seminary,CA 03,CA 03,https://archive.org/details/CA03_15,"",?,Q650,s. XII; 1100-1199,1100^1199,12,http://vocab.getty.edu/aat/300404504,false,Psalter,"","","",Q660,"","","","","","","","","","","","","","","","",Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,"",Q668,Latin,Q113,parchment,Q33,"","Manuscript note: Leaf not presently found; description based on the work of G. Ecker.|Bibliography: G. Ecker, Descriptive Catalog of the Carolingian Manuscripts in Conception Abbey Library (unpublished), pp. 23-24.|f. 1r-v: Latin.|f. 1r-v: Canticle of Moses (Exodus 15:1-9) beginning with verse 9 for Feria V (Thursday) at lauds; beginning of Canticle of Habacuc (Habacuc 3:1-2) for Feria VI (Friday) at lauds.",We thank Michael W. Heil for his work in making this description available.,2024-10-16 10:20:40 -0400,2011-11-08T06:24:21,ds_50_15_00132344.xml
DS180,,,ds-mets-xml,ds-mets,Q667,Conception Abbey and Seminary,CA 04,CA 04,https://archive.org/details/CA04_15,https://iiif.archive.org/iiif/images_CA04_15/manifest.json,Switzerland?,Q652,s. IX/X; 890-910,890^910,9;10,http://vocab.getty.edu/aat/300404501;http://vocab.getty.edu/aat/300404502,false,Lectionary,"","","",Q663,"","","","","","","","","","","","","","","","",Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,"",Q668,Latin,Q113,parchment,Q33,"Script, ff. 1-2v: Caroline minuscule.|Layout, ff. 1-2v: 26 long lines; the center bifolium of a gathering.","Bibliography: G. Ecker, Descriptive Catalog of the Carolingian Manuscripts in Conception Abbey Library (unpublished), pp. 25-30.|ff. 1-2v: F. 2 is somewhat smaller: 276 x 172 mm. The red ink of the rubrics is quite faded.|ff. 1-2v: Latin.|ff. 1-2v: Contains 1 Peter 1:4-7, Matthew 16:13-19 (as incipit, ""usque"" and the explicit), Hebrews 12:3-9, Matthew 12:30-37, Luke 17:20-37, Luke 21:34-36, I Corinthians 13:1-13.",We thank Michael W. Heil for his work in making this description available.,2024-10-16 10:20:40 -0400,2011-11-08T06:24:36,ds_50_15_00132345.xml
DS181,,,ds-mets-xml,ds-mets,Q667,Conception Abbey and Seminary,CA 05,CA 05,https://archive.org/details/CA05_15,https://iiif.archive.org/iiif/images_CA05_15/manifest.json,Switzerland?,Q652,s. IX/X; 890-910,890^910,9;10,http://vocab.getty.edu/aat/300404501;http://vocab.getty.edu/aat/300404502,false,Lectionary,"","","",Q663,"","","","","","","","","","","","","","","","",Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,"",Q668,Latin,Q113,parchment,Q33,"Script, ff. 1-2v: Caroline minuscule; rustic capitals.","Bibliography: G. Ecker, Descriptive Catalog of the Carolingian Manuscripts in Conception Abbey Library (unpublished), pp. 31-36.|ff. 1-2v: Latin.|ff. 1-2v: Contains readings for Easter week; the bifolium is folded the wrong way so that Friday and Saturday services preceed Monday and Tuesday physically; the corrected order is followed in numbering the leaves in this description.",We thank Michael W. Heil for his work in making this description available.,2024-10-16 10:20:40 -0400,2011-11-08T06:30:46,ds_50_15_00132346.xml
DS182,,,ds-mets-xml,ds-mets,Q667,Conception Abbey and Seminary,CA 06,CA 06,https://archive.org/details/CA06_15,https://iiif.archive.org/iiif/images_CA06_15/manifest.json,France?,Q122,s. XI; 1000-1099,1000^1099,11,http://vocab.getty.edu/aat/300404503,false,Breviary,"","","",Q657,"","","","","","","","","","","","","","","","",Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,"",Q668,Latin,Q113,parchment,Q33,"Other decoration, f. 1r-v: Red initials with yellow and green decoration.|Script, f. 1r-v: Caroline minuscule.|Music, f. 1r-v: Interlinear neumes.","Manuscript note: From same codex as CA 07.|Bibliography: G. Ecker, Descriptive Catalog of the Carolingian Manuscripts in Conception Abbey Library (unpublished), pp. 37-40.|f. 1r-v: Latin.|f. 1r-v: Contains versicle and hymn for first vespers of Passion Sunday, the Magnificat antiphon, the invitatory (from Psalm 94) with neumes, the vesper oration; the hymn at matins (Pange Lingua), and the first lesson at matins with its responsory, with neumes.",We thank Michael W. Heil for his work in making this description available.,2024-10-16 10:20:40 -0400,2011-11-08T06:37:13,ds_50_15_00132347.xml
DS183,,,ds-mets-xml,ds-mets,Q667,Conception Abbey and Seminary,CA 07,CA 07,https://archive.org/details/CA07_15,https://iiif.archive.org/iiif/images_CA07_15/manifest.json,France?,Q122,s. XI; 1000-1099,1000^1099,11,http://vocab.getty.edu/aat/300404503,false,Breviary,"","","",Q657,"","","","","","","","","","","","","","","","",Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,"",Q668,Latin,Q113,parchment,Q33,"Other decoration, f. 1r-v: Red initials with yellow and green decoration.|Script, f. 1r-v: Caroline minuscule.|Music, f. 1r-v: Interlinear neumes.","Manuscript note: From same codex as CA 06.|Bibliography: G. Ecker, Descriptive Catalog of the Carolingian Manuscripts in Conception Abbey Library (unpublished), pp. 41-43.|f. 1r-v: Latin.|f. 1r-v: Contains John 8:46-59, i.e. the final reading for the third nocturn at matins on Passion Sunday; antiphons and hymn (Lustra sex), with neumes, for lauds.",We thank Michael W. Heil for his work in making this description available.,2024-10-16 10:20:40 -0400,2011-11-08T06:39:08,ds_50_15_00132348.xml
DS184,,,ds-mets-xml,ds-mets,Q667,Conception Abbey and Seminary,CA 08,CA 08,https://archive.org/details/CA08_15,https://iiif.archive.org/iiif/images_CA08_15/manifest.json,France?,Q122,s. XI; 1000-1099,1000^1099,11,http://vocab.getty.edu/aat/300404503,false,Sacramentary,"","","",Q653,"","","","","","","","","","","","","","","","",Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,"",Q668,Latin,Q113,parchment,Q33,"Script, f. 1r-v: Caroline minuscule.","Manuscript note: Leaf was used in the binding of another book; three segments (approx. 70x10mm) cut out from the center of the leaf.|Bibliography: G. Ecker, Descriptive Catalog of the Carolingian Manuscripts in Conception Abbey Library (unpublished), pp. 44-46.|f. 1r-v: Holes in the parchment from its use in a binding; stitched repairs in green thread.|f. 1r-v: Latin.|f. 1r-v: Contains the three prayers for the mass of Peter and Paul (29 June) and a preface proper to the saints; beginning of the preface for the feast of Thomas apostle (21 December).",We thank Michael W. Heil for his work in making this description available.,2024-10-16 10:20:40 -0400,2011-11-08T06:41:17,ds_50_15_00132349.xml
DS185,,,ds-mets-xml,ds-mets,Q667,Conception Abbey and Seminary,CA 09,CA 09,https://archive.org/details/CA09_15,https://iiif.archive.org/iiif/images_CA09_15/manifest.json,Switzerland?,Q652,s. XII; 1100-1199,1100^1199,12,http://vocab.getty.edu/aat/300404504,false,Breviary,"","","",Q657,"","","","","","","","","","","","","","","","",Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,"",Q668,Latin,Q113,parchment,Q33,"Script, f. 1r-v: Pregothic.|Music, f. 1r-v: Interlinear neumes.","Bibliography: G. Ecker, Descriptive Catalog of the Carolingian Manuscripts in Conception Abbey Library (unpublished), pp. 48-51.|f. 1r-v: Only the upper portion of the leaf survives.|f. 1r-v: Latin.|f. 1r-v: Recto: end of responsory to the 8th lesson, whole of the 9th lesson and beginning of the 10th lesson (or 9th, 10th & 11th), all with neumes, at matins for the 3rd Sunday of Lent; verso: prayer for matins, and capitula, resp. & vers. for the little hours.",We thank Michael W. Heil for his work in making this description available.,2024-10-16 10:20:40 -0400,2011-11-08T06:43:22,ds_50_15_00132350.xml
DS188,,,ds-mets-xml,ds-mets,Q667,Conception Abbey and Seminary,CA 10,CA 10,https://archive.org/details/CA10_15,https://iiif.archive.org/iiif/images_CA10_15/manifest.json,Germany?,Q131,s. XIV; 1300-1399,1300^1399,14,http://vocab.getty.edu/aat/300404506,false,Monastic life,"","","",Q18459,"","","","","","","","","","","","","","","","","","","",Latin,Q113,parchment,Q33,"Script, f. 1r-v: Gothic.",f. 1r-v: Leaf is torn vertically; somewhat less than 1/2 of the leaf is missing.|f. 1r-v: Latin.,We thank Michael W. Heil for his work in making this description available.,2024-10-16 10:20:40 -0400,2011-11-08T06:54:04,ds_50_15_00132353.xml
