ds_id,date_added,date_last_updated,source_type,holding_institution,holding_institution_as_recorded,holding_institution_id_number,link_to_holding_institution_record,iiif_manifest,production_place_as_recorded,production_place,production_date_as_recorded,production_date,century,dated,uniform_title,uniform_title_as_recorded,uniform_title_agr,title_as_recorded_245,title_as_recorded_245_agr,genre_as_recorded,genre,subject_as_recorded,subject,author_as_recorded,author_as_recorded_agr,author,artist_as_recorded,artist_as_recorded_agr,artist,scribe_as_recorded,scribe_as_recorded_agr,scribe,language_as_recorded,language,former_owner_as_recorded,former_owner_as_recorded_agr,former_owner,material,material_placeholder,physical_description,acknowledgements,data_processed_at,data_source_modified
,,,marc-xml,Q49115,NIC,Misc. Bd. Ms. 48.|3977144,"",,"[France,",,between ca. 1400 and ca. 1450],1400-1450,http://vocab.getty.edu/aat/300404465,,,"","",De patriarchis.,"",Gothic scripts.|Early works,,Theology--Early works to 1800.|Theology,,"Richard, of St. Victor, -1173.","",,"","",,"","",,Text in Latin.,"","","",,,"parchment, ill. ;","Extent: 36 leaves : parchment, ill. ; 210 x 150 (150 x 99) mm. bound to 220 x 155 mm.",,2022-02-08T17:47:39-05:00,2014-12-25
,,,marc-xml,Q49115,NIC,Misc. Bd. Ms. 16.|3817793,"",,"[Northern Italy,",,between ca. 1400 and ca. 1450.],1400-1450,http://vocab.getty.edu/aat/300404465,,,Antiphonal,"",Antiphonarium.,"","",,Divine office.|Divine office,,"","",,"","",,"","",,Text in Latin.,"","","",,,"parchment, ill. ;","Extent: 123 leaves : parchment, ill. ; 131 x 98 (105 x 70) mm. bound to 141 x 113 mm.",,2022-02-08T17:47:39-05:00,2014-12-23
,,,marc-xml,Q49115,NIC,Misc. Bd. Ms. 39.|3978530,"",,"[Italy (Fabriano),",,14th century],1301-1400,http://vocab.getty.edu/aat/300404506-http://vocab.getty.edu/aat/300404465,,,"","",Quodlibeta / James of Viterbo ...et al.,"",Gothic scripts.|Parchment.|Early works,,Theology--Early works to 1800.|Mysticism.|Quaestiones disputatae.|Mysticism|Theology,,"James, of Viterbo, Archbishop of Naples, approximately 1255-1307 or 1308.","",,"","",,"","",,Text in Latin.,"","","",,,"parchment, ill. ;","Extent: 121 leaves : parchment, ill. ; 226 x 170 (164 x 117) mm. bound to 236 x 180 mm.",,2022-02-08T17:47:39-05:00,2014-12-25
,,,marc-xml,Q49115,NIC,4600 Bd. Ms. 176|6382455,"",,"",,"",,,,,Shāhnāmah,"","Shah-nameh,","","",,"Epic poetry, Persian.|Epic poetry, Persian",,Firdawsī.,"",,"","",,"","",,In Persian.,"","","",,,col. ill. ;,Extent: 1 v. (395 leaves) : col. ill. ; 30 cm.,,2022-02-08T17:47:39-05:00,2017-04-18
,,,marc-xml,Q49115,NIC,Misc. Bd. Ms. 142.|3963913,"",,"[Italy,",,"",1400-1500,http://vocab.getty.edu/aat/300404465-http://vocab.getty.edu/aat/300404510,,,"","",Naturalis Historia.,"",Humanistic scripts.|Parchment.|Palimpsests.|Early works,,Natural history--Pre-Linnean works.|Latin literature--Natural history.|Natural history,,"Pliny, the Elder.","",,"","",,"","",,Text in Latin.,"","","",,,parchment ;,Extent: 147 leaves : parchment ; 190 x 130 (125-135 x 60-65) mm. bound to 199 x 137 mm.,,2022-02-08T17:47:39-05:00,2014-12-25
,,,marc-xml,Q49115,NIC,3313577,"",,"",,"",,,,,Office of the Blessed Virgin Mary,"",Incipit officium beate Marie Virginis secundum cursum roman ...,"",Miniatures (Illuminations)--Italy--15th century.|Marginal illustrations--Italy--15th century.|Prayers,,Catholic Church--Prayers and devotions--Italian.|Catholic Church--Prayers and devotions--Latin.|Catholic Church,,Catholic Church.,"",,"","",,"","",,"","","","",,,"",Extent: 1 v. (187 p.) ; 10 cm.,,2022-02-08T17:47:39-05:00,2017-09-13
,,,marc-xml,Q49115,NIC,13128691,"",,"",,"",1712,http://vocab.getty.edu/aat/300404512,,,Jónsbók.,"",Islaendernes lovbog :,"","",,Law--Iceland.|Internal revenue--Iceland.|Internal revenue.|Law.|Iceland.,,Iceland.,"",,"","",,"","",,In Danish.,|dan,"","",,,"","Extent: 1 volume (2, 596 pages, some blank) ; 22 cm.",,2022-02-08T17:47:39-05:00,2021-01-18
,,,marc-xml,Q49115,NIC,5829109,"",,"",,"",,,,,"","","Sermones,","",Sermons--14th century.|Cords.,,"Sermons, Latin.|Sermons, Medieval.|Sermons, Latin|Sermons, Medieval",,"","",,"","",,"","",,"","","","",,,"",Extent: 1 v. (143 leaves) ; 37 cm.,,2022-02-08T17:47:39-05:00,2014-12-29
,,,marc-xml,Q49115,NIC,Misc. Bd. Ms. 53.|3959623,"",,"[Germany,",,"",1453-1483,http://vocab.getty.edu/aat/300404465,,,Miscellany.,"",Tractatus de horis canonicis ...et al.,"",Gothic scripts.|Early works,,Theology--Early works to 1800.|Theology,,"","",,"","",,"","",,Text in Latin.,"","","",,,"paper, ill. ;","Extent: 138 leaves : paper, ill. ; 290 x 200 (215-40 x 145-160) mm., unbound.",,2022-02-08T17:47:39-05:00,2014-12-25
,,,marc-xml,Q49115,NIC,Misc. Bd. Ms. 44.|3978612,"",,"[Italy,",,ca. 1100],1075-1125,http://vocab.getty.edu/aat/300404503-http://vocab.getty.edu/aat/300404504,,,Commentary on the Epistle to the Romans,"",Expositio super epistolam Pauli ad Romanos.,"",Gothic scripts.|Parchment.|Early works,,Theology--Early works to 1800.|Theology,,Origen.,"",,"","",,"","",,Text in Latin.,"","","",,,"parchment, ill. ;","Extent: 190 leaves : parchment, ill. ; 260 x 180 (185 x 103) mm. bound to 274 x 189 mm.",,2022-02-08T17:47:39-05:00,2014-12-25
,,,marc-xml,Q49115,NIC,5779397,"",,"",,"",1100-1135,http://vocab.getty.edu/aat/300404504,,,Bible.,"","Epistles of St. Paul, with commentary,","",Commentaries,,"",,"","",,"","",,"","",,"","","","",,,"",Extent: 1 v. (60 leaves) ; 26 cm.,,2022-02-08T17:47:39-05:00,2014-12-29
,,,marc-xml,Q49115,NIC,Misc. Bd. Ms. 131.|3963933,"",,"[Italy,",,"",1470-1520,http://vocab.getty.edu/aat/300404465-http://vocab.getty.edu/aat/300404510,,,Breviarium historiae Romanae,"",Historia Romana.,"",Gothic scripts.|Humanistic scripts.|Early works|History,,Latin literature--History.|Latin literature--Rhetoric.|Rome--History--Early works to 1800.|Latin literature|Rome (Empire),,Eutropius.,"",,"","",,"","",,Text in Latin.,"","","",,,paper ;,Extent: 135 leaves : paper ; 206 x 154 (137-165 x 95-120) mm. bound to 216 x 165 mm.,,2022-02-08T17:47:39-05:00,2014-12-25
,,,marc-xml,Q49115,NIC,8765 Bd. Ms. 1|13128245,"",,"",,"",1550,http://vocab.getty.edu/aat/300404510,,,Jónsbók.,"",Jónsbók :,"","",,Law--Iceland.|Law.|Iceland.,,Iceland.,"",,"","",,"","",,In Old Norse.,"","Fiske, Willard, 1831-1904,","",,,"",Extent: 1 volume (approximately 306 pages) ; 20 cm.,,2022-02-08T17:47:39-05:00,2021-01-18
,,,marc-xml,Q49115,NIC,Misc. Bd. Ms. 60.|3977210,"",,"[Southern France (?) or Italy],",,between ca. 1275 and ca. 1325.,1275-1325,http://vocab.getty.edu/aat/300404505-http://vocab.getty.edu/aat/300404506,,,Otia imperialia,"",Otia imperialia,"",Gothic scripts.|Parchment.|Early works,,"History, Universal--Early works to 1800.|Curiosities and wonders.|Curiosities and wonders",,"Gervase, of Tilbury, approximately 1160-approximately 1211.","",,"","",,"","",,Text in Latin.,"","","",,,parchment ;,Extent: 220 leaves : parchment ; 183 x 132 (125 x 90) mm. bound to 193 x 137 mm.,,2022-02-08T17:47:39-05:00,2016-03-17
,,,marc-xml,Q49115,NIC,Misc. Bd. Ms. 617.|2088162,"",,"[Spain],",,"",1429,http://vocab.getty.edu/aat/300404465,,,"","",Factorum et dictorum memorabilium libri IX ...et al.,"",Gothic scripts.|Parchment.,,"",,Valerius Maximus.,"",,"","",,"","",,Text in Latin.,"","","",,,paper (2 leaves parchment) ;,Extent: 134 leaves : paper (2 leaves parchment) ; 218 x 145 (138 x 85) mm. bound to 222 x 160 mm.,,2022-02-08T17:47:39-05:00,2014-08-19
,,,marc-xml,Q49115,NIC,Misc. Bd. Ms. 49.|3977168,"",,"[Italy,",,between ca. 1300 and ca. 1400],1300-1400,http://vocab.getty.edu/aat/300404506-http://vocab.getty.edu/aat/300404465,,,Miscellany,"",Sermones,"",Gothic scripts.|Parchment.|Early works,,Theology--Early works to 1800.|Theology,,"","",,"","",,"","",,Text in Latin.,"","","",,,parchment ;,Extent: 160 leaves : parchment ; 210 x 145 (162 x 98) mm. bound to 219 x 159 mm.,,2022-02-08T17:47:39-05:00,2014-12-25
,,,marc-xml,Q49115,NIC,Misc. Bd. Ms. 115.|3816174,"",,"Germany,",,1438.,1438,http://vocab.getty.edu/aat/300404465,,,Ars computistica,"",Computus Cirometralis,"",Gothic scripts.|Scientific illustrations.|Early works,,Calendar.|Mathematics--Early works to 1800.|Calendar|Mathematics,,"","",,"","",,"","",,Text in Latin.,"","","",,,"paper, ill. ;","Extent: 30 leaves : paper, ill. ; 219 x 146 (167 x 112) mm., unbound.",,2022-02-08T17:47:39-05:00,2014-12-23
,,,marc-xml,Q49115,NIC,8039 Bd. Ms. 5|6927495,"",,"",,"",1830,http://vocab.getty.edu/aat/300404513,,,Shānāmah,"",Shānāmah :,"",Early works,,"Epic poetry, Persian--Early works to 1800.|Persian poetry--Early works to 1800.|Manuscripts, Persian.|Islamic illumination of books and manuscripts--Iran.|Epic poetry, Persian|Islamic illumination of books and manuscripts|Manuscripts, Persian|Persian poetry|Iran",,Firdawsī.,"",,"","",,"","",,In Persian; written in a professional nastaʻlīq script in black ink; ʻunwān and illustrations in colors and gold ; text rubricated.,"","","",,,col. ill. ;,Extent: 1 volume (ca. 200 pages) : col. ill. ; 36 cm.,,2022-02-08T17:47:39-05:00,2015-01-01
,,,marc-xml,Q49115,NIC,Misc. Bd. Ms. 31.|3978587,"",,"[Rougeval, Belgium (near Brussels),",,between ca. 1400 and ca. 1500],1400-1500,http://vocab.getty.edu/aat/300404465-http://vocab.getty.edu/aat/300404510,,,Manual,"","Manuale in investionibus, professionibus, et iubileis monialium necessarium, ad usum prioris monasterii Rubee vallis.","",Gothic scripts.|Parchment.,,Monastic and religious life|Monastic and religious life,,"","",,"","",,"","",,Text in Latin.,"","","",,,parchment ;,Extent: 52 leaves : parchment ; 145 x 109 (99 x 70) mm. bound to 153 x 118 mm.,,2022-02-08T17:47:39-05:00,2014-12-25
