row_index,ds_id,date_added,date_last_updated,source_type,holding_institution,holding_institution_as_recorded,holding_institution_id_number,link_to_holding_institution_record,iiif_manifest,production_place_as_recorded,production_place_tgn,production_place,production_date_as_recorded,production_date,century,century_aat,dated,uniform_title,uniform_title_as_recorded,uniform_title_agr,title_as_recorded_245,title_as_recorded_245_agr,genre_as_recorded,genre,subject_as_recorded,subject,author_as_recorded,author_wikidata,author_instance_of,author_as_recorded_agr,author,artist_as_recorded,artist_as_recorded_agr,artist,scribe_as_recorded,scribe_as_recorded_agr,scribe,language_as_recorded,language_iso_639-3,language,former_owner_as_recorded,former_owner_as_recorded_agr,former_owner,material,material_placeholder,physical_description,acknowledgements,data_processed_at,data_source_modified,source_file
41,,,,digital-scriptorium,Q5021042,State of California,Sutro Collection MS 07,,,"Italy, Lombardy",http://vocab.getty.edu/tgn/1000080|http://vocab.getty.edu/tgn/7003237,,"s. XV(3/4), 1450-1475",1450^1475,15,http://vocab.getty.edu/aat/300404465,true,,,,Phalaridis Epistolae,,,,,,,,,,,,,,,,,Latin,lat,,"Carlo Archinto of Milan (1669-1732); Adolph Sutro (1830-1898), mayor of San Francisco. A letter from George Moss (librarian of Sutro) addressed to Mrs. Morbio (presumably Mrs. Albert Morbio, Sutro's daughter), 23 May 1890, accompanies the manuscript.",,,,parchment,Extent: ff. 1r-48v; 205 x 135 mm.,This description provided by D. J. Dutschke and C. W. Dutschke.,2022-02-08T17:47:33-05:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/csl/mets/ds_50_12_00131115.xml
42,,,,digital-scriptorium,Q5021042,State of California,Sutro Collection MS 05,,,Germany,http://vocab.getty.edu/tgn/7000084,,"s. XV(med), 1440-1460|s. XIV, 1300-1399",1440^1460|1300^1399,15|14,http://vocab.getty.edu/aat/300404465|http://vocab.getty.edu/aat/300404506,false,,,,Sermons for the temporale|Theological material?,,,,,,,,,,,|,,,|,,,Latin|Latin,lat|lat,,"The dean of Lu""kirch; Carthusians of Buxheim (cf. note on f. i verso), with ""N. 175"" in ink on f. 1 and on the spine; ""386"" also on the spine; Hugo, Graf von Waldbott-Basenheim (Munich, 20 Sept. 1883, lot 2616); Adolph Sutro (1830-1898), mayor of S. F.",,,,paper|parchment,"Extent: ff. 1-107v; 209 x 149 mm. Extent: Pastedowns, flyleaves; 415 x ? mm.",This description provided by D. J. Dutschke and C. W. Dutschke.,2022-02-08T17:47:33-05:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/csl/mets/ds_50_12_00131116.xml
43,,,,digital-scriptorium,Q5021042,State of California,Sutro Collection MS 02,,,Italy,http://vocab.getty.edu/tgn/1000080,,"s. XIV(ex), 1385-1399",1385^1399,14,http://vocab.getty.edu/aat/300404506,true,,,,Re'gime du corps|M ccc lxxxxii. Qui chomincia la fisicha del maestro Aldobrandino da Siena il quale chonpuose in linghua franciescha della santa del chorpo del uomo e di ciaschuno nenbro per se traslatata in volghare per ser Zucchero Bencivenni notaio fiorentino . . .,,,,,,,,,,,,,,,,,Italian,ita,,"Inside front cover: Ex bibliotheca Com. Eq. Fabricii Orsini Rilli di Poppi. N. 263 in a Sotheby sale, ca. 1890 (according to De Ricci); Adolph Sutro (1830-1898), mayor of San Francisco.",,,,paper,Extent: ff. 1-69v; 294 x 220 mm.,This description provided by D. J. Dutschke and C. W. Dutschke.,2022-02-08T17:47:33-05:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/csl/mets/ds_50_12_00131117.xml
44,,,,digital-scriptorium,Q5021042,State of California,Sutro Collection MS 03,,,Germany,http://vocab.getty.edu/tgn/7000084,,"s. XV, 1400-1499",1400^1499,15,http://vocab.getty.edu/aat/300404465,false,,,,Antiphonal,,,,,,,,,,,,,,,,,Latin,lat,,"On f. 121, rubric for St. John the Baptist ""patroni ordinis nostri et ecclesie huius""; Carthusians of Buxheim; in the sale of Hugo, Graf von Waldbott-Bassenheim (Munich, 20 September 1883, lot 2533); Adolph Sutro (1830-1898), mayor of San Francisco.",,,,parchment,Extent: ff. 1-143; 375 x 265 mm.,This description provided by D. J. Dutschke and C. W. Dutschke.,2022-02-08T17:47:33-05:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/csl/mets/ds_50_12_00131118.xml
45,,,,digital-scriptorium,Q5021042,State of California,Sutro Collection MS 04,,,Italy,http://vocab.getty.edu/tgn/1000080,,"s. XVI, 1500-1599",1500^1599,16,http://vocab.getty.edu/aat/300404510,false,,,,Medical recipes,,,,,,,,,,,,,,,,,Italian,ita,,"Ownership notes, mainly illegible, inside front cover, "". . . Ambroggio 1523 ad oct. A<?> ... Salus..."" and "" 692."" De Ricci states that the volume was ""last in Germany."" Adolph Sutro (1830-1898), mayor of San Francisco.",,,,paper,Extent: ff. 1-140v; 203 x 77 mm.,This description provided by D. J. Dutschke and C. W. Dutschke.,2022-02-08T17:47:33-05:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/csl/mets/ds_50_12_00131119.xml
46,,,,digital-scriptorium,Q5021042,State of California,Sutro Collection MS 06,,,France,http://vocab.getty.edu/tgn/1000070,,"s. XV(ex), 1485-1499",1485^1499,15,http://vocab.getty.edu/aat/300404465,false,,,,Book of Hours,,,,,,,,,,,,,,,,,Latin,lat,,"Rosenthal, antiquarian bookdealer in Munich; Adolph Sutro (1830-1898), mayor of San Francisco.",,,,parchment,Extent: ff. 1-3v; 165 x 120 mm.,This description provided by D. J. Dutschke and C. W. Dutschke.,2022-02-08T17:47:33-05:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/csl/mets/ds_50_12_00131120.xml
47,,,,digital-scriptorium,Q5021042,State of California,Sutro Collection MS 01,,,Germany,http://vocab.getty.edu/tgn/7000084,,"s. XV(ex), 1485-1499",1485^1499,15,http://vocab.getty.edu/aat/300404465,false,,,,"Psalter, diurnal",,,,,,,,,,,,,,,,,Latin,lat,,"Carthusians of Buxheim; Hugo, Graf von Waldbott-Bassenhim (his sale, Munich, 20 September 1883, lot 2672); Adolph Sutro (1830-1898), mayor of San Francisco.",,,,parchment,Extent: ff. 1-78v; 360 x 250 mm.,This description provided by D. J. Dutschke and C. W. Dutschke.,2022-02-08T17:47:33-05:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/csl/mets/ds_50_12_00131121.xml
48,,,,digital-scriptorium,Q5021042,State of California,Sutro Collection MS 08,,,Italy,http://vocab.getty.edu/tgn/1000080,,"s. XV(2), 1450-1499|s. XVII, 1600-1699",1450^1499|1600^1699,15|17,http://vocab.getty.edu/aat/300404465|http://vocab.getty.edu/aat/300404511,false,,,,De corpore et sanguine Domini|De die iudicii|Incipit epistola Petri Damiani de die iudicii|Materials relating to Cesena,,,,,,,,,,,|,,,|,,,Latin|Latin|Italian,lat|lat|ita,,"On f. 1, illegilbe even under ultra-violet light due to stain, ""Iste liber est monachorum <?> deputatus monasterii <sancte Marie ?> <?>."" On f. i verso in a modern Italian hand, ""14.6.13"" written over ""A.42000."" Adolph Sutro (1830-1898), mayor of S. F.",,,,paper,Extent: ff. 1-38v; 235 x 165 mm. Extent: ff. 39-135; 235 x 165 mm.,This description provided by D. J. Dutschke and C. W. Dutschke.,2022-02-08T17:47:33-05:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/csl/mets/ds_50_12_00131122.xml
49,,,,digital-scriptorium,Q5021042,State of California,Sutro Collection MS 09,,,Italy,http://vocab.getty.edu/tgn/1000080,,"s. XV(ex), 1485-1499",1485^1499,15,http://vocab.getty.edu/aat/300404465,false,,,,"Book of Hours, use of Rome",,,,,,,,,,,,,,,,,Latin; Italian,lat|ita,,"On ff. 105v, 109v-141v, in margins, notes of the Floriani family, 1591-1702, in areas near Bologna (S. Martino in Argile, S. Lorenzo del Castello di Budrio, Dozza; Budrio); Adolph Sutro (1830-1898), mayor of San Francisco.",,,,parchment,Extent: ff. 1-172v; 120 x 83 mm.,This description provided by D. J. Dutschke and C. W. Dutschke.,2022-02-08T17:47:33-05:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/csl/mets/ds_50_12_00131123.xml
50,,,,digital-scriptorium,Q5021042,State of California,Sutro Collection MS 10,,,France,http://vocab.getty.edu/tgn/1000070,,"s. XV(ex), 1485-1499",1485^1499,15,http://vocab.getty.edu/aat/300404465,false,,,,"Chy fait mencion comment le Roy Henry d'Engleterre renvoya la Reyne Izabel jadis femme du Roy Richard d'Engleterre en France et de ceulx qui le rechevirent|History of France and England during the reigns of Henry IV, Henry V, Henry VI",,,,,,,,,,,,,,,,,French,fra,,"On front pastedown, pressmark, ""a.37""; bookplate of Victor Albert George Child-Villiers (1845-1915), Earl of Jersey, Osterley Park; clipping from Sotheby's, lot 56; Adolph Sutro (1830-1898), mayor of San Francisco.",,,,paper,Extent: ff. 1-370; 279 x 203 mm.,This description provided by D. J. Dutschke and C. W. Dutschke.,2022-02-08T17:47:33-05:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/csl/mets/ds_50_12_00131124.xml
51,,,,digital-scriptorium,Q5021042,State of California,Sutro Collection Halliwell Phillips MS 01,,,"England, Warwickshire",http://vocab.getty.edu/tgn/7002445|http://vocab.getty.edu/tgn/7008178,,"s. XIV(ex), 1385-1399",1385^1399,14,http://vocab.getty.edu/aat/300404506,false,,,,Lease,,,,,,,,,,,,,,,,,Latin,lat,,"Mr. James Orchard Halliwell-Phillips; Adolph Sutro (1830-1898), mayor of San Francisco; bought at Sotheby, Wilkinson & Hodge auction, 1-4 July 1889",,,,parchment,Extent: 1 leaf; 122 x 304 mm.,,2022-02-08T17:47:33-05:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/csl/mets/ds_50_12_00131125.xml
52,,,,digital-scriptorium,Q5021042,State of California,Sutro Collection Halliwell Phillips MS 02,,,England,http://vocab.getty.edu/tgn/7002445,,"s. XV(1/4), 1400-1425",1400^1425,15,http://vocab.getty.edu/aat/300404465,false,,,,Document,,,,,,,,,,,,,,,,,Latin,lat,,"Mr. James Orchard Halliwell-Phillips; Adolph Sutro (1830-1898), mayor of San Francisco; bought at Sotheby, Wilkinson & Hodge auction, 1-4 July 1889",,,,parchment,Extent: 1 leaf; 446 x 265 mm.,,2022-02-08T17:47:33-05:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/csl/mets/ds_50_12_00131126.xml
53,,,,digital-scriptorium,Q5021042,State of California,Sutro Collection Halliwell Phillips MS 03,,,"England, Warwickshire",http://vocab.getty.edu/tgn/7002445|http://vocab.getty.edu/tgn/7008178,,"s. XV(3/4), 1450-1475",1450^1475,15,http://vocab.getty.edu/aat/300404465,false,,,,Document,,,,,,,,,,,,,,,,,Latin,lat,,"Mr. James Orchard Halliwell-Phillips; Adolph Sutro (1830-1898), mayor of San Francisco; bought at Sotheby, Wilkinson & Hodge auction, 1-4 July 1889",,,,parchment,Extent: 1 leaf; 86 x 275 mm.,,2022-02-08T17:47:33-05:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/csl/mets/ds_50_12_00131127.xml
54,,,,digital-scriptorium,Q5021042,State of California,Sutro Collection Halliwell Phillips MS 04,,,"England, Warwickshire",http://vocab.getty.edu/tgn/7002445|http://vocab.getty.edu/tgn/7008178,,"s. XV(ex), 1485-1499|s. XV(ex), 1485-1499",1485^1499|1485^1499,15|15,http://vocab.getty.edu/aat/300404465|http://vocab.getty.edu/aat/300404465,false,,,,Document|Document,,,,,,,,,,,|,,,|,,,Latin|Latin,lat|lat,,"Mr. James Orchard Halliwell-Phillips; Adolph Sutro (1830-1898), mayor of San Francisco; bought at Sotheby, Wilkinson & Hodge auction, 1-4 July 1889",,,,parchment,Extent: 1 leaf; 217 x 339 mm. Extent: 1 leaf; 197 x 358 mm.,,2022-02-08T17:47:33-05:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/csl/mets/ds_50_12_00131128.xml
