ds_id,date_added,date_last_updated,source_type,cataloging_convention,holding_institution_ds_qid,holding_institution_as_recorded,holding_institution_id_number,holding_institution_shelfmark,link_to_holding_institution_record,iiif_manifest,production_place_as_recorded,production_place_ds_qid,production_date_as_recorded,production_date,century,century_aat,dated,title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_agr,standard_title_ds_qid,genre_as_recorded,genre_ds_qid,subject_as_recorded,subject_ds_qid,author_as_recorded,author_as_recorded_agr,author_ds_qid,artist_as_recorded,artist_as_recorded_agr,artist_ds_qid,scribe_as_recorded,scribe_as_recorded_agr,scribe_ds_qid,associated_agent_as_recorded,associated_agent_as_recorded_agr,associated_agent_ds_qid,former_owner_as_recorded,former_owner_as_recorded_agr,former_owner_ds_qid,language_as_recorded,language_ds_qid,material_as_recorded,material_ds_qid,physical_description,note,acknowledgments,data_processed_at,data_source_modified,source_file
DS258,,,ds-mets-xml,ds-mets,Q825,California State Library,CSL v091 B29,CSL v091 B29,https://archive.org/details/CSLv091B29_9,https://iiif.archive.org/iiif/images_CSLv091B29_9/manifest.json,Italy|Italy,Q134|Q134,s. XV(2); 1450-1499|s. XV; 1400-1499,1450^1499|1400^1499,15|15,http://vocab.getty.edu/aat/300404465|http://vocab.getty.edu/aat/300404465,false,Rhetorica ad Herennium|Summa de casibus conscientiae,|,|,|,Q816|Q813,"","","","",Pseudo Cicero|Bartholomaeus de S. Concordio (Bartholomaeus Pisanus),|,Q854|Q855,"","","","","","","","","","In an envelope with the manuscript, the remains of the bookplate of George John Warren Vernon (1803-1866), fifth Baron Veron; CSL accession number 22953.","",Q856,Latin,Q113,parchment,Q33,"Binding: Quarter bound calf, nineteenth century.|Other decoration, ff. i-iv (front and back flyleaves): 2- and 3-line initials in gold with white-patterned pink and green infilling on square white-patterned blue grounds; 1-line initials within text washed with pale yellow.|Script, ff. i-iv (front and back flyleaves): Humanistic.|Layout, ff. i-iv (front and back flyleaves): 24 long lines; ruled.|Other decoration, ff. 1r-191v: 2- and 3-line initials in red, sometimes decorated in void; paraph marks in red.|Number of scribes, ff. 1r-191v: Several.|Script, ff. 1r-191v: Gothic and humanistic cursive.|Layout, ff. 1r-191v: 2 columns of 36 lines; ruled in ink.","ff. 1r-191v: The date on the last leaf, 1338, is that of the composition of the text, not of this copy.|ff. i-iv (front and back flyleaves): Continuous sequence of text from book 4 if read in the following order: f. iii r-v, ff. i r-ii v, f. iv r-v.|ff. 1r-191v: On f. 191v, column b, the resume' known as the Breviarum decretorumoften attributed to Johannes de Deo (see, for example, Jordan and Wool, Inventory of Western Manuscripts in the Biblioteca Ambrosianaregarding A 147 sup).",ff. 1r-191v: Dr. Thomas Izbicki kindly identified the text on f. 191v.,2025-05-19 14:03:19 -0400,20111106,ds_50_9_00130836.xml
DS259,,,ds-mets-xml,ds-mets,Q825,California State Library,CSL v096 C3631,CSL v096 C3631,https://archive.org/details/CSLv096C3631_9,https://iiif.archive.org/iiif/images_CSLv096C3631_9/manifest.json,Flanders,Q126,s. XV(3/4); 1450-1475,1450^1475,15,http://vocab.getty.edu/aat/300404465,false,"Book of Hours, use of Rome","","","",Q795,"","","","","","","","","","","","","","","","",Philip Jacob Grangier (1785); CSL assession number 18294.,"",Q857,Latin,Q113,parchment,Q33,"Binding: Brown calf, blind stamped.|Figurative details, ff. 1r-85v: 4 full page miniatures; 6 small miniatures; 7 historiated initials.|Other decoration, ff. 1r-85v: Large white-patterned initials in pink or blue on square gold grounds; 2-line initials in gold on alternating grounds of pink and blue; 1-line initials in alternating blue and gold with red or blue pen flourishing respectively.|Number of scribes, ff. 1r-85v: 1.|Script, ff. 1r-85v: Gothic.|Layout, ff. 1r-85v: 20 long lines ruled in pale red ink.",Manuscript note: Grangier bookplate inside front cover; donation note of Antonio Faurio (?) inside back cover.|ff. 1r-84r (ff. 84v-85v blank): Contains the Hours of the Virgin and the Penitential Psalms.,"",2025-05-19 14:03:19 -0400,20111106,ds_50_9_00130837.xml
DS231,,,ds-mets-xml,ds-mets,Q825,California State Library,Sutro Collection Halliwell Phillips MS 01,Sutro Collection Halliwell Phillips MS 01,https://archive.org/details/sutrocollectionhalliwellphillipsms01_12_202209,https://iiif.archive.org/iiif/images_SutroCollectionHalliwellPhillipsMS01_12/manifest.json,"England, Warwickshire",Q133;Q810,"1391, November 29; s. XIV(ex); 1385-1399",1385^1399,14,http://vocab.getty.edu/aat/300404506,false,Lease,"","","",Q815,"","","","","","","","","","","","","",Thomas Upton|John Haykyn|William Nichol,||,Q41769|Q41026|Q41861,"Mr. James Orchard Halliwell-Phillips; Adolph Sutro (1830-1898), mayor of San Francisco; bought at Sotheby, Wilkinson & Hodge auction, 1-4 July 1889.","",Q842;Q829,Latin,Q113,parchment,Q33,"Script, 1 leaf: Anglicana with some Secretary features.","Bibliography: William E. Parker. ""Items from the Halliwell-Phillipps Library in Sutro Branch, California State Library."" News Notes of California Libraries41.2 (1946): 249.|1 leaf: Data apud Wolford paruam Jn vigilia Sancti Andree Apostoli.|Incipit, 1 sheet: Anno Regni Regis Richardi Secundi post conquestum quintodecimo.|Explicit, 1 sheet: Omnibus Christi fidelibus ad quos hoc presens scriptum peruenit.|Explicit, 1 sheet: Thomas Page of Wolford Parva gives to Johanna, his wife, and Alice, his daughter, his lands in Wolford Parva after his death; and after their deaths the said lands will pass to his son, William Ingram.|Docket: Thomas Page of Wolford Parva gives to Johanna, his wife, and Alice, his daughter, his lands in Wolford Parva after his death; and after their deaths the said lands will pass to his son, William Ingram.","",2025-05-19 14:03:19 -0400,20111106,ds_50_12_00131125.xml
DS232,,,ds-mets-xml,ds-mets,Q825,California State Library,Sutro Collection Halliwell Phillips MS 02,Sutro Collection Halliwell Phillips MS 02,https://archive.org/details/sutrocollectionhalliwellphillipsms02_12_202209,https://iiif.archive.org/iiif/images_SutroCollectionHalliwellPhillipsMS02_12/manifest.json,England,Q133,1424; s. XV(1/4); 1400-1425,1400^1425,15,http://vocab.getty.edu/aat/300404465,false,Document,"","","",Q8301,"","","","","","","","","","","","","","","","","Mr. James Orchard Halliwell-Phillips; Adolph Sutro (1830-1898), mayor of San Francisco; bought at Sotheby, Wilkinson & Hodge auction, 1-4 July 1889.","",Q842;Q829,Latin,Q113,parchment,Q33,"Number of scribes, 1 leaf: 1.","Manuscript note: Parker: ""On the reverse is written 'Papers relating to the Office of Arms' in a modern hand.""|Bibliography: William E. Parker. ""Items from the Halliwell-Phillipps Library in Sutro Branch, California State Library."" News Notes of California Libraries41.2 (1946): 249.|1 leaf: 5 docs. on leaf. 1st dated ""die Sabbati in vigilia pasche Anno regni henrici quinti post conquestum vndecimo."" 2d-5th: ""die mercuris proximi post festum annunciacionis beate marie virginis anno regni Regis henrici quinti post conquestum octauo.""|Incipit, 1 leaf: die mercurio proximi post festum annunciacionis beate marie anno regni Regis henrici quinti post conquestum octauo.|Explicit, 1 leaf: Sciant presentes et ffuturi quod nos Ricardus de hallo et hugo de hallo.|Explicit, 1 leaf: 5 documents concerning land in Stratford on Avon, the first dated 11 Henry V; the other 4, 8 Henry V.|Docket: 5 documents concerning land in Stratford on Avon, the first dated 11 Henry V; the other 4, 8 Henry V.","",2025-05-19 14:03:19 -0400,20111106,ds_50_12_00131126.xml
DS233,,,ds-mets-xml,ds-mets,Q825,California State Library,Sutro Collection Halliwell Phillips MS 03,Sutro Collection Halliwell Phillips MS 03,https://archive.org/details/sutrocollectionhalliwellphillipsms03_12_202209,https://iiif.archive.org/iiif/images_SutroCollectionHalliwellPhillipsMS03_12/manifest.json,"England, Warwickshire",Q133;Q810,"1473, July 25; s. XV(3/4); 1450-1475",1450^1475,15,http://vocab.getty.edu/aat/300404465,false,Document,"","","",Q8301,"","","","","","","","","","","","","","Yngram, Emmote|Yngram, William|Vyncent, Richard, vicar of Wolford",||,Q41886|Q41887|Q41831,"Mr. James Orchard Halliwell-Phillips; Adolph Sutro (1830-1898), mayor of San Francisco; bought at Sotheby, Wilkinson & Hodge auction, 1-4 July 1889.","",Q842;Q829,Latin,Q113,parchment,Q33,"Number of scribes, 1 leaf: 1.","Manuscript note: Badly waterstained; partly illegible.|Bibliography: William E. Parker. ""Items from the Halliwell-Phillipps Library in Sutro Branch, California State Library."" News Notes of California Libraries41.2 (1946): 249.|1 leaf: Datum I ffesto Sancti Jacobi apostoli Anno Regni Regis Edwardi quarti post conquestum [illeg.].|1 leaf: Parker states wrongly that text is in English.|Explicit, 1 leaf: Pateat Vniuersis per presentes.|Explicit, 1 leaf: Printed docket from sales catalog: ""Release from Emmote Yngram, of Little Wolford, widow, to William, her son, of lands in Wolford. Wtn. Richard Vyncent, Vicar of Wolford, &c. 13 Edw IV.""|Docket: Printed docket from sales catalog: ""Release from Emmote Yngram, of Little Wolford, widow, to William, her son, of lands in Wolford. Wtn. Richard Vyncent, Vicar of Wolford, &c. 13 Edw IV.""","",2025-05-19 14:03:19 -0400,20111106,ds_50_12_00131127.xml
DS234,,,ds-mets-xml,ds-mets,Q825,California State Library,Sutro Collection Halliwell Phillips MS 04,Sutro Collection Halliwell Phillips MS 04,https://archive.org/details/sutrocollectionhalliwellphillipsms04_12_202209,https://iiif.archive.org/iiif/images_SutroCollectionHalliwellPhillipsMS04_12/manifest.json,"England, Warwickshire|England, Warwickshire",Q133;Q810|Q133;Q810,"1496, January 20; s. XV(ex); 1485-1499|1496, January 20; s. XV(ex); 1485-1499",1485^1499|1485^1499,15|15,http://vocab.getty.edu/aat/300404465|http://vocab.getty.edu/aat/300404465,false,Document|Document,|,|,|,Q8301|Q8301,"","","","","","","","","","","","","","Thomas Lye, vicar of Magna Wolford|Thomas Flecher, of Chastleton|Stephen and Alice Cheryton, of Chastleton",||,Q41766|Q41765|Q41712;Q41713,"Mr. James Orchard Halliwell-Phillips; Adolph Sutro (1830-1898), mayor of San Francisco; bought at Sotheby, Wilkinson & Hodge auction, 1-4 July 1889.","",Q842;Q829,Latin,Q113,parchment,Q33,"Number of scribes, 1 leaf: 1.","Manuscript note: Indentures; both leaves with parchment strips and wax seals.|Bibliography: William E. Parker. ""Items from the Halliwell-Phillipps Library in Sutro Branch, California State Library."" News Notes of California Libraries41.2 (1946): 249.|1 leaf: Left edge tattered affecting ll. 6-13. ""Data apud parua Wolford vicesimo Die juesis [?] Januarij Anno Regni Regis Henrici Septimi post conquestum Anglie duodecimo.""|1 leaf: Copy of text on separate indenture.|Explicit, 1 leaf: Sciant presentes et futures quod Nos Thomas lye.|Explicit, 1 leaf: Sciant presentes et futuri quod Nos Thomas lye.|Explicit, 1 leaf: Printed docket from sales catalog (n. 1260): ""Release (and counterpart) from Thomas Lye, Vicar of Magna Wolford, and Thomas Flecher of Chastleton, to Stephen Cheryton of the same, and Alice, his wife, of lands in Wolford, &c. 12 Hen. VII.""|Docket: Printed docket from sales catalog (n. 1260): ""Release (and counterpart) from Thomas Lye, Vicar of Magna Wolford, and Thomas Flecher of Chastleton, to Stephen Cheryton of the same, and Alice, his wife, of lands in Wolford, &c. 12 Hen. VII.""","",2025-05-19 14:03:19 -0400,20111106,ds_50_12_00131128.xml
DS235,,,ds-mets-xml,ds-mets,Q825,California State Library,Sutro Collection Italian Manuscripts 021,Sutro Collection Italian Manuscripts 021,https://archive.org/details/SutroCollectionItalianManuscripts021_12,https://iiif.archive.org/iiif/images_SutroCollectionItalianManuscripts021_12/manifest.json,"Italy, Veneto",Q134;Q811,"1472, July 3; s. XV(3/4); 1450-1475",1450^1475,15,http://vocab.getty.edu/aat/300404465,false,Document,"","","",Q8301,"","","","","","","","","","",Daniel Sarracenus,"",Q843,"Gerolamo Michele|Pietro Michele|sons of Giacomo Michele|Giacomo Zeno, bishop of Padua",|||,Q40738|Q41486|Q40745|Q40746,"","","",Latin,Q113,parchment,Q33,"Number of scribes, 1 leaf: 2.","Manuscript note: Extracted from bound volume.|Bibliography: Dennis, George T. ""An Inventory of Italian Notarial Documents in the Sutro Library, San Francisco."" Manuscripta9 (1965): 89-103 (p. 92).|1 leaf: Written by another scribe but signed by Daniel Sarracenus.|Incipit, 1 leaf: signo ac nomine meis appositis consuetis in fidem ac testimonium promissorum.|Explicit, 1 leaf: IN Christi nomine domini nostri iesu christi Amen.|Explicit, 1 leaf: At their request, Gerolamo and Pietro Michele, sons of the late Giacomo, are invested by Giacomo Zeno, bishop of Padua, with property (feudeum in Castel Baldo.|Docket: At their request, Gerolamo and Pietro Michele, sons of the late Giacomo, are invested by Giacomo Zeno, bishop of Padua, with property (feudeum in Castel Baldo.","",2025-05-19 14:03:19 -0400,20111106,ds_50_12_00131129.xml
DS236,,,ds-mets-xml,ds-mets,Q825,California State Library,Sutro Collection Italian Manuscripts 031,Sutro Collection Italian Manuscripts 031,https://archive.org/details/SutroCollectionItalianManuscripts031_12,https://iiif.archive.org/iiif/images_SutroCollectionItalianManuscripts031_12/manifest.json,Italy,Q134,"1458, May 5; s. XV(3/4); 1450-1475",1450^1475,15,http://vocab.getty.edu/aat/300404465,false,Document|Document|Document,||,||,||,Q8301|Q8301|Q8301,"","","","","","","","","","",Antoninus de Noventa,"",Q844,"","","","","","",Latin,Q113,parchment,Q33,"Number of scribes, 1 leaf: 2.","Manuscript note: Extracted from bound volume.|Bibliography: Dennis, George T. ""An Inventory of Italian Notarial Documents in the Sutro Library, San Francisco."" Manuscripta9 (1965): 89-103 (p. 93).|1 leaf: Two pieces of parchment pasted together. Contains 3 docs. relating to same transaction.|Explicit, 1 leaf: Property agreement. Padua, 1458, January 11.|Explicit, 1 leaf: Property agreement. Padua, 1458, March 27.|Explicit, 1 leaf: Property Agreement. Padua, 1458, May 5.|Docket: Property agreement. Padua, 1458, January 11.|Docket: Property agreement. Padua, 1458, March 27.|Docket: Property Agreement. Padua, 1458, May 5.","",2025-05-19 14:03:19 -0400,20111106,ds_50_12_00131130.xml
DS237,,,ds-mets-xml,ds-mets,Q825,California State Library,Sutro Collection Italian Manuscripts 040,Sutro Collection Italian Manuscripts 040,https://archive.org/details/SutroCollectionItalianManuscripts040_12,https://iiif.archive.org/iiif/images_SutroCollectionItalianManuscripts040_12/manifest.json,"Italy, Veneto",Q134;Q811,"1464, June 8; s. XV(3/4); 1450-1475",1450^1475,15,http://vocab.getty.edu/aat/300404465,false,Document,"","","",Q8301,"","","","","","","","","","",Johannes Baptista Filius,"",Q845,Paolo Rato|Agostino Squara,|,Q41396|Q40090,"","","",Latin,Q113,parchment,Q33,"Number of scribes, 1 leaf: 1.","Manuscript note: Extracted from bound volume.|Bibliography: Dennis, George T. ""An Inventory of Italian Notarial Documents in the Sutro Library, San Francisco."" Manuscripta9 (1965): 89-103 (p. 93).|Incipit, 1 leaf: signum meum margini michi scribens consuetum.|Explicit, 1 leaf: IN Christi nomine Amen Anno eiusdem natiuitatis Millesimo quadringentesimo sexagesimo quarto.|Explicit, 1 leaf: Property settlement between ser Paolo Rato and Agostino Squara.|Docket: Property settlement between ser Paolo Rato and Agostino Squara.","",2025-05-19 14:03:19 -0400,20111106,ds_50_12_00131131.xml
DS238,,,ds-mets-xml,ds-mets,Q825,California State Library,Sutro Collection Italian Manuscripts 041,Sutro Collection Italian Manuscripts 041,https://archive.org/details/SutroCollectionItalianManuscripts041_12,https://iiif.archive.org/iiif/images_SutroCollectionItalianManuscripts041_12/manifest.json,"Italy, Veneto",Q134;Q811,"1465, October 21; s. XV(3/4); 1450-1475",1450^1475,15,http://vocab.getty.edu/aat/300404465,false,Document,"","","",Q8301,"","","","","","","","","","","","","",Luigi de Fano|Antonio Barbarigo,|,Q41161|Q40160,"","","",Latin,Q113,parchment,Q33,"Number of scribes, 1 leaf: 1.","Manuscript note: Extracted from bound volume.|Bibliography: Dennis, George T. ""An Inventory of Italian Notarial Documents in the Sutro Library, San Francisco."" Manuscripta9 (1965): 89-103 (p. 93).|Explicit, 1 leaf: Property settlement between ser Luigi de Fano, son of the late Simone, resident of Padua, and ser Antonio Barbarigo, son of the late Gabriele, citizen of Venice.|Docket: Property settlement between ser Luigi de Fano, son of the late Simone, resident of Padua, and ser Antonio Barbarigo, son of the late Gabriele, citizen of Venice.","",2025-05-19 14:03:19 -0400,20111106,ds_50_12_00131132.xml
