ds_id,date_added,date_last_updated,source_type,cataloging_convention,holding_institution_ds_qid,holding_institution_as_recorded,holding_institution_id_number,holding_institution_shelfmark,link_to_holding_institution_record,iiif_manifest,production_place_as_recorded,production_place_ds_qid,production_date_as_recorded,production_date,century,century_aat,dated,title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_agr,standard_title_ds_qid,genre_as_recorded,genre_ds_qid,subject_as_recorded,subject_ds_qid,author_as_recorded,author_as_recorded_agr,author_ds_qid,artist_as_recorded,artist_as_recorded_agr,artist_ds_qid,scribe_as_recorded,scribe_as_recorded_agr,scribe_ds_qid,associated_agent_as_recorded,associated_agent_as_recorded_agr,associated_agent_ds_qid,former_owner_as_recorded,former_owner_as_recorded_agr,former_owner_ds_qid,language_as_recorded,language_ds_qid,material_as_recorded,material_ds_qid,physical_description,note,acknowledgments,data_processed_at,data_source_modified,source_file
,"","",ds-csv,ds-schema,Q825,California State Library,Sutro Library M000100 no. 117,Sutro Library M000100 no. 117,,"","","",Thirteenth century?,1200^1299,13,http://vocab.getty.edu/aat/300404505,false,Mishneh Torah (ha-yad ha-ḥazaqah),"","","",Q39762,Code of law,Q75949,Jewish law|Jewish law--interpretation and construction|Jewish doctrine,Q3624|Q75495|Q75496,Moses Maimonides (1135 or 1138-1204),"",Q12310,"","","","","","","","","",Moses Shapira|Adolph Sutro (1830-1898),|,Q75960|Q829,Hebrew|Judeo-Arabic,Q117|Q38106,"","","","Binding: 19th-century binding|Binding: medieval Hebrew binding fragment beneath endpaper.|Provenance: Purchased by Adolph Sutro from the estate of Moses W. Shapira in 1884. Likely of Yemenite Jewish provenance, but how Shapira acquired his materials is otherwise unknown. Inherited by Adolph Sutro's daughter Emma Sutro Merritt upon his death and donated by her to the California State Library in 1913.|Contains a table of contents, indicating that the present volume contains (or ought to contain) the Third Book of the Mishneh Torah,""Sefer Zemanim"" (""The Book of Appointed Times""), relating to laws pertaining to the Jewish festivals, inc. The Sabbath, Passover, Tabernacles, etc.|On fol. 215v, there is a declaration in Judeo-Arabic, a sort of deed of conveyance, transferring ownership of the codex to another party.|This manuscript has been catalogued several times: on fol. 1r, ""Cat. S. Roubin Ms. 95 106"" refers to one such catalogue and indicates that the number has been changed; on the left ""MS. 107 106.""",Identified and described by Dr. Daniel Frank.,2025-05-19 14:04:27 -0400,20250509,20250509-csl-csv.csv
,"","",ds-csv,ds-schema,Q825,California State Library,9916811309905115,Sutro Library M000125,https://csl.primo.exlibrisgroup.com/permalink/01CSL_INST/kjolsn/alma9916811309905115,"",Southeast Asia,Q75955,1700-1899,1700^1899,18;19,http://vocab.getty.edu/aat/300404512;http://vocab.getty.edu/aat/300404513,false,Thai folding book,"","","",Q100398,"","","Accordian fold books|Manuscripts, Thai|Buddhist literature, Thai|Illumination of books and manuscripts, Thai",Q75959|Q27118|Q16283|Q76555,"","","","","","","","","","","","",Claude Settlemire (1922-1977),"",Q100397,Thai,Q27515,"paper, color illustrations, illuminations",Q31,"Extent: 1 volume (156 panels); paper, color illustrations, illuminations; 12 x 37 cm","Decoration: Miniatures painted on end panels, some gilt.|Binding: Blind tooled dark brown pasteboards, folded concertina-style|Provenance: Donated to the California State Library by Claude Settlemire, approximately 1960s.","",2025-05-19 14:04:27 -0400,20250509,20250509-csl-csv.csv
,"","",ds-csv,ds-schema,Q825,California State Library,9916811400805115,Sutro Library SMMS M9,https://csl.primo.exlibrisgroup.com/permalink/01CSL_INST/kjolsn/alma9916811400805115,"","Puebla de Zaragoza, Mexico",Q75951;Q1312,1728,1728^1728,18,http://vocab.getty.edu/aat/300404512,true,Antiphonary|Antiphonarium simul et hymnariu[m] chorale : juxta breviarum romanum transcriptu[m] ad ussum Fratum Minorum Discalceatorum huius Almae Provinciae S. Didaci Strictioris Observantiae Regularis S. P. N. S. Francisci in hoc Conventu Sanctae Mariae Angelorum de Ocholoposco : commorantium tertia pars,|,|,|,Q654|Q6055,"","","Liturgical books|Antiphonaries|Antiphonaries--Manuscripts|Antiphonaries (Service books)|Manuscripts, Latin (Medieval and modern)--Mexico|Illumination of books and manuscripts, Mexican",Q5822|Q4306|Q5844|Q4297|Q10783;Q7744|Q12626,"","","","","","","","","","","","",Convent of Santa María de los Ángeles de Churubusco (de Ocholoposco)|Adolph Sutro (1830-1898),|,Q75966|Q829,Latin,Q113,"vellum, paper, illuminations",Q33,"Extent: 111 leaves; vellum, paper, illuminations; 46 x 33 cm or less, bound to 48 x 34 cm","Binding: Full contemporary leather binding, gilt-tooled borders and spine panels, and arabesque motifs; metal corner pieces with arabesque motifs, metal center piece with floral motif, and two metal clasp hooks on fore-edge both covers; lower fore-edge clasp and lower left corner piece on left cover missing;|Binding: multiple pages detached from spine; spine fragile with wear on endcaps and stations visible.|Leaf measurements and support varies: fols. 1-101 : vellum ; 46 x 33 cm; fols. 102-107 : paper ; 45 x 29 cm; fols. 108-110 : paper ; 41 x 30 cm ; fol. 111 : paper ; 46 x 31 cm|Provenance: Owned by the Convent of Santa María de los Ángeles de Churubusco (de Ocholoposco)|Franciscan antiphonary with hymns containing the antiphons and hymns for the Propria sanctorum selected and composed from the Roman Breviary transcribed for the use of Discalced Franciscans of the Province of San Diego de México. The province of San Diego de México was an independent province of Observant (Discalced) Franciscans established in Mexico City in 1599 and closed in 1908.|Puebla de Zaragoza was known as Angelopolis, or Civis Angelorum.|The manuscript is one of three original volumes, being the third part.",Identified and described by Dr. Daniel Gullo.,2025-05-19 14:04:27 -0400,20250509,20250509-csl-csv.csv
DS225,"","",ds-csv,ds-schema,Q825,California State Library,9916478681905115,Sutro Library M000045,https://csl.primo.exlibrisgroup.com/permalink/01CSL_INST/kjolsn/alma9916478681905115,https://iiif.archive.org/iiif/images_SutroCollectionMS04_12/manifest.json,Italy,Q134,ca. 1523,1508^1538,16,http://vocab.getty.edu/aat/300404510,false,Secreti medicinali,"","","",Q75981,medical texts,Q42420,Medicine|Medical care,Q234|Q75958,"","","","","","","","","","","","",Adolph Sutro,"",Q829,Italian,Q116,paper,Q31,Extent: 142 leaves; paper; 201 x 78 mm bound to 203 x 90 mm,"Layout: 1 column|Script: Humanistic cursive|Script: Cursive gothic|Binding: Bound, s. XVI, in the original pasteboard wrapper in notarial style with later note on the front cover ""Scriptum ca. seculo XII.""|Layout, ff. 1-140v: Gatherings 1, 8-10 of 14 leaves, all others of 12; reinforcing strip from notarial document in gutter of innermost bifolium; quires signed with letter of alphabet on last verso, repeated catchword-like on facing recto. Frame ruled in lead.|Provenance: Ownership notes, mainly illegible, inside front cover,"". . . Ambroggio 1523 ad oct. A<?> ... Salus..."" and "" 692."" De Ricci states that the volume was ""last in Germany."" Adolph Sutro (1830-1898), mayor of San Francisco.|Bibliography: De Ricci, p. 26 n. 4.|ff. 1-140v: ff. 1-11, index; ff. 11v-12 non-indexed recipes in a different hand; ff. 12v-13 blank; ff. 14-16, non-indexed recipes, some in Latin; f. 16v, table of weight measurements; ff. 17-140v main text.",This description provided by D. J. Dutschke and C. W. Dutschke.,2025-05-19 14:04:27 -0400,20250509,20250509-csl-csv.csv
,"","",ds-csv,ds-schema,Q825,California State Library,9916811503205115,Sutro Library MISC002599,https://csl.primo.exlibrisgroup.com/permalink/01CSL_INST/hbrh2d/alma9916811503205115,"","France, probably Paris",Q122;Q136,First half of the fifteenth century,1500^1550,16,http://vocab.getty.edu/aat/300404510,false,Pichon Hours leaf,"","","",Q75979;Q795,books of hours,Q3618,Prayers and devotions|Books of hours,Q48394|Q5889,"","","",1520s Hours Workshop|Noel Bellemare,|,Q75962|Q75961,"","","","","","",Baron Jerome Pichon (1812-1896)|Sam Fogg|Bruce Ferrini,||,Q7906|Q27872|Q42131,Latin,Q113,parchment,Q33,Extent: fol. 1; parchment; 110 x 62 mm,"Layout: 1 column, 21 lines|Script: Humanist script|Decoration: Full-surround trompe l’oiel gold-ground borders with floral infill on recto and a trailing gold/black rope/cord on the verse bottom margin|Pagination ""2"" in upper margin of verso, on left in black and in the center in black in a grey box.|Provenance: The intact MS was offered by Sam Fogg (Cat. 14) in 1991, and it was ultimately broken by Ferrini sometime thereafter (possibly in cooperation with Fogg and/or others).|Almost certainly a leaf excised from the so-called ""Pichon Hours.""|The rope/cord borders around the text block is a characteristic of the work of the atelier that produced the Pichon Hours, and there are at least a few other MSS out there (intact and fragmentary) probably produced by the same workshop and sporting the same borders/frames.|This Book of Hours has been credited to an atelier called (by modern scholarship) “the 1520s Hours Workshop”, likely in Paris and under the direction of the Dutch artist Noel Bellemare.|The surviving binding/sewing stations on the edge of the leaf (6 total) would seem to match up with sewing station remains on Pichon Hours folios at Ohio State (Columbus, OH, Ohio State University Rare Books and Manuscripts Library, Spec.Rare.MS.MR.Frag.442) (also 6). The dimensions of the leaves at Ohio State match as well.|Another similar feature is the pagination in black (visible on the verso of this leaf). The pagination there (not foliation; every side is numbered in this MS) reads “2”, so this is likely the first leaf of the MS, which would match up with the textual component: the opening of the Gospel readings.",Identified and described by Dr. Eric J. Johnson.,2025-05-19 14:04:27 -0400,20250509,20250509-csl-csv.csv
,"","",ds-csv,ds-schema,Q825,California State Library,Sutro Library M000100 no. 151,Sutro Library M000100 no. 151,,"","","","","",,,false,"Sefer Ohel Mo'ed|""Tent of Meeting""",|,|,|,Q75982|Q1465,"","","","",Samuel b. Meshullam Gerondi (ca. 1300),"",Q75963,"","","","","","","","","",Moses Shapira|Adolph Sutro (1830-1898),|,Q75960|Q829,Hebrew,Q117,paper,Q31,Extent: paper,"Layout: 1 column, 25 lines|Script: Sefardic cursive|Colophon on 88r, unable to make out.|Provenance: Purchased by Adolph Sutro from the estate of Moses W. Shapira in 1884. Likely of Yemenite Jewish provenance, but how Shapira acquired his materials is otherwise unknown. Inherited by Adolph Sutro's daughter Emma Sutro Merritt upon his death and donated by her to the California State Library in 1913.",Identified and described by Dr. Daniel Frank.,2025-05-19 14:04:27 -0400,20250509,20250509-csl-csv.csv
,"","",ds-csv,ds-schema,Q825,California State Library,9916811507605115,Sutro Library M000124,https://csl.primo.exlibrisgroup.com/permalink/01CSL_INST/hbrh2d/alma9916811507605115,"","Maqṣūdābād, India",Q48710;Q138,25 Jumādá al-Awwal 1187 AH (August 1773 CE),1773^1773,18,http://vocab.getty.edu/aat/300404512,true,Inshā-i Harkarn,"","","",Q75971,"","","Formularies (Diplomatics)|Diplomatics, Persian--India|Letter writing, Persian--India",Q5808|Q6927;Q26595|Q48787;Q26595,"Harkaran, Multānī","",Q75965,"","","",Shāh Asrār Allāh,"","","","","","","","",Persian,Q120,paper,Q31,Extent: 87 leaves; paper; 27 x 16 cm,"Binding: Type III red leather binding over pasteboards with stamped mandorla and pendants on both covers; some general wear at all edges.|A guide for correspondence and composition written in Persian, composed in India in the 17th century. A collection of sample letters and documents designed as a reference for bureaucratic secretaries in the Mughal Empire.","",2025-05-19 14:04:27 -0400,20250509,20250509-csl-csv.csv
,"","",ds-csv,ds-schema,Q825,California State Library,Sutro Library M000126 no.1,Sutro Library M000126 no.1,,"",India?,Q138,"","",,,false,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2025-05-19 14:04:27 -0400,20250509,20250509-csl-csv.csv
,"","",ds-csv,ds-schema,Q825,California State Library,Sutro Library M000126 no. 2,Sutro Library M000126 no. 2,,"",India?,Q138,"","",,,false,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2025-05-19 14:04:27 -0400,20250509,20250509-csl-csv.csv
DS227,"","",ds-csv,ds-schema,Q825,California State Library,9916811318605115,Sutro Library M000116 no.1,https://csl.primo.exlibrisgroup.com/permalink/01CSL_INST/kjolsn/alma9916811318605115,https://iiif.archive.org/iiif/images_SutroCollectionMS01_12/manifest.json,Germany,Q131,s. XV(ex); 1485-1499,1485^1499,15,http://vocab.getty.edu/aat/300404465,false,"Psalter, diurnal|Psalmi ad horas diurnas, hymni [et] annu[m] [et] ad horas, agenda [de]functo[rum] cu[m] lectioni[bus] [et] laudibus",|,|,|,Q660|Q39705,"","","","","","","","","","","","","","","","",Buxheim Charterhouse|Hugo Philipp Waldbott-Bassenheim|Adolph Sutro,||,Q832|Q833|Q829,Latin,Q113,parchment,Q33,Extent: 79 leaves; parchment; 362 x 256 mm bound to 378 x 270 mm,"Script: Liturgical gothic book hand|Binding: Bound in stamped leather overs wooden boards with 2 fore edge brass clasps; some gilt tooling.; 15 fore edge tabs to mark major text divisions. Rebound in the 19th century; blind-tooled spine panels with title and ""Lat. Ms. on Parch. 15.Cent."" in gilt. Marbled pastedowns and flyleaves.|Layout, ff. 1-78v: Gatherings of 8, catchwords present, quire and leaf signatures in letter of the alphabet and roman numeral (out of order in 7th quire); 18 long lines of text.|Provenance: Carthusians of Buxheim; Hugo, Graf von Waldbott-Bassenhim (his sale, Munich, 20 September 1883, lot 2672); Adolph Sutro (1830-1898), mayor of San Francisco.|Bibliography: Not in De Ricci. Dutschke and Dutschke misattributed De Ricci no. 1 to this manuscript--no. 1 is a 17th-century manuscript.|ff. 1-78v: On ff. 1-46v, psalter; ff. 46v-58, hymns; ff. 58-78v, office for the dead.|Music, ff. 1-78v: On 4-line red staves.",This description provided by D. J. Dutschke and C. W. Dutschke.,2025-05-19 14:04:27 -0400,20250509,20250509-csl-csv.csv
