ds_id,date_added,date_last_updated,source_type,holding_institution,holding_institution_as_recorded,holding_institution_id_number,holding_institution_shelfmark,link_to_holding_institution_record,iiif_manifest,production_place_as_recorded,production_place,production_place_label,production_date_as_recorded,production_date,century,century_aat,dated,uniform_title_as_recorded,uniform_title_agr,title_as_recorded,title_as_recorded_agr,standard_title,genre_as_recorded,genre_vocabulary,genre,genre_label,subject_as_recorded,subject,subject_label,author_as_recorded,author_as_recorded_agr,author,author_wikidata,author_instance_of,author_label,artist_as_recorded,artist_as_recorded_agr,artist,artist_label,artist_wikidata,artist_instance_of,scribe_as_recorded,scribe_as_recorded_agr,scribe,scribe_label,scribe_wikidata,scribe_instance_of,associated_agent_as_recorded,associated_agent_as_recorded_agr,associated_agent,associated_agent_label,associated_agent_wikidata,associated_agent_instance_of,language_as_recorded,language,language_label,former_owner_as_recorded,former_owner_as_recorded_agr,former_owner,former_owner_label,former_owner_wikidata,former_owner_instance_of,material_as_recorded,material,material_label,physical_description,note,acknowledgements,data_processed_at,data_source_modified,source_file
,,,digital-scriptorium,Q5021042,State of California,"",Sutro Collection MS 07,"",https://iiif.archivelab.org/iiif/images_SutroCollectionMS07_12/manifest.json,"Italy, Lombardy",http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7003237,Italy;Lombardy,"1464, February 1; s. XV(3/4); 1450-1475",1450^1475,15,http://vocab.getty.edu/aat/300404465,true,"","",Phalaridis Epistolae,"",Phalaridis Epistolae,"",,,,"",,,Pseudo Phalaris,"","",Q101173400,human,Pseudo-Phalaris,"","","","","","",Antonius de Bozollo,"","",Antonius de Bozollo,Q117338088,human,"Francesco Griffolini of Arezzo, translator","","",Francesco Griffolini,Q33110113,human,Latin,Q397,Latin,"Carlo Archinto of Milan (1669-1732); Adolph Sutro (1830-1898), mayor of San Francisco. A letter from George Moss (librarian of Sutro) addressed to Mrs. Morbio (presumably Mrs. Albert Morbio, Sutro's daughter), 23 May 1890, accompanies the manuscript.","","",Carlo Archinto;Adolph Sutro,Q665628;Q214461,human;human,"","","","Binding: Green vellum.|Figurative details, ff. 1r-48v: One inhabited initial on gold ground; bust of a bishop on a red shield carrying the name Alexander inside a green wreath.|Other decoration, ff. 1r-48v: Border along lower edge of f. 1 of sprays of flowers decorated with gold balls; 2- and 3-line initials alternating in blue and gold with pen flourishing in red and blue respectively; headings in red centered above blocks of text.|Number of scribes, ff. 1r-48v: 1.|Script, ff. 1r-48v: Humanistic.|Layout, ff. 1r-48v: 25 long lines ruled in ink.","Manuscript note: In house call number: Sutro PA 4267 P3 1464.|Bibliography: Not in De Ricci.|ff. 1r-48v: Scribal colophon, 4. 46r; back pastedown from another manuscript; written surface faces board, making writing only faintly visible.|ff. 1r-46r: ff. 44v-45v, 4 additional letters with preface to Alfonso of Naples; f. 46, letter to Francesco Pellotus of Padua; ownership note. f. 46r; ff. 46v-47v blank; 2 alphabets & excerpts from Sallust and Lucan, signed ""A. B"" on f. 48r; f. 48v blank.",This description provided by D. J. Dutschke and C. W. Dutschke.,2023-06-08T18:15:34-04:00,2021-10-01,./scripts/../data/digitalassets.lib.berkeley.edu/ds/csl/mets/ds_50_12_00131115.xml
,,,digital-scriptorium,Q5021042,State of California,"",Sutro Collection MS 05,"",https://iiif.archivelab.org/iiif/images_SutroCollectionMS05_12/manifest.json,Germany,http://vocab.getty.edu/tgn/7000084,Germany,s. XV(med); 1440-1460|s. XIV; 1300-1399,1440^1460|1300^1399,15|14,http://vocab.getty.edu/aat/300404465|http://vocab.getty.edu/aat/300404506,false,"","",Sermons for the temporale|Theological material?,"",Sermons for the temporale|Theological miscellany,"",,,,"",,,Johannes Halgrinus de Abbatisvilla,"","",Q3129519,human,John Halgren of Abbeville,"","","","","","","","","","","","","","","","","","",Latin,Q397,Latin,"The dean of Lu""kirch; Carthusians of Buxheim (cf. note on f. i verso), with ""N. 175"" in ink on f. 1 and on the spine; ""386"" also on the spine; Hugo, Graf von Waldbott-Basenheim (Munich, 20 Sept. 1883, lot 2616); Adolph Sutro (1830-1898), mayor of S. F.","","",Dean of Lukirch;Buxheim Charterhouse;Hugo Philipp Waldbott-Bassenheim;Adolph Sutro,Q116523957;Q460224;Q1682028;Q214461,human;organization;human;human,"","","","Binding: Bound, s. XV, in red leather over boards bevelled on the outside, two fore edge clasps with straps closing to pins; design of a church on the clasps. Unidentified fragments of another manuscript as pastedowns and flyleaves.|Script, ff. 1-107v: Semi-cursive gothic.|Layout, ff. 1-107v: 29-34 long lines, frame ruled in lead.|Script, Pastedowns, flyleaves: Cursive gothic.|Layout, Pastedowns, flyleaves: 2 columns.","Bibliography: J. B. Schneyer, Repertorium der lateinischen Sermones des Mittelalters fu""r die Zeit von 1350 bis 1500(Mu""nster 1969-1990).|ff. 1-107v: As in J. B. Schneyer, Repertorium sermons: 2, 5, 6, 9, 17, 18, 21-26, ?, 28-45, 47-106, 108-110, 112-131, 133, 134, 136-141, 143-150, ?, ?, 152, 154, 156-159, 161-163, 165, 167, 169-172, 175, 178-182, 184, 193, 186-192, ?, ?.",This description provided by D. J. Dutschke and C. W. Dutschke.,2023-06-08T18:15:34-04:00,2021-10-01,./scripts/../data/digitalassets.lib.berkeley.edu/ds/csl/mets/ds_50_12_00131116.xml
,,,digital-scriptorium,Q5021042,State of California,"",Sutro Collection MS 02,"",https://iiif.archivelab.org/iiif/images_SutroCollectionMS02_12/manifest.json,Italy,http://vocab.getty.edu/tgn/1000080,Italy,1392; s. XIV(ex); 1385-1399,1385^1399,14,http://vocab.getty.edu/aat/300404506,true,"","",Re'gime du corps|M ccc lxxxxii. Qui chomincia la fisicha del maestro Aldobrandino da Siena il quale chonpuose in linghua franciescha della santa del chorpo del uomo e di ciaschuno nenbro per se traslatata in volghare per ser Zucchero Bencivenni notaio fiorentino . . .,"",Régime du corps|De regimine sanitatis,"",,,,"",,,Aldobrandino da Siena,"","",Q2832270,human,Aldobrandino da Siena,"","","","","","",Jachopo di Domenicho vinattiere de' Seghalorzi di Firenze,"","",Jacopo di Domenicho,Q117448349,human,"Zucchero Bencivenni, translator from French to Italian","","",Zucchero Bencivenni,Q4024905,human,Italian,Q652,Italian,"Inside front cover: Ex bibliotheca Com. Eq. Fabricii Orsini Rilli di Poppi. N. 263 in a Sotheby sale, ca. 1890 (according to De Ricci); Adolph Sutro (1830-1898), mayor of San Francisco.","","",Fabrizio Rilli Orsini;Adolph Sutro,Q87706284;Q214461,human;human,"","","","Binding: Bound, s. XV, in half calf over squared wooden boards, wrapped with two purple ribbons, 5 brass bosses on spine with evidence of 5 others; clasp missing.|Number of scribes, ff. 1-69v: 2 breaking between ff. 17v-18.|Script, ff. 1-69v: Mercantesca; cancelleresca.|Layout, ff. 1-69v: Gatherings of 12 leaves; 30-39 long lines frame ruled in lead.|Watermarks, ff. 1-69v: Briquet 10489 and another similar to Briquet 11659-1168.","Manuscript note: Burnt on fore edge, possibly from the 1906 fire in San Francisco that destroyed most of the Sutro Collection.|Bibliography: De Ricci, p. 26 as n. 2.|ff. 1-69v: Date and scribe's name on f. 1, in the opening rubric: ""M ccc lxxxxii . . . lo scrisse Jachopo di Domenicho vinattiere de Seghalorzi di Firenze."" Parchment reinforcing strips around the back of each quire.|Explicit, ff. 1-68v; f. 69r-v blank: Domene dio per sua grande possanza tutto il mondo istabilito.",This description provided by D. J. Dutschke and C. W. Dutschke.,2023-06-08T18:15:34-04:00,2021-10-01,./scripts/../data/digitalassets.lib.berkeley.edu/ds/csl/mets/ds_50_12_00131117.xml
,,,digital-scriptorium,Q5021042,State of California,"",Sutro Collection MS 03,"",,Germany,http://vocab.getty.edu/tgn/7000084,Germany,s. XV; 1400-1499,1400^1499,15,http://vocab.getty.edu/aat/300404465,false,"","",Antiphonal,"",Antiphonary,"",,,,"",,,"","","","","","","","","","","","","","","","","","","","","","","","",Latin,Q397,Latin,"On f. 121, rubric for St. John the Baptist ""patroni ordinis nostri et ecclesie huius""; Carthusians of Buxheim; in the sale of Hugo, Graf von Waldbott-Bassenheim (Munich, 20 September 1883, lot 2533); Adolph Sutro (1830-1898), mayor of San Francisco.","","",Buxheim Charterhouse;Hugo Philipp Waldbott-Bassenheim;Adolph Sutro,Q460224;Q1682028;Q214461,organization;human;human,"","","","Binding: Bound, s. XVI, in stamped white vellum over wooden boards bevelled to the inside; evidence of 2 fore edge clasps; fore edge leather tabs at major text divisions.|Script, ff. 1-143: Liturgical gothic book hand.|Music, ff. 1-143: Musical notation.|Layout, ff. 1-143: 9 sets of text and 4-line red staves to the page; quires mainly of 8 leaves.","Bibliography: De Ricci, p. 26 as n. 3.|ff. 1-143: Contemporary pagination in red roman numerals.|ff. 1-142v; f. 143r-v blank: On ff. 1-110, temporale from Advent to 23rd Sunday after Pentecost; ff. 110-140, sanctorale adds: Francis de Paula, Catherine of Siena, Anthony of Padua, Bonaventure, Agatha, Afra, Bernard, Nicolas of Tolentino, Francis, Bruno, Gallus.",This description provided by D. J. Dutschke and C. W. Dutschke.,2023-06-08T18:15:34-04:00,2021-10-01,./scripts/../data/digitalassets.lib.berkeley.edu/ds/csl/mets/ds_50_12_00131118.xml
,,,digital-scriptorium,Q5021042,State of California,"",Sutro Collection MS 04,"",https://iiif.archivelab.org/iiif/images_SutroCollectionMS04_12/manifest.json,Italy,http://vocab.getty.edu/tgn/1000080,Italy,s. XVI; 1500-1599,1500^1599,16,http://vocab.getty.edu/aat/300404510,false,"","",Medical recipes,"",Medical miscellany,"",,,,"",,,"","","","","","","","","","","","","","","","","","","","","","","","",Italian,Q652,Italian,"Ownership notes, mainly illegible, inside front cover, "". . . Ambroggio 1523 ad oct. A<?> ... Salus..."" and "" 692."" De Ricci states that the volume was ""last in Germany."" Adolph Sutro (1830-1898), mayor of San Francisco.","","",Adolph Sutro,Q214461,human,"","","","Binding: Bound, s. XVI, in the original pasteboard wrapper in notarial style with later note on the front cover ""Scriptum ca. seculo XII.""|Script, ff. 1-140v: Cursive gothic.|Layout, ff. 1-140v: Gatherings 1, 8-10 of 14 leaves, all others of 12; reinforcing strip from notarial document in gutter of innermost bifolium; quires signed with letter of alphabet on last verso, repeated catchword-like on facing recto. Frame ruled in lead.","Bibliography: De Ricci, p. 26 n. 4.|ff. 1-140v: ff. 1-11, index; ff. 11v-12 non-indexed recipes in a different hand; ff. 12v-13 blank; ff. 14-16, non-indexed recipes, some in Latin; f. 16v, table of weight measurements; ff. 17-140v main text.",This description provided by D. J. Dutschke and C. W. Dutschke.,2023-06-08T18:15:34-04:00,2021-10-01,./scripts/../data/digitalassets.lib.berkeley.edu/ds/csl/mets/ds_50_12_00131119.xml
,,,digital-scriptorium,Q5021042,State of California,"",Sutro Collection MS 06,"",https://iiif.archivelab.org/iiif/images_SutroCollectionMS06_12/manifest.json,France,http://vocab.getty.edu/tgn/1000070,France,s. XV(ex); 1485-1499,1485^1499,15,http://vocab.getty.edu/aat/300404465,false,"","",Book of Hours,"",Book of hours,"",,,,"",,,"","","","","","","","","","","","","","","","","","","","","","","","",Latin,Q397,Latin,"Rosenthal, antiquarian bookdealer in Munich; Adolph Sutro (1830-1898), mayor of San Francisco.","","",Jacques Rosenthal;Adolph Sutro,Q114667678;Q214461,organization;human,"","","","Binding: Bound in a booklet bearing the note that the leaves were acquired by Mr. Sutro from Rosenthal, Munich.|Script, ff. 1-3v: Liturgical gothic book hand.|Layout, ff. 1-3v: 15 long lines ruled in pale red ink.","Bibliography: De Ricci, p. 26 as n. 6.|ff. 1-3v: Openings of the Hours of the Virgin, the Office of Holy Spirit, and the Office of the Dead.",This description provided by D. J. Dutschke and C. W. Dutschke.,2023-06-08T18:15:34-04:00,2021-10-01,./scripts/../data/digitalassets.lib.berkeley.edu/ds/csl/mets/ds_50_12_00131120.xml
,,,digital-scriptorium,Q5021042,State of California,"",Sutro Collection MS 01,"",https://iiif.archivelab.org/iiif/images_SutroCollectionMS01_12/manifest.json,Germany,http://vocab.getty.edu/tgn/7000084,Germany,s. XV(ex); 1485-1499,1485^1499,15,http://vocab.getty.edu/aat/300404465,false,"","","Psalter, diurnal","",Psalter,"",,,,"",,,"","","","","","","","","","","","","","","","","","","","","","","","",Latin,Q397,Latin,"Carthusians of Buxheim; Hugo, Graf von Waldbott-Bassenhim (his sale, Munich, 20 September 1883, lot 2672); Adolph Sutro (1830-1898), mayor of San Francisco.","","",Buxheim Charterhouse;Hugo Philipp Waldbott-Bassenheim;Adolph Sutro,Q460224;Q1682028;Q214461,organization;human;human,"","","","Binding: Bound in stamped leather overs wooden boards with 2 fore edge brass clasps; some gilt tooling.; 15 fore edge tabs to mark major text divisions.|Script, ff. 1-78v: Liturgical gothic book hand.|Music, ff. 1-78v: On 4-line red staves.|Layout, ff. 1-78v: Gatherings of 8, catchwords present, quire and leaf signatures in letter of the alphabet and roman numeral (out of order in 7th quire); 18 long lines of text.","Bibliography: Possibly to be identified with the manuscript described by De Ricci on p. 26 at n. 1 (but wrong text ?, wrong number of leaves, and wrong lot number in Waldbott-Bassenheim sale, which De Ricci says was 2640).|ff. 1-78v: On ff. 1-46v, psalter; ff. 46v-58, hymns; ff. 58-78v, office for the dead.",This description provided by D. J. Dutschke and C. W. Dutschke.,2023-06-08T18:15:34-04:00,2021-10-01,./scripts/../data/digitalassets.lib.berkeley.edu/ds/csl/mets/ds_50_12_00131121.xml
,,,digital-scriptorium,Q5021042,State of California,"",Sutro Collection MS 08,"",https://iiif.archivelab.org/iiif/images_SutroCollectionMS08_12/manifest.json,Italy,http://vocab.getty.edu/tgn/1000080,Italy,s. XV(2); 1450-1499|s. XVII; 1600-1699,1450^1499|1600^1699,15|17,http://vocab.getty.edu/aat/300404465|http://vocab.getty.edu/aat/300404511,false,"","",De corpore et sanguine Domini|De die iudicii|Incipit epistola Petri Damiani de die iudicii|Materials relating to Cesena,"",De corpore et sanguine Domini|De die iudicii|De die iudicii|,"",,,,"",,,Pascasius Radbertus|Peter Damian,"","",Q654858|Q258369,human|human,Paschasius Radbertus|Peter Damian,"","","","","","","","","","","","","Bonaventura Bertoni, O.F.M.","","",Bonaventura Bertoni,Q117338242,human,Latin|Italian,Q397|Q652,Latin|Italian,"On f. 1, illegilbe even under ultra-violet light due to stain, ""Iste liber est monachorum <?> deputatus monasterii <sancte Marie ?> <?>."" On f. i verso in a modern Italian hand, ""14.6.13"" written over ""A.42000."" Adolph Sutro (1830-1898), mayor of S. F.","","",Adolph Sutro,Q214461,human,"","","","Binding: Bound, s. XIX with labels on spine, ""Paschasii De corpore et sanguine Domini"" and ""Bertoni opera.""|Number of scribes, ff. 1-38v: 1.","Bibliography: Not in De Ricci.|ff. 39-135: Terminus post quem provided by texts: f. 132, death note of Bonaventura Bertoni in 1719; ff. 133-134, speech by Pope Innocent in 1666 and a rhyme in Italian of an event in 1686.|ff. 1-36: On f. 1, Regis adire sacre qui vis sollemnia mense . . . (15 verses spelling ""Radbertus levita""); ff. 1-2, dedicatory letter.|Explicit, ff. 1-36: Quisquis catholicorum recte dominum cuncta creasse de nichilo.|Explicit, ff. 36-38v: Dilectissimo fratri Ade Petrus peccator monachus humilis in domino salutem. Quod me, frater karissime, quid ante mundi creationem fuerit . . .|ff. 39-135: ff. 39-45v, life of St. Maurus by Maurus Verdoni; ff. 47-111v, sermons in Italian; f. 112v, list of schismatic Greeks; ff. 113-114v, Memorialein first person, signed J. Bonaventura Cesenas Capuccinus; ff. 115-132, Elucidationesagainst Calvinists.",This description provided by D. J. Dutschke and C. W. Dutschke.,2023-06-08T18:15:34-04:00,2021-10-01,./scripts/../data/digitalassets.lib.berkeley.edu/ds/csl/mets/ds_50_12_00131122.xml
,,,digital-scriptorium,Q5021042,State of California,"",Sutro Collection MS 09,"",,Italy,http://vocab.getty.edu/tgn/1000080,Italy,s. XV(ex); 1485-1499,1485^1499,15,http://vocab.getty.edu/aat/300404465,false,"","","Book of Hours, use of Rome","",Book of hours,"",,,,"",,,"","","","","","","","","","","","","","","","","","","Paolo Signarri, S. J. (author of added prayers in Italian? cf. f. 21v)","","",Paolo Signarri,Q117351915,human,Latin; Italian,Q397;Q652,Latin;Italian,"On ff. 105v, 109v-141v, in margins, notes of the Floriani family, 1591-1702, in areas near Bologna (S. Martino in Argile, S. Lorenzo del Castello di Budrio, Dozza; Budrio); Adolph Sutro (1830-1898), mayor of San Francisco.","","",Floriani family;Adolph Sutro,Q116522686;Q214461,organization;human,"","","","Binding: Bound, s. XVII, in leather over pasteboards, blind stamped with a rosette surrounding the IHS monogram; evidence of 2 fore edge clasps closing from top to bottom; 3 fore edge tabs; on the front pastedown, a woodcut of the Crucifixion.|Figurative details, ff. 1-172v: Four historiated initials.|Script, ff. 1-172v: Rounded gothic book hand.|Layout, ff. 1-172v: Gatherings of 10 leaves, except for the 11th (of 8) and the last two (of 2, counting pastedown); 14 long lines ruled in ink.","Bibliography: Not in De Ricci.|ff. 1-172v: ff. i-iii verso, additions; ff. 1-79, Hours of the BVM; ff. 79v-80v, added prayers; ff. 81-105v, Penitential psalms & litany; ff. 106-108v, rhyming prayer in Italian; ff. 109-165, Office of the Dead; ff. 166-169v, Office of the Cross; ff. 170-172v, added.",This description provided by D. J. Dutschke and C. W. Dutschke.,2023-06-08T18:15:34-04:00,2021-10-01,./scripts/../data/digitalassets.lib.berkeley.edu/ds/csl/mets/ds_50_12_00131123.xml
,,,digital-scriptorium,Q5021042,State of California,"",Sutro Collection MS 10,"",https://iiif.archivelab.org/iiif/images_SutroCollectionMS10_12/manifest.json,France,http://vocab.getty.edu/tgn/1000070,France,s. XV(ex); 1485-1499,1485^1499,15,http://vocab.getty.edu/aat/300404465,false,"","","Chy fait mencion comment le Roy Henry d'Engleterre renvoya la Reyne Izabel jadis femme du Roy Richard d'Engleterre en France et de ceulx qui le rechevirent|History of France and England during the reigns of Henry IV, Henry V, Henry VI","",|History of France;History of England,"",,,,"",,,"","","","","","","","","","","","","","","","","","","","","","","","",French,Q150,French,"On front pastedown, pressmark, ""a.37""; bookplate of Victor Albert George Child-Villiers (1845-1915), Earl of Jersey, Osterley Park; clipping from Sotheby's, lot 56; Adolph Sutro (1830-1898), mayor of San Francisco.","","","Victor Child Villiers, 7th Earl of Jersey;Adolph Sutro",Q336737;Q214461,human;human,"","","","Binding: Early modern binding in panelled calf over paper boards.|Script, ff. 1-370: Cursive script.|Layout, ff. 1-370: 32-39 long lines, frame ruled in lead; contemporary foliationin roman numerals by scores.|Watermarks, ff. 1-370: Briquet 8651.","Bibliography: Eighth Report of the Royal Commission on Historical Manuscripts, Report and Appendix, Pt. 1(London 1881), p. 100, n. 21. Not in De Ricci.|ff. 1-370; f. 370v blank: Many erasures and corrections as if a draft copy.|Explicit, ff. 1-370; f. 370v blank: Pour l'an mil iiii cent et viii aprez la mort du bon Roy Richard . . .",This description provided by D. J. Dutschke and C. W. Dutschke.,2023-06-08T18:15:34-04:00,2021-10-01,./scripts/../data/digitalassets.lib.berkeley.edu/ds/csl/mets/ds_50_12_00131124.xml
