ds_id,date_added,date_last_updated,source_type,cataloging_convention,holding_institution,holding_institution_as_recorded,holding_institution_id_number,holding_institution_shelfmark,link_to_holding_institution_record,iiif_manifest,production_place_as_recorded,production_place,production_place_label,production_date_as_recorded,production_date,century,century_aat,dated,uniform_title_as_recorded,uniform_title_agr,title_as_recorded,title_as_recorded_agr,standard_title,genre_as_recorded,genre,genre_label,subject_as_recorded,subject,subject_label,author_as_recorded,author_as_recorded_agr,author,author_wikidata,author_instance_of,author_label,artist_as_recorded,artist_as_recorded_agr,artist,artist_label,artist_wikidata,artist_instance_of,scribe_as_recorded,scribe_as_recorded_agr,scribe,scribe_label,scribe_wikidata,scribe_instance_of,associated_agent_as_recorded,associated_agent_as_recorded_agr,associated_agent,associated_agent_label,associated_agent_wikidata,associated_agent_instance_of,language_as_recorded,language,language_label,former_owner_as_recorded,former_owner_as_recorded_agr,former_owner,former_owner_label,former_owner_wikidata,former_owner_instance_of,material_as_recorded,material,material_label,physical_description,note,acknowledgements,data_processed_at,data_source_modified,source_file
,,,tei-xml,,Q3087288,Free Library of Philadelphia,Lewis C 1,Lewis C 1,https://openn.library.upenn.edu/Data/0023/html/lewis_c_001.html,"","","","","","",,,,"","",Quran Leaf,"",Qurʼan,"","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,Arabic,Q13955,Arabic,"Lewis, John Frederick, 1860-1932","","",John Frederick Lewis,Q78163033,human,"","","","","","",2023-12-01 15:17:31 -0500,2021-03-19,lewis_c_001_TEI.xml
,,,tei-xml,,Q3087288,Free Library of Philadelphia,Lewis C 2,Lewis C 2,https://openn.library.upenn.edu/Data/0023/html/lewis_c_002.html,"","","","","","",,,,"","",Quran Leaves,"",Qurʼan,"","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,Arabic,Q13955,Arabic,"Lewis, John Frederick, 1860-1932","","",John Frederick Lewis,Q78163033,human,"","","","","","",2023-12-01 15:17:31 -0500,2021-03-19,lewis_c_002_TEI.xml
,,,tei-xml,,Q3087288,Free Library of Philadelphia,Lewis C 6,Lewis C 6,https://openn.library.upenn.edu/Data/0023/html/lewis_c_006.html,"","","","","","",,,,"","",Quran Leaf,"",Qurʼan,"","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,Arabic,Q13955,Arabic,"Lewis, John Frederick, 1860-1932","","",John Frederick Lewis,Q78163033,human,"","","",Extent: 23 x 17 cm,"","",2023-12-01 15:17:31 -0500,2021-03-19,lewis_c_006_TEI.xml
,,,tei-xml,,Q3087288,Free Library of Philadelphia,Lewis C 16,Lewis C 16,https://openn.library.upenn.edu/Data/0023/html/lewis_c_016.html,"","","","","","",,,,"","",Four Lines of Calligraphy from the Qasidat al-Burda,"",Four Lines of Calligraphy from the Qasidat al-Burda,"","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,Arabic,Q13955,Arabic,"Lewis, John Frederick, 1860-1932","","",John Frederick Lewis,Q78163033,human,"","","",Extent: 11.5 x 21 cm,"","",2023-12-01 15:17:31 -0500,2021-03-19,lewis_c_016_TEI.xml
,,,tei-xml,,Q3087288,Free Library of Philadelphia,Lewis C 17,Lewis C 17,https://openn.library.upenn.edu/Data/0023/html/lewis_c_017.html,"","","","","","",,,,"","",Leaf from the Qasidat al-Burda,"",Qasidat al-Burda,"","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,Arabic,Q13955,Arabic,"Lewis, John Frederick, 1860-1932","","",John Frederick Lewis,Q78163033,human,"","","",Extent: 14 x 23 cm,"","",2023-12-01 15:17:31 -0500,2021-03-19,lewis_c_017_TEI.xml
,,,tei-xml,,Q3087288,Free Library of Philadelphia,Lewis C 18,Lewis C 18,https://openn.library.upenn.edu/Data/0023/html/lewis_c_018.html,"","","","","","",,,,"","",Persian Calligraphy in Cloudbands,"",Persian calligraphy in cloudbands,"","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,Persian,Q9168,Persian,"Lewis, John Frederick, 1860-1932","","",John Frederick Lewis,Q78163033,human,"","","",Extent: 19.5 x 28.5 cm,"","",2023-12-01 15:17:31 -0500,2021-03-19,lewis_c_018_TEI.xml
,,,tei-xml,,Q3087288,Free Library of Philadelphia,Lewis C 25,Lewis C 25,https://openn.library.upenn.edu/Data/0023/html/lewis_c_025.html,"","","","","","",,,,"","",Quran Leaf,"",Qurʼan,"","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,Arabic,Q13955,Arabic,"Lewis, John Frederick, 1860-1932","","",John Frederick Lewis,Q78163033,human,"","","",Extent: 11 x 15 cm,"","",2023-12-01 15:17:31 -0500,2021-03-19,lewis_c_025_TEI.xml
,,,tei-xml,,Q3087288,Free Library of Philadelphia,Lewis C 26,Lewis C 26,https://openn.library.upenn.edu/Data/0023/html/lewis_c_026.html,"","","","","","",,,,"","",Quran Leaf,"",Qurʼan,"","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,Arabic,Q13955,Arabic,"Lewis, John Frederick, 1860-1932","","",John Frederick Lewis,Q78163033,human,"","","",Extent: 12 x 18.5 cm,"","",2023-12-01 15:17:31 -0500,2021-03-19,lewis_c_026_TEI.xml
,,,tei-xml,,Q3087288,Free Library of Philadelphia,Lewis C 27,Lewis C 27,https://openn.library.upenn.edu/Data/0023/html/lewis_c_027.html,"","","","","","",,,,"","",Drawing of Two Men with Fragments of Quran Leaf Pasted On,"",Qurʼan,"","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,Arabic,Q13955,Arabic,"Lewis, John Frederick, 1860-1932","","",John Frederick Lewis,Q78163033,human,"","","",Extent: 11.5 x 19 cm,"","",2023-12-01 15:17:31 -0500,2021-03-19,lewis_c_027_TEI.xml
,,,tei-xml,,Q3087288,Free Library of Philadelphia,Lewis M 7,Lewis M 7,https://openn.library.upenn.edu/Data/0023/html/lewis_m_007.html,"","","","","","",,,,"","",Portrait of Emperor Jahangir as a Young Prince; Persian Poetry,"",Portrait of Emperor Jahangir as a young prince;Persian poetry,"","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,Persian,Q9168,Persian,"Lewis, John Frederick, 1860-1932","","",John Frederick Lewis,Q78163033,human,"","","","","","",2023-12-01 15:17:31 -0500,2021-03-19,lewis_m_007_TEI.xml
,,,tei-xml,,Q3087288,Free Library of Philadelphia,Lewis M 9,Lewis M 9,https://openn.library.upenn.edu/Data/0023/html/lewis_m_009.html,"","","","","","",,,,"","","Razmnama Leaf, Drona's Son Ashvatthaman Unleashes the Flaming Narayanastra at the Pandavas; Razmnama Leaf","",Razmnama leaf,"","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,Persian,Q9168,Persian,"Lewis, John Frederick, 1860-1932","","",John Frederick Lewis,Q78163033,human,"","","","","Exhibited at the Philadelphia Museum of Art, ""The Book of War: The Free Library of Philadelphia's Mughal Razmnama Folios July 14, 2007 - December 9, 2007""","",2023-12-01 15:17:31 -0500,2021-03-19,lewis_m_009_TEI.xml
,,,tei-xml,,Q3087288,Free Library of Philadelphia,Lewis M 10,Lewis M 10,https://openn.library.upenn.edu/Data/0023/html/lewis_m_010.html,"","","","","","",,,,"","","Razmnama Leaf, Yudhishthira and Draupadi Give Away Their Possessions to Brahmans; Razmnama Leaf","",Razmnama leaf,"","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,Persian,Q9168,Persian,"Lewis, John Frederick, 1860-1932","","",John Frederick Lewis,Q78163033,human,"","","","","Exhibited at the Philadelphia Museum of Art, ""The Book of War: The Free Library of Philadelphia's Mughal Razmnama Folios July 14, 2007 - December 9, 2007""","",2023-12-01 15:17:31 -0500,2021-03-19,lewis_m_010_TEI.xml
