ds_id,date_added,date_last_updated,source_type,cataloging_convention,holding_institution,holding_institution_as_recorded,holding_institution_id_number,holding_institution_shelfmark,link_to_holding_institution_record,iiif_manifest,production_place_as_recorded,production_place,production_place_label,production_date_as_recorded,production_date,century,century_aat,dated,uniform_title_as_recorded,uniform_title_agr,title_as_recorded,title_as_recorded_agr,standard_title,genre_as_recorded,genre,genre_label,subject_as_recorded,subject,subject_label,author_as_recorded,author_as_recorded_agr,author,author_wikidata,author_instance_of,author_label,artist_as_recorded,artist_as_recorded_agr,artist,artist_label,artist_wikidata,artist_instance_of,scribe_as_recorded,scribe_as_recorded_agr,scribe,scribe_label,scribe_wikidata,scribe_instance_of,associated_agent_as_recorded,associated_agent_as_recorded_agr,associated_agent,associated_agent_label,associated_agent_wikidata,associated_agent_instance_of,language_as_recorded,language,language_label,former_owner_as_recorded,former_owner_as_recorded_agr,former_owner,former_owner_label,former_owner_wikidata,former_owner_instance_of,material_as_recorded,material,material_label,physical_description,note,acknowledgements,data_processed_at,data_source_modified,source_file
,,,tei-xml,,Q3087288,Free Library of Philadelphia,Horace MS 1a,Horace MS 1a,https://openn.library.upenn.edu/Data/0023/html/horace_ms_1a.html,"",Austria? Hungary?,http://vocab.getty.edu/tgn/1000062;http://vocab.getty.edu/tgn/7006278,Austria;Hungary,1475-1499,1475^1499,15,http://vocab.getty.edu/aat/300404465,,"","",Ars Poetica and Epistulae,"",Ars poetica;Epistles,"","","",15th century|Austria|Manicules|Literature -- Poetry,http://id.worldcat.org/fast/923962|http://id.worldcat.org/fast/1204901|http://vocab.getty.edu/aat/300312372|http://id.worldcat.org/fast/999953;http://id.worldcat.org/fast/1067691,Fifteenth century|Austria|manicules|Literature;Poetry,Horace,"","",Q6197,human,Horace,"","","","","","","","","","","","",,,,,,,Latin,Q397,Latin,"Hodossy, Imre","","",Imre Hodossy,Q73712054,human,Paper,http://vocab.getty.edu/aat/300014109,paper,Extent: ii+37+iv; 194 x 143 mm bound to 199 x 151 mm; paper,"Probably once bound in with a larger manuscript, as seventeenth-century (?) folio numbering begins on fol. 1r with 89|Back Flyleaves 1 and 2 are part of quire 3|Binding: Modern binding, blue cloth with gold stamping over paper boards|Layout: Single column of twenty-four to twenty-nine lines (most pages twenty-seven to twenty-eight); lines begin with capitals; drypoint frame-ruled, no line ruling; written area: 146 x 81 mm|Script: Gothic--cursiva|Decoration: Occasional manicules|Provenance: Imre Hodossy; Purchased by Maggs Bros; LTD in 1955 for the Free Library at a Munich auction",Contributor: Diane Biunno|Cataloger: Dot Porter|Funder: Council on Library and Information Resources,2023-12-03 20:08:22 -0500,2018-08-15,horace_ms_1a_TEI.xml
,,,tei-xml,,Q3087288,Free Library of Philadelphia,Horace MS 1b,Horace MS 1b,https://openn.library.upenn.edu/Data/0023/html/horace_ms_1b.html,"",Austria? Hungary?,http://vocab.getty.edu/tgn/1000062;http://vocab.getty.edu/tgn/7006278,Austria;Hungary,1475-1499,1475^1499,15,http://vocab.getty.edu/aat/300404465,,"","",Laelius de Amicitia,"",Laelius de amicitia,"","","",15th century|Austria|Manicules|Treatise|Friendship,http://id.worldcat.org/fast/923962|http://id.worldcat.org/fast/1204901|http://vocab.getty.edu/aat/300312372|http://vocab.getty.edu/aat/300026681|http://id.worldcat.org/fast/935174,Fifteenth century|Austria|manicules|treatises|Friendship,"Cicero, Marcus Tullius.","","",Q1541,human,Cicero,"","","","","","","","","","","","",,,,,,,Latin,Q397,Latin,"Hodossy, Imre","","",Imre Hodossy,Q73712054,human,Paper,http://vocab.getty.edu/aat/300014109,paper,Extent: ii+25+i; 194 x 143 mm bound to 199 x 151 mm; paper,"Probably once bound in with a larger manuscript, as seventeenth-century (?) folio numbering begins on fol. 2r with 26|Binding: Modern binding, blue cloth with gold stamping over paper boards|Layout: Single column of twenty-four to twenty-nine lines (most pages twenty-seven to twenty-eight); lines begin with capitals; drypoint frame-ruled, no line ruling|Script: Gothic--cursiva|Decoration: Occasional Manicules|Provenance: Imre Hodossy; Purchased by Maggs Bros. LTD in 1955 for the Free Library at a Munich auction",Contributor: Diane Biunno|Cataloger: Dot Porter|Funder: Council on Library and Information Resources,2023-12-03 20:08:22 -0500,2018-09-06,horace_ms_1b_TEI.xml
,,,tei-xml,,Q3087288,Free Library of Philadelphia,Horace MS 2,Horace MS 2,https://openn.library.upenn.edu/Data/0023/html/horace_ms_2.html,"",Italy,http://vocab.getty.edu/tgn/1000080,Italy,1475-1499,1475^1499,15,http://vocab.getty.edu/aat/300404465,,"","",Ars Poetica (Art of Poetry); Carmen seculare; Epistolae (Epistles); Odes,"",Ars poetica;Carmen seculare;Epistles;Odes,"","","",Treatise|15th century|Italian|Humanistic|Illumination|Italy|Literature -- Poetry,http://vocab.getty.edu/aat/300026681|http://id.worldcat.org/fast/923962|http://vocab.getty.edu/aat/300111198|http://vocab.getty.edu/aat/300210204|http://vocab.getty.edu/aat/300264522|http://id.worldcat.org/fast/1204565|http://id.worldcat.org/fast/999953;http://id.worldcat.org/fast/1067691,treatises|Fifteenth century|Italian (culture or style)|humanistic scripts|illuminations (paintings)|Italy|Literature;Poetry,Horace,"","",Q6197,human,Horace,"","","","","","","","","","","","",,,,,,,Latin,Q397,Latin,"Davis & Orioli (Firm)|Cockerell, Sydney Carlyle, Sir, 1867-1962",|,"",Davis & Orioli|Sydney Cockerell,Q113818768|Q966843,organization|human,Parchment,http://vocab.getty.edu/aat/300011851,parchment,Extent: i+132+i; 243 x 145 mm bound to 251 x 146 mm; parchment,"Manuscript was previously part of John Frederick Lewis Collection; Lewis E 235a|Binding: Contemporary goatskin over wooden boards, one of two original leather strap clasps remains; gilt and gauffered edges|Layout: Written area: 150 x 78 mm; One column of thirty-one lines, ruled in hard-point; one historiated six-line initial, Nine five-line illuminated initials, two-line blue initials throughout, coat of arms on fol. 1r; Last two leaves (ff. 131r-132v) added in 1924|Script: Humanistic|Script: Two Renaissance scribes; scribe 1 responsible for ff. 1r-100v; scribe 2 responsible for ff. 101-130v; third scribe (fols. 131r-132v) is a modern scribe, Graily Hewitt. Note in Sydney Cockerell's hand, dated April 1926, stating: ""When I bought this book the two final leaves were missing. They have now been supplied by Graily Hewitt,"" signed S.C.C. Second scribe identified as same scribe of a Juvenal in the St. John Hornby-Abbey Collection (cf. Sotheby's catalogue entry)|Decoration: fol. 1r: illuminated initial with seated Roman warrior|Provenance: Arms of the Tirelta of Treviso with initials Z. T; Purchased by Sydney Cockerel in January 1924 from Davis & Orioli who had obtained it in France; Sydney Cockerell, London; his sale London, Sotheby's, April 3, 1957, lot no. 16; London, Christie's, November 28, 1960, lot. 52; The Free Library of Philadelphia, Gratz Fund purchase; notations on first flyleaf: ""Sydney C. Cockrell Cambridge Jan. 16 1924""",Contributor: Diane Biunno|Cataloger: Dot Porter|Funder: Council on Library and Information Resources,2023-12-03 20:08:22 -0500,2018-08-15,horace_ms_2_TEI.xml
,,,tei-xml,,Q3087288,Free Library of Philadelphia,LC 14 10,LC 14 10,https://openn.library.upenn.edu/Data/0023/html/lc_14_10.html,"",England,http://vocab.getty.edu/tgn/7002445,England,"","",,,,"","",Statuta nova (New Statutes),"",New statutes,"","","",Treatise|15th century|English|Charter|Illumination|England|Legal|History,http://vocab.getty.edu/aat/300026681|http://id.worldcat.org/fast/923962|http://vocab.getty.edu/aat/300111178|http://id.worldcat.org/fast/852538|http://vocab.getty.edu/aat/300264522|http://id.worldcat.org/fast/1219920|http://id.worldcat.org/fast/993678|http://id.worldcat.org/fast/958235,treatises|Fifteenth century|English (culture or style)|Charters|illuminations (paintings)|England|Law|History,"","","","","","","","","","","","","","","","","","",,,,,,,Anglo-Norman,Q35214,Anglo-Norman,"Butler, Charles|Sessler, Charles|Carson, Hampton L. (Hampton Lawrence), 1852-1929",||,"",Charles Butler|Charles Sessler|Hampton L. Carson,Q76094211|Q99399771|Q19974462,human|human|human,Parchment,http://vocab.getty.edu/aat/300011851,parchment,Extent: ii+392+ii (accounting for one unnumbered folio); 305 x 200 mm bound to 322 x 210 mm; parchment,"Binding: Late fifteenth-century, original wood boards; blind stamp decoration of pelicans and the arms of Cologne; rebacked; stamped in gold on spine: ""STATVTA HEN. III -- HEN. VII MS. IN MEMBRANES;"" metal clasps are attached to back cover|Layout: Frame-ruled in lead point in one column of forty-two lines; prickings extant; fols. 371v to 391v are ruled but left blank; written area: 215 x 120 mm|Script: Gothic--anglicana|Decoration: Illuminated initial (fol. 1r) and four illuminated initials with full borders; pen-flourished initials in red and blue throughout; paragraph signs in red and blue|Provenance: Charles Butler (1912); his sale, S. 17 March 1912, no. 2694, to Leighton; Charles Maggs, London (bookseller); Charles Sessler, Philadelphia (bookseller); Hampton L. Carson, Philadelphia; given to the Free Library of Philadelphia in 1929",Contributor: Diane Biunno|Cataloger: Erin Connelly|Funder: Council on Library and Information Resources,2023-12-03 20:08:22 -0500,2018-08-15,lc_14_10_TEI.xml
,,,tei-xml,,Q3087288,Free Library of Philadelphia,LC 14 12,LC 14 12,https://openn.library.upenn.edu/Data/0023/html/lc_14_12.html,"",England,http://vocab.getty.edu/tgn/7002445,England,"","",,,,"","",Readings on Statutes,"",Statutes,"","","",Treatise|15th century|English|Marginalia|Charter|England|Legal|History,http://vocab.getty.edu/aat/300026681|http://id.worldcat.org/fast/923962|http://vocab.getty.edu/aat/300111178|http://id.worldcat.org/fast/1009154|http://id.worldcat.org/fast/852538|http://id.worldcat.org/fast/1219920|http://id.worldcat.org/fast/993678|http://id.worldcat.org/fast/958235,treatises|Fifteenth century|English (culture or style)|Marginalia|Charters|England|Law|History,"","","","","","","","","","","","","","","","","","",,,,,,,Latin,Q397,Latin,"Horwood, Alfred J. (Alfred John), 1821-1881","","",Alfred John Horwood,Q59630457,human,Paper,http://vocab.getty.edu/aat/300014109,paper,Extent: ii+241+ii; 270 x 195 mm bound to 277 x 197 mm; paper,"Binding: Nineteenth-century wooden boards and stamped calf|Layout: Ruled in hard point in one column of thirty-three lines; many folios are left blank throughout; written area is variable ranging from: 160 x 115 mm to 200 x 140 mm|Script: Gothic--anglicana|Decoration: Simple pen-flourished initials; some marginalia; blank spaces left for initials|Provenance: ""Johannes de ingr...am (?);"" belonged to Alfred John Horwood (d. 1881); his sale, S. 8 June 1883, no 1316, to Ridler; sold at Puttick's, 28 June 1916, no. 528",Contributor: Diane Biunno|Cataloger: Erin Connelly|Funder: Council on Library and Information Resources,2023-12-03 20:08:22 -0500,2018-08-15,lc_14_12_TEI.xml
,,,tei-xml,,Q3087288,Free Library of Philadelphia,LC 14 13,LC 14 13,https://openn.library.upenn.edu/Data/0023/html/lc_14_13.html,"",England,http://vocab.getty.edu/tgn/7002445,England,1300-1315,1300^1315,14,http://vocab.getty.edu/aat/300404506,,"","",Britton,"",Britton,"","","",Treatise|14th century|English|Marginalia|Charter|England|Legal|History,http://vocab.getty.edu/aat/300026681|http://id.worldcat.org/fast/933420|http://vocab.getty.edu/aat/300111178|http://id.worldcat.org/fast/1009154|http://id.worldcat.org/fast/852538|http://id.worldcat.org/fast/1219920|http://id.worldcat.org/fast/993678|http://id.worldcat.org/fast/958235,treatises|Fourteenth century|English (culture or style)|Marginalia|Charters|England|Law|History,"","","","","","","","","","","","","","","","","","",,,,,,,Old French (842-ca. 1400),Q35222,Old French,"Page-Turner, Gregory Osborne, Sir, 1785-1843|Phillipps, Thomas, Sir, 1792-1872|Maggs Bros.|Carson, Hampton L. (Hampton Lawrence), 1852-1929",|||,"","Sir Gregory Osborne Page-Turner, 4th Bt.|Thomas Phillipps|Maggs Bros Ltd|Hampton L. Carson",Q75874518|Q2147709|Q15067374|Q19974462,human|human|organization|human,Parchment,http://vocab.getty.edu/aat/300011851,parchment,Extent: vi+127+ii; 272 x 186 mm bound to 285 x 197 mm; parchment,"Spine has become detached|Although the text is labeled Bracton and the spine of the book claims that it is Bracton's De legibus Angliae, the text is in fact the Britton|Binding: Mid-19th-century russia leather binding, spine with blind-tooled decoration and stamped in gold: ""BRACTON DE LEGIBUS ANGLIAE""; Marbled paper pastedowns and flyleaves|Layout: Frame-ruled in ink; two columns of forty-five lines, prickings visible; contemporary book numbering, upper center margin recto and verso; written area: 210 x 140 mm|Script: Gothic--anglicana|Decoration: Red and blue pen-flourished initials throughout; paragraph marks in red and blue; rubrication throughout; some marginalia|Related resource: De Ricci, Seymour, with the assistance of W. J. Wilson, Census of Medieval and Renaissance Manuscripts in the United States and Canada, vol. 2 (New York,: H. W. Wilson, 1935-40), p. 2016, no. 5.|Related resource: John Hamilton Baker, English Legal Manuscripts in the United States of America: A Descriptive List, part I, Medieval and Renaissance Period (to 1558) (London: Seldon Society, 1985), p.61, no. 172.|Provenance: Sir Gregory Osborn Page Turner (d. 1843) of Battlesdon House, Beds; Sir Thomas Phillipps; Maggs Bros. (booksellers), London (1909); Hampton L. Carson, Philadelphia; given to the Free Library of Philadelphia in 1929; Bookplate of the Free Library of Philadelphia, gift of Hampton L. Carson, pasted onto inside of front cover; typed description of manuscript pasted onto inside of front cover; Phillipps manuscript number written in ink on the verso of the first flyleaf, ""23713 mss Ph.""; Phillipps number appears again on fol. 4r; On the verso of the first flyleaf is pasted a catalog description of the manuscript and notes written in pencil, ""Sir G. P. Turner"", ""Bracton Early fourteenth XIV"", ""the full text not condensed early fourteenth Century"", ""British Museum Report a 8.997"", ""3097"" [crossed out], and ""Purchased at the sale of the Sir Thomas Phillipps Collection of Manuscripts, sold at Messers Sotheby Wilkinson and Hodge of London""",Contributor: Diane Biunno|Cataloger: Erin Connelly|Funder: Council on Library and Information Resources,2023-12-03 20:08:22 -0500,2018-08-15,lc_14_13_TEI.xml
,,,tei-xml,,Q3087288,Free Library of Philadelphia,LC 14 14,LC 14 14,https://openn.library.upenn.edu/Data/0023/html/lc_14_14.html,"",England,http://vocab.getty.edu/tgn/7002445,England,1400-1499,1400^1499,15,http://vocab.getty.edu/aat/300404465,,"","",Statuta vetera (Old statutes),"",Antiqua statuta,"","","",15th century|English|Charter|Damage|Gloss|England|Legal,http://id.worldcat.org/fast/923962|http://vocab.getty.edu/aat/300111178|http://id.worldcat.org/fast/852538|http://vocab.getty.edu/aat/300068940|http://vocab.getty.edu/aat/300211708|http://id.worldcat.org/fast/1219920|http://id.worldcat.org/fast/993678,Fifteenth century|English (culture or style)|Charters|damage (condition)|glosses (annotations)|England|Law,"","","","","","","","","","","","","","","","","","",,,,,,,Latin; Anglo-Norman; Middle French (ca. 1400-1600),Q397;Q35214;Q1473289,Latin;Anglo-Norman;Middle French,"John Willis|Holmes, Thomas, active 17th century-18th century|Macclesfield, George Parker, Earl of, approximately 1697-1764|John Peacock|Bragge, William, 1823-1884|Harkness, Edward Stephen, 1874-1940|Carson, Hampton L. (Hampton Lawrence), 1852-1929",||||||,"","John Willis|Thomas Holmes|George Parker, 2nd Earl of Macclesfield|John Peacock|William Bragge|Edward Harkness|Hampton L. Carson",Q114242453|Q114242458|Q335725|Q114242451|Q15453218|Q5343311|Q19974462,human|human|human|human|human|human|human,Parchment,http://vocab.getty.edu/aat/300011851,parchment,Extent: iii+127+iii; 250 x 177 mm bound to 266 x 184 mm; parchment,"Front cover with upper flyleaves detached; spine detached; back cover detached and final flyleaf loose|Binding: Nineteenth-century Russia binding with blind stamped border; stamped on spine: ""MAGNA CHARTA AND STATUTES IX. HENRY III. TO HENRY VII"".|Layout: One column of forty-one lines; lead point ruled; written area: 192 x 117 mm|Script: Gothic--anglicana|Decoration: One illuminated initial with partial bar border; numerous smaller colored initials with pen-work flourishes|Related resource: De Ricci, Seymour, with the assistance of W.J. Wilson, Census of Medieval and Renaissance Manuscripts in the United States and Canada, vol. 2 (New York,: H. W. Wilson, 1935-40), p. 2017-2018, no. 13.|Related resource: John Hamilton Baker, English Legal Manuscripts in the United States of America: A Descriptive List, part I, Medieval and Renaissance Period (to 1558) (London: Seldon Society, 1985), pp. 61-62, no. 173|Provenance: John Willis (eighteenth century?, his signature on fol. 90r); Thomas Holmes (eighteenth century, his signature on fol. 91r); George Parker, Earl of Macclesfield (eighteenth century, his signature on fol. 90r); William Bragge (nineteenth century, his sale at Sotheby's, London, 7 June 1876, lot 289); John Peacock (nineteenth century, his bookplate inside the front cover); sold at Sotheby's, London (28 June 1912, lot 390); sold to Edward Stephen Harkness; lot 270 in an unidentified English bookseller's catalog (see print catalog clipping loose inside front cover); Hampton L. Carson, Philadelphia; given to the Free Library of Philadelphia in 1929",Contributor: Diane Biunno|Cataloger: Oliver Mitchell|Funder: Council on Library and Information Resources,2023-12-03 20:08:22 -0500,2018-08-15,lc_14_14_TEI.xml
,,,tei-xml,,Q3087288,Free Library of Philadelphia,LC 14 19,LC 14 19,https://openn.library.upenn.edu/Data/0023/html/lc_14_19.html,"",England,http://vocab.getty.edu/tgn/7002445,England,1400-1499,1400^1499,15,http://vocab.getty.edu/aat/300404465,,"","",Statuta vetera (Old Statutes),"",Antiqua statuta,"","","",Treatise|15th century|English|Illumination|Charter|England|Legal|History,http://vocab.getty.edu/aat/300026681|http://id.worldcat.org/fast/923962|http://vocab.getty.edu/aat/300111178|http://vocab.getty.edu/aat/300264522|http://id.worldcat.org/fast/852538|http://id.worldcat.org/fast/1219920|http://id.worldcat.org/fast/993678|http://id.worldcat.org/fast/958235,treatises|Fifteenth century|English (culture or style)|illuminations (paintings)|Charters|England|Law|History,"","","","","","","","","","","","","","","","","","",,,,,,,Latin; Middle French (ca. 1400-1600),Q397;Q1473289,Latin;Middle French,"Carson, Hampton L. (Hampton Lawrence), 1852-1929","","",Hampton L. Carson,Q19974462,human,Parchment,http://vocab.getty.edu/aat/300011851,parchment,Extent: i+170+i; 179 x 122 mm bound to 185 x 130 mm; parchment,"Pasted in notes (flyleaf 1 recto) include collation of: a10 b8 c12 d6 e12 f10 g-u8 x2 - new collation reflects a change in f10 to f8 and in g-u8 to g-t8; Vellum of the binding has broken on the back of spine, in joints, and front cover|Binding: Late eighteenth-century tooled vellum binding. Two metal clasps. Stamped on spine: ""INSPEXIMUS EDWARDI PRI[MUS] MAGNA CARTA ET ALLIS STATUTIBUS""|Layout: Frame-ruled in lead in one column of variable lines ranging from twenty-six to thirty-two lines, prickings visible; running headings throughout; written area: 145 x 89 mm|Script: Gothic--anglicana|Decoration: Illuminated initial (fol. 1r); red and blue initials decorated with pen flourishing and foliate designs throughout; paragraph marks in red and blue; marginalia and glossing throughout|Related resource: De Ricci, Seymour, with the assistance of W. J. Wilson, Census of Medieval and Renaissance Manuscripts in the United States and Canada, vol. 2 (New York,: H. W. Wilson, 1935-40), p. 2017, no. 8.|Related resource: John Hamilton Baker, English Legal Manuscripts in the United States of America: A Descriptive List, part I, Medieval and Renaissance Period (to 1558) (London: Seldon Society, 1985), p.63, no. 178.|Provenance: Hampton L. Carson, Philadelphia; given to the Free Library of Philadelphia in 1929; Book plate of the Free Library of Philadelphia, gift of Hampton L. Carson, pasted onto inside front cover. ""M 1"" written in ink and pasted onto inside front cover",Contributor: Diane Biunno|Cataloger: Erin Connelly|Funder: Council on Library and Information Resources,2023-12-03 20:08:22 -0500,2018-08-17,lc_14_19_TEI.xml
,,,tei-xml,,Q3087288,Free Library of Philadelphia,LC 14 20.5,LC 14 20.5,https://openn.library.upenn.edu/Data/0023/html/lc_14_20_5.html,"",England,http://vocab.getty.edu/tgn/7002445,England,"","",,,,"","",Statuta Angliae,"",Statuta Angliae,"","","",Document|14th century|English|Charter|England|History|Legal,http://vocab.getty.edu/aat/300026030|http://id.worldcat.org/fast/933420|http://vocab.getty.edu/aat/300111178|http://id.worldcat.org/fast/852538|http://id.worldcat.org/fast/1219920|http://id.worldcat.org/fast/958235|http://id.worldcat.org/fast/993678,documents (object genre)|Fourteenth century|English (culture or style)|Charters|England|History|Law,"","","","","","","","","","","","","","","","","","",,,,,,,Latin,Q397,Latin,"Levinson, Harry A.","","",Harry Levinson,Q5670578,human,Parchment,http://vocab.getty.edu/aat/300011851,parchment,Extent: 184+ii; 83 x 50 mm bound to 83 x 52 mm; parchment,"Manuscript is bound in its original oak boards, which are attached to the text block with leather straps; four pegs have been inserted into the boards to hold straps in place; two holes near fore edge of the cover indicate where a clasp had once been affixed|Date is provided by notes accompanying the manuscript, which offer a date of circa 1299-1300 because the collection lacks the Statute of Lincoln passed in January 1301|First two quires almost detached|Binding: Original oak boards.|Layout: written area: 60 x 35 mm; 1 column of 24 lines, lead point ruling; 1 historiated initial with full border; decorated and illuminated initials and borders throughout; red and blue 1-line initials throughout. The first quire, which contains the calendar, is not paginated.|Script: Gothic--anglicana|Related resource: Don C. Skemer, ""From Archives to the Book Trade: Private statute rolls in England, 1285-1307,"" Journal of the Society of Archivists 16 (1995), p. 204, n. 48.|Provenance: Purchased by the Free Library of Philadelphia from Harry A. Levinson in 1964 through the Simon Gratz fund; notations in pencil on inside back cover ""Levinson 64"" and ""Gratz""",Contributor: Diane Biunno|Cataloger: Dot Porter|Funder: Council on Library and Information Resources,2023-12-03 20:08:22 -0500,2018-08-15,lc_14_20_5_TEI.xml
,,,tei-xml,,Q3087288,Free Library of Philadelphia,LC 14 21,LC 14 21,https://openn.library.upenn.edu/Data/0023/html/lc_14_21.html,"",England,http://vocab.getty.edu/tgn/7002445,England,"","",,,,"","",Statuta vetera (Old Statutes),"",Antiqua statuta,"","","",Treatise|14th century|English|Charter|Historiated initial|Illumination|England|Legal|History,http://vocab.getty.edu/aat/300026681|http://id.worldcat.org/fast/933420|http://vocab.getty.edu/aat/300111178|http://id.worldcat.org/fast/852538|http://id.worldcat.org/fast/957716|http://vocab.getty.edu/aat/300264522|http://id.worldcat.org/fast/1219920|http://id.worldcat.org/fast/993678|http://id.worldcat.org/fast/958235,treatises|Fourteenth century|English (culture or style)|Charters|Historiated initials|illuminations (paintings)|England|Law|History,"","","","","","","","","","","","","","","","","","",,,,,,,Latin,Q397,Latin,"Carson, Hampton L. (Hampton Lawrence), 1852-1929","","",Hampton L. Carson,Q19974462,human,Parchment,http://vocab.getty.edu/aat/300011851,parchment,Extent: iii+167+iii; 85 x 48 mm bound to 92 x 55 mm; parchment,"Front flyleaves are mostly detached|Binding: Late 19th century red morocco biding; gilt edges; stamped in gold on spine: ""MAGNA CARTA MS SAEC. XIII.""|Layout: Frame-ruled in lead point in one column of 26 lines; fols. 1r-4v, 13r-17v, and 152v-167v have been left blank; written area: 65 x 36 mm|Script: Gothic--anglicana|Decoration: One historiated initial; illuminated initials and borders throughout; paragraph signs in red and blue|Related resource: De Ricci, Seymour, with the assistance of W. J. Wilson, Census of Medieval and Renaissance Manuscripts in the United States and Canada, vol. 2 (New York,: H. W. Wilson, 1935-40), p. 2017, no. 9.|Related resource: John Hamilton Baker, English Legal Manuscripts in the United States of America: A Descriptive List, part I, Medieval and Renaissance Period (to 1558) (London: Seldon Society, 1985), p.60, no. 169.|Provenance: John Dewey (?); Hampton L. Carson, Philadelphia; given to the Free Library of Philadelphia in 1929; ""John Dewey"" written in pencil on fol. 155r in a late eighteenth century or early nineteenth century hand. Bookplate of the Philadelphia Free Library, gift of Hampton L. Carson pasted onto inside of front cover",Contributor: Diane Biunno|Cataloger: Erin Connelly|Funder: Council on Library and Information Resources,2023-12-03 20:08:22 -0500,2018-08-15,lc_14_21_TEI.xml
