ds_id,date_added,date_last_updated,source_type,cataloging_convention,holding_institution_ds_qid,holding_institution_as_recorded,holding_institution_id_number,holding_institution_shelfmark,link_to_holding_institution_record,iiif_manifest,production_place_as_recorded,production_place_ds_qid,production_date_as_recorded,production_date,century,century_aat,dated,title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_agr,standard_title_ds_qid,genre_as_recorded,genre_ds_qid,subject_as_recorded,subject_ds_qid,author_as_recorded,author_as_recorded_agr,author_ds_qid,artist_as_recorded,artist_as_recorded_agr,artist_ds_qid,scribe_as_recorded,scribe_as_recorded_agr,scribe_ds_qid,associated_agent_as_recorded,associated_agent_as_recorded_agr,associated_agent_ds_qid,former_owner_as_recorded,former_owner_as_recorded_agr,former_owner_ds_qid,language_as_recorded,language_ds_qid,material_as_recorded,material_ds_qid,physical_description,note,acknowledgments,data_processed_at,data_source_modified,source_file
DS197,,,ds-mets-xml,ds-mets,Q868,Grolier Club,MS 01,MS 01,https://archive.org/details/MS01_24,https://iiif.archive.org/iiif/images_MS01_24/manifest.json,France,Q122,s. XIII(2/4); 1225-1250,1225^1250,13,http://vocab.getty.edu/aat/300404505,false,Bible,"","","",Q661,"","","","","","","",Mathurin atelier,"",Q869,"","","","","","","Obtained before December 1881 by Hamilton Cole (Grolier member, 1884-89) ; his sale (New York, 7 April 1890 n. 31, pl.), bought by Edward Bement (Grolier member, 1884-1931) who bequeathed it to the Grolier Club in 1932.","",Q870;Q871,Latin,Q113,parchment,Q33,"Binding: Bound, 1881, in red crushed levant morocco by William Matthews (bookbinder in Brooklyn, NY and Grolier Club member, 1884-96) for Hamilton Cole; covers of both volumes tooled in gilt to the design by Le Gascon on a Plantin bible of the Marquis d'Adda.|Figurative details, ff. 1-303v; ff. 1-351v: 82 historiated initials (with two probably missing on the leaves that would have begun Exodus and Leviticus).|Layout, ff. 1-303v; ff. 1-351v: Gatherings apparently of 24 leaves (the psalter not on a separate quire); 2 columns of 46 lines.","Bibliography: De Ricci, p. 1289.|ff. 1-303v; ff. 1-351v: Latin.|ff. 1-303v; ff. 1-351v: In the usual order for thirteenth century French bibles, and with the usual texts (but adding the prayer of Solomon to the end of Ecclesiasticus, and the Nicene Creed to the end of the Psalms). The expected set of 64 prologues is expanded to 68.","",2024-11-04 11:09:32 -0500,2011-11-08T11:44:01,ds_50_24_00132460.xml
DS198,,,ds-mets-xml,ds-mets,Q868,Grolier Club,MS 02,MS 02,https://archive.org/details/MS02_24,"",Germany|Germany,Q131|Q131,s. XIII; 1200-1299|s. XV; 1400-1499,1200^1299|1400^1499,13|15,http://vocab.getty.edu/aat/300404505|http://vocab.getty.edu/aat/300404465,false,Missal|Missal,|,|,|,Q662|Q662,"","","","","","","","","","","","","","","","",Printed book given in 1840 to St. Peter's in Erfurt; George Bruce collection; given to the Grolier Club in July 1894 by David Wolfe Bruce.,"",Q872;Q873;Q874,Latin,Q113,parchment,Q33,"","Manuscript note: This manuscript no longer held by The Grolier Club.|Bibliography: De Ricci, p. 1289.|ff. 1-2: Front pastedown in S. Gregorius Magnus, Moralia in Job (Cologne: C. Winters, n.d); Hain n. 7927.|ff. 1-2: Latin.|ff. 3-4: Back pastedown in S. Gregorius Magnus, Moralia in Job (Cologne: C. Winters, n.d); Hain n. 7927.|ff. 3-4: Latin.","",2024-11-04 11:09:32 -0500,2011-11-08T12:05:51,ds_50_24_00132461.xml
DS199,,,ds-mets-xml,ds-mets,Q868,Grolier Club,MS 03,MS 03,https://archive.org/details/MS03_24,https://iiif.archive.org/iiif/images_MS03_24/manifest.json,England,Q133,s. XIV; 1300-1399,1300^1399,14,http://vocab.getty.edu/aat/300404506,false,Breviary,"","","",Q657,"","","","","","","","","","","","","","","","",Belonged ca. 1870 to John Milne Buckie.,"",Q875,Latin,Q113,parchment,Q33,"Binding: Bound in English brown calf, ca. 1700.","Bibliography: De Ricci, p. 1289.|ff. 1-461v: Latin.","",2024-11-04 11:09:32 -0500,2011-11-08T12:06:10,ds_50_24_00132462.xml
DS200,,,ds-mets-xml,ds-mets,Q868,Grolier Club,MS 04,MS 04,https://archive.org/details/MS04_24,https://iiif.archive.org/iiif/images_MS04_24/manifest.json,Flanders,Q126,s. XV; 1400-1499,1400^1499,15,http://vocab.getty.edu/aat/300404465,false,Breviary,"","","",Q657,"","","","","","","","","","","","","","","","","Herschel V. Jones collection, Minneapolis; his sale (New York, 23 January 1923, n. 124) to J. F. Drake; bequeathed to the Grolier Club by Beverly Chew.","",Q876;Q877;Q878,Latin,Q113,parchment,Q33,Binding: Cased in a later embossed silver binding.,"Bibliography: De Ricci, p. 1290.|ff. 1-187v: Latin.","",2024-11-04 11:09:32 -0500,2011-11-08T12:27:32,ds_50_24_00132463.xml
DS201,,,ds-mets-xml,ds-mets,Q868,Grolier Club,MS 05,MS 05,https://archive.org/details/MS05_24,"",Italy,Q134,s. XV(ex); 1485-1499,1485^1499,15,http://vocab.getty.edu/aat/300404465,false,Antiphonal,"","","",Q654,"","","","","","","","","","","","","","","","",Gift to the Grolier Club by Miss Ellen King.,"",Q879,Latin,Q113,parchment,Q33,Binding: Bound in original wooden boards covered with stamped leather and metal ornaments.,"Manuscript note: This manuscript no longer held by The Grolier Club.|Bibliography: De Ricci, p. 1290.|ff. 1-139v: Latin.","",2024-11-04 11:09:32 -0500,2011-11-08T12:37:54,ds_50_24_00132464.xml
DS202,,,ds-mets-xml,ds-mets,Q868,Grolier Club,MS 06,MS 06,https://archive.org/details/MS06_24,https://iiif.archive.org/iiif/images_MS06_24/manifest.json,Italy,Q134,s. XV(ex); 1485-1499,1485^1499,15,http://vocab.getty.edu/aat/300404465,false,Antiphonal,"","","",Q654,"","","","","","","","","","","","","","","","",Given to the Grolier Club in 1931 by Charles Bain Hoyt.,"",Q880,Latin,Q113,parchment,Q33,"Binding: Framed.|Music, f. 1r-v: Square black notation on 4-line red staves.","Bibliography: De Ricci, p. 1290.|f. 1r-v: Latin.|f. 1r-v: Contains antiphons for the second nocturn at matins for the feast of St. Louis of Toulouse (19 August).","",2024-11-04 11:09:32 -0500,2011-11-08T12:38:36,ds_50_24_00132465.xml
DS203,,,ds-mets-xml,ds-mets,Q868,Grolier Club,MS 07,MS 07,https://archive.org/details/MS07_24,https://iiif.archive.org/iiif/images_MS07_24/manifest.json,France,Q122,s. XV(med); 1440-1460,1440^1460,15,http://vocab.getty.edu/aat/300404465,false,"Book of hours, use of Paris","","","",Q795,"","","","","","","",Master of the Brotherhood of Ste. Catherine,"",Q881,"","","","","","","Traces of a library stamp on f. 1. Acquired from Robson and Kerslake (according to de Ricci) by Daniel B. Fearing of Newport, Rhode Island who gave it to the Grolier Club in 1908.","",Q882;Q883,Latin; French,Q113;Q111,parchment,Q33,"Binding: Bound in modern black morocco with gilt arabesque designs by Riviere and Son, 1889; spine gilt in 6 panels; edges gilt.|Figurative details, ff. 1-154v: 13 half-page miniatures in arched frames.|Script, ff. 1-154v: Gothic.|Layout, ff. 1-154v: 19 gatherings mainly of 8 leaves; 16 long lines (17 long lines in the calendar).","Bibliography: De Ricci, p. 1290.|ff. 1-154v: Artist of the Annunciation with some similarties to the Master of Thomas Hoo; secondary artist provisionally named as above from The Hague, Koninklijke Bibliotheek, MS 76 E 18; both artists in the tradition of the Boucicaut Master and the Bedford Master.|ff. 1-154v: Latin.|ff. 1-154v: Full calendar in French; gospel pericopes; Obsecro te & O intemerata (masc. forms); Hours of the BVM; Penitential psalms & litany; Short hours of the Cross and of the Holy Spirit; Office of the dead; prayers in French (Sonet 458, 504, 1876).","This description is based on the extensive work of Prof. James Marrow.|ff. 1-154v: We thank Prof. James Marrow for naming the artist, and for his collaboration with Francois Avril in identifying parallel manuscripts.",2024-11-04 11:09:32 -0500,2011-11-08T12:39:57,ds_50_24_00132466.xml
DS204,,,ds-mets-xml,ds-mets,Q868,Grolier Club,MS 08,MS 08,https://archive.org/details/MS08_24,"",France,Q122,s. XV; 1400-1499,1400^1499,15,http://vocab.getty.edu/aat/300404465,false,Book of hours,"","","",Q795,"","","","","","","","","","","","","","","","",George Bruce collection; given to the Grolier Club in July 1894 by David Wolfe Bruce.,"",Q873;Q874,Latin,Q113,parchment,Q33,"Binding: Bound in French calf, s. XVII.|Figurative details, ff. 1-160v: 7 miniatures.","Manuscript note: This manuscript no longer held by The Grolier Club.|Bibliography: De Ricci, p. 1290.|ff. 1-160v: Latin.","",2024-11-04 11:09:32 -0500,2011-11-08T01:01:58,ds_50_24_00132467.xml
DS205,,,ds-mets-xml,ds-mets,Q868,Grolier Club,MS 09,MS 09,https://archive.org/details/MS09_24,https://iiif.archive.org/iiif/images_MS09_24/manifest.json,France,Q122,s. XV(4/4); 1475-1499,1475^1499,15,http://vocab.getty.edu/aat/300404465,false,Book of hours,"","","",Q795,"","","","","","","","","","","","","","","","","The Earl of Hopetoun sale (London, 1889, n. 402) to Matthews. Given to the Grolier Club in 1905 by Daniel B. Fearing.","",Q884;Q883,Latin; French,Q113;Q111,parchment,Q33,"Binding: Original wooden boards and brown velvet, rebacked.|Figurative details, ff. 1-107v: 4 miniatures remain (at least 5 or possibly as many as 7 miniatures are cut away).|Script, ff. 1-107v: Gothic.|Layout, ff. 1-107v: 16 long lines.","Bibliography: De Ricci, p. 1290.|ff. 1-107v: Conservation, September 2005, by Mindy Dubansky.|ff. 1-107v: Latin.|ff. 1-107v: Calendar in French; Short Hours of the Cross and of the Holy Spirit; Suffrages; Hours of the Virgin; Penitential psalms and litany; Office of the Dead (3 lessons only, whose resp. are: Credo quod, Qui lazarum, Libera me domine de morte eterna).","",2024-11-04 11:09:32 -0500,2011-11-08T01:02:22,ds_50_24_00132468.xml
DS206,,,ds-mets-xml,ds-mets,Q868,Grolier Club,MS 10,MS 10,https://archive.org/details/MS10_24,https://iiif.archive.org/iiif/images_MS10_24/manifest.json,France,Q122,s. XVI(in); 1500-1515,1500^1515,16,http://vocab.getty.edu/aat/300404510,false,"Book of hours, use of Rouen","","","",Q795,"","","","","","","","","","","","","","","","","Arms of first owners: 1, azure a six-pointed star or between three crescents or; 2, gules a bend sable charged with three small cups (?) or. George Bruce collection; given to the Grolier Club in July 1894 by David Wolfe Bruce.","",Q873;Q874,Latin; French,Q113;Q111,parchment,Q33,"Binding: Modern red velvet.|Figurative details, ff. 1-71v: 15 miniatures; 22 smaller miniatures in the calendar.|Script, ff. 1-71v: Bâtarde.|Layout, ff. 1-71v: 2 columns of 28 lines.","Bibliography: De Ricci, p. 1290.|ff. 1-71v: Latin.|ff. 1-71v: Calendar in French; gospel pericopes; Obsecro te & O Intemerata (masc. forms), other prayers; Short Hours of the Holy Spirit (misbound); Hours of the Virgin; Short Hours of the Cross; Penitential psalms; Office of the Dead; prayers and suffrages.","",2024-11-04 11:09:32 -0500,2011-11-08T01:15:37,ds_50_24_00132469.xml
