ds_id,date_added,date_last_updated,source_type,cataloging_convention,holding_institution_ds_qid,holding_institution_as_recorded,holding_institution_id_number,holding_institution_shelfmark,link_to_holding_institution_record,iiif_manifest,production_place_as_recorded,production_place_ds_qid,production_date_as_recorded,production_date,century,century_aat,dated,title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_agr,standard_title_ds_qid,genre_as_recorded,genre_ds_qid,subject_as_recorded,subject_ds_qid,author_as_recorded,author_as_recorded_agr,author_ds_qid,artist_as_recorded,artist_as_recorded_agr,artist_ds_qid,scribe_as_recorded,scribe_as_recorded_agr,scribe_ds_qid,associated_agent_as_recorded,associated_agent_as_recorded_agr,associated_agent_ds_qid,former_owner_as_recorded,former_owner_as_recorded_agr,former_owner_ds_qid,language_as_recorded,language_ds_qid,material_as_recorded,material_ds_qid,physical_description,note,acknowledgments,data_processed_at,data_source_modified,source_file
DS325,,,ds-mets-xml,ds-mets,Q1487,General Theological Seminary,01 Western,01 Western,https://archive.org/details/01Western_23,https://iiif.archive.org/iiif/images_01Western_23/manifest.json,Germany,Q131,s. XIII; 1200-1299,1200^1299,13,http://vocab.getty.edu/aat/300404505,false,De tribus diebus|Incipit liber magistri hugonis de operibus trium dierum,|,|,|,Q1398|Q1398,"","","","",Hugh of St. Victor,"",Q1511,"","","","","","","","","","Sir Thomas Phillipps, his MS 9391.","",Q385,Latin,Q113,parchment,Q33,"Binding: Modern blue buckram.|Other decoration, ff. 1-19v: Simple blue and red initials.|Number of scribes, ff. 1-19v: 1.","Manuscript note: The fly leaves are paper rather than parchment and a watermark is visible on the back fly leaf. The front fly leaf has numerous ownership marks; f. 20 has pen trials which include the date 1452; and f.21 has more pen trials which include musical notation.|ff. 1-19v: Latin.|ff. 1-21v: On ff. 17-19v, alphabetical subject index (but with no references to the text) beginning with letter A and ending at letter N; ff. 20-21v blank except for pentrials.|Incipit, ff. 1-21v: octavus pertinet ad resurrectionem.|Explicit, ff. 1-21v: Invisibilia dei a creatura mundi per ea que facta sunt intellecta conspiciuntur.",We thank Hannah Barker for her description of this manuscript.,2024-10-16 10:17:23 -0400,2018-05-07T12:25:56,ds_50_23_00148759.xml
DS313,,,ds-mets-xml,ds-mets,Q1487,General Theological Seminary,02 Western,02 Western,https://archive.org/details/02Western_23,https://iiif.archive.org/iiif/images_02Western_23/manifest.json,Mexico,Q1312,1645; s. XVII(med); 1640-1660,1640^1660,17,http://vocab.getty.edu/aat/300404511,true,Gradual and Antiphonary,"","","",Q1121;Q654,"","","","","","","","","","","","","","","","","","","",Latin,Q113,paper,Q31,"Binding: Limp vellum with 4 stitches visible on the outside. Pastedowns: printed material in Spanish and Latin. Flyeaves: thin white paper with fleur-de-lis watermarks.|Other decoration, ff. 1-18v: On f. 1v: painted gold initial on red background, with gold foliage. Strapwork on capital letters throughout.|Number of scribes, ff. 1-18v: 1.|Script, ff. 1-18v: Gothic.|Music, ff. 1-18v: Red 5 line staves with square black notes.|Layout, ff. 1-18v: 5 lines of text and music.|Watermarks, ff. 1-18v: None on manuscript itself (fleur-de-lis watermark on flyleaves).","Bibliography: Manuel Ramos Medina. Imagen de Santidad en un Mundo Profano Mexcio, DF: Universidad Iberoamericana, 1990, p. 91, discussing the high regard the viceroys of Mexico held for the prioress, Bernarda de San Juan, under whose direction this book was made.|ff. 1-18v: Manuscript dated 1645 on f. 1r. Folio 16 is a printed page, 300 x 215mm, containing a mass for St. Joseph: ""Romae, Ex Typographia Reverendae Camerae Apost. M. DC. LXXX [on the following line:] Superiorum Permissu, Mexici, apud Ioannem de Ribera. Anno 1681.""|ff. 1-18v: Latin.|ff. 1r-15v, f. 16r-v (printed), f. 17 r-v: Feasts included: St. Elijah the Leader and Our Father, St. Teresa the Virgin (of Avila), and St. Joseph the Confessor.",We thank Elizabeth Mayer for her description of this manuscript.,2024-10-16 10:17:23 -0400,2018-05-07T12:19:42,ds_50_23_00148747.xml
DS328,,,ds-mets-xml,ds-mets,Q1487,General Theological Seminary,03 Western,03 Western,https://archive.org/details/03Western_23,https://iiif.archive.org/iiif/images_03Western_23/manifest.json,Germany,Q131,s. XV; 1400-1499,1400^1499,15,http://vocab.getty.edu/aat/300404465,false,Epistles,"","","",Q1466,"","","","",Jerome,"",Q898,"","","","","","","","","","Leander van Ess; Sir Thomas Phillipps, his n. 589 (from ""591"" as first inscribed on the pastedown). On f. i, bookseller slip of the firm of Bull and Auvache, 34 & 35 Hart Street, Bloomsbury, W. C., London, Cat. 358 (October 1911).","",Q1514,Latin,Q113,paper,Q31,"Binding: Half bound in calf over pasteboard with the author and title written in ink on the fore edge.|Script, ff. 1-180v: Cursive.|Layout, ff. 1-180v: 2 columns of 54 lines; ruling very difficult to see, but at least the frame is in some form of drypoint (see f. i).","ff. 1-180v: Contemporary foliation in arabic numerals in the center of the upper recto margin.|ff. 1-180v: Latin.|ff. i + 1-180v: On f. i, ""Incipiunt capitula in epistolari beati Iheronimi prespiteri"" with chapter list on f. 1r-v. On ff. 1v-2, the first letter is that of Pope Damasus to Jerome, ""Dormientem te et longo iam tempore legentem potius quam scribentem questiunculis ad te missis excitare disposui . . ."" The final leaves, ff. 177v-180v, in a more cursive and cramped script but with the same (?) red rubrics and initials.|Incipit, ff. i + 1-180v: et animos semper malum conscientie formidantes, cereos accendisse sit gratum.|Explicit, ff. i + 1-180v: Postquam epistolam tue sanctitatis accepi confestim accito notario.",We thank Mary Katherine Hurley for her description of this manuscript.,2024-10-16 10:17:23 -0400,2018-05-07T12:26:37,ds_50_23_00148762.xml
DS314,,,ds-mets-xml,ds-mets,Q1487,General Theological Seminary,04.A Western Documents,04.A Western Documents,,"","Italy, Latium",Q134;Q1285,"1734, April 12; s. XVIII(2/4); 1725-1750",1725^1750,18,http://vocab.getty.edu/aat/300404512,true,Appointment,"","","",Q8180,"","","","","","","","","","","","","","","","","","","",Latin,Q113,parchment,Q33,"Other decoration, 1 item: Elegant scrolling vegetation in pen and ink forms letters in the top margin, and there are a few pen flourishes.|Number of scribes, 1 item: 1.|Layout, 1 item: The parchment is pricked on both sides and dry-point ruled.","Manuscript note: The style is similar to 4.D Western Documents and 4.E Western Documents.|1 item: Dated at Santa Maria Maggiore, April 12, 1734, the fourth year of Clement XII's papacy. Clement XII's seal is attached with a white cord. The obverse depicts Sts. Peter and Paul with a cross and the reverse gives the pope's name: ""Clemens XII Papa"".|1 item: Latin.|Explicit, 1 item: Pope Clement XII appoints Iacobo, Cardinal Deacon de Lanfredinis, to head Santa Maria in Portico in both spiritual and temporal matters.",We thank Hannah Barker for her description of this manuscript.,2024-10-16 10:17:23 -0400,2018-05-07T12:34:04,ds_50_23_00148748.xml
DS319,,,ds-mets-xml,ds-mets,Q1487,General Theological Seminary,04.B Western Documents,04.B Western Documents,,"","Italy, Piedmont",Q134;Q1287,"1551, May 6; s. XVI(3/4); 1550-1575",1550^1575,16,http://vocab.getty.edu/aat/300404510,true,Designation of factor,"","","",Q39645,"","","","","","","","","","",Franciscus Coscolla,"",Q1495,"","","","","","",Latin; Italian,Q113;Q116,parchment,Q33,"Other decoration, 1 item: One simple pen and ink initial letter I.|Number of scribes, 1 item: 1.","1 item: This document was written by a notary, Franciscus Coscolla. His notarial sign appears at the foot of the document along with the signatures of three other people. The document is sealed on the support and the seal is covered with paper.|1 item: Latin.|1 item: The main text of this document was written in Latin by the notary Franciscus Coscolla and his notarial sign appears at the bottom of it. The main text is dated May 6, 1551, and includes the names of two witnesses, Melchiore Mazenta and Lazaro de Yarze, merchants of Valenza. Below the main text appear the signatures of three people (presumably ""the undersigned"" mentioned in the docket), all dated in June and all written in Italian. The first name is Girolamo Sanson, the second is Giovan Antonio but his family name is heavily abbreviated, and the third is illegible.|Explicit, 1 item: Laurentius de Bartholis makes the undersigned his factor in Florence.",We thank Hannah Barker for her description of this manuscript.,2024-10-16 10:17:23 -0400,2018-05-07T12:34:11,ds_50_23_00148753.xml
DS311,,,ds-mets-xml,ds-mets,Q1487,General Theological Seminary,04.C Western Documents,04.C Western Documents,,"","Italy, Latium",Q134;Q1285,"1735, December 5; s. XVIII(2/4); 1725-1750",1725^1750,18,http://vocab.getty.edu/aat/300404512,true,Clemens PP. XII.|Concession of nobility,|,|,|,Q18429|Q39263,"","","","","","","","","","","","","","","","","","","",Latin,Q113,parchment,Q33,"Other decoration, 1 item: 2.|Script, 1 item: Humanistic Cursive.","Manuscript note: Parchment is damaged along folds.|1 item: 1 large capital, pen and ink. Rubric says ""Clemens Pp. XII"". There is a note in the lower lefthand corner by a second scribe, signed Felix and stamped, summarizing the content of the document and linking it to the papal register, folio 262. Dating clause locates it at Santa Maria Maggiore in Rome.|1 item: Latin.|1 item: This document was issued ""sub annulo piscatorio"" but there is no sign of a seal ever having been attached. It is signed by Cardinal Oliverius. It is a renewal of an older privilege. The recipient does not appear to be named in the document, but his name appears on the reverse side of the document in the hand of the scribe who wrote the document. Christophorus de Almeida was bishop of Perga in Pamphylia Secunda (in present-day Turkey) from 1735 until his death in 1760. See Hierarchia Catholica medii et recentioris aevi vol. 6 (Padua 1958) p. 333 fn. 2 for biographical information.|Explicit, 1 item: Circumspecta Romani Pontificis gratiarum dispensatoris providentia eas consuevit personas precipue favoribus et gratiis prosequi.|Explicit, 1 item: Pope Clement XII concedes jurisdiction and revenues up to 1000 gold ducats from a set of benefices and churches to Christophoro de Almeida, bishop of Perga.","We thank Per Stobaeus for kindly identifying the bishop, recipient of the papal bull; the description was prepared by Hannah Barker.",2024-10-16 10:17:23 -0400,2018-05-07T12:34:02,ds_50_23_00148745.xml
DS318,,,ds-mets-xml,ds-mets,Q1487,General Theological Seminary,04.D Western Documents,04.D Western Documents,,"","Italy, Latium",Q134;Q1285,"1730, October 11; s. XVIII(2/4); 1725-1750",1725^1750,18,http://vocab.getty.edu/aat/300404512,true,Gift of a prebend,"","","",Q18511,"","","","","","","","","","","","","","","","","","","",Latin,Q113,parchment,Q33,"Other decoration, 1 item: Rough, sketchy scrolling vegetation in pen and ink forms letters in the top margin. A guide letter is visible at the base of each decorative letter. 4.A Western Documents and 4.E Western Documents offer more elegant versions of the same decoration.|Number of scribes, 1 item: 1.|Layout, 1 item: The parchment is pricked on both sides and dry-point ruled.","Manuscript note: The style is similar to 4.A Western Documents and 4.E Western Documents.|1 item: Dated October 11, 1730, at Santa Maria Maggiore, in the first year of Clement XII's papacy. Holes in the parchment at the bottom of the document suggest that a seal was once attached. Symbols (possibly finding aides) such as #, O and S appear as marginal notes on the right-hand side of the text.|1 item: Latin.|1 item: Numerous witness signatures appear in the lower margin, including the signature of Cardinal Pierluigi Carafa.|Explicit, 1 item: Pope Clement XII gives to Magister Iacobo Amadori, formerly de Lanfredinis, a prebend from St. Peter's Basilica.",We thank Hannah Barker for her description of this manuscript.,2024-10-16 10:17:23 -0400,2018-05-07T12:34:09,ds_50_23_00148752.xml
DS315,,,ds-mets-xml,ds-mets,Q1487,General Theological Seminary,04.E Western Documents,04.E Western Documents,,"","Italy, Latium",Q134;Q1285,"1735, April 15; s. XVIII(2/4); 1725-1750",1725^1750,18,http://vocab.getty.edu/aat/300404512,true,Gift,"","","",Q18511,"","","","","","","","","","","","","","","","","","","",Latin,Q113,parchment,Q33,"Other decoration, 1 item: Elegant scrolling vegetation in pen and ink forms letters in the top margin.|Number of scribes, 1 item: 1.|Layout, 1 item: The parchment is pricked on both sides and dry-point ruled.","Manuscript note: The style is similar to 4.A Western Documents and 4.D Western Documents. The ink is wearing away in some areas.|1 item: Dated April 15, 1735, at Santa Maria Maggiore, in the fifth year of Clement XII's papacy. Holes in the parchment at the bottom of the document suggest that a seal was once attached. Signed by Caveorus (first name illegible).|1 item: Latin.|Explicit, 1 item: Pope Clement XII gives the Benedictine monastery of San Vittore de Arciano to Iacobo, Cardinal Deacon de Lanfredinis.",We thank Hannah Barker for her description of this manuscript.,2024-10-16 10:17:23 -0400,2018-05-07T12:34:07,ds_50_23_00148749.xml
DS324,,,ds-mets-xml,ds-mets,Q1487,General Theological Seminary,04.F Western Documents,04.F Western Documents,,"","Italy, Tuscany",Q134;Q860,"1540, July 12; s. XVI(2/4); 1525-1550",1525^1550,16,http://vocab.getty.edu/aat/300404510,true,Designation of procurator,"","","",Q39645,"","","","","","","","","","","","","","","","","","","",Latin; Italian,Q113;Q116,parchment,Q33,"Other decoration, ff. 1-4v: There is a personal or notarial sign in the margin of f. 3v. It is a small cross on top of a large cross with the initials I.A. circled at the foot.|Number of scribes, ff. 1-4v: 1.","ff. 1-4v: The pages are block ruled. It is sealed on the support of f. 3v and the seal is covered with a layer of paper. ff.4-4v are blank except for the call number and the phrase ""Bartoli, Procure e altro."" The notarial comment at the end of the document gives the date as 1540, July 12, but the first two lines of the document give the date as 1540, July 9.|ff. 1-4v: Latin.|ff. 1-3v: The text of the document is in Latin. There are four notes at the end of the document, each in a different hand and all in Italian. The first was written by a notary, Leonardus Fredhis, of Florence. The second name is not easily legible, the third is Matteo Bolti, and the fourth is Cosimo Capponi.|Explicit, ff. 1-3v: A group of men associated with the parish? of Sancto Stefano in Florence designate the undersigned as their procuratores.",We thank Hannah Barker for her description of this manuscript.,2024-10-16 10:17:23 -0400,2018-05-07T12:34:12,ds_50_23_00148758.xml
DS329,,,ds-mets-xml,ds-mets,Q1487,General Theological Seminary,05 Western,05 Western,https://archive.org/details/05Western_23,https://iiif.archive.org/iiif/images_05Western_23/manifest.json,Germany|Germany,Q131|Q131,s. XV(2); 1450-1499|s. XIV?; 1300-1399,1450^1499|1300^1399,15|14,http://vocab.getty.edu/aat/300404465|http://vocab.getty.edu/aat/300404506,false,Incipit exposicio regule beati Augustini episcopi secundum fratrem humbertum Magistrum ordinis predicatorum|Rule|Breviary,||,||,||,Q5976|Q1432|Q657,"","","","",Augustine,"",Q1515,"","","","","","","Humbert of Romans, commentator","",Q1517,"Belonged to the Benedictine house of St. Mary's in Huysburg, in Saxony. Not listed for this monastery by Sigrid Krämer, Handschriftenerbe des deutschen Mittelalters(Munich 1990), vol. 1 pp. 369-370.","",Q1516,Latin,Q113,paper|parchment,Q31|Q33,"Binding: Brown leather over wooden boards; two fore edge clasps closing to the front; boards detached.|Script, ff. 1-177v: Cursive.|Layout, ff. 1-177v: Long lines with vertical rules in ink, full length.|Script, Front endpapers: Gothic.|Layout, Front endpapers: 2 column text, with script in two sizes.","ff. 1-177v: Latin.|Front endpapers: The leaf is very worn, was probably scraped in the process of utilizing it as front pastedown and front flyleaf; now laid sideways in this volume, and cropped probably on the leaf's top and bottom, but possibly not on its sides.|Front endpapers: Latin.|ff. 1-1172v: on ff. 173-177, an alphabetical subject index with reference to the contemporary foliation in this manuscript; f. 177v, blank.|Explicit, ff. 1-1172v: Cogitanti michi de sermone qui exiit inter fratres . . . Viris religiosis non modicum expedit . . . Inter multas et varias regulas sub quibus religiosi diversi militant.|Front endpapers: Because the leaf has been washed or scraped, its text is somewhat difficult to determine, but it seems to be a breviary.",We thank Mary Katherine Hurley for her description of this manuscript.,2024-10-16 10:17:23 -0400,2018-05-07T12:26:57,ds_50_23_00148763.xml
