ds_id,date_added,date_last_updated,source_type,holding_institution,holding_institution_as_recorded,holding_institution_id_number,link_to_holding_institution_record,iiif_manifest,production_place_as_recorded,production_place,production_date_as_recorded,production_date,century,century_aat,dated,uniform_title,uniform_title_as_recorded,uniform_title_agr,title_as_recorded_245,title_as_recorded_245_agr,genre_as_recorded,genre_as_recorded_lcsh,genre_as_recorded_aat,genre_as_recorded_rbprov,genre,named_subject_as_recorded,subject_as_recorded,subject,author_as_recorded,author_as_recorded_agr,author,artist_as_recorded,artist_as_recorded_agr,artist,scribe_as_recorded,scribe_as_recorded_agr,scribe,language_as_recorded,language,former_owner_as_recorded,former_owner_as_recorded_agr,former_owner,material,material_placeholder,physical_description,acknowledgements,data_processed_at,data_source_modified,source_file
,,,digital-scriptorium,Q1501676,General Theological Seminary,10 Western,"",,Flanders,"","s. XV(2/4), 1425-1450",1425^1450,15,http://vocab.getty.edu/aat/300404465,false,,"","","Book of Hours, use of Rome","","",,,,,,"",,"","",,"","",,"","",,"","","Written in Flanders in the second quarter of the fifteenth century. A clipping accompanying the book from the GTS(?) Bulletin June 1968 says that Dr. John Plummer of the Pierpont Morgan Library identified the book as being from the School of the Master of the Golden Scrolls, active in Belgium, probably Bruges in the decade 1420-30, and suggests the addition of Saint Rupert in the calendar connects the book to Salzburg. Purchased by General Theological Seminary in 1968. Inhouse call number: LIT 1200 1420-1430.","",,"",parchment,Extent: ff. 1-70; 208 x 143 mm.,We thank Gania Barlow for her description of this manuscript.,2022-04-04T09:34:50-04:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/gts/mets/ds_50_23_00148743.xml
,,,digital-scriptorium,Q1501676,General Theological Seminary,11 Western,"",,France,"","s. XV(3/4), 1450-1475",1450^1475,15,http://vocab.getty.edu/aat/300404465,false,,"","","Book of Hours, Sarum use","","",,,,,,"",,"","",,"","",,"","",,"","","Written in the third quarter of the fifteenth century in France for use in England. Apparently in the hands of English Protestants at some point in the s. XVI(2) (see notes on calendar). Obtained by General Theological Seminary from P.M. Barnard, as reported by De Ricci.","",,"",parchment,Extent: ff. 1-198v; 98 x 70 mm.,We thank Gania Barlow for her description of this manuscript.,2022-04-04T09:34:50-04:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/gts/mets/ds_50_23_00148744.xml
,,,digital-scriptorium,Q1501676,General Theological Seminary,04.C Western Documents,"",,"Italy, Latium","","s. XVIII(2/4), 1725-1750",1725^1750,18,http://vocab.getty.edu/aat/300404512,true,,"","",Clemens PP. XII.|Concession of nobility,"","",,,,,,"",,"","",,"","",,"","",,"","","","",,"",parchment,Extent: 1 item; 663 x 877 mm.,"We thank Per Stobaeus for kindly identifying the bishop, recipient of the papal bull; the description was prepared by Hannah Barker.",2022-04-04T09:34:50-04:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/gts/mets/ds_50_23_00148745.xml
,,,digital-scriptorium,Q1501676,General Theological Seminary,12 Western,"",,Flanders,"","s. XV(3/4), 1450-1475",1450^1475,15,http://vocab.getty.edu/aat/300404465,false,,"","","Book of Hours, Sarum use","","",,,,,,"",,"","",,"","",,"","",,"","","Written in Flanders in the third quarter of the fifteenth century for use in England. Early ownership by the family whose coat of arms appears on f. 23v, possibly the Barons Lovell as reported by the HMC and De Ricci; owned later by the Bowntyene family, possibly specifically Johane Bowntyene in the early sixteenth century, as reported by De Ricci; owned later (at least 1540-1568) by Anthony Bustard of Adderbury, near Oxford; the HMC report of 1885 records it among the manuscripts of Captain Josceline F. Bagot of Levens Hall; source and date of acquisition by General Theological Seminary unknown.","",,"",parchment,Extent: ff. 1-213v; 225 x 160 mm.,We thank Gania Barlow for her description of this manuscript.,2022-04-04T09:34:50-04:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/gts/mets/ds_50_23_00148746.xml
,,,digital-scriptorium,Q1501676,General Theological Seminary,02 Western,"",,Mexico,"","s. XVII(med), 1640-1660",1640^1660,17,http://vocab.getty.edu/aat/300404511,true,,"","",Gradual and Antiphonary,"","",,,,,,"",,"","",,"","",,"","",,"","","","",,"",paper,Extent: ff. 1-18v; 390 x 275 mm.,We thank Elizabeth Mayer for her description of this manuscript.,2022-04-04T09:34:50-04:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/gts/mets/ds_50_23_00148747.xml
,,,digital-scriptorium,Q1501676,General Theological Seminary,04.A Western Documents,"",,"Italy, Latium","","s. XVIII(2/4), 1725-1750",1725^1750,18,http://vocab.getty.edu/aat/300404512,true,,"","",Appointment,"","",,,,,,"",,"","",,"","",,"","",,"","","","",,"",parchment,Extent: 1 item; 414 x 705 mm.,We thank Hannah Barker for her description of this manuscript.,2022-04-04T09:34:50-04:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/gts/mets/ds_50_23_00148748.xml
,,,digital-scriptorium,Q1501676,General Theological Seminary,04.E Western Documents,"",,"Italy, Latium","","s. XVIII(2/4), 1725-1750",1725^1750,18,http://vocab.getty.edu/aat/300404512,true,,"","",Gift,"","",,,,,,"",,"","",,"","",,"","",,"","","","",,"",parchment,Extent: 1 item; 586 x 763 mm.,We thank Hannah Barker for her description of this manuscript.,2022-04-04T09:34:50-04:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/gts/mets/ds_50_23_00148749.xml
,,,digital-scriptorium,Q1501676,General Theological Seminary,17 Western,"",,Spain,"","s. XVI, 1500-1599",1500^1599,16,http://vocab.getty.edu/aat/300404510,false,,"","",Processional,"","",,,,,,"",,"","",,"","",,"","",,"","",Written in Spain in the sixteenth century. A typed description of unknown origin attached to front pastedown suggests that the manuscript was written by an Italian scribe about 1500.,"",,"",parchment,Extent: ff. 1-63v; 190 x 135 mm.,We thank Gania Barlow for her description of this manuscript.,2022-04-04T09:34:50-04:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/gts/mets/ds_50_23_00148750.xml
,,,digital-scriptorium,Q1501676,General Theological Seminary,15 Western,"",,Italy,"","s. XV(in), 1400-1415",1400^1415,15,http://vocab.getty.edu/aat/300404465,true,,"","",De diversis prologis martilogii per quos patet quantam diligentiam sancti et antiqui ad conpilationem huius opusculi habeant.|Prefaces to martyrologies|Kalendis Ianuarii luna prout quota erit require literam|Martyrology,"","",,,,,,"",,"","",,"","",,"","",,"","","","",,"",parchment,Extent: ff. 1v-98r; 310 x 220 mm.,We thank Elizabeth Mayer for her description of this manuscript.,2022-04-04T09:34:50-04:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/gts/mets/ds_50_23_00148751.xml
,,,digital-scriptorium,Q1501676,General Theological Seminary,04.D Western Documents,"",,"Italy, Latium","","s. XVIII(2/4), 1725-1750",1725^1750,18,http://vocab.getty.edu/aat/300404512,true,,"","",Gift of a prebend,"","",,,,,,"",,"","",,"","",,"","",,"","","","",,"",parchment,Extent: 1 item; 444 x 573 mm.,We thank Hannah Barker for her description of this manuscript.,2022-04-04T09:34:50-04:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/gts/mets/ds_50_23_00148752.xml
