ds_id,date_added,date_last_updated,source_type,cataloging_convention,holding_institution_ds_qid,holding_institution_as_recorded,holding_institution_id_number,holding_institution_shelfmark,link_to_holding_institution_record,iiif_manifest,production_place_as_recorded,production_place_ds_qid,production_date_as_recorded,production_date,century,century_aat,dated,title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_agr,standard_title_ds_qid,genre_as_recorded,genre_ds_qid,subject_as_recorded,subject_ds_qid,author_as_recorded,author_as_recorded_agr,author_ds_qid,artist_as_recorded,artist_as_recorded_agr,artist_ds_qid,scribe_as_recorded,scribe_as_recorded_agr,scribe_ds_qid,associated_agent_as_recorded,associated_agent_as_recorded_agr,associated_agent_ds_qid,former_owner_as_recorded,former_owner_as_recorded_agr,former_owner_ds_qid,language_as_recorded,language_ds_qid,material_as_recorded,material_ds_qid,physical_description,note,acknowledgments,data_processed_at,data_source_modified,source_file
,"","",marc-xml,"",Q42438,Harvard University,990115033310203941,MS Arab SM4215,https://id.lib.harvard.edu/alma/990115033310203941/catalog,"","","",1493.,1493,15,http://vocab.getty.edu/aat/300404465,true,Lawāmiʻ al-asrār fī sharḥ Maṭāliʻ al-anwār,لوامع الاسرار في شرح مطال الانوار,Lawāmiʻ al-asrār fī sharḥ Maṭāliʻ al-anwār,لوامع الاسرار في شرح مطال الانوار,Q39530,Early works,Q300,"Urmawī, Sirāj al-Dīn Maḥmūd ibn Abī Bakr, 1198-1283. Maṭāliʻ al-anwār|Logic--Early works to 1800|Islamic philosophy--Early works to 1800|Islamic philosophy|Logic",|Q308;Q300|Q3016;Q300|Q3016|Q308,"Quṭb al-Taḥtānī, Muḥammad ibn Muḥammad, 1294 or 1295-1364 or 1365",قطب التحتاني، محمد بن محمد، 1294 ر 1295-1364 ر 1365,Q41551,"","","","","","","","","","","","",In Arabic,Q118,"","",Extent: 1 volume ; 24 cm,"Copy completed in the hand of Aḥmad ibn Muḥammad ibn Aḥmad ibn al-Ḥājj Muḥammad al-Abzarī al-ʻAbbāsī al-Qurashī on 13 Rajab 898 [April 30, 1493].","",2024-07-24 12:14:26 -0400,20210728,20240122-harvard-marcxml.xml
,"","",marc-xml,appm,Q42438,Harvard University,990097625920203941,MS Typ 215,https://id.lib.harvard.edu/alma/990097625920203941/catalog,https://iiif.lib.harvard.edu/manifests/drs:434619375|https://iiif.lib.harvard.edu/manifests/ids:44066613|https://iiif.lib.harvard.edu/manifests/ids:44066614|https://iiif.lib.harvard.edu/manifests/ids:14928136|https://iiif.lib.harvard.edu/manifests/ids:44066615|https://iiif.lib.harvard.edu/manifests/ids:44066616|https://iiif.lib.harvard.edu/manifests/ids:44066617|https://iiif.lib.harvard.edu/manifests/ids:44066618|https://iiif.lib.harvard.edu/manifests/ids:14928137|https://iiif.lib.harvard.edu/manifests/ids:44066612|https://iiif.lib.harvard.edu/manifests/ids:422823064|https://iiif.lib.harvard.edu/manifests/ids:422823068|https://iiif.lib.harvard.edu/manifests/ids:422823072|https://iiif.lib.harvard.edu/manifests/ids:422823076,"","",ca. 1000,1000,11,http://vocab.getty.edu/aat/300404503,false,The four gospels in Greek,"",Bible,"",Q661;Q6034,"Manuscripts, Medieval--Turkey--950-1000|Manuscripts, Medieval--Turkey--1000-1050|Illumination--Turkey--12th century",Q325;Q4294|Q325;Q4294|Q225;Q4294;Q304,"","","","","","","","","","","","","","","","","",grc,Q3103,vellum,Q33,"Extent: 250 leaves, bound : vellum ; 28 cm. +","Written in a medium-sized upright calligraphic minuscule, an early ""Perlschrift"".|There are 5 ornamental canon tables (others are missing), 4 headpieces with floral ornaments, 4 ornamented initials, and minor initials in gold on magenta ink.|Miniatures of the four evangelists (datable to the second half of the 12th century: see Vikan) were tipped into the ms. in ca. the 13th century, replacing sketches in brown ink facing the opening page of each gospel. The miniatures of Matthew and Mark are now shelved separately. That of John is now at Dumbarton Oaks, accession no. 58.105. That of Luke is missing.|Bound in modern white doeskin over thick boards, with 2 leather catches, now broken.|In 2 tray cases labelled ""v. 1"" for the ms. and ""v. 2"" for the 2 miniatures (foldered within the case); both 30 cm.|According to a subscription on f. 250r, the ms. was donated to the monastery of the Eleousa, or Nea Mone, by Konstantinos Angelos. The emperor Theodore Komnenos Laskaris is mentioned as having died, hence after 1222.","",2024-07-24 12:14:26 -0400,20210728,20240122-harvard-marcxml.xml
,"","",marc-xml,"",Q42438,Harvard University,990076227540203941,MS Syriac 36,https://id.lib.harvard.edu/alma/990076227540203941/catalog,https://iiif.lib.harvard.edu/manifests/drs:44443010,"","",15--?,1500^1699,16;17,http://vocab.getty.edu/aat/300404510;http://vocab.getty.edu/aat/300404511,false,Religious stories,"","","",Q5037,"Hymns, Syriac",Q18318,"Barsauma, -458","","","","","","","","","","","","","","","","",syr,Q12713,"","",Extent: 1 v. (117 leaves) ; 22 cm.,"Page area 21 x 15 cm.; written area 16 x 10 cm.|Bookplate of former owner J. Rendel Harris with his number (24). Purchased by the Harvard Semitic Museum in 1905 (accession no. 3962).|Deposited by the Harvard Semitic Museum, ca. 1959.","",2024-07-24 12:14:26 -0400,20210728,20240122-harvard-marcxml.xml
,"","",marc-xml,"",Q42438,Harvard University,990055534150203941,MS Syriac 38,https://id.lib.harvard.edu/alma/990055534150203941/catalog,https://iiif.lib.harvard.edu/manifests/drs:44443012,"","",14--?].,1300^1500,14;15,http://vocab.getty.edu/aat/300404506;http://vocab.getty.edu/aat/300404465,false,Religious stories,"","","",Q5037,"Bindings, Syriac","",Christian saints--Biography,Q3064,"","","","","","","","","","","","","","","",In Syriac,Q12713,paper,Q31,"Extent: 82 leaves, bound : paper ; 18 cm.","Oriental binding in full leather, the spine renewed by a western binder.|Originally in quires of 10 leaves signed 1-9, but leaves are wanting before f. 1 and after ff. 1, 5, 13, 22, 33, 41, 80. Ff. 14, 23, 24, 34, 35, 42, 43, 81, 82 are blank leaves supplied by the binder.|Page size 18 x 13 cm; text area 14 x 9 cm.|With this is bound Stories of saints, [1448 or 1449].|Written in a clear bold serto hand, 13-16 lines per page, in black with rubrications.|Bookplate of former owner J. Rendel Harris with his number (26). Purchased by the Harvard Semitic Museum, 1905 (accession no. 3964).|Deposited by the Harvard Semitic Museum, ca. 1959.","",2024-07-24 12:14:26 -0400,20210728,20240122-harvard-marcxml.xml
,"","",marc-xml,dacs,Q42438,Harvard University,990150686410203941,MS Arab 45,https://id.lib.harvard.edu/alma/990150686410203941/catalog,https://iiif.lib.harvard.edu/manifests/ids:437859627|https://iiif.lib.harvard.edu/manifests/ids:437859631,"","",circa 11th century.,1000^1099,11,http://vocab.getty.edu/aat/300404503,false,Leaf from the Koran,"",Qurʼan,"",Q3697,"Manuscripts, Medieval--1000-1050|Manuscripts, Medieval--1050-1100",Q325|Q325,"","","","","","","","","","","","","","","","","",In Arabic,Q118,"","",Extent: 1 leaf (.04 linear feet) ; 21 cm,Written in Kufic script black ink with red diacritics in the 5th century of the Hejiri era (circa 11th century CE).|Torn in one corner.|See curatorial file for more information.,"",2024-07-24 12:14:26 -0400,20210728,20240122-harvard-marcxml.xml
,"","",marc-xml,dacs,Q42438,Harvard University,990150462220203941,MS Lat 446.1,https://id.lib.harvard.edu/alma/990150462220203941/catalog,https://iiif.lib.harvard.edu/manifests/ids:437859635|https://iiif.lib.harvard.edu/manifests/ids:437859639,"","",circa 1300.,1299^1300,13,http://vocab.getty.edu/aat/300404505,false,Leaf from Ghistelles book of hours,"","","",Q795,"Books of hours|Manuscripts, Medieval--Belgium--1250-1300",Q3618|Q325;Q16301,Devotional literature,Q2950,Catholic Church,"",Q425,"","","","","","","","","","","","",In Latin,Q113,vellum,Q33,"Extent: 1 leaf, unbound (.04 linear feet) : vellum ; 119 x 83 mm","Written in brown ink in a gothic book hand with rubrics and decorative pen work in red, blue, and gold. Also with seven one-line initials, three in blue with decorative pen work in red, and four in gold. Written in Southwest Flanders, circa 1299-1300.|Probably forms a part of a whole that would include MS Lat 446, Houghon Library.|In a protective case.|Purchased with th Sara Norton Bequest, 2017.","",2024-07-24 12:14:26 -0400,20210728,20240122-harvard-marcxml.xml
,"","",marc-xml,dacs,Q42438,Harvard University,990142321940203941,MS Lat 446,https://id.lib.harvard.edu/alma/990142321940203941/catalog,https://iiif.lib.harvard.edu/manifests/ids:437859643|https://iiif.lib.harvard.edu/manifests/ids:437859647,"","",circa 1299-1300.,1299^1300,13,http://vocab.getty.edu/aat/300404505,false,Leaf from Ghistelles book of hours,"","","",Q795,"Books of hours|Manuscripts, Medieval--Belgium--1250-1300",Q3618|Q325;Q16301,Devotional literature,Q2950,Catholic Church,"",Q425,"","","","","","","","","","","","",In Latin,Q113,vellum,Q33,"Extent: 1 leaf, unbound (.04 linear feet) : vellum ; 121 x 84 mm","Written in brown ink in a gothic book hand with rubrics and decorative pen work in red, blue, and gold. Also with six one-line initials, four in blue with decorative pen work in red, and two in gold; one two-line initial in gold with blue, red, white, and gold decoration; a border of red, blue and gold. Border ends at top with the head of a lion and at bottom with a man playing a pipe. Written in Southwest Flanders, circa 1299-1300.|Probably forms a part of a whole that would include MS Lat 446.1, Houghon Library.|In a protective case.|Purchased with Henry Saltonstall Howe Fund, 2014.","",2024-07-24 12:14:26 -0400,20210728,20240122-harvard-marcxml.xml
,"","",marc-xml,appm,Q42438,Harvard University,990133294860203941,MS Lat 433,https://id.lib.harvard.edu/alma/990133294860203941/catalog,https://iiif.lib.harvard.edu/manifests/ids:434619060|https://iiif.lib.harvard.edu/manifests/ids:434619064|https://iiif.lib.harvard.edu/manifests/ids:434619068|https://iiif.lib.harvard.edu/manifests/ids:434619072,"","",ca. 750-800.,750^800,8,http://vocab.getty.edu/aat/300404500,false,Commentary on the Pauline Epistles,"","","",Q1433;Q5954,"Manuscript waste (Binding)|Manuscripts, Medieval--France--750-800",Q5892|Q325;Q152,"Theodore, Bishop of Mopsuestia, approximately 350-428 or 429|Abbaye de Corbie|Bible. Epistles of Paul.--Latin",Q38782|Q38557|Q38594;Q4170,"Theodore, Bishop of Mopsuestia, approximately 350-428 or 429","",Q41753,"","","","","","","","","","","","",In Latin,Q113,vellum,Q33,Extent: 1 bifolium : vellum ; 33 centimeters,"Fragment written in France in a single column, 27 long lines, in brown ink in Merovingian minuscule of the Corbie tradition; with later running titles, probably 12th century.|Title supplied by cataloger.|Bound with a pamphlet stitch into a cloth folder.|Purchased with Bernard H. Breslauer Bequest, 2012.","",2024-07-24 12:14:26 -0400,20210728,20240122-harvard-marcxml.xml
,"","",marc-xml,dacs,Q42438,Harvard University,990130375240203941,MS Arm 12,https://id.lib.harvard.edu/alma/990130375240203941/catalog,https://iiif.lib.harvard.edu/manifests/ids:43695955|https://iiif.lib.harvard.edu/manifests/ids:43695956|https://iiif.lib.harvard.edu/manifests/ids:43695957,"","",ca. 1500-1700.,1500^1700,16;17,http://vocab.getty.edu/aat/300404510;http://vocab.getty.edu/aat/300404511,false,Haysmarourk,"","","",Q39425,"Manuscripts, Renaissance",Q311,Armenian Church|Saints--Armenia,Q38574|Q5891;Q3017,Armenian Church,"",Q41936,"","","","","","","","","","","","",In Armenian,Q792,vellum,Q33,"Extent: 566 leaves in 49 quires, unbound : vellum ; 37 centimeters.","Title supplied by cataloger.|Written in an unidentified hand in a bolorgir script in black ink, with red initials, marginal decoration in form of portraits of saints, and headpieces; pages appear slashed and also damaged by moisture, lacks beginning and end.|In a red cloth slipcase.|Deposted by Paul O. Boghossian, Jr., Mrs. A. Holopigian, Mrs. Peter R. Keeler, and Mrs. Ralph Seferian, 1965.","",2024-07-24 12:14:26 -0400,20210728,20240122-harvard-marcxml.xml
,"","",marc-xml,appm,Q42438,Harvard University,990137070770203941,MS Typ 120.1,https://id.lib.harvard.edu/alma/990137070770203941/catalog,https://iiif.lib.harvard.edu/manifests/ids:46402413|https://iiif.lib.harvard.edu/manifests/ids:46761784,"","",ca. 1240-ca. 1250,1240^1250,13,http://vocab.getty.edu/aat/300404505,false,Missal (use of Noyon),"",Missal,"",Q662,"Manuscripts, Medieval--France--1200-1250|Missals",Q325;Q152|Q38504,"","",Catholic Church,"",Q425,"Villard, de Honnecourt, active 13th century","",Q41821,"","","","","","","Hofer, Philip, 1898-1984|Vershbow, Arthur",|,Q16659|Q41818,lat,Q113,vellum,Q33,Extent: 1 leaf (.04 linear ft.) : vellum ; 43 cm,"Written in black ink in a gothic book hand in 2 columns with musical notation on a 4-line staff; with rubrics and initials in red and blue, including 2 illuminated and 1 historiated initials.|The illuminations are in the style of Villard de Honnecourt.|Formerly a part of the leaves now comprising MS Typ 120, with which it is housed and shelved.|In a tray case, 48 cm.|Purchased with the Arthur and Charlotte Vershbow Fund, 2013.|Formerly owned by Philip Hofer and held at Houghton Library in MS Typ 120H.","",2024-07-24 12:14:26 -0400,20230407,20240122-harvard-marcxml.xml
