ds_id,date_added,date_last_updated,source_type,cataloging_convention,holding_institution,holding_institution_as_recorded,holding_institution_id_number,holding_institution_shelfmark,link_to_holding_institution_record,iiif_manifest,production_place_as_recorded,production_place,production_place_label,production_date_as_recorded,production_date,century,century_aat,dated,uniform_title_as_recorded,uniform_title_agr,title_as_recorded,title_as_recorded_agr,standard_title,genre_as_recorded,genre,genre_label,subject_as_recorded,subject,subject_label,author_as_recorded,author_as_recorded_agr,author,author_wikidata,author_instance_of,author_label,artist_as_recorded,artist_as_recorded_agr,artist,artist_label,artist_wikidata,artist_instance_of,scribe_as_recorded,scribe_as_recorded_agr,scribe,scribe_label,scribe_wikidata,scribe_instance_of,associated_agent_as_recorded,associated_agent_as_recorded_agr,associated_agent,associated_agent_label,associated_agent_wikidata,associated_agent_instance_of,language_as_recorded,language,language_label,former_owner_as_recorded,former_owner_as_recorded_agr,former_owner,former_owner_label,former_owner_wikidata,former_owner_instance_of,material_as_recorded,material,material_label,physical_description,note,acknowledgements,data_processed_at,data_source_modified,source_file
,,,marc-xml,dcrmmssrda,Q5671855,Harry Ransom Center,991025329149706011,"MS 3327, Container 230",https://search.lib.utexas.edu/permalink/01UTAU_INST/be14ds/alma991025329149706011,https://norman.hrc.utexas.edu/notDM/objectManifest/p15878coll111v3/80,France,http://vocab.getty.edu/tgn/1000070,France,"not before 1603, not after 1650",1609^1612,17,http://vocab.getty.edu/aat/300404511,,"","",Du loup garou :,"",Du loup garou,Manuscripts (documents)|Trials|Early works,http://vocab.getty.edu/aat/300028569||http://id.worldcat.org/fast/1411636,manuscripts (documents)||Early works,Trials (Witchcraft)--Early works to 1800|Witchcraft--Early works to 1800|Werewolves--Early works to 1800|Werewolves|Witchcraft,http://id.worldcat.org/fast/1156425;http://id.worldcat.org/fast/1411636|http://id.worldcat.org/fast/1176327;http://id.worldcat.org/fast/1411636|http://id.worldcat.org/fast/1173872;http://id.worldcat.org/fast/1411636|http://id.worldcat.org/fast/1173872|http://id.worldcat.org/fast/1176327,Trials (Witchcraft);Early works|Witchcraft;Early works|Werewolves;Early works|Werewolves|Witchcraft,"Filesac, Jean, 1556-1638","","",Q30902182,human,Jean Filesac,"","","","","","","","","","","","",,,,,,,fre,Q150,French,"","","","","","","","","",Extent: 1 volume (34 leaves) ; 27 cm (fol.),"Title from caption.|Place of production conjectured from where trial of Jean Grenier took place and date of production based on when the trial took place and an evaluation of the handwriting and paper.|In early hand. Manuscript corrections in different hand throughout; leaf 31 is blank and precedes another leaf of manuscript in a different hand (possibly same hand as corrections). Leaf 1 is labelled 'quarante neuf', the last leaf is labelled 'cinquante'. Binding: modern binding; cover title: 'Sobre la licantropía'. Some leaves have been repaired, affecting text.",,2023-11-21 17:05:00 -0500,2022-05-26,20231030-hrc-marc.xml
,,,marc-xml,dcrmmss,Q5671855,Harry Ransom Center,991058289559306011,"MS 3327, Container 6",https://search.lib.utexas.edu/permalink/01UTAU_INST/be14ds/alma991058289559306011,"",France,http://vocab.getty.edu/tgn/1000070,France,between 1450 and 1500,1450^1500,15,http://vocab.getty.edu/aat/300404465,,"","",Book of hours,"",Book of hours,Books of hours|Decorated initials|Illuminated manuscripts,http://id.loc.gov/vocabulary/rbmscv/cv01037|http://vocab.getty.edu/aat/300417548|http://vocab.getty.edu/aat/300265483,Books of hours|decorated initials|illuminated manuscripts,"","","","","","","","","","","","","","","","","","","","","",,,,,,,eng|fre|lat,Q1860|Q150|Q397,English|French|Latin,"Wrenn, John Henry, 1841-1911|Bowden, A.J",|,"","John Henry Wrenn|Bowden, A.J",Q114242412|Q123378461,human|human,"parchment, illustrations",http://vocab.getty.edu/aat/300011851,parchment,"Extent: 121 leaves; parchment, illustrations, 16 x 18 cm","Decoration includes seven large and twenty-four small miniatures, ornamental borders on pages with miniatures, and decorated initials throughout.|Gothic textualis formata script|Layout is 18 long lines ruled in light red ink.",,2023-11-21 17:05:00 -0500,2022-05-26,20231030-hrc-marc.xml
,,,marc-xml,dcrmmss,Q5671855,Harry Ransom Center,991058289559506011,"MS 3327, Container 3",https://search.lib.utexas.edu/permalink/01UTAU_INST/be14ds/alma991058289559506011,"",Flanders?,http://vocab.getty.edu/tgn/7024097,Flanders,15th century,1400,15,http://vocab.getty.edu/aat/300404465,,"","",Book of hours,"",Book of hours,Books of hours|Decorated initials|Illuminated manuscripts,http://id.loc.gov/vocabulary/rbmscv/cv01037|http://vocab.getty.edu/aat/300417548|http://vocab.getty.edu/aat/300265483,Books of hours|decorated initials|illuminated manuscripts,"","","","","","","","","","","","","","","","","","","","","",,,,,,,eng|dut|lat,Q1860|Q7411|Q397,English|Dutch|Latin,"Richards, I. B|Richards, Walter John Bruce, 1835-1904",|,"","Richards, I. B|Richards, Walter John Bruce, 1835-1904",Q123378486|Q123378487,human|human,"parchment, illustrations",http://vocab.getty.edu/aat/300011851,parchment,"Extent: 103 leaves : parchment, illustrations 16 x 18 cm","Title devised by cataloger.|Decorated with three full-page miniatures, sixteen text miniatures, and three large historiated initials.|Gothic batarde script.",,2023-11-21 17:05:00 -0500,2022-05-26,20231030-hrc-marc.xml
,,,marc-xml,dcrmmss,Q5671855,Harry Ransom Center,991058289559706011,"MS 3327, Container 1",https://search.lib.utexas.edu/permalink/01UTAU_INST/be14ds/alma991058289559706011,"",Italy,http://vocab.getty.edu/tgn/1000080,Italy,14th or 15th century,1300^1400,14,http://vocab.getty.edu/aat/300404506,,"","","Breviary, temporale, without calendar","",Breviary,Breviaries|Decorated initials|Illuminated manuscripts|Furniture (components),http://id.loc.gov/vocabulary/rbmscv/cv01045|http://vocab.getty.edu/aat/300417548|http://vocab.getty.edu/aat/300265483|,Breviaries|decorated initials|illuminated manuscripts|,"","","","","","","","","","","","","","","","","","","","","",,,,,,,eng|lat,Q1860|Q397,English|Latin,"Parsons, Edward Alexander, 1878-1962","","",Edward Alexander Parsons,Q59631299,human,parchment,http://vocab.getty.edu/aat/300011851,parchment,"Extent: 169 leaves : parchment, 24 x 18 cm",Title devised by cataloger.|Gothic rotunda script; Layout is 2 columns.,,2023-11-21 17:05:00 -0500,2022-05-26,20231030-hrc-marc.xml
,,,marc-xml,dcrmmss,Q5671855,Harry Ransom Center,991058289658406011,"MS 3327, Container 2",https://search.lib.utexas.edu/permalink/01UTAU_INST/be14ds/alma991058289658406011,"",France,http://vocab.getty.edu/tgn/1000070,France,15th and 19th/20th century,1400^1900,15;16;17;18;19,http://vocab.getty.edu/aat/300404465;http://vocab.getty.edu/aat/300404510;http://vocab.getty.edu/aat/300404511;http://vocab.getty.edu/aat/300404512;http://vocab.getty.edu/aat/300404513,,"","","Book of hours, use of Rome","",Book of hours,Books of hours|Decorated initials|Illuminated manuscripts|Miniatures (paintings),http://id.loc.gov/vocabulary/rbmscv/cv01037|http://vocab.getty.edu/aat/300417548|http://vocab.getty.edu/aat/300265483|http://vocab.getty.edu/aat/300033936,Books of hours|decorated initials|illuminated manuscripts|miniatures (paintings),"","","","","","","","","","","","","","","","","","","","","",,,,,,,eng|lat,Q1860|Q397,English|Latin,"Stark, Miriam Lutcher, 1859-1936|Stark, William Henry, 1851-1936",|,"","Stark, Miriam Lutcher, 1859-1936|William Henry Stark",Q123378489|Q8012173,human|human,"parchment, illustrations",http://vocab.getty.edu/aat/300011851,parchment,"Extent: 98 leaves: parchment, illustrations 19 x 18 cm","Title devised by cataloger.|Decorated with thirteen full-page miniatures, one half-page miniature, and 144 bas de page vignettes, the majority depicting animals; all or most miniatures overpainted or modern fabrications, using gold paint and lacquer.|Gothic textualis formata script; Layout is 19 long lines ruled in faint red ink.",,2023-11-21 17:05:00 -0500,2022-05-26,20231030-hrc-marc.xml
,,,marc-xml,dcrmmss,Q5671855,Harry Ransom Center,991058289754006011,"MS 3327, Container 4",https://search.lib.utexas.edu/permalink/01UTAU_INST/be14ds/alma991058289754006011,"",France (Paris?),http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7008038,France;Paris,between 1425 and 1475,1425^1475,15,http://vocab.getty.edu/aat/300404465,,"","","Book of hours, use of Paris","",Book of hours,Books of hours|Decorated initials|Illuminated manuscripts|Miniatures (paintings),http://id.loc.gov/vocabulary/rbmscv/cv01037|http://vocab.getty.edu/aat/300417548|http://vocab.getty.edu/aat/300265483|http://vocab.getty.edu/aat/300033936,Books of hours|decorated initials|illuminated manuscripts|miniatures (paintings),"","","","","","","","","","","","","","","","","","","","","",,,,,,,eng|lat,Q1860|Q397,English|Latin,"","","","","","","parchment, illustrations",http://vocab.getty.edu/aat/300011851,parchment,"Extent: 142 leaves: parchment, illustrations, 19 x 18 cm","Title devised by cataloger.|Decorated with thirteen full-page miniatures with borders, spray borders, and 1- to 4-line illuminated initials.|Gothic textualis formata script; Layout is 14 long lines ruled in red ink.",,2023-11-21 17:05:00 -0500,2022-05-26,20231030-hrc-marc.xml
,,,marc-xml,dcrmmss,Q5671855,Harry Ransom Center,991058289861806011,"MS 3327, Container 5",https://search.lib.utexas.edu/permalink/01UTAU_INST/be14ds/alma991058289861806011,"",France,http://vocab.getty.edu/tgn/1000070,France,between 1425 and 1475,1425^1475,15,http://vocab.getty.edu/aat/300404465,,"","",Book of hours,"",Book of hours,Books of hours|Decorated initials|Illuminated manuscripts|Miniatures (paintings),http://id.loc.gov/vocabulary/rbmscv/cv01037|http://vocab.getty.edu/aat/300417548|http://vocab.getty.edu/aat/300265483|http://vocab.getty.edu/aat/300033936,Books of hours|decorated initials|illuminated manuscripts|miniatures (paintings),"","","","","","","","","","","","","","","","","","","","","",,,,,,,eng|fre|lat,Q1860|Q150|Q397,English|French|Latin,"Parsons, Edward Alexander, 1878-1962","","",Edward Alexander Parsons,Q59631299,human,"parchment, illustrations",http://vocab.getty.edu/aat/300011851,parchment,"Extent: 176 leaves: parchment, illustrations, 16 x 18 cm","Title devised by cataloger.|Decorated with fourteen full-page miniatures, borders and 1- to 4-line initials.|Gothic textualis formata script; Layout is 14 long lines ruled in red ink.",,2023-11-21 17:05:00 -0500,2022-05-26,20231030-hrc-marc.xml
,,,marc-xml,dcrmmss,Q5671855,Harry Ransom Center,991058301963506011,"MS 3327, Container 80",https://search.lib.utexas.edu/permalink/01UTAU_INST/be14ds/alma991058301963506011,"",England,http://vocab.getty.edu/tgn/7002445,England,1646 or later,1646,17,http://vocab.getty.edu/aat/300404511,,"","","Miscellany of theological material concerning biblical translation, liturgical matters, laws of the land, and commentary on the Anglican/Catholic divide :","",Theological miscellany,Commonplace books|Miscellanies,|,|,"","","","","","","","","","","","","","","","","","","","","",,,,,,,eng|gre|heb|lat,Q1860|Q9129|Q9288|Q397,English|Greek|Hebrew|Latin,"","","","","","",paper,http://vocab.getty.edu/aat/300014109,paper,"Extent: 77 leaves : paper, 20 x 15 cm",Title devised by cataloger.,,2023-11-21 17:05:00 -0500,2022-05-27,20231030-hrc-marc.xml
,,,marc-xml,dcrmmss,Q5671855,Harry Ransom Center,991058301963606011,"MS 3327, Container 79",https://search.lib.utexas.edu/permalink/01UTAU_INST/be14ds/alma991058301963606011,"",England,http://vocab.getty.edu/tgn/7002445,England,1610-1630,1610^1630,17,http://vocab.getty.edu/aat/300404511,,"","","Miscellany, 1610-1630 :","",Miscellany,Commonplace books|Miscellanies,|,|,"","","","","","","","","","","","","","","","","","","","","",,,,,,,eng|lat,Q1860|Q397,English|Latin,"Phillipps, Thomas, Sir, 1792-1872","","",Thomas Phillipps,Q2147709,human,paper,http://vocab.getty.edu/aat/300014109,paper,"Extent: 181 leaves : paper, 22 x 17 cm",Title devised by cataloger.|Most items are dated between 1621 and 1623.,,2023-11-21 17:05:00 -0500,2022-05-27,20231030-hrc-marc.xml
,,,marc-xml,dcrmmss,Q5671855,Harry Ransom Center,991058301963706011,"MS 3327, Container 78",https://search.lib.utexas.edu/permalink/01UTAU_INST/be14ds/alma991058301963706011,"",Ireland,http://vocab.getty.edu/tgn/1000078,Ireland,1666 February 19,1666,17,http://vocab.getty.edu/aat/300404511,,"","","Charter and expenses, 1666 February 19, for the Royal Hospital in Dublin :","",Charter,Charters,"","","","","","","","","","","","","","","","","","","","","","","",,,,,,,eng,Q1860,English,"King-Harman, L. H","","",Laurence Harman King-Harman,Q61959623,human,paper,http://vocab.getty.edu/aat/300014109,paper,"Extent: 54 leaves : paper, 18 x 13 cm",Title devised by cataloger.,,2023-11-21 17:05:00 -0500,2022-05-27,20231030-hrc-marc.xml
,,,marc-xml,dcrmmss,Q5671855,Harry Ransom Center,991058301963906011,"MS 3327, Container 76",https://search.lib.utexas.edu/permalink/01UTAU_INST/be14ds/alma991058301963906011,"",England,http://vocab.getty.edu/tgn/7002445,England,1628-1629,1628^1629,17,http://vocab.getty.edu/aat/300404511,,"","","Speeches, petitions, reports, etc. from the Third Parliament of Charles I :","",Works from the Third Parliament of Charles I,Petitions|Addresses,|,|,"","","","","","","","","","","","","","","","","","","","","",,,,,,,eng|lat,Q1860|Q397,English|Latin,"","","","","","",paper,http://vocab.getty.edu/aat/300014109,paper,"Extent: 215 leaves : paper, 30 x 18 cm","Content list entitled Speeches of King Charles I, etc..., numbered 1-28",,2023-11-21 17:05:00 -0500,2022-05-27,20231030-hrc-marc.xml
