holding_institution_ds_qid,holding_institution_wikidata_label,ds_id,source_data_type,filename,holding_institution_institutional_id,institutional_id_location_in_source,record_last_updated,call_number,link_to_institutional_record,title,iiif_manifest_url,dated,manifest_generated_at
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9997,marc-xml,20250128-huntington-marcxml.xml,.b18622306,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,100304a,https://catalog.huntington.org/record=b1862230,Excerpt from Giorgio Valla's De expetendis et fugiendis rebus opus :,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:52751/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9998,marc-xml,20250128-huntington-marcxml.xml,.b18622318,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,101445a,https://catalog.huntington.org/record=b1862231,Grammatical treatises :,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:52832/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9999,marc-xml,20250128-huntington-marcxml.xml,.b1862232x,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,102160a,https://catalog.huntington.org/record=b1862232,Penitentiarius :,,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS10000,marc-xml,20250128-huntington-marcxml.xml,.b18622331,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,102312a,https://catalog.huntington.org/record=b1862233,Miscellany with St. Patrick's Purgatory :,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:53011/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9989,marc-xml,20250128-huntington-marcxml.xml,.b18622227,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,102369a,https://catalog.huntington.org/record=b1862222,Works by Thomas Claxton; Robert Cowton; etc. :,,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS10001,marc-xml,20250128-huntington-marcxml.xml,.b18622343,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,103317a,https://catalog.huntington.org/record=b1862234,"Petrus Aureoli, Compendium sacre scripture :",,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS10002,marc-xml,20250128-huntington-marcxml.xml,.b18622355,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,103501a,https://catalog.huntington.org/record=b1862235,Pastoral miscellany :,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:52990/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS10003,marc-xml,20250128-huntington-marcxml.xml,.b18622367,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,103533a,https://catalog.huntington.org/record=b1862236,Commentaries on Peter Lombard :,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:53366/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS10004,marc-xml,20250128-huntington-marcxml.xml,.b18622379,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,104537a,https://catalog.huntington.org/record=b1862237,Evidentiae contra Durandum :,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:53016/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS10005,marc-xml,20250128-huntington-marcxml.xml,.b18622380,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,104566a,https://catalog.huntington.org/record=b1862238,Sermons and selections from Meditationes de passione Christi :,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:52994/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9991,marc-xml,20250128-huntington-marcxml.xml,.b18622240,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,17862a,https://catalog.huntington.org/record=b1862224,Geometrical propositions :,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:53014/manifest.json,true,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9992,marc-xml,20250128-huntington-marcxml.xml,.b18622252,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,68069a,https://catalog.huntington.org/record=b1862225,Exempla; Homilies; Life of Catherine of Siena :,,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9993,marc-xml,20250128-huntington-marcxml.xml,.b18622264,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,73098a,https://catalog.huntington.org/record=b1862226,Margarita decreti :,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:52992/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9994,marc-xml,20250128-huntington-marcxml.xml,.b18622276,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,86299a,https://catalog.huntington.org/record=b1862227,Opus pacis :,,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9995,marc-xml,20250128-huntington-marcxml.xml,.b18622288,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,86438a,https://catalog.huntington.org/record=b1862228,Selections from De re rustica :,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:52863/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9996,marc-xml,20250128-huntington-marcxml.xml,.b1862229x,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,87637a,https://catalog.huntington.org/record=b1862229,"Selections from Cicero, Scriptores historiae Augustae and Petrarch :",https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:52800/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9990,marc-xml,20250128-huntington-marcxml.xml,.b18622239,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,89798a,https://catalog.huntington.org/record=b1862223,Directions for priests :,,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9645,marc-xml,20250128-huntington-marcxml.xml,.b18618704,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssBA 29,https://catalog.huntington.org/record=b1861870,Cartulary of Battle Abbey :,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:52859/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9646,marc-xml,20250128-huntington-marcxml.xml,.b18618716,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssBA 30,https://catalog.huntington.org/record=b1861871,Cartulary of the office of sacristan of Battle Abbey :,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:52883/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9846,marc-xml,20250128-huntington-marcxml.xml,.b18620772,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssBA 33,https://catalog.huntington.org/record=b1862077,Cartulary of Battle Abbey :,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:52776/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9598,marc-xml,20250128-huntington-marcxml.xml,.b18235827,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssEL 26 A 13,https://catalog.huntington.org/record=b1823582,Regiment of princes :,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:18796/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9807,marc-xml,20250128-huntington-marcxml.xml,.b18620383,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssEL 26 A 17,https://catalog.huntington.org/record=b1862038,Confessio amantis :,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:49011/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9806,marc-xml,20250128-huntington-marcxml.xml,.b18620371,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssEL 26 A 3,https://catalog.huntington.org/record=b1862037,"Works by Gautier de Metz, Jean de Meun, Geoffroi de Paris and Jacobus de Cessolis :",https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:51823/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9601,marc-xml,20250128-huntington-marcxml.xml,.b18252655,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssEL 26 C 9,https://catalog.huntington.org/record=b1825265,Canterbury tales :,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:2838/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9723,marc-xml,20250128-huntington-marcxml.xml,.b18619514,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssEL 34 A 1,https://catalog.huntington.org/record=b1861951,"Book of Hours, use of Paris :",https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:52363/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9808,marc-xml,20250128-huntington-marcxml.xml,.b18620395,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssEL 34 A 5,https://catalog.huntington.org/record=b1862039,"Regularium scilicet communium sententiarum Index ex utroque Iure Canonico ac Civili selectus ordine alphabetico digestus, 1596 :",,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9809,marc-xml,20250128-huntington-marcxml.xml,.b18620401,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssEL 34 A 8,https://catalog.huntington.org/record=b1862040,Statutes primarily from the reigns of Henry III and Edward I :,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:50954/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9811,marc-xml,20250128-huntington-marcxml.xml,.b18620425,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssEL 34 B 23,https://catalog.huntington.org/record=b1862042,Statutes and other legal writings :,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:49315/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9810,marc-xml,20250128-huntington-marcxml.xml,.b18620413,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssEL 34 B 6,https://catalog.huntington.org/record=b1862041,Satires by Persius and Juvenal :,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:49289/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9812,marc-xml,20250128-huntington-marcxml.xml,.b18620437,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssEL 34 B 60 (EL 1160),https://catalog.huntington.org/record=b1862043,Tenures :,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:49307/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9739,marc-xml,20250128-huntington-marcxml.xml,.b18619678,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssEL 34 B 7,https://catalog.huntington.org/record=b1861967,Processional :,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:49210/manifest.json,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9813,marc-xml,20250128-huntington-marcxml.xml,.b18620449,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssEL 34 C 18,https://catalog.huntington.org/record=b1862044,Governance of England ; Declaration upon Certain Writings Sent out of Scotland :,,false,2025-01-28T22:27:26.126326400Z
Q42439,"The Huntington Library, Art Museum, and Botanical Gardens",DS9648,marc-xml,20250128-huntington-marcxml.xml,.b1861873x,//record[./datafield[@tag='907']/subfield[@code='a']/text()='ID_PLACEHOLDER'],20210621,mssEL 34 C 9 (EL 1121),https://catalog.huntington.org/record=b1861873,Historical miscellany :,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:49146/manifest.json,false,2025-01-28T22:27:26.126326400Z
