ds_id,date_added,date_last_updated,source_type,cataloging_convention,holding_institution_ds_qid,holding_institution_as_recorded,holding_institution_id_number,holding_institution_shelfmark,link_to_holding_institution_record,iiif_manifest,production_place_as_recorded,production_place_ds_qid,production_date_as_recorded,production_date,century,century_aat,dated,title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_agr,standard_title_ds_qid,genre_as_recorded,genre_ds_qid,subject_as_recorded,subject_ds_qid,author_as_recorded,author_as_recorded_agr,author_ds_qid,artist_as_recorded,artist_as_recorded_agr,artist_ds_qid,scribe_as_recorded,scribe_as_recorded_agr,scribe_ds_qid,associated_agent_as_recorded,associated_agent_as_recorded_agr,associated_agent_ds_qid,former_owner_as_recorded,former_owner_as_recorded_agr,former_owner_ds_qid,language_as_recorded,language_ds_qid,material_as_recorded,material_ds_qid,physical_description,note,acknowledgments,data_processed_at,data_source_modified,source_file
,"","",ds-csv,ds-schema,Q6060,University of Kansas,2959553,MS C74,https://kuprimo.hosted.exlibrisgroup.com/permalink/f/o7r94i/KU_VOYAGER2959553,"",Rome,Q123,1560-1570 ca.,1545^1585,16,http://vocab.getty.edu/aat/300404510,false,Letters|Ep. ad sacerdotes et alios clericos|Ep. ad gregem suum|Ep. ad Nicaenos|Ep. ad Basilium Achridenum|Rescriptum ad Adrianum IV papam|Epist.synodalis ad Alexium Comnenum Imp.|De synodo aduersus Iohannem Chrysost.|Ep. ad Arcadium de exilio Io. Chrysostomi|Ep. ad Arcadium imp. fratrem suum|Glaphyra in Pentateuchum,||||||||||,||||||||||,||||||||||,Q5068||||||||Q110851|Q110851|Q110852,"","",Theology,Q4290,"Theophanes, Bishop of Nicaea, -1381|Adrian IV, Pope, -1159|Basil of Ohrid|Nicholas III, Patriarch of Constantinople, -approximately 1111|Innocent I, Pope, -417|Honorius, Flavius, Emperor of Rome, 384-423|Cyril, Saint, Patriarch of Alexandria, approximately 370-444",||||||,Q110832|Q110833||Q110834|Q110835|Q110836|Q40492,"","","",Manuele Baclas,Μανουὴλ Βάκλας,"","","","",José Esteve|Bernard Rosenthal,|,Q110837|Q1130,Greek,Q1318,paper,Q31,"Extent: 135 (that is, 136) [2] leaves; paper; 23 x 17 cm","Decoration: initials|Provenance: Ownership inscriptions of Josephus Stephanus Valentinus, Rome, 1564 and 1565|Provenance: ex-libris (ff. 113v, 134r) ""liber Romae emptus 1585""|Provenance: Sold to the library in February 1960|https://pinakes.irht.cnrs.fr/notices/cote/79682/|Texts vary only sightly from published versions",additional description by Georgi Parpulov,2026-03-24 09:40:08 -0400,20260226,20260226-kansas-csv-greekrussian.csv
,"","",ds-csv,ds-schema,Q6060,University of Kansas,2959556,MS C76,https://kuprimo.hosted.exlibrisgroup.com/permalink/f/o7r94i/KU_VOYAGER2959556,"",Greece,Q16421,1550 ca-1613,1550^1628,16;17,http://vocab.getty.edu/aat/300404510;http://vocab.getty.edu/aat/300404511,false,"Homilies, etc.|Ad populum Antiochenum homiliae 1-21|Ad illuminandos catechesis 1|From the church|Gregorius theologus ep. CP. (S.), Visio de liturgia|De fato et prouidentia orationes 1-6|In illud: Vidi Dominum (Is. 6, 1), homilia 1|In illud: Vidi Dominum (Is. 6, 1), homilia 2|In illud: Vidi Dominum (Is. 6, 1), homilia 4|In illud: Vidi Dominum (Is. 6, 1), homilia 6|In Psalm 95|In Psalm 50, homily 1|In Psalm 50, homily 2|De gloria in tribulationibus|In dictum Pauli: Nolo uos ignorare (I Cor. 10, 1)|In illud: Habentes eundem spiritum homiliae 1-3|In Matthaeum homiliae 1-90|De paenitentia homiliae 1-9|Enarratio in prophetam Isaiam",||||||||||||||||||,||||||||||||||||||,||||||||||||||||||,Q1246|Q1246|||Q110853|Q38343|Q100791|Q100791|Q100791|Q100791|Q5972|Q5972|Q5972||Q100791|Q1246|Q1346;Q1433|Q1400|Q19985,"","",Hagiography|Questions and answers,Q7147|Q48881,"John Chrysostom, Saint, -407|Severian, of Gabala, active 398-408|Basil, Saint, Bishop of Caesarea, approximately 329-379",||,Q6124|Q110838|Q20081,"","","","","","","","","",Iōannēs Morezēnos|Bernard Rosenthal,Ἰωάννης Μορεζῆνος|,Q110839|Q1130,"Greek, Medieval and late|gre",Q110760|Q1318,paper,Q31,Extent: 550 leaves; paper; 20 x 14 cm,"Decoration: initials|Provenance: Sold to the library before August 1961|https://pinakes.irht.cnrs.fr/notices/cote/79688/|Numerous works of St. John Chrysostom and, leaf 496-549, a work of St. Basil the Great",additional description by Georgi Parpulov,2026-03-24 09:40:08 -0400,20260226,20260226-kansas-csv-greekrussian.csv
,"","",ds-csv,ds-schema,Q6060,University of Kansas,2959557,MS C77,https://kuprimo.hosted.exlibrisgroup.com/permalink/f/o7r94i/KU_VOYAGER2959557,"",n.p.,Q650,ca. 1430-1440,1415^1455,15,http://vocab.getty.edu/aat/300404465,false,"Euchologion (fragments)|Gurias, Samonas et Abibus conf. mm. Edessae (SS.), Passio metaphrastica|Commentarius de S. Matthaeo ap.|Plato m. Ancyrae (S.), Passio metaphrastica|Demetrius m. Thessalonicae (S.), Passio metaphrastica|Vita S. Nicolai ep. Myrensis|Eustratius, Auxentius et soc. mm. in Armenia (SS.), Passio (a Metaphrasta in menologium inserta)|Sermo in Natiuitatem Domini|Vita et miracula S. Basilii Magni|De baptismo Christi|Homilia 25 in occursum Domini",||||||||||,||||||||||,||||||||||,Q39377|Q6022|Q1346;Q1433|Q6022|Q6022|Q68144;Q6022|Q6022|Q1400|Q6022||Q1246,"","",Hagiography,Q7147,"Orthodox Eastern Church|Symeon, Metaphrastes, active 10th century|John, of Damascus, Saint|Amphilochius, Saint, Bishop of Iconium, active 373-394|John Chrysostom, Saint, -407|Leontius, Presbyter of Constantinople, active 5th century-6th century",|||||,Q4406|Q110840|Q1610|Q110841|Q6124|Q110842,"","","","","","","","","","","","","Greek, Medieval and late|gre",Q110760|Q1318,paper,Q31,"Extent: 1 volume, approximately 250 leaves; paper; 22 x 16 cm",Provenance: Purchased in August 1961|https://pinakes.irht.cnrs.fr/notices/cote/79683/,additional description by Georgi Parpulov,2026-03-24 09:40:08 -0400,20260226,20260226-kansas-csv-greekrussian.csv
,"","",ds-csv,ds-schema,Q6060,University of Kansas,2959847,MS C130,https://kuprimo.hosted.exlibrisgroup.com/permalink/f/o7r94i/KU_VOYAGER2959847,"","","",1605,1605^1605,17,http://vocab.getty.edu/aat/300404511,true,Sevcenko|Theotocarium,|,|,|,|Q39828,"","",Liturgics,Q207,"","","","","","",Dionusios hieromonachos Zakunthinos,Διονύσιος ἱερομόναχος Ζακυνθινός,"","","","","","","",Greek,Q1318,paper,Q31,Extent: 243 leaves; paper,Provenance: Subscription dated 11/2/1605 (f. 243v)|https://pinakes.irht.cnrs.fr/notices/cote/79692/,additional description by Georgi Parpulov,2026-03-24 09:40:08 -0400,20260226,20260226-kansas-csv-greekrussian.csv
,"","",ds-csv,ds-schema,Q6060,University of Kansas,2964771,MS D71,https://kuprimo.hosted.exlibrisgroup.com/permalink/f/o7r94i/KU_VOYAGER2964771,"","","",1390-1395 ca.,1375^1410,14;15,http://vocab.getty.edu/aat/300404506;http://vocab.getty.edu/aat/300404465,false,Greek ms.|De natura hominis|Dialogus de anima et resurrectione|Preces|Enarratio in prophetam Isaiam,||||,||||,||||,|||Q798|Q19985,"","","","","Nemesius, Bishop of Emesa|Gregory, of Nyssa, Saint, approximately 335-approximately 394|Neilos, Patriarch of Constantinople, -1388|Basil, Saint, Bishop of Caesarea, approximately 329-379",|||,Q110843|Q20083|Q110844|Q20081,"","","","","","","","","","","","",Greek,Q1318,paper,Q31,Extent: paper,https://pinakes.irht.cnrs.fr/notices/cote/79690/,additional description by Georgi Parpulov,2026-03-24 09:40:08 -0400,20260226,20260226-kansas-csv-greekrussian.csv
,"","",ds-csv,ds-schema,Q6060,University of Kansas,2964774,MS D72,https://kuprimo.hosted.exlibrisgroup.com/permalink/f/o7r94i/KU_VOYAGER2964774,"","","",1354?,1339^1369,14,http://vocab.getty.edu/aat/300404506,false,Greek ms.|Paracletice|Uersus funebres,||,||,||,||Q18551,"","",Liturgics,Q207,"Koukouzelēs, Iōannēs","",Q110845,"","","","","","","","","","","","",Greek,Q1318,paper,Q31,Extent: 269 leaves; paper,https://pinakes.irht.cnrs.fr/notices/cote/79691/|Sevcenko?,additional description by Georgi Parpulov,2026-03-24 09:40:08 -0400,20260226,20260226-kansas-csv-greekrussian.csv
,"","",ds-csv,ds-schema,Q6060,University of Kansas,MS P759,MS P759,https://guides.lib.ku.edu/medieval-and-early-modern-manuscripts/handlist,"",Southern Italy or Epirus (Greece/Albania),Q19911;Q38193;Q16421;Q8378,11c,1000^1099,11,http://vocab.getty.edu/aat/300404503,false,Triodium,"","","",Q39850,"","",Liturgics,Q207,"","","","","","","","","","","","","","","",Greek,Q1318,parchment,Q33,Extent: 1 leaf; parchment,Manuscript leaf|https://pinakes.irht.cnrs.fr/notices/cote/79684/|fragmentum (Feria Quinta Hebdomadae Palmarum)|Leaf from a Lenten Triodion containing the hymns for the Thursday before Palm Sunday,additional description by Georgi Parpulov,2026-03-24 09:40:08 -0400,20260226,20260226-kansas-csv-greekrussian.csv
,"","",ds-csv,ds-schema,Q6060,University of Kansas,2962611,MS E39,https://kuprimo.hosted.exlibrisgroup.com/permalink/f/o7r94i/KU_VOYAGER2962611,"","","",c. 1770,1755^1785,18,http://vocab.getty.edu/aat/300404512,false,"Opisanīe novyi͡a zemli Sibirskago gosudarstva, v"" kotoroe ono vremi͡a i kakim"" sluchaem"" dostalos' za Moskovskoe gosudarstvo, i kakoe toĭ zemli︠e︡ polozhenīe","","","","",manuscripts (documents),Q10789,"Manuscripts, Russian|Russia--Coronations|Russia--History|Siberia (Russia)--History",Q110765|Q38478;Q38868|Q38478;Q6879|Q110768;Q6879,"Veni︠u︡kov, Nikifor Danilovich, -1695","",Q110846,"","","","","","","","","","","","",Russian,Q110759,paper,Q31,"Extent: 1 vol., ii+62+ii ff.; paper; 30.5 x 19.5 cm","Coronation Rite of the Russian Grand Dukes and Tsars ; A petition in connection with the rebellion (Streltsy Uprising) in May 1682; Description of the new land of Siberia|О поставлении великих князей русских на великое княжение святыми бармами и царским венцем, откуда бе и како начаша ставитися (ff. 1r-3r)|Чин и поставление на великое княжество Российскаго государства, сиречь на царство помазание, сице бывает царем (ff. 3r-26r)|Надворныя пехоты челобитье в бунтовании на Москве (ff. 27r-32r)|Описание новыя земли Сибирского государства, в которое оно время и каким случаем досталось за Московское государство, и какое той земле положение (ff. 33r-62r)",additional description by Georgi Parpulov,2026-03-24 09:40:08 -0400,20260226,20260226-kansas-csv-greekrussian.csv
,"","",ds-csv,ds-schema,Q6060,University of Kansas,2958454,MS C38,https://kuprimo.hosted.exlibrisgroup.com/permalink/f/o7r94i/KU_VOYAGER2958454,"","","",19th century,1800^1899,19,http://vocab.getty.edu/aat/300404513,false,"Strasti Gospodni|Strasti Khristovy|Extracts from the works of Saint John Chrysostom, in Russian, with some other works",||,||,||,Q48609|Q48609|Q12725,manuscripts (documents),Q10789,"Old Believers|Manuscripts, Russian|Illumination of books and manuscripts, Russian|Jesus Christ--Passion|Jesus Christ--Second Advent|Barlaam and Joasaph",Q39032|Q110765|Q110766|Q4958|Q338;Q110460|Q110767,"John Chrysostom, Saint, -407|Palladius, Bishop of Aspuna, -approximately 430",|,Q6124|Q110770,"","","","","","","","","","","","",Russian,Q110759,paper,Q31,"Extent: 1 vol., 284 ff., ill.; paper; 20.5 x 16 cm","Во Святый и великий пяток Страстныя недели, иже во святых отца нашего Иоанна Златоустаго патриарха Царяграда О вольном страдании Господа нашего Иисуса Христа, како волею своею нашего ради спасения страсть претерпе, inc. «Ныне всех пророк пророчествия…», 27 chapters (ff. 1r-122v)|В Неделю мясопустную, преподобнаго отца нашего Паладия мниха Слово о втором пришествии Христове и о страшном суде и о будущей муце, и о умилении души, inc. «Ныне исповеждься душе и ныне умилися…» (ff. 123v-178v)|Выписано из книги Варлаама и Оасафа царевича древле писанныя Поучение Варлаама к Оасафу царевичю о суете мира сего, притча о инорозе, inc. «Подобне быти, мню, мужеви бегающи от лица инорога…» (ff. 189v-208v)|etc.|numerous illustrations|See also MS P617",additional description by Georgi Parpulov,2026-03-24 09:40:08 -0400,20260226,20260226-kansas-csv-greekrussian.csv
,"","",ds-csv,ds-schema,Q6060,University of Kansas,2990674,MS P617,https://kuprimo.hosted.exlibrisgroup.com/permalink/f/o7r94i/KU_VOYAGER2990674,"","","",19th century,1800^1899,19,http://vocab.getty.edu/aat/300404513,false,"Strasti Gospodni|Strasti Khristovy|Extracts from the works of Saint John Chrysostom, in Russian, with some other works",||,||,||,Q48609|Q48609|Q12725,manuscripts (documents),Q10789,"Old Believers|Manuscripts, Russian|Illumination of books and manuscripts, Russian|Jesus Christ--Passion|Jesus Christ--Second Advent|Barlaam and Joasaph",Q39032|Q110765|Q110766|Q4958|Q338;Q110460|Q110767,"John Chrysostom, Saint, -407|Palladius, Bishop of Aspuna, -approximately 431",|,Q6124|Q110770,"","","","","","","","","","","","",Russian,Q110759,paper,Q31,"Extent: 1 vol., 284 ff., ill.; paper; 20.5 x 16 cm",Frontispiece from MS C38|See also MS C38,additional description by Georgi Parpulov,2026-03-24 09:40:08 -0400,20260226,20260226-kansas-csv-greekrussian.csv
