ds_id,date_added,date_last_updated,source_type,cataloging_convention,holding_institution_ds_qid,holding_institution_as_recorded,holding_institution_id_number,holding_institution_shelfmark,link_to_holding_institution_record,iiif_manifest,production_place_as_recorded,production_place_ds_qid,production_date_as_recorded,production_date,century,century_aat,dated,title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_agr,standard_title_ds_qid,genre_as_recorded,genre_ds_qid,subject_as_recorded,subject_ds_qid,author_as_recorded,author_as_recorded_agr,author_ds_qid,artist_as_recorded,artist_as_recorded_agr,artist_ds_qid,scribe_as_recorded,scribe_as_recorded_agr,scribe_ds_qid,associated_agent_as_recorded,associated_agent_as_recorded_agr,associated_agent_ds_qid,former_owner_as_recorded,former_owner_as_recorded_agr,former_owner_ds_qid,language_as_recorded,language_ds_qid,material_as_recorded,material_ds_qid,physical_description,note,acknowledgments,data_processed_at,data_source_modified,source_file
,"","",ds-csv,ds-schema,Q103453,Lehigh University,SC MS 0431 GU 1,SC MS 0431 GU 1,https://preserve.lehigh.edu/digital-special-collections/medieval-manuscripts/medieval-leaves-fragments-donated-georgetown-0,https://preserve.lehigh.edu/node/450494/book-manifest,NE France|Germany,Q38264|Q131,Early 11th century,1000^1025,11,http://vocab.getty.edu/aat/300404503,false,Binding fragment from a sacramentary,"","","",Q10843;Q39291,Fragment,Q222,"","","","","","","","","","","","","","","","","",Latin,Q113,Parchment,Q33,Extent: Parchment; 55 x 179 mm,"Layout: Fragment, 2 columns, 3 lines.|Script: Carolingian|Binding fragment, from a temporal sacramentary, on parchment|Three lines of Latin in a large hand in brownish ink|The verso is darkened on the ends, probably from being glued into a binding","",2026-06-02 14:57:51 -0400,20260515,20260515-lehigh-csv-georgetown.csv
,"","",ds-csv,ds-schema,Q103453,Lehigh University,SC MS 0431 GU 4A,SC MS 0431 GU 4A,https://preserve.lehigh.edu/digital-special-collections/medieval-manuscripts/medieval-leaves-fragments-donated-georgetown-1,https://preserve.lehigh.edu/node/450497/book-manifest,"","",ca. 1080,1060^1100,11,http://vocab.getty.edu/aat/300404503,false,Binding fragments from St. Jerome's Commentary on Ezekiel,"","","",Q10843;Q39135,Fragment,Q222,"Fragment, 11th century, Theology",Q222;Q306;Q4290,"","","","","","","","","","","","","","","",Latin,Q113,Parchment,Q33,Extent: Parchment; 37 x 60 mm,"Layout: Fragment, 4 lines|Script: Carolingian with Display script in red Rustic Capitals.|Decoration: Rustic capitals in red|Binding fragment, from a copy of St. Jerome's Commentary on Ezekiel|Text is from book VI|One of two small fragments, the other one is 4B.|Provenance: King Alfred's Notebook (Scott Gwara)","",2026-06-02 14:57:51 -0400,20260515,20260515-lehigh-csv-georgetown.csv
,"","",ds-csv,ds-schema,Q103453,Lehigh University,SC MS 0431 GU 4B,SC MS 0431 GU 4B,https://preserve.lehigh.edu/digital-special-collections/medieval-manuscripts/medieval-leaves-fragments-donated-georgetown-2,https://preserve.lehigh.edu/node/450500/book-manifest,"","",ca. 1080,1060^1100,11,http://vocab.getty.edu/aat/300404503,false,Binding fragments from St. Jerome's Commentary on Ezekiel,"","","",Q10843;Q39135,Fragment,Q222,"Fragment, 11th century, Theology",Q222;Q306;Q4290,"","","","","","","","","","","","","","","",Latin,Q113,Parchment,Q33,Extent: Parchment; 35 x 62 mm,"Layout: Fragment, 3 lines|Script: Carolingian|Binding fragment, from a copy of St. Jerome's Commentary on Ezekiel|Text is from book VI|One of two small fragments, the other one is 4A.|Provenance: King Alfred's Notebook (Scott Gwara)","",2026-06-02 14:57:51 -0400,20260515,20260515-lehigh-csv-georgetown.csv
,"","",ds-csv,ds-schema,Q103453,Lehigh University,SC MS 0431 GU 4C,SC MS 0431 GU 4C,https://preserve.lehigh.edu/digital-special-collections/medieval-manuscripts/medieval-leaves-fragments-donated-georgetown-3,https://preserve.lehigh.edu/node/450503/book-manifest,England,Q133,ca. 1280,1260^1300,13,http://vocab.getty.edu/aat/300404505,false,"Binding fragment from Peter Lombard, Sentences","","","",Q10843;Q1119,Fragment,Q222,"Fragment, England, 13th century, Philosophy, Penwork initial",Q222;Q320;Q245;Q5883;Q114399;Q10796,"Lombard, Peter","",Q41142,"","","","","","","","","","","","",Latin,Q113,Parchment,Q33,Extent: Parchment; 188 x 70 mm,"Layout: Fragment, 32 lines, plus glosses in the margins|Script: Gothic|Decoration: Five-line initial ""H"" in red with blue penwork on verso.|Binding fragment, from a manuscript of Peter Lombard, Sentences, on parchment|Written in England, ca. 1280, with contemporary marginal glossing|The text is from book IV, distinctiones xxvii-xxviii, on the consanguineous relationships preventing marriage, murdering one's spouse, matrimonial pledges, marriage for nuns, and adultery|Provenance: King Alfred's Notebook (Scott Gwara), acquired from H.P. Kraus, from a group of fragments bought in the 1950s from Hellmut Lehmann-Haupt. Invoice states it is also ex Christopher de Hamel.","",2026-06-02 14:57:51 -0400,20260515,20260515-lehigh-csv-georgetown.csv
,"","",ds-csv,ds-schema,Q103453,Lehigh University,SC MS 0431 GU 4D,SC MS 0431 GU 4D,https://preserve.lehigh.edu/digital-special-collections/medieval-manuscripts/medieval-leaves-fragments-donated-georgetown-4,https://preserve.lehigh.edu/node/450506/book-manifest,"","",ca. 1180,1160^1200,12,http://vocab.getty.edu/aat/300404504,false,Binding fragment from a Missal,"","","",Q10843;Q662,Fragment,Q222,"Fragment, Missal, 12th century, Penwork initial",Q222;Q4233;Q304;Q114399;Q10796,"","","","","","","","","","","","","","","",Latin,Q113,Parchment,Q33,Extent: Parchment; 113 x 68 mm,"Layout: Fragment, 11 lines|Script: Gothic|Decoration: Large blue initial ""D"" with red penwork on the verso.|Binding fragment, from a Missal, on parchment|Text from the Invention of the Holy Cross (3 May) to SS Gordian and Epimachus (10 May)|The fragment represents the bottom right corner of the leaf|Fold marks and glue remnants from when it was used in a binding.|Provenance: King Alfred's Notebook (Scott Gwara), ex Christopher de Hamel.","",2026-06-02 14:57:51 -0400,20260515,20260515-lehigh-csv-georgetown.csv
,"","",ds-csv,ds-schema,Q103453,Lehigh University,SC MS 0431 GU 4E,SC MS 0431 GU 4E,https://preserve.lehigh.edu/digital-special-collections/medieval-manuscripts/medieval-leaves-fragments-donated-georgetown-5,https://preserve.lehigh.edu/node/450509/book-manifest,"","",ca. 1180,1160^1200,12,http://vocab.getty.edu/aat/300404504,false,Binding fragment from a Missal,"","","",Q10843;Q662,Fragment,Q222,"Fragment, Missal, 12th century, Penwork initial",Q222;Q4233;Q304;Q114399;Q10796,"","","","","","","","","","","","","","","",Latin,Q113,Parchment,Q33,Extent: Parchment; 116 x 70 mm,"Layout: Fragment, 12 lines|Script: Gothic|Decoration: Large blue initial ""P"" with red penwork on the verso.|Binding fragment, from a Missal, on parchment|Text from the Octave of SS Peter and Paul (6 July) to the Seven Holy Brothers (10 July)|The fragment represents the bottom right corner of the leaf|Fold marks and glue remnants from when it was used in a binding.|Provenance: King Alfred's Notebook (Scott Gwara), ex Christopher de Hamel.","",2026-06-02 14:57:51 -0400,20260515,20260515-lehigh-csv-georgetown.csv
,"","",ds-csv,ds-schema,Q103453,Lehigh University,SC MS 0431 GU 4F,SC MS 0431 GU 4F,https://preserve.lehigh.edu/digital-special-collections/medieval-manuscripts/medieval-leaves-fragments-donated-georgetown-6,https://preserve.lehigh.edu/node/450512/book-manifest,"","",n.d.,"",,,false,Binding fragment with neumes,"","","",Q10843;Q20017,Fragment,Q222,"Fragment, Liturgy",Q222;Q207,"","","","","","","","","","","","","","","",Latin,Q113,Parchment,Q33,Extent: Parchment; 53 x 159  mm,"Layout: Fragment, 2 columns, 8 lines, text and neumes on red 4-line staves|Script: Gothic|Binding fragment, from a liturgical MS including neumes on red 4-line staves|Text written in two sizes, perhaps an Antiphonary","",2026-06-02 14:57:51 -0400,20260515,20260515-lehigh-csv-georgetown.csv
,"","",ds-csv,ds-schema,Q103453,Lehigh University,SC MS 0431 GU 4G,SC MS 0431 GU 4G,https://preserve.lehigh.edu/digital-special-collections/medieval-manuscripts/medieval-leaves-fragments-donated-georgetown-7,https://preserve.lehigh.edu/node/450515/book-manifest,"","",n.d.,"",,,false,Binding fragment on paper,"","","",Q10843,Fragment,Q222,"Fragment, Liturgy, Musical notation",Q222;Q207;Q12609,"","","","","","","","","","","","","","","",Latin,Q113,Paper,Q31,Extent: Paper; 120 x 45 mm,"Layout: Fragment. On recto, 4 lines of text and neumes . On verso, 16 lines of text|Script: Gothic|Binding fragment on paper, from a liturgical MS in red and black ink|Primarily text on one side; music notation (neumes on four-line red staves) on the other|Decorated initial V  ""Valde"" in black ink with black penwork on first line of music.","",2026-06-02 14:57:51 -0400,20260515,20260515-lehigh-csv-georgetown.csv
,"","",ds-csv,ds-schema,Q103453,Lehigh University,SC MS 0431 GU 4H,SC MS 0431 GU 4H,https://preserve.lehigh.edu/digital-special-collections/medieval-manuscripts/medieval-leaves-fragments-donated-georgetown-8,https://preserve.lehigh.edu/node/450518/book-manifest,"","",n.d.,"",,,false,Binding fragment with neumes,"","","",Q10843;Q20017,Fragment,Q222,"Fragment, liturgy, Musical notation, Penwork initial",Q222;Q207;Q12609;Q114399;Q10796,"","","","","","","","","","","","","","","",Latin,Q113,Parchment,Q33,Extent: Parchment; 40 x 191 mm,"Layout: Fragment, 2 lines of text and neumes|Script: Gothic|Decoration: Decorated initial in black ink (A for ""Alle""…?) with penwork in black ink including a bearded face on the left side of the initial.|Binding fragment, from a liturgical MS, on parchment|Neumes on red 4-line staves.","",2026-06-02 14:57:51 -0400,20260515,20260515-lehigh-csv-georgetown.csv
,"","",ds-csv,ds-schema,Q103453,Lehigh University,SC MS 0431 GU 7A,SC MS 0431 GU 7A,https://preserve.lehigh.edu/digital-special-collections/medieval-manuscripts/medieval-leaves-fragments-donated-georgetown-9,https://preserve.lehigh.edu/node/450521/book-manifest,France,Q122,14th century,1300^1399,14,http://vocab.getty.edu/aat/300404506,false,Binding fragment from a glossed gospel,"","","",Q10843;Q6034,Fragment,Q222,"Fragment, 14th century, France, Gospel, Gloss",Q222;Q295;Q152;Q5839;Q4260,"","","","","","","","","","","","","","","",Latin,Q113,Parchment,Q33,Extent: Parchment; 105 x 178 mm,"Layout: Fragment, 2 columns, 16 lines|Script: Gothic|Decoration: Lower portion of a rounded decorated initial in red with blue penwork|Binding fragment, from a glossed Gospel, on parchment|With 'tabs' for spine reinforcements between raised bands|From the same MS as 7B","",2026-06-02 14:57:51 -0400,20260515,20260515-lehigh-csv-georgetown.csv
,"","",ds-csv,ds-schema,Q103453,Lehigh University,SC MS 0431 GU 7B,SC MS 0431 GU 7B,https://preserve.lehigh.edu/digital-special-collections/medieval-manuscripts/medieval-leaves-fragments-donated-georgetown-10,https://preserve.lehigh.edu/node/450524/book-manifest,"","",14th century,1300^1399,14,http://vocab.getty.edu/aat/300404506,false,Binding fragment from a glossed gospel,"","","",Q10843;Q6034,Fragment,Q222,"Fragment, 14th century, Gospel, Gloss, Penwork initial",Q222;Q295;Q5839;Q4260;Q114399;Q10796,"","","","","","","","","","","","","","","",Latin,Q113,Parchment,Q33,Extent: Parchment; 105 x 178 mm,"Layout: Fragment, 2 columns, 8 lines|Script: Gothic|Decoration: Decorated initial ""A"" in blue, with long descender into blank lower margin, with red penwork.|Binding fragment, from a Glossed Gospel, on parchment|With 'tabs' for spine reinforcements between raised bands|From the same MS as 7A","",2026-06-02 14:57:51 -0400,20260515,20260515-lehigh-csv-georgetown.csv
