ds_id,date_added,date_last_updated,source_type,cataloging_convention,holding_institution,holding_institution_as_recorded,holding_institution_id_number,holding_institution_shelfmark,link_to_holding_institution_record,iiif_manifest,production_place_as_recorded,production_place,production_place_label,production_date_as_recorded,production_date,century,century_aat,dated,uniform_title_as_recorded,uniform_title_agr,title_as_recorded,title_as_recorded_agr,standard_title,genre_as_recorded,genre,genre_label,subject_as_recorded,subject,subject_label,author_as_recorded,author_as_recorded_agr,author,author_wikidata,author_instance_of,author_label,artist_as_recorded,artist_as_recorded_agr,artist,artist_label,artist_wikidata,artist_instance_of,scribe_as_recorded,scribe_as_recorded_agr,scribe,scribe_label,scribe_wikidata,scribe_instance_of,associated_agent_as_recorded,associated_agent_as_recorded_agr,associated_agent,associated_agent_label,associated_agent_wikidata,associated_agent_instance_of,language_as_recorded,language,language_label,former_owner_as_recorded,former_owner_as_recorded_agr,former_owner,former_owner_label,former_owner_wikidata,former_owner_instance_of,material_as_recorded,material,material_label,physical_description,note,acknowledgements,data_processed_at,data_source_modified,source_file
,,,ds-mets-xml,,Q579968,University of Missouri,Fragmenta Manuscripta 001,Fragmenta Manuscripta 001,,"","France?, Brittany?",http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7024267,France;Brittany,s. X(med); 940-960,940^960,10,http://vocab.getty.edu/aat/300404502,false,"","",Lectionary for the office,"","","",,,"",,,"","","","","","","","","","","","","","","","","","","","","","","","",Latin,Q397,Latin,"John Bagford (1650s-1716) to St. Martin-in-the-Fields; sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742; Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957; William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.","","","","","","","","","Binding: Not bound.|Number of scribes, f. 1r-v: 2.|Script, f. 1r-v: Caroline minuscule.|Layout, f. 1r-v: 29 lines (visible) in two columns with text cut away top and bottom; slight cropping on sides; some letters missing r & l recto; text seems intact, r & l verso.","Bibliography: M. McC. Gatch, ""Fragmenta Manuscripta and Varia at Missouri and Cambridge,"" Transactions of the Cambridge Bibliographical Society9 (1990) 434-75. H. Gneuss, Handlist of Anglo-Saxon Manuscripts(Tempe AZ 2001) 809.8.|f. 1r-v: Patched hole, some stains. ""? later E.A.Lowe (later, lighter [sic]"" (Voigts, handwritten on photocopy of Salloch's description).""For a similar script, see Thompson, p. 414, plate 159"" (Salloch 7). Gneuss: in England by s. X ex.|f. 1r-v: Latin.|f. 1r-v: Contains part of the Lamentations of Jeremiah, chapter3 to end. Slight variants from the Vulgate text.|Incipit, f. 1r-v: In tribus noctibus ante pascha domini leguntur tres primae lectiones in una quaque nocte declamationes Hierimie prophetae.",Prof. L. Voigts and Dr. K. Gould kindly supplied the information that made this description possible.,2024-02-06 15:19:00 -0500,2021-10-01,ds_50_45_00137412.xml
,,,ds-mets-xml,,Q579968,University of Missouri,Fragmenta Manuscripta 002,Fragmenta Manuscripta 002,,"",Wales?,http://vocab.getty.edu/tgn/7002443,Wales,s. IX; 800-899,800^899,9,http://vocab.getty.edu/aat/300404501,false,"","","De orthographia|Institutio de nomine, pronomine et verbo|Excerpta de Scauri et Palladi libris","",||,"",,,"",,,Beda Venerabilis|Priscian|Audax,"","",Q154938|Q356433|Q28441319,human|human|human,Bede|Priscian|Audax,"","","","","","","","","","","","","","","","","","",Latin,Q397,Latin,"John Bagford (1650s-1716) to St. Martin-in-the-Fields; sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742; Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957; William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.","","","","","","","","","Binding: Not bound.|Number of scribes, f. 1r-v: 2.|Script, f. 1r-v: Insular.|Layout, f. 1r-v: 45 lines (visible) in two columns; irregular cropping at top, recto; ruling instrument: dry point, lines 2mm apart).","Bibliography: M. McC. Gatch, ""Fragmenta Manuscripta and Varia at Missouri and Cambridge,"" Transactions of the Cambridge Bibliographical Society9 (1990) 434-75. H. Gneuss, Handlist of Anglo-Saxon Manuscripts(Tempe AZ 2001) 809.9.|f. 1r-v: To Winchester by s. X in. See letter of Bernhard Bischoff to M. Gatch, 13.x.77; cf Lagorio article; hand is close to that of Anglo-Saxon monk Peregrinus, from Freising. See Cat. 400 Jahre Bayerische Staatsbibliothek, No. 4, plate 3. Could be Welsh.|f. 1r-v: Latin.|f. 1r: ""Two paragraphs of commentary at the end are written in a different hand of the same period"" (Salloch 7). For text, see H. Keil, Grammatici latini7:262-265, here missing some material between end of column A and beginning of column B.|f. 1v: See Keil, 3:455-456.|f. 1v: Keil, 7:322. Above the passage from Audax, is another unidentified passage of 9 lines; below it is a quote attributed to Jerome, ""A nota venit littera.""|Incipit, f. 1v: bene dictorum comprobatio.|Explicit, f. 1v: Grammatice officia sunt quattuor.",Prof. L. Voigts and Dr. K. Gould kindly supplied the information that made this description possible.,2024-02-06 15:19:00 -0500,2021-10-01,ds_50_45_00137413.xml
,,,ds-mets-xml,,Q579968,University of Missouri,Fragmenta Manuscripta 003,Fragmenta Manuscripta 003,,"",England,http://vocab.getty.edu/tgn/7002445,England,s. XI(in); 1000-1015,1000^1015,11,http://vocab.getty.edu/aat/300404503,false,"","",Sacramentary,"",Sacramentary,"",,,"",,,"","","","","","","","","","","","","","","","","","","","","","","","",Latin,Q397,Latin,"John Bagford (1650s-1716) to St. Martin-in-the-Fields; sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742; Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957; William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.","","","","","","","","","Binding: Not bound.|Script, f. 1r-v: Caroline minuscule; rustic capitals in headings.|Layout, f. 1r-v: 21 lines (visible), one column; evidence of cropping on all sides; silver rubrics (oxidized); writing violates grid (? X 120); ruling instrument: dry point; 2 rules for each line (tops and bottoms of letters excluding ascenders and descenders), 2 mm apart.","Bibliography: M. McC. Gatch, ""Fragmenta Manuscripta and Varia at Missouri and Cambridge,"" Transactions of the Cambridge Bibliographical Society9 (1990) 434-75. H. Gneuss, Handlist of Anglo-Saxon Manuscripts(Tempe AZ 2001) 810.|f. 1r-v: Dated by E. A. Lowe; headlines written in older form of uncials; liturgical manuscript written with great care, very formal.|f. 1r-v: Latin.",Prof. L. Voigts and Dr. K. Gould kindly supplied the information that made this description possible.,2024-02-06 15:19:00 -0500,2021-10-01,ds_50_45_00137414.xml
,,,ds-mets-xml,,Q579968,University of Missouri,Fragmenta Manuscripta 004,Fragmenta Manuscripta 004,,"",England,http://vocab.getty.edu/tgn/7002445,England,s. XI(1); 1000-1050,1000^1050,11,http://vocab.getty.edu/aat/300404503,false,"","",Bible,"",Bible,"",,,"",,,"","","","","","","","","","","","","","","","","","","","","","","","",Latin,Q397,Latin,"John Bagford (1650s-1716) to St. Martin-in-the-Fields; sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742; Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957; William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.","","","","","","","","","Number of scribes, f. 1r-v: 1.|Script, f. 1r-v: Caroline minuscule.|Layout, f. 1r-v: 23 lines (visible) in one column; 1 bounding line visible on left; ruling not visible; no pricking.","Bibliography: M. McC. Gatch, ""Fragmenta Manuscripta and Varia at Missouri and Cambridge,"" Transactions of the Cambridge Bibliographical Society9 (1990) 434-75. H. Gneuss, Handlist of Anglo-Saxon Manuscripts(Tempe AZ 2001) 811.|f. 1r-v: Evidence of cropping on top, bottom, right, verso badly stained; additional punctuation by a second hand.|f. 1r-v: Latin.|f. 1r-v: Contains parts of Micah, Nahum, Habacuc. ""top ctr: verso; right top: Habakkuk II; bottom right: 10th c E. A. Lowe"" (Voigts, handwritten).",Prof. L. Voigts and Dr. K. Gould kindly supplied the information that made this description possible.,2024-02-06 15:19:00 -0500,2021-10-01,ds_50_45_00137415.xml
,,,ds-mets-xml,,Q579968,University of Missouri,Fragmenta Manuscripta 005,Fragmenta Manuscripta 005,,"",England,http://vocab.getty.edu/tgn/7002445,England,s. XII(med); 1140-1160,1140^1160,12,http://vocab.getty.edu/aat/300404504,false,"","",De ecclesiasticis sacramentis et officiis,"","","",,,"",,,Ivo of Chartres,"","",Q124775,human,Ivo of Chartres,"","","","","","","","","","","","","","","","","","",Latin,Q397,Latin,"John Bagford (1650s-1716) to St. Martin-in-the-Fields; sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742; Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957; William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.","","","","","","","","","Binding: Not bound.|Number of scribes, f. 1r-v: 1.|Script, f. 1r-v: Transitional script.|Layout, f. 1r-v: 23 lines (visible) in one column; outer bounding lines are 4mm left of grid and visible on verso; ruling instrument: dry point.","Bibliography: M. McC. Gatch, ""Fragmenta Manuscripta and Varia at Missouri and Cambridge,"" Transactions of the Cambridge Bibliographical Society9 (1990) 434-75.|f. 1r-v: ""A variant of Norman script, similar to the one illustrated by Ker, English Manuscripts in the Century after the Norman Conquest pl. 7."" (Salloch 8).|f. 1r-v: Latin.|f. 1r-v: Contains part of Sermon IV, ""De sacramentis dedicationis.""",Prof. L. Voigts and Dr. K. Gould kindly supplied the information that made this description possible.,2024-02-06 15:19:00 -0500,2021-10-01,ds_50_45_00137416.xml
,,,ds-mets-xml,,Q579968,University of Missouri,Fragmenta Manuscripta 006,Fragmenta Manuscripta 006,,"",England,http://vocab.getty.edu/tgn/7002445,England,s. XII(1/4); 1100-1125,1100^1125,12,http://vocab.getty.edu/aat/300404504,false,"","",De fide catholica ex veteri et novo testamento,"","","",,,"",,,Isidore of Seville,"","",Q166876,human,Isidore of Seville,"","","","","","","","","","","","","","","","","","",Latin,Q397,Latin,"John Bagford (1650s-1716) to St. Martin-in-the-Fields; sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742; Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957; William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.","","","","","","","","","Binding: Not bound.|Number of scribes, f. 1r-v: 1.|Script, f. 1r-v: Transitional script.|Layout, f. 1r-v: Single column with 15 lines visible; bounding line visible 5mm to left; ruling on verso (flesh); no pricking.","Bibliography: M. McC. Gatch, ""Fragmenta Manuscripta and Varia at Missouri and Cambridge,"" Transactions of the Cambridge Bibliographical Society9 (1990) 434-75.|f. 1r-v: Tall ""a"" and open ""g"" holdover from Saxon. Cf Bernhard Bischoff, Latin Palaeography Plate 14. Column or small page intact, l & r; much cut from top and bottom; badly stained on verso; some retouching of letters.|f. 1r-v: Latin.|f. 1r-v: Contains parts of Book I, chapters 16, 17 and the very beginning of 18.",Prof. L. Voigts and Dr. K. Gould kindly supplied the information that made this description possible.,2024-02-06 15:19:00 -0500,2021-10-01,ds_50_45_00137417.xml
,,,ds-mets-xml,,Q579968,University of Missouri,Fragmenta Manuscripta 007,Fragmenta Manuscripta 007,,"",France,http://vocab.getty.edu/tgn/1000070,France,s. XII(med); 1140-1160,1140^1160,12,http://vocab.getty.edu/aat/300404504,false,"","",Breviary with neumes,"","","",,,"",,,"","","","","","","","","","","","","","","","","","","","","","","","",Latin,Q397,Latin,"John Bagford (1650s-1716) to St. Martin-in-the-Fields; sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742; Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957; William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.","","","","","","","","","Binding: Not bound.|Number of scribes, f. 1r-v: 1.|Script, f. 1r-v: Gothic.|Music, f. 1r-v: Neumes.|Layout, f. 1r-v: Single column with 20 lines visible; grid dimensions ? X 111; bounding lines visible; ruling visible on both r and v (leadpoint).","Bibliography: M. McC. Gatch, ""Fragmenta Manuscripta and Varia at Missouri and Cambridge,"" Transactions of the Cambridge Bibliographical Society9 (1990) 434-75.|f. 1r-v: Evidence for use in binding: vertical fold 40mm from r; evidence of crease soiled on recto, original hole, upper l.; verso discolored.|f. 1r-v: Latin.",Prof. L. Voigts and Dr. K. Gould kindly supplied the information that made this description possible.,2024-02-06 15:19:00 -0500,2021-10-01,ds_50_45_00137418.xml
,,,ds-mets-xml,,Q579968,University of Missouri,Fragmenta Manuscripta 008,Fragmenta Manuscripta 008,,"",Germany?,http://vocab.getty.edu/tgn/7000084,Germany,s. VIII/IX; 790-810,790^810,8;9,http://vocab.getty.edu/aat/300404500;http://vocab.getty.edu/aat/300404501,false,"","",Moralia in Job,"",Moralia in Job,"",,,"",,,Gregory the Great,"","",Q42827,human,Gregory I,"","","","","","","","","","","","","","","","","","",Latin,Q397,Latin,"John Bagford (1650s-1716) to St. Martin-in-the-Fields; sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742; Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957; William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.","","","","","","","","","Number of scribes, f. 1r-v: 1.|Script, f. 1r-v: Insular.|Layout, f. 1r-v: Single column with 13 lines visible; grid dimension ? X 92; bounding lines visible, 5mm on r and l.","Manuscript note: B. Bischoff, Katalog der festlaendischen Handschriften des neunten Jahrhunderts Teil 1, Aachen-Lambach(Wiesbaden 1998) n. 965.|Bibliography: M. McC. Gatch, ""Fragmenta Manuscripta and Varia at Missouri and Cambridge,"" Transactions of the Cambridge Bibliographical Society9 (1990) 434-75. E. A. Lowe, Codices Latini AntiquioresII 2nd ed:155, & VIII:1144 and Addenda p. 350.|f. 1r-v: Black stains, badly discolored on verso. Copied in an Anglo-Saxon center in Germany, possibly Hersfeld (see CLA II:155 & VIII:1144). B. Bischoff, Mittelalterliche Studien(Stuttgart 1966-81) 3:27 for note on Hersfeld mss in insular script.|f. 1r-v: Latin.|f. 1r-v: Letter of Bernhard Bischoff to M. Gatch, 13.x.77, ""Warscheinlich ist das Stueck ein Membrum disiectum zu CLA viii.1144 (und zu CLA ii.155)."" [handwritten note by Gould]. Contains Greg. Mor. In Job lib 35, c 11/12.",Prof. L. Voigts and Dr. K. Gould kindly supplied the information that made this description possible.|f. 1r-v: Prof. David Ganz has generously contributed his expertise on the script of this fragment.,2024-02-06 15:19:00 -0500,2021-10-01,ds_50_45_00137419.xml
,,,ds-mets-xml,,Q579968,University of Missouri,Fragmenta Manuscripta 009,Fragmenta Manuscripta 009,,"",England,http://vocab.getty.edu/tgn/7002445,England,s. XII(2); 1150-1199,1150^1199,12,http://vocab.getty.edu/aat/300404504,false,"","",De civitate Dei,"",De civitate Dei,"",,,"",,,Augustine of Hippo,"","",Q8018,human,Augustine of Hippo,"","","","","","","","","","","","","","","","","","",Latin,Q397,Latin,"John Bagford (1650s-1716) to St. Martin-in-the-Fields; sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742; Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957; William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.","","","","","","","","","Binding: Not bound.|Other decoration, f. 1r-v: 8-line decorated initial on recto (originally verso), formed of reserve parchment defined with red strips of varying widths on the outer edge. A stem with three, thick petals at circular terminus curves upward in interior.|Number of scribes, f. 1r-v: 1.|Script, f. 1r-v: Romanesque.|Layout, f. 1r-v: Recto/verso sides as fragment are opposite to recto/verso in original ms. 1 col., probably of 2, single bounding lines. 21 lines visible, 7 mm apart. Ruling in leadpoint. Brown Ink.","Bibliography: M. McC. Gatch, ""Fragmenta Manuscripta and Varia at Missouri and Cambridge,"" Transactions of the Cambridge Bibliographical Society9 (1990) 434-75.|f. 1r-v: Initial is in style of early Ottonian illumination, foliate decoration was widespread in English Mss of s. XII.|f. 1r-v: Latin.|f. 1r-v: Contains part of xvii.23, 24, and xviii.1.",Prof. L. Voigts and Dr. K. Gould kindly supplied the information that made this description possible.,2024-02-06 15:19:00 -0500,2021-10-01,ds_50_45_00137420.xml
,,,ds-mets-xml,,Q579968,University of Missouri,Fragmenta Manuscripta 010,Fragmenta Manuscripta 010,,"",France,http://vocab.getty.edu/tgn/1000070,France,s. XII(med); 1140-1160,1140^1160,12,http://vocab.getty.edu/aat/300404504,false,"","",Penitential text,"","","",,,"",,,"","","","","","","","","","","","","","","","","","","","","","","","",Latin,Q397,Latin,"John Bagford (1650s-1716) to St. Martin-in-the-Fields; sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742; Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957; William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.","","","","","","","","","Binding: Not bound.|Number of scribes, f. 1r-v: 1.|Script, f. 1r-v: Gothic.|Layout, f. 1r-v: Recto/verso sides as fragment are opposite to recto/verso in original ms. 1 col., probably of 2, single bounding lines. 21 lines visible, 7 mm apart. Ruling in leadpoint. Brown Ink.","Bibliography: M. McC. Gatch, ""Fragmenta Manuscripta and Varia at Missouri and Cambridge,"" Transactions of the Cambridge Bibliographical Society9 (1990) 434-75.|f. 1r-v: Early Gothic minuscule, school of Citeaux. See Two Thousand Years of Calligraphy pl. 23.|f. 1r-v: Latin.",Prof. L. Voigts and Dr. K. Gould kindly supplied the information that made this description possible.,2024-02-06 15:19:00 -0500,2021-10-01,ds_50_45_00137421.xml
