ds_id,date_added,date_last_updated,source_type,cataloging_convention,holding_institution_ds_qid,holding_institution_as_recorded,holding_institution_id_number,holding_institution_shelfmark,link_to_holding_institution_record,iiif_manifest,production_place_as_recorded,production_place_ds_qid,production_date_as_recorded,production_date,century,century_aat,dated,title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_agr,standard_title_ds_qid,genre_as_recorded,genre_ds_qid,subject_as_recorded,subject_ds_qid,author_as_recorded,author_as_recorded_agr,author_ds_qid,artist_as_recorded,artist_as_recorded_agr,artist_ds_qid,scribe_as_recorded,scribe_as_recorded_agr,scribe_ds_qid,associated_agent_as_recorded,associated_agent_as_recorded_agr,associated_agent_ds_qid,former_owner_as_recorded,former_owner_as_recorded_agr,former_owner_ds_qid,language_as_recorded,language_ds_qid,material_as_recorded,material_ds_qid,physical_description,note,acknowledgments,data_processed_at,data_source_modified,source_file
DS262,,,ds-mets-xml,ds-mets,Q1123,The Nelson-Atkins Museum of Art,KG 01,KG 01,https://archive.org/details/KG01_46,https://iiif.archive.org/iiif/images_KG01_46/manifest.json,France,Q122,s. XIII(med); 1225-1275,1225^1275,13,http://vocab.getty.edu/aat/300404505,false,Sentiarium libri quatuor|Rubric: Predictis repetit ut alia addat differentias ponens de gratia et libero arbitrio,|,|,|,Q1119|Q1119,"","","","",Peter Lombard,"",Q1124,"","","","","","","","","",Purchased by Karen Gould (1946-2012) from William Linehan Autographs on 26 July in the 1980s. Gift of Lewis Gould to the Nelson-Atkins Museum of Art in 2012 in his wife's memory.,"",Q1125;Q1126,Latin,Q113,"parchment, translucent",Q33,"Binding: Not bound.|Other decoration, One leaf: Alternating two-line red initials with blue flourishing and blue initials with red flourishing. Marginal red/blue Roman numeral for Distinctio 28 on recto only; 28 on verso. Running head Liber II, red/blue, recto/verso.|Number of scribes, One leaf: 1.|Script, One leaf: Informal textura.|Layout, One leaf: 2 columns of 31 lines.","One leaf: Modern pencil foliation on the recto, ""105."" Peter Lombard (c. 1100-1160), ""Master of the Sentences,"" who taught at the Cathedral School in Paris from around 1143 or 1144, was appointed Bp. of Paris in 1159. His Book of Sentences, written sometime in the 1150s, are divided into four books treating of (1)the Trinity, (2)the Creation and Sin, (3)the Incarnation and the Virtues, and (4)the Sacraments and the four Last Things.|One leaf: Peter Lombard, Sentiarium libri quatuor. Contains Book II, end of Dist. 27 and large parts of Dist. 28 (chapters 1, 2, and part of 3).|Incipit, One leaf: Alibi etiam dicit Augustinus quod huic gratie contradicere videtur qua iustificamur, ait enim in libro contra adamantium//.|Explicit, One leaf: -linquo examini. ad alia properans; [followed by rubric. Then first full text begins: Id vero inconcusse et incunctanter teneamus liberum arbitrium sine gratia preveniente et adiuvante].","We are grateful to Brother Thomas Sullivan, O.S.B., for providing the identification of the text, and to Patricia Deery Kurtz and Linda Ehrsam Voigts for the physical description.",2024-11-04 11:12:55 -0500,2016-09-13T08:34:00,ds_50_46_00182892.xml
DS270,,,ds-mets-xml,ds-mets,Q1123,The Nelson-Atkins Museum of Art,KG 02,KG 02,https://archive.org/details/KG02_46,https://iiif.archive.org/iiif/images_KG02_46/manifest.json,Italy,Q134,s. XV; 1477-1477,1477^1477,15,http://vocab.getty.edu/aat/300404465,false,"Antoninus Florentinus: Summa Sacrae Theologiae, luris Pontifici et Caesarei","","","",Q1118,"","","","","","","","","","","","","","","","",Unknown. Gift of Lewis Gould to the Nelson-Atkins Museum of Art in 2012 in wife's memory.,"",Q1126,Latin,Q113,paper,Q31,"Binding: Not bound.|Number of scribes, Three leaves: 1.|Layout, Three leaves: Text block 153 x 104 mm. 2 columns of 40.|Watermarks, Three leaves: 3 anchor watermarks, 2 bottom, 1 top; ca 45 mm diameter, 22 1/2 mm radius.","Three leaves: It appears that Johannes de Colonia and Johannes Manthen printed Pars II of the Summa at Venice in 1477 and printed no other volumes of the Summa. This text is found in Liber III. Did Pars II of the Summa contain Liber III? If so, this leaf could be from the 1477 imprint. Shortly before his death, Antoninus Pierozzi (1389-1459), archbishop of Florence, wrote a very popular four-volume Summa Sacrae Theologiae, Iuris Pontifici et Caesarei treating of how man, soul and body intellect and will can, in all conditions to which he is subject, pass from vices to virtues. In the fifteenth and sixteenth centuries several abridged versions were also prepared for use as manuals for confessors and penitents. Antoninus' Summa was first printed in Venice in 1477.|Three leaves: The text comes from Antonius Florentinus, Summa Sacrae Theologiae, luris Pontifici et Caesarei, Liber III, Titulus XXIV, Cap. XVIII which treats of excommunication - Titulus XXVII, Cap. I which treats of suspension.|Incipit, Three leaves: -sceptis ordinibus ministrare: quamvis.|Explicit, Three leaves: aut seruari facientes statuta contra.|Explicit, Folios: Item non potest talem licentiam dare officialis.","We are grateful to Brother Thomas Sullivan, O.S.B., for providing the identification of the text, and to Patricia Deery Kurtz and Linda Ehrsam Voigts for the physical description.",2024-11-04 11:12:55 -0500,2016-09-13T08:43:35,ds_50_46_00183735.xml
DS271,,,ds-mets-xml,ds-mets,Q1123,The Nelson-Atkins Museum of Art,KG 03,KG 03,https://archive.org/details/KG03_46,https://iiif.archive.org/iiif/images_KG03_46/manifest.json,Germany,Q131,s. XV; 1475-1500,1475^1500,15,http://vocab.getty.edu/aat/300404465,false,Glossa Ordinaria (Incunable leaf),"","","",Q1116,"","","","","","","","","","","","","","","","",Unknown. Gift of Lewis Gould to the Nelson-Atkins Museum of Art in 2012 in wife's memory.,"",Q1126,Latin,Q113,paper,Q31,"Binding: Not bound.|Other decoration, One leaf: Foliation: CCXLIX printed on Recto.|Number of scribes, One leaf: 1.|Layout, One leaf: Text block 261 x 172 mm. 2 columns of 71, running headlines, numbered, marginal printed key letters.|Watermarks, One leaf: Watermark: None.","Manuscript note: ISTC Number: ib00607000 http://istc.bl.uk/search/record.html?istc=ib00607000#.|One leaf: (Strasburg, Adolf Rusch, for Nuremberg, Anton Koberger not after 1480. Bookseller described as Nuremberg, Anton Koberger 1497.).|One leaf: Text and gloss on the Epistola Pauli, Ad Hebreos 2: 1-7a. Drawn chiefly from extracts from the Fathers, the Glossa ordinaria was arranged in the form of marginal and interlinear glosses. Its composition was begun in the school of Anselm of Laon with Anselm responsible for the Gloss on the Psalter, the Pauline Epistles (including Hebrews), and on the Gospel of Saint John and his brother Ralph for the Gloss on the Gospel of Saint Matthew. Gilbert the Universal, who taught at Auxerre before becoming Bishop of London (1128-34), was responsible for the Pentateuch and probably Joshua, Judges and the four Books of Kings, and the Great Prophets and Lamentations as well. While the names of the compilers of the glossa on the remaining books of the Bible are either uncertain or unknown, we do know that glossing the whole Bible was completed by the middle of the 12th century. Biblia Latina. Printed in Nuremberg 1497 by Anton Koberger. The same printer of the Nuremberg Chronicle.|Incipit, One leaf: passibile et mortale ad implendum nostre redemptionis ministre.|Explicit, One leaf: propterea abundantius. Postquam apostolus in capitulo precedent.","We are grateful to Brother Thomas Sullivan, O.S.B., for providing the identification of the text, and to Patricia Deery Kurtz and Linda Ehrsam Voigts for the physical description.",2024-11-04 11:12:55 -0500,2016-09-13T08:46:26,ds_50_46_00213106.xml
DS272,,,ds-mets-xml,ds-mets,Q1123,The Nelson-Atkins Museum of Art,KG 04,KG 04,https://archive.org/details/KG04_46,https://iiif.archive.org/iiif/images_KG04_46/manifest.json,France,Q122,s. XVI; 1508-1508,1508^1508,16,http://vocab.getty.edu/aat/300404510,false,[Saint] Cyril of Alexandria Super Evangelium Joannis (1508 Printed Book Leaf,"","","",Q20515,"","","","","","","","","","","","","","","","",Unknown. Gift of Lewis Gould to the Nelson-Atkins Museum of Art in 2012 in wife's memory.,"",Q1126,Latin,Q113,paper,Q31,"Binding: Not bound.|Other decoration, One printed book leaf: Hand-written guide letters for alternating red/blue initials.|Layout, One printed book leaf: Text block 215 x 135.18 mm. Single column of 44 lines of text with column for biblical citation, running headlines, marginal chapter descriptions all printed, a.b. columns demarcated by ink frame ruling.|Watermarks, One printed book leaf: Watermark: None.","Manuscript note: Opus insigne beati patris Cyrilli patriarche Alexandrini in Eua[n]gelium loannis, OCLC Accession Number: 258288652. https://www.worldcat.org/title/opus-insigne-beati-patris-cyrilli-patriarche-alexandrini-in-evangelium-ioannis/oclc/258288652&referrer=brief_results.|One printed book leaf: [Opus insigne beati patris Cyrilli patriarche Alexandrini in Euangelium loannis,] Translation by George of Trebizond of Saint Cyril of Alexandria's Commentary on the Gospel of John Cap. XV-XVII. George of Trebizond (born 1396, Candia, Crete -- died 1486, Rome) Byzantine humanist, Greek scholar, and Aristotelian polemist. His academic influence in Italy and within the papacy, his theories on grammar and literary criticism, and his Latin translations of ancient Greek works, although at times strongly criticized, contributed substantially to Italian humanism and to the Renaissance.|Incipit, One printed book leaf: -gna in omnes atrocitate usus fuisti, ueni post illos ego / ut errantes.|Explicit, One printed book leaf: etiam aliquem a pietate rapuerit.","We are grateful to Brother Thomas Sullivan, O.S.B., for providing the identification of the text, and to Patricia Deery Kurtz and Linda Ehrsam Voigts for the physical description.",2024-11-04 11:12:55 -0500,2016-09-13T08:47:27,ds_50_46_00213186.xml
DS273,,,ds-mets-xml,ds-mets,Q1123,The Nelson-Atkins Museum of Art,KG 05,KG 05,https://archive.org/details/KG05_46,https://iiif.archive.org/iiif/images_KG05_46/manifest.json,Italy,Q134,s. XV; 1450-1465,1450^1465,15,http://vocab.getty.edu/aat/300404465,false,"15th century breviary for feast of August 29,30, September 8","","","",Q657,"","","","","","","","","","","","","","","","",Unknown. Gift of Lewis Gould to the Nelson-Atkins Museum of Art in 2012 in his wife's memory.,"",Q1126,Latin,Q113,parchment,Q33,"Binding: Not bound.|Other decoration, One leaf: One 3-line red initial. Eight 2-line initials alternating red and blue. Small guide letters for red/blue initials.|Number of scribes, One leaf: 1.|Script, One leaf: Informal textura.|Layout, One leaf: Text block 100 x 142 mm. 2 columns. Ink ruled.","One leaf: Texts for feasts of August 29, 30, September 8 from a 15th century breviary: In Decollatione S. Ioannis Bapt., Vigils, 3rd nocturne, Homily of Saint Augustine; commemoration of Saint Sabina; commemoration and lessons of Saint Felix and Audactus, Vigils; Nativity of the Blessed Virgin Mary, lesson. (ca. 1458, teste manuscript dealer).|Incipit, One leaf: matutinum: Invitatorium. Nativitatem virginis.|Explicit, One leaf: in disco seralis mussus crude-.","We are grateful to Brother Thomas Sullivan, O.S.B., for providing the identification of the text, and to Patricia Deery Kurtz and Linda Ehrsam Voigts for the physical description.",2024-11-04 11:12:55 -0500,2016-09-13T08:48:27,ds_50_46_00213196.xml
DS274,,,ds-mets-xml,ds-mets,Q1123,The Nelson-Atkins Museum of Art,KG 06,KG 06,https://archive.org/details/KG06_46,https://iiif.archive.org/iiif/images_KG06_46/manifest.json,Italy,Q134,s. XV; 1480-1499,1480^1499,15,http://vocab.getty.edu/aat/300404465,false,"Bartholomaeus de Sancto Concordio, Summa de Casibus Conscientiae (Incunable Leaf)","","","",Q813,"","","","","","","","","","","","","","","","",Unknown. Gift of Lewis Gould to the Nelson-Atkins Museum of Art in 2012 in his wife's memory.,"",Q1126,Latin,Q113,paper,Q31,"Binding: Unbound.|Other decoration, One leaf: Nine alternating red/blue capitula supplied.|Layout, One leaf: Text block 109 x 68 mm. 2 columns of 36 lines, upper margin: MS: Matrimonium.|Watermarks, One leaf: Watermark: Partial, cropped.","Manuscript note: ISTC Number: ib00174000. http://istc.bl.uk/search/search.html?operation=record&rsid=314408&q=0#.|One leaf: Questions concerning marriage from the Summa de casibus conscientiae of Bartolomeo da San concordio, O.P. Bartholomeo da San Concordio, O.P. (1262-1347), is best known for his alphabetically arranged Summa de casibus conscientiae (1338), a popular digest much used in 14th and 15th centuries. (Venice, Nicolaus Giardengus de Novis, 1481-1497).|Incipit, One leaf: pot ce matrimonium in remedium.|Explicit, One leaf: in necessariis ut possu[n]t subven-.","We are grateful to Brother Thomas Sullivan, O.S.B., for providing the identification of the text, and to Patricia Deery Kurtz and Linda Ehrsam Voigts for the physical description.",2024-11-04 11:12:55 -0500,2016-09-13T08:49:27,ds_50_46_00213297.xml
DS278,,,ds-mets-xml,ds-mets,Q1123,The Nelson-Atkins Museum of Art,KG 07,KG 07,https://archive.org/details/KG07_46,https://iiif.archive.org/iiif/images_KG07_46/manifest.json,Italy,Q134,"1482, August 5; s. XV; 1450-1499",1450^1499,15,http://vocab.getty.edu/aat/300404465,false,"Horatius Flaccus, Quintus, Opera, with Commentary by Christopher Landinus (Incunable Leaf)","","","",Q18562;Q18559,"","","","","","","","","","","","","","","","","Purchased by Karen Gould (1946-2012) from Pageant Book and Print Shop, New York. Gift of Lewis Gould to the Nelson-Atkins Museum of Art in 2012 in his wife's memory.","",Q1125;Q1126,Latin,Q113,paper,Q31,"Binding: Not bound.|Other decoration, One leaf: Running headline ; faded red ink capitula supplied; marginal finding notes supplied.|Layout, One leaf: Text block for commentary 177 x 218 mm includes inserted text block for Horace, verse dimensions vary (number of lines of verse varies), running headlines. Foliation printed at bottom.|Watermarks, One leaf: Watermarks: None.","Manuscript note: Horatius Flaccus, Quintus, Opera, with Commentary by Christophorus Landinus, ISTC Number ih00447000. http://istc.bl.uk/search/record.html?istc=ih00447000.|One leaf: The text is from the commentary on the Odes of Horace Book IV, Ode 4, II. 17-43 by Cristoforo Landino (1424-1498). Landino studied Greek under George of Trebizond, belonged to Marsilio Facino's Platonic Academy , and was a teacher of Lorenzo de' Medici and his brother Giuliano. Printed by Antonio di Bartolommeo (also Bartolomeo) Miscomini in Florence, August 1482.|Incipit, One leaf: quadruplici comparatione rem confirmat artificiosissimus poeta. Ostendit enim quod non magis.|Explicit, One leaf: ILLE DIES. in quo victoria potitus est pulcher fuit fugatis tenebris ex latio in? devictis.","We are grateful to Brother Thomas Sullivan, O.S.B., for providing the identification of the text, and to Patricia Deery Kurtz and Linda Ehrsam Voigts for the physical description.",2024-11-04 11:12:55 -0500,2016-09-13T08:53:38,ds_50_46_00213590.xml
DS279,,,ds-mets-xml,ds-mets,Q1123,The Nelson-Atkins Museum of Art,KG 08,KG 08,https://archive.org/details/KG08_46,https://iiif.archive.org/iiif/images_KG08_46/manifest.json,Italy,Q134,"1482, August 5; s. XV; 1450-1499",1450^1499,15,http://vocab.getty.edu/aat/300404465,false,"Horatius Flaccus, Quintus, Opera, with Commentary by Christophorus Landinus","","","",Q18562;Q18559,"","","","","","","","","","","","","","","","",Unknown. From the collection of Karen Keel Gould (1946-2012). Gift of Lewis Gould to the Nelson-Atkins Museum of Art in 2012 in his wife's memory.,"",Q1125;Q1126,Latin,Q113,paper,Q31,"Binding: Not bound.|Other decoration, One leaf: Running headline ; faded red ink capitula supplied; marginal finding notes supplied.|Layout, One leaf: Quarto volume. Text block for commentary 177 x 218 mm includes inserted text block for Horace, verse dimensions vary (number of lines of verse varies), running headlines. Printed foliation at bottom.|Watermarks, One leaf: Watermarks: None.","Manuscript note: Horatius Flaccus, Quintus, Opera, with Commentary by Christophorus Landinus, ISTC Number ih00447000. http://istc.bl.uk/search/record.html?istc=ih00447000.|One leaf: The text is from the commentary on the Odes of Horace Book III, Ode 27, II. 35-42, by Cristoforo Landino (1424-1498). Landino studied Greek under George of Trebizond, belonged to Marsilio Facino's Platonic Academy, and was a teacher of Lorenzo de' Medici and his brother, Giuliano.|Incipit, One leaf: -ctenus libidine submerse fuerat emergit; lumineque suo mentem prius obscuratam illustrat.|Explicit, One leaf: SED Vides. Postquam per insinuationem animum Galathee occupauerat: nunc iam aperte illam.","We are grateful to Brother Thomas Sullivan, O.S.B., for providing the identification of the text, and to Patricia Deery Kurtz and Linda Ehrsam Voigts for the physical description.",2024-11-04 11:12:55 -0500,2016-09-13T08:54:39,ds_50_46_00213591.xml
DS263,,,ds-mets-xml,ds-mets,Q1123,The Nelson-Atkins Museum of Art,KG 09,KG 09,https://archive.org/details/KG09_46,https://iiif.archive.org/iiif/images_KG09_46/manifest.json,"France, Northern",Q1114,s. XV(ex); 1485-1499,1485^1499,15,http://vocab.getty.edu/aat/300404465,false,Oratio pro se ipso <?>|Book of Hours,|,|,|,Q799|Q795,"","","","","","","","","","","","","","","","",Belonged to Karen Gould (1946-2012); gift of Lewis Gould to the Nelson-Atkins Museum of Art in 2012 in his wife's memory.,"",Q1125;Q1126,Latin,Q113,parchment,Q33,"Binding: Not bound.|Other decoration, One leaf: Painted gold on muted rose ground. Ink ruled, single column. One four-line faded red block initial with faded gold letters. Modern foliation 18 on lower right recto.|Number of scribes, One leaf: 1.|Script, One leaf: Batârde.|Layout, One leaf: Text block 84 x 61 mm. 18 long lines ruled in pale red.","One leaf: Masculine forms used in the prayer.|Incipit, One leaf: ut pacem et concordiam inter omnes christianos confirmes.|Explicit, One leaf: Sacro sanctum corpus et sanguis domini nostri Iesu Christi qui pro salute humani generis mactabaris in cruce te suppliciter ego indignus peccator imploro.","We are grateful to Brother Thomas Sullivan, O.S.B., for providing the identification of the text, and to Patricia Deery Kurtz and Linda Ehrsam Voigts for the physical description.",2024-11-04 11:12:55 -0500,2016-09-13T08:35:51,ds_50_46_00183140.xml
DS280,,,ds-mets-xml,ds-mets,Q1123,The Nelson-Atkins Museum of Art,KG 10,KG 10,https://archive.org/details/KG10_46,https://iiif.archive.org/iiif/images_KG10_46/manifest.json,Germany,Q131,"1497, April 26; s. XV(ex); 1450-1499",1450^1499,15,http://vocab.getty.edu/aat/300404465,false,Biblia Veteris et Novi Testamenti,"","","",Q661;Q664;Q655,"","","","","","","","","","","","","","","","","Unknown. Purchased by Karen Gould (1946-2012) from Pageant Book and Print Shop, New York. Gift of Lewis Gould to the Nelson-Atkins Museum of Art in 2012 in his wife's memory.","",Q1125;Q1126,Latin,Q113,paper,Q31,"Other decoration, One incunable leaf: Recto 8-line hand-painted red F painted over printed guide letter. Verso 3-line hand-painted red I painted over printed guide letter.|Layout, One incunable leaf: Text block 221 x 140 mm. 2 columns of 54 lines, printed marginal letter keys and biblical citations, running headlines.|Watermarks, One incunable leaf: Watermark: none.","Manuscript note: Biblia Veteris et Novi Testamenti, ISTC Number: ib00600000, http://istc.bl.uk/search/record.html?istc=ib00600000.|One incunable leaf: This folio presents the conclusion of I Maccabees (16:19-24) and the first two chapters of II Maccabees (2:33). II Maccabees was particularly important in Christian thought for it contains scripture's most explicit mention of creation ex nihilo and the earliest scriptural support for the practice of prayers for the dead.|Incipit, One incunable leaf: L.S. Prodidit symon dona templi dei.|Explicit, One incunable leaf: -os in gazaram tollere iohannem: et tribunis.","We are grateful to Brother Thomas Sullivan, O.S.B., for providing the identification of the text, and to Patricia Deery Kurtz and Linda Ehrsam Voigts for the physical description.",2024-11-04 11:12:55 -0500,2016-09-13T08:55:40,ds_50_46_00213676.xml
