ds_id,date_added,date_last_updated,source_type,cataloging_convention,holding_institution_ds_qid,holding_institution_as_recorded,holding_institution_id_number,holding_institution_shelfmark,link_to_holding_institution_record,iiif_manifest,production_place_as_recorded,production_place_ds_qid,production_date_as_recorded,production_date,century,century_aat,dated,title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_agr,standard_title_ds_qid,genre_as_recorded,genre_ds_qid,subject_as_recorded,subject_ds_qid,author_as_recorded,author_as_recorded_agr,author_ds_qid,artist_as_recorded,artist_as_recorded_agr,artist_ds_qid,scribe_as_recorded,scribe_as_recorded_agr,scribe_ds_qid,associated_agent_as_recorded,associated_agent_as_recorded_agr,associated_agent_ds_qid,former_owner_as_recorded,former_owner_as_recorded_agr,former_owner_ds_qid,language_as_recorded,language_ds_qid,material_as_recorded,material_ds_qid,physical_description,note,acknowledgments,data_processed_at,data_source_modified,source_file
,"","",marc-xml,appm,Q64103,Newberry Library,991267278805867,VAULT box Ayer MS 1225,https://i-share-nby.primo.exlibrisgroup.com/permalink/01CARLI_NBY/i5mcb2/alma991267278805867,"","Zaragoza, Spain",Q4330;Q129,1534 Jan. 6.,1534,16,http://vocab.getty.edu/aat/300404510,true,Reissue of a merced to Diego de Carvajal for the sweepings and washings of gold and silver from smelters in New Spain,"","","",Q27821,Decrees,Q2789,"Galíndez de Carvajal, Lorenzo, 1472-approximately 1528|González de Carvajal, Diego|Juana, la Loca, Queen of Castile, 1479-1555|Pic̨arro, Diego|Inheritance and succession--Spain--History--16th century--Sources|Gifts--Spain--History--16th century--Sources|Gold mines and mining--New Spain--History--16th century--Sources|Silver mines and mining--New Spain--History--16th century--Sources|Smelting--New Spain--History--16th century--Sources|Manuscripts, Spanish--Spain--Zaragoza|New Spain--History--16th century--Sources|Spain--History--Charles I, 1516-1556--Sources",Q66762||Q66763||Q3565;Q343;Q6879;Q335;Q2769|Q3614;Q343;Q6879;Q335;Q2769|Q12684;Q38641;Q6879;Q335;Q2769|Q12547;Q38641;Q6879;Q335;Q2769|Q66927;Q38641;Q6879;Q335;Q2769|Q202;Q4172|Q38641;Q6879;Q335;Q2769|Q343;Q6879;Q254;Q2769,Spain. Sovereign (1516-1556 : Charles I),"",Q392;Q7656,"","","","","","","","","","","","",In Spanish,Q114,"","",Extent: 2] leaves ; 31 cm,"Document signed by Charles I.|Verso of leaf [2]: ""sobrecarta dela m[erc][e]d de laescovilla y rrelabes de la nueva españa.""|Some loss of text due to blurring of ink and insect damage.|Forms part of the Edward E. Ayer Manuscript Collection (Newberry Library)","",2025-01-28 11:47:07 -0500,20240117,20241220-newberry-marc.xml
,"","",marc-xml,appm,Q64103,Newberry Library,991267648805867,VAULT box Ayer MS 1226,https://i-share-nby.primo.exlibrisgroup.com/permalink/01CARLI_NBY/i5mcb2/alma991267648805867,https://collections.newberry.org/IIIF3/Presentation/Manifest/2KXJ8ZS8LJNTF,"Valladolid, Spain",Q6979;Q129,1543 May 26.,1543,16,http://vocab.getty.edu/aat/300404510,true,"Cédula containing ordinances regulating repartimientos, tax collection, and the treatment of Indians in New Spain","","","",Q12786,Decrees,Q2789,"Law--Spain--Colonies--America--History--16th century--Sources|Indians, Treatment of--Mexico--History--16th century--Sources|Indians of Mexico--Legal status, laws, etc.--History--16th century--Sources|Conquerors--Mexico--History--16th century--Sources|Taxation--Mexico--History--16th century--Sources|Tax collection--Mexico--History--16th century--Sources|Manuscripts, Spanish--Spain--Valladolid|Spain--Colonies--America--Administration--History--16th century--Sources|New Spain--History--16th century--Sources|New Spain--Politics and government--16th century--Sources",Q4186;Q343;Q6839;Q6860;Q6879;Q335;Q2769|Q6954;Q7744;Q6879;Q335;Q2769|Q66928;Q6879;Q335;Q2769|Q66929;Q7744;Q6879;Q335;Q2769|Q248;Q7744;Q6879;Q335;Q2769|Q3576;Q7744;Q6879;Q335;Q2769|Q202;Q38450|Q343;Q48353;Q6860;Q6879;Q335;Q2769|Q38641;Q6879;Q335;Q2769|Q38641;Q2818;Q335;Q2769,Spain. Sovereign (1516-1556 : Charles I),"",Q392;Q7656,"","","","","","","","","","","","",In Spanish,Q114,"","",Extent: 9]-13 leaves ; 32 cm.,"Embossed seal of Charles V, Holy Roman Emperor (Charles I of Spain), leaf 13 verso.|Some torn leaves, with additional loss of text due to damage.|Acquired in 1899 from Mexico City bookseller Wilson Wilberforce Blake.|Forms part of the Edward E. Ayer Manuscript Collection (Newberry Library)","",2025-01-28 11:47:07 -0500,20240116,20241220-newberry-marc.xml
,"","",marc-xml,appm,Q64103,Newberry Library,991270428805867,VAULT box Ayer MS 1229,https://i-share-nby.primo.exlibrisgroup.com/permalink/01CARLI_NBY/i5mcb2/alma991270428805867,"",Spain,Q129,1599 Aug. 16.,1599,16,http://vocab.getty.edu/aat/300404510,true,Royal cédula ordering tighter controls on the use of substitutes for professors at the university in Mexico City,"","","",Q39747,Decrees,Q2789,"Cervantes, Juan de|Bacán, Hernando de|Universidad de México--Faculty--History--16th century--Sources|Education, Higher--Mexico--Mexico City--History--16th century--Sources|College teachers--Mexico--Mexico City--History--16th century--Sources|Manuscripts, Spanish--Spain|Manuscripts, Spanish--Mexico--Mexico City|Spain--Colonies--America--Administration--History--16th century--Sources|Mexico--History--Spanish colony, 1540-1810--Sources",||Q66764;Q66765;Q6879;Q335;Q2769|Q66930;Q55272;Q6879;Q335;Q2769|Q66931;Q55272;Q6879;Q335;Q2769|Q202;Q343|Q202;Q55272|Q343;Q48353;Q6860;Q6879;Q335;Q2769|Q7744;Q6879;Q48355;Q2769,Spain. Sovereign (1598-1621 : Philip III),"",Q392;Q41700,"","","","","","","","","","","","",In Spanish,Q114,"","",Extent: 1] leaf ; 31 cm.,Acquired in 1899 from the Mexico City bookseller Wilson Wilberforce Blake.|Forms part of the Edward E. Ayer Manuscript Collection (Newberry Library),"",2025-01-28 11:47:07 -0500,20240116,20241220-newberry-marc.xml
,"","",marc-xml,"",Q64103,Newberry Library,991280638805867,VAULT box Ayer MS 1255,https://i-share-nby.primo.exlibrisgroup.com/permalink/01CARLI_NBY/i5mcb2/alma991280638805867,"","","",1511.,1511,16,http://vocab.getty.edu/aat/300404510,true,Cartello no. 4 riguardante l'elezione del priore del popolo fiorentino tutte quattro spettanti la persona d'Angiolo Sacchetti come priore eletto in quattro diversi tempi; a di 1 novembre 1511,"","","",Q67712,"","","Sacchetti, Angiolo|Abbots--Appointment, call, and election|Manuscripts, Latin|Florence (Italy)--Church history--16th century--Sources",|Q66932|Q210|Q3604;Q38895;Q335;Q2769,"","","","","","","","","","","","","","","",In Latin and Italian,Q113;Q116,parchment,Q33,Extent: 1] leaf : parchment ; 13 x 18 cm.,"Butler suggests that Vespucci's signature may be a forgery, or may belong to another man by the same name.|""No. 106 [?]""--Recto.|Embossed seals in lower right and left corners.|Some loss of text due to fading.|Forms part of the Edward E. Ayer Manuscript Collection (Newberry Library)","",2025-01-28 11:47:07 -0500,20240112,20241220-newberry-marc.xml
,"","",marc-xml,appm,Q64103,Newberry Library,991283798805867,VAULT Ayer MS 1275 no. 2,https://i-share-nby.primo.exlibrisgroup.com/permalink/01CARLI_NBY/i5mcb2/alma991283798805867,"",Mexico City,Q66883,1539 April 27.,1539,16,http://vocab.getty.edu/aat/300404510,true,Report of a council meeting of bishops and priests in Mexico City to discuss their ministry to the Indians,"","","",Q7243,Reports|Manuscripts (documents),Q187|Q10789,"Catholic Church--Missions--Mexico--History--16th century--Sources|Catholic Church--Liturgy--History--16th century--Sources|Sacraments--Catholic Church--History--16th century--Sources|Evangelistic work--Mexico--History--16th century--Sources|Indians of Mexico--Missions--Mexico--History--16th century--Sources|Bishops--Mexico--History--16th century--Sources|Clergy--Mexico--History--16th century--Sources|Manuscripts, Spanish--Mexico--Mexico City|Mexico--Church history--16th century--Sources",Q310;Q6874;Q7744;Q6879;Q335;Q2769|Q310;Q207;Q6879;Q335;Q2769|Q4825;Q6879;Q335;Q2769|Q66933;Q7744;Q6879;Q335;Q2769|Q66934;Q7744;Q6879;Q335;Q2769|Q307;Q7744;Q6879;Q335;Q2769|Q4141;Q7744;Q6879;Q335;Q2769|Q202;Q55272|Q7744;Q38895;Q335;Q2769,"","","","","","","","","","","","","","","",In Spanish,Q114,"","","Extent: 12] leaves, bound ; 33 cm.","Printed as ""Copia de un original muy precioso de la junta que se hicieron en la ciudad de Thenuxtitlan México"" in the Appendix of Concilios provinciales primero y segundo. Mexico : Imprenta de el Superior Gobierno, de Joseph Antonio de Hogal, 1769, a copy of which is bound with the ms.|With ms.: Zumárraga, Juan de, 1468-1548. Letter : Mexico [City], to Charles V of Spain, 1537 Nov.|Forms part of the Edward E. Ayer Manuscript Collection (Newberry Library)","",2025-01-28 11:47:07 -0500,20240304,20241220-newberry-marc.xml
,"","",marc-xml,appm,Q64103,Newberry Library,991283868805867,VAULT Ayer MS 1275 no. 1,https://i-share-nby.primo.exlibrisgroup.com/permalink/01CARLI_NBY/i5mcb2/alma991283868805867,https://collections.newberry.org/IIIF3/Presentation/Manifest/2KXJ8ZS8LJLJL,Mexico City,Q66883,1537 Nov.,1537,16,http://vocab.getty.edu/aat/300404510,true,"Letter; Mexico [City], to Charles V of Spain","","","",Q1454,Correspondence|Manuscripts (documents),Q7715|Q10789,"Catholic Church. Archdiocese of Mexico City (Mexico)--History--16th century--Sources|Catholic Church. Archdiocese of Oaxaca (Mexico)--History--16th century--Sources|Catholic Church. Archdiocese of Guatemala (Guatemala)--History--16th century--Sources|Bishops--Mexico--History--16th century--Sources|Bishops--Guatemala--History--16th century--Sources|Indians of Mexico--Missions--Mexico--History--16th century--Sources|Indians of Central America--Missions--Guatemala--History--16th century--Sources|Evangelistic work--Mexico--History--16th century--Sources|Evangelistic work--Guatemala--History--16th century--Sources|Tithes--Mexico--History--16th century--Sources|Tithes--Guatemala--History--16th century--Sources|Manuscripts, Spanish--Mexico--Mexico City|Mexico--Church history--16th century--Sources|Guatemala--Church history--16th century--Sources",Q66766;Q6879;Q335;Q2769|Q66767;Q6879;Q335;Q2769|Q66768;Q6879;Q335;Q2769|Q307;Q7744;Q6879;Q335;Q2769|Q307;Q4232;Q6879;Q335;Q2769|Q66934;Q7744;Q6879;Q335;Q2769|Q66935;Q4232;Q6879;Q335;Q2769|Q66933;Q7744;Q6879;Q335;Q2769|Q66933;Q4232;Q6879;Q335;Q2769|Q66936;Q7744;Q6879;Q335;Q2769|Q66936;Q4232;Q6879;Q335;Q2769|Q202;Q55272|Q7744;Q38895;Q335;Q2769|Q4232;Q38895;Q335;Q2769,"Zumárraga, Juan de, 1468-1548","",Q67501,"","","","","","","","","","","","",In Spanish,Q114,"","","Extent: 11] leaves, bound ; 33 cm.","Printed as ""Carta original de los illmôs. señores obispos de Mexico, Goatemala, y Oaxaca"" in the Appendix of Concilios provinciales primero y segundo. Mexico : Imprenta de el Superior Gobierno, de Joseph Antonio de Hogal, 1769, a copy of which is bound with the ms.|Added cover leaf contains brief description of letter, including details on date and names. Notes on cover leaf of ms. and verso of leaf [11] identify letter and contain date and contemporary filing information.|With ms.: Report of a council meeting of bishops and priests in Mexico City to discuss their ministry to the Indians [manuscript] 1539 April 27.|Forms part of the Edward E. Ayer Manuscript Collection (Newberry Library)","",2025-01-28 11:47:07 -0500,20240304,20241220-newberry-marc.xml
,"","",marc-xml,appm,Q64103,Newberry Library,991289208805867,VAULT Ayer MS 1917,https://i-share-nby.primo.exlibrisgroup.com/permalink/01CARLI_NBY/i5mcb2/alma991289208805867,https://collections.newberry.org/IIIF3/Presentation/Manifest/2KXJ8ZSJL3JZC,"Antigua, Guatemala",Q66884;Q66885,approximately 1559,1559,16,http://vocab.getty.edu/aat/300404510,false,Official copy of royal cedulas from the real cedulario of the Audiencia de Guatemala,"","","",Q39747,Decrees,Q2789,"Guatemala. Audiencia--History--16th century--Sources|Indians of Central America--Guatemala--History--16th century--Sources|Indians, Treatment of--History--16th century--Sources|Manuscripts, Spanish--Guatemala--Antigua|Guatemala--History--16th century--Sources|Guatemala--Politics and government--16th century--Sources|Guatemala--Officials and employees--History--16th century--Sources|Spain--Colonies--America--Administration--History--16th century--Sources",Q66769;Q6879;Q335;Q2769|Q38958;Q4232;Q6879;Q335;Q2769|Q6954;Q6879;Q335;Q2769|Q202;Q66937|Q4232;Q6879;Q335;Q2769|Q4232;Q2818;Q335;Q2769|Q4232;Q8164;Q6879;Q335;Q2769|Q343;Q48353;Q6860;Q6879;Q335;Q2769,Spain. Sovereign (1556-1598 : Philip II),"",Q392;Q17780,"","","","","","","","","","","","",In Spanish,Q114,"","",Extent: 12] leaves ; 30 cm.,"Spine title: Real Audiencia de los Confines. Real cedulario 1556-9. Santiago de los Caballeros.""|Leaves numbered 179-190.|In red morocco slipcase.|Forms part of the Edward E. Ayer Manuscript Collection (Newberry Library)","",2025-01-28 11:47:07 -0500,20240301,20241220-newberry-marc.xml
,"","",marc-xml,"",Q64103,Newberry Library,991300698805867,VAULT oversize Ayer MS 1329,https://i-share-nby.primo.exlibrisgroup.com/permalink/01CARLI_NBY/i5mcb2/alma991300698805867,"","","",1597.,1597,16,http://vocab.getty.edu/aat/300404510,true,"Escritura por la cual Dn. Franco. de Guzman agregó al Mayorazgo de su Casa una Espada y Daga, una Jarra y Salva de oro y un Cuerno de Bada, labrado de gran virtud para la salud; ante Luis de Contreras en Manila 7 de Junio de 1597","","","",Q1319,"","","Tello de Guzmán, Francisco, d. 1603|Legacies--Philippines--Manila--History--16th century--Sources|Estates (Law)--Philippines--Manila--History--16th century--Sources|Administration of estates--Philippines--Manila--History--16th century--Sources|Inheritance and succession--Philippines--Manila--History--16th century--Sources|Property--Philippines--Manila--History--16th century--Sources|Manuscripts, Spanish--Philippines--Manila",|Q66938;Q66939;Q6879;Q335;Q2769|Q66940;Q66939;Q6879;Q335;Q2769|Q66941;Q66939;Q6879;Q335;Q2769|Q3565;Q66939;Q6879;Q335;Q2769|Q5477;Q66939;Q6879;Q335;Q2769|Q202;Q66939,"Tello de Guzmán, Francisco, d. 1603","",Q67516,"","","","","","","","","","","","",In Spanish,Q114,"","",Extent: 3 leaves ; 31 cm.,"Title from added title page, which also contains added filing information.|Forms part of the Edward E. Ayer Manuscript Collection (Newberry Library)","",2025-01-28 11:47:07 -0500,20231222,20241220-newberry-marc.xml
,"","",marc-xml,appm,Q64103,Newberry Library,991318748805867,VAULT box Ayer MS 1936,https://i-share-nby.primo.exlibrisgroup.com/permalink/01CARLI_NBY/i5mcb2/alma991318748805867,"",Mexico City,Q66883,1589 April 18.,1589,16,http://vocab.getty.edu/aat/300404510,true,Documents concerning the encomiendas of Margarita de Legaspi and her sister Teresa Garcés in the pueblos of Izmiquilpa and Zumpango,"","","",Q5023,"","","Legaspi, Margarita de|Garcés, Teresa|López de Legaspi, Miguel, -1572|Taxation--Mexico--Izmiquilpa--History--16th century--Sources|Taxation--Mexico--Zumpango--History--16th century--Sources|Encomiendas (Latin America)--History--16th century--Sources|Encomenderos--Mexico--Izmiquilpa--History--16th century--Sources|Encomenderos--Mexico--Zumpango--History--16th century--Sources|Indians of Mexico--Taxation--History--16th century--Sources|Manuscripts, Spanish--Mexico--Mexico City|Izmiquilpa (Mexico)--History--16th century--Sources|Zumpango (Mexico)--History--16th century--Sources|Mexico--History--Spanish colony, 1540-1810--Sources",|||Q248;Q7744;Q6879;Q335;Q2769|Q248;Q66942;Q6879;Q335;Q2769|Q66943;Q6879;Q335;Q2769|Q66944;Q7744;Q6879;Q335;Q2769|Q66944;Q66942;Q6879;Q335;Q2769|Q66945;Q6879;Q335;Q2769|Q202;Q55272|Q6879;Q335;Q2769|Q66942;Q6879;Q335;Q2769|Q7744;Q6879;Q48355;Q2769,"","","","","","","","","","","","","","","",In Spanish,Q114,"","",Extent: 12] leaves ; 31 cm.,"Large punch hole, approximately 2 cm in diameter, possibly used for filing, appears on upper left side of all leaves, with no loss of text.|Formerly arranged with Ayer Mss. 1935, 1937, and 1938.|Forms part of the Edward E. Ayer Manuscript Collection (Newberry Library)","",2025-01-28 11:47:07 -0500,20240116,20241220-newberry-marc.xml
,"","",marc-xml,"",Q64103,Newberry Library,991327688805867,VAULT Ayer MS 1410,https://i-share-nby.primo.exlibrisgroup.com/permalink/01CARLI_NBY/i5mcb2/alma991327688805867,https://collections.newberry.org/IIIF3/Presentation/Manifest/2KXJ8Z9SGK9F,"","",approximately 1565,1565,16,http://vocab.getty.edu/aat/300404510,false,Relacion del viaje y jornada que larmada de su Mag. hizo del descubrimiento de las Yslas del poniente; que partio del puorto de la navidad delano 1564 de que fue por general el muy Illmo. señor Miguel Lopez de Legaspi,"","","",Q7243,Diaries|Manuscripts (documents)|Travel literature,Q7960|Q10789|Q66687,"López de Legaspi, Miguel, -1572--Travel|Voyages and travels|Filipinos--History--16th century--Sources|Manuscripts, Spanish|Philippines--Discovery and exploration--Spanish--History--16th century--Sources|Philippines--Description and travel|Philippines--History--16th century--Sources",Q11139|Q3600|Q66946;Q6879;Q335;Q2769|Q202|Q6930;Q38807;Q6879;Q335;Q2769|Q6930;Q3600|Q6930;Q6879;Q335;Q2769,"","","","","","","","","","","","","","","",In Spanish,Q114,"","","Extent: 79] p., bound ; 32 cm","Caption title.|Pages [69]-[78] blank.|Page [79]: ""Amamantissimo Sn. mio.""|Note on back flyleaf refers to a published version of the account in Colección de documentos inéditos de ultramar 2d ser. v. II, p. 217-351.|Acquired by Edward Ayer in 1901 from Florence bookseller Leo S. Olschki.|Forms part of the Edward E. Ayer Manuscript Collection (Newberry Library)","",2025-01-28 11:47:07 -0500,20240304,20241220-newberry-marc.xml
