ds_id,date_added,date_last_updated,source_type,holding_institution,holding_institution_as_recorded,holding_institution_id_number,link_to_holding_institution_record,iiif_manifest,production_place_as_recorded,production_place,production_date_as_recorded,production_date,century,century_aat,dated,uniform_title,uniform_title_as_recorded,uniform_title_agr,title_as_recorded_245,title_as_recorded_245_agr,genre_as_recorded,genre_as_recorded_lcsh,genre_as_recorded_aat,genre_as_recorded_rbprov,genre,named_subject_as_recorded,subject_as_recorded,subject,author_as_recorded,author_as_recorded_agr,author,artist_as_recorded,artist_as_recorded_agr,artist,scribe_as_recorded,scribe_as_recorded_agr,scribe,language_as_recorded,language,former_owner_as_recorded,former_owner_as_recorded_agr,former_owner,material,material_placeholder,physical_description,acknowledgements,data_processed_at,data_source_modified,source_file
,,,marc-xml,Q766145,University of Oregon,"Eugene, OR, Special Collections and University Archives, University of Oregon, MS 065.|9960565001852","",,"",,1490,1490,15,http://vocab.getty.edu/aat/300404465,,,Geste de Garin de Monglane.,"",Geste de Monglane.,"","","",Manuscripts.,"",,"","Manuscripts, French--Oregon--Eugene.|Manuscripts, Medieval--Oregon--Eugene.|Manuscripts, French.|Manuscripts, Medieval.|Oregon--Eugene.",,"","",,"","",,"","",,Text in Old French.,"","Phillipps, Thomas, Sir, 1792-1872,|Burgess, Edward Sandford, 1855-1928,|Burgess, Julia,",||,,,vellum ;,"Extent: 458 pages, bound : vellum ; 283 x 170 mm bound to 294 x 184 mm.",,2022-04-04T09:34:58-04:00,2020-03-31,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/prototype-data/oregon/oregon-marc-000.xml
,,,marc-xml,Q766145,University of Oregon,"Eugene, OR, Special Collections and University Archives, University of Oregon, MS 034.|99900467282401852","",,"",,1401-1425,1401^1425,15,http://vocab.getty.edu/aat/300404465,,,"","",De Viribus Herbarum /,"","","Manuscripts, Latin (medieval and modern).","","",,"","Manuscripts, Medieval--Oregon--Eugene.|Manuscripts, Medieval.|Oregon--Eugene.",,"Macer, Floridus.","",,"","",,"","",,In Latin.,|lat,"Burgess, Edward Sandford, 1855-1928,|Burgess, Julia,",|,,,parchment ;,Extent: 24 leaves : parchment ; 185 x 260 mm bound to 190 x 268 mm.,,2022-04-04T09:34:58-04:00,2020-03-08,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/prototype-data/oregon/oregon-marc-001.xml
,,,marc-xml,Q766145,University of Oregon,"Eugene, OR, Special Collections and University Archives, University of Oregon, MS 031.|99900467282501852","",,"",,1380,1380,14,http://vocab.getty.edu/aat/300404506,,,Bible.,"","Biblia sacra Latina, liber Prophetarium.","","","Manuscripts, Latin (medieval and modern).","","",,"","Manuscripts, Medieval--Oregon--Eugene.|Manuscripts, Medieval.|Oregon--Eugene.",,"","",,"","",,"","",,In Latin.,|lat,"Burgess, Edward Sandford, 1855-1928,|Burgess, Julia,",|,,,vellum ;,Extent: 226 leaves : vellum ; 350 x 250 mm.,,2022-04-04T09:34:58-04:00,2020-01-15,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/prototype-data/oregon/oregon-marc-002.xml
,,,marc-xml,Q766145,University of Oregon,"Eugene, OR, Special Collections and University Archives, University of Oregon, MS 025.|99900467282701852","",,"",,1001-1100,1001^1100,11,http://vocab.getty.edu/aat/300404503,,,"","",Opera varia.,"","","Manuscripts, Latin (medieval and modern).","","",,"","Manuscripts, Medieval--Oregon--Eugene.|Marriage--Religious aspects--Christianity--Early works to 1800.|Sex--Religious aspects--Christianity--Early works to 1800.|Manuscripts, Medieval.|Marriage--Religious aspects--Christianity.|Sex--Religious aspects--Christianity.|Oregon--Eugene.",,"Augustine, of Hippo, Saint, 354-430,","",,"","",,"","",,In Latin.,|lat,"Burgess, Edward Sandford, 1855-1928,|Burgess, Julia,",|,,,vellum ;,Extent: 109 leaves : vellum ; 238 x 165 mm.,,2022-04-04T09:34:58-04:00,2020-04-02,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/prototype-data/oregon/oregon-marc-003.xml
,,,marc-xml,Q766145,University of Oregon,"Eugene, OR, Special Collections and University Archives, University of Oregon, MS 009.|99900467282801852","",,"",,1160-1170,1160^1170,12,http://vocab.getty.edu/aat/300404504,,,"","",Exposito Libri Numerorum.,"","","Manuscripts, Latin (medieval and modern).","","",,"","Manuscripts, Medieval--Oregon--Eugene.|Manuscripts, Medieval.|Oregon--Eugene.",,"Rabanus Maurus, Archbishop of Mainz, 784?-856,","",,"","",,"","",,In Latin.,|lat,"Burgess, Edward Sandford, 1855-1928,|Burgess, Julia,",|,,,vellum ;,Extent: 85 unnumbered leaves : vellum ; 41 x 31 cm.,,2022-04-04T09:34:58-04:00,2020-01-15,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/prototype-data/oregon/oregon-marc-004.xml
,,,marc-xml,Q766145,University of Oregon,"Eugene, OR, Special Collections and University Archives, University of Oregon, MS 001.|99900467282901852","",,"",,1401-1500,1401^1500,15,http://vocab.getty.edu/aat/300404465,,,"","",Epitome Rerum Romanorum: Libri IV.,"","","Manuscripts, Latin (medieval and modern).",Illuminated manuscripts.,"",,"","Manuscripts, Medieval--Oregon--Eugene.|Antiquities.|Manuscripts, Medieval.|Rome--History--Republic, 510-30 B.C.|Rome (Italy)--Antiquities--Early works to 1800.|Rome--History--Kings, 753-510 B.C.|Italy--Rome.|Oregon--Eugene.|Rome (Empire)",,"Florus, Lucius Annaeus,","",,"","",,"","",,Language: Latin. Cover flyleaf and rear board contain notes written in Italian.,|lat,"Burgess, Edward Sandford, 1855-1928,|Burgess, Julia,",|,,,"parchment, illustrations ;","Extent: 164 unnumbered leaves : parchment, illustrations ; 25 x 16 mm, bound to 26 x 17 mm.",,2022-04-04T09:34:58-04:00,2020-01-15,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/prototype-data/oregon/oregon-marc-005.xml
,,,marc-xml,Q766145,University of Oregon,"Eugene, OR, Special Collections and University Archives, University of Oregon, MS 058.|99900468584001852","",,"",,1401-1500,1401^1500,15,http://vocab.getty.edu/aat/300404465,,,Gradual.,"",Two Leaves from a French Gradual.,"","","Manuscripts, Latin (medieval and modern).","","",,"","Manuscripts, Medieval--Oregon--Eugene.|Manuscripts, Medieval.|Oregon--Eugene.",,Catholic Church.,"",,"","",,"","",,In Latin.,|lat,"Burgess, Edward Sandford, 1855-1928,|Burgess, Julia,",|,,,parchment ;,Extent: 2 leaves : parchment ; 490 x 710 mm.,,2022-04-04T09:34:58-04:00,2020-05-20,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/prototype-data/oregon/oregon-marc-006.xml
,,,marc-xml,Q766145,University of Oregon,"Eugene, OR, Special Collections and University Archives, University of Oregon, MS 048.|99900468584101852","",,"",,1430-1470,1430^1470,15,http://vocab.getty.edu/aat/300404465,,,"","",Orationes ;,"","","Manuscripts, Latin (medieval and modern).","","",,"","Manuscripts, Medieval--Oregon--Eugene.|Manuscripts, Medieval.|Oregon--Eugene.",,"Cicero, Marcus Tullius,","",,"","",,"","",,In Latin.,|lat,"Burgess, Edward Sandford, 1855-1928,|Burgess, Julia,",|,,,parchment;,Extent: 252 leaves : parchment; 230 x 325 mm bound to 240 x 330 mm.,,2022-04-04T09:34:58-04:00,2020-05-20,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/prototype-data/oregon/oregon-marc-007.xml
,,,marc-xml,Q766145,University of Oregon,"Eugene, OR, Special Collections and University Archives, University of Oregon, MS 012.|99900468584201852","",,"",,1450,1450,15,http://vocab.getty.edu/aat/300404465,,,"","",De Oratore.,"","","Manuscripts, Latin (medieval and modern).","","",,"Cicero, Marcus Tullius.--Speeches--Early works to 1800.","Manuscripts, Medieval--Oregon--Eugene.|Manuscripts, Medieval.|Oregon--Eugene.",,"Cicero, Marcus Tullius,","",,"","",,"","",,In Latin.,|lat,"Burgess, Edward Sandford, 1855-1928,|Burgess, Julia,",|,,,parchment ;,Extent: 150 leaves : parchment ; 180 x 260 mm bound to 190 x 268 mm.,,2022-04-04T09:34:58-04:00,2020-01-15,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/prototype-data/oregon/oregon-marc-008.xml
,,,marc-xml,Q766145,University of Oregon,"Eugene, OR, Special Collections and University Archives, University of Oregon, MS 028.|99900468584301852","",,"",,1250-1300,1250^1300,13,http://vocab.getty.edu/aat/300404505,,,Bible.,"",Biblia Sacra Latina.,"","","Manuscripts, Latin (medieval and modern).",Illuminated manuscripts.|Grotesques.,"",,"","Theology--Early works to 1800.|Manuscripts, Medieval--Oregon--Eugene.|Manuscripts, Medieval.|Theology.|Oregon--Eugene.",,"","",,"","",,"","",,In Latin.,|lat,"Burgess, Edward Sandford, 1855-1928,|Burgess, Julia,|Williams, Theodore, Rev.,",||,,,parchment ;,Extent: 347 leaves : parchment ; 124 x 166 mm bound to 125 x 174 mm.,,2022-04-04T09:34:58-04:00,2020-01-15,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/prototype-data/oregon/oregon-marc-009.xml
