ds_id,date_added,date_last_updated,source_type,holding_institution,holding_institution_as_recorded,holding_institution_id_number,link_to_holding_institution_record,iiif_manifest,production_place_as_recorded,production_place,production_date_as_recorded,production_date,century,dated,uniform_title,uniform_title_as_recorded,uniform_title_agr,title_as_recorded_245,title_as_recorded_245_agr,genre_as_recorded,genre,subject_as_recorded,subject,author_as_recorded,author_as_recorded_agr,author,artist_as_recorded,artist_as_recorded_agr,artist,scribe_as_recorded,scribe_as_recorded_agr,scribe,language_as_recorded,language,former_owner_as_recorded,former_owner_as_recorded_agr,former_owner,material,material_placeholder,physical_description,acknowledgements,data_processed_at,data_source_modified
,,,marc-xml,Q49117,University of Pennsylvania,Ms. Codex 21|9914691793503681,https://franklin.library.upenn.edu/catalog/FRANKLIN_9914691793503681,,"[North Africa],",,between A.H. 1268 (1851) and 1276 (1859),1851-1859,http://vocab.getty.edu/aat/300404513,,,"","",al-Fatḥ al-rabbānī fīmā dhahala ʻanhu al-Zurqānī.,الفتح الرباني فيما ذهل عنه الزرقاني.,"Manuscripts, Arabic--19th century.|Codices (bound manuscripts)|Commentaries.",,"Zurqānī, ʻAbd al-Bāqī ibn Yūsuf,--1611-1688.--Sharḥ Mukhtaṣar Khalīl.|Khalīl ibn Isḥāq al-Jundī,---1365?--Mukhtaṣar.|Islamic law--Early works to 1800.|Malikites--Early works to 1800.|Islamic law.|Malikites.",,"Bannānī, Muḥammad ibn al-Ḥasan, 1720 or 1721-1780.",بناني، محمد بن الحسن، 1720 أو 1721-1780.,,"","",,"Bannānī, Muḥammad ibn Aḥmad ibn Ṣāliḥ,",بناني، محمد احمد بن صالح.,,Arabic.,ara,"Jastrow, Marcus, 1829-1903,|Jastrow, Morris, Jr., 1861-1921,",|,,,paper ;,"Extent: 4 volumes (221, 162, 248, 269 leaves) : paper ; v. 1-3: 220 x 175 (160 x 105) mm bound to 220 x 175 mm; v. 4: 195 x 150 (135 x 95) mm.",,2022-02-08T17:47:37-05:00,2019-04-10
,,,marc-xml,Q49117,University of Pennsylvania,Ms. Codex 23|9914691813503681,https://franklin.library.upenn.edu/catalog/FRANKLIN_9914691813503681,,"[North Africa?],",,[17--?],1700-1799,http://vocab.getty.edu/aat/300404512,,,"","",Sharḥ Mukhtaṣar ʻalá Alfīyat Ibn Mālik.,شرح مختصر على ألفية ابن مالك.,"Manuscripts, Arabic--18th century.|Codices (bound manuscripts)|Commentaries.|Tables (documents)|Onlays.|Envelope flaps (features)",,"Ibn Mālik, Muḥammad ibn ʻAbd Allāh,---1274.--Alfīyah.|Arabic language--Grammar--Early works to 1800.|Arabic language--Grammar.",,"Makkūdī, ʻAbd al-Raḥmān ibn ʻAlī, -1404 or 1405.",مكودي، عبد الرحمن بن علي، -1404 أو  1405.,,"","",,"","",,Arabic.,ara,"Jastrow, Marcus, 1829-1903,|Jastrow, Morris, Jr., 1861-1921,",|,,,"paper, illustrations ;","Extent: 168 leaves : paper, illustrations ; 205 x 150 (150 x 100) mm bound to 203 x 160 mm.",,2022-02-08T17:47:37-05:00,2021-09-29
,,,marc-xml,Q49117,University of Pennsylvania,Ms. Codex 24|9914691823503681,https://franklin.library.upenn.edu/catalog/FRANKLIN_9914691823503681,,"",,[between 1750 and 1850?],1750-1850,http://vocab.getty.edu/aat/300404512-http://vocab.getty.edu/aat/300404513,,,Qurʼan.,قرآن.,al-Juzʼ al-thalāthūn.,الجزء الثلاثون.,"Manuscripts, Arabic--18th century.|Manuscripts, Arabic--19th century.|Codices (bound manuscripts)|Qurʼans.|Blind tooled (decoration)|Envelope flaps (features)",,"",,"","",,"","",,"","",,Arabic.,ara,"Brecher, Adolf,|Jastrow, Morris, Jr., 1861-1921,",|,,,paper ;,Extent: 24 leaves : paper ; 205 x 140 (150 x 80) mm bound to 205 x 145 mm.,,2022-02-08T17:47:37-05:00,2021-09-29
,,,marc-xml,Q49117,University of Pennsylvania,Oversize Ms. Codex 25|9914691833503681,https://franklin.library.upenn.edu/catalog/FRANKLIN_9914691833503681,,"[North Africa?] ,",,"",1419,http://vocab.getty.edu/aat/300404465,,,Tanbīh al-ghāfilīn.,تنبيه الغافلين.,Tanbīh al-ghāfilīn wa-īḍāḥ sabīl al-murshidīn.,تنبيه الغافلين وايضاح سبيل المرشدين.,"Manuscripts, Arabic--17th century.|Manuscripts, Arabic--18th century.|Codices (bound manuscripts)|Blind tooled (decoration)|Envelope flaps (features)",,Religious ethics--Early works to 1800.|Religious life--Islam--Early works to 1800.|Islamic ethics--Early works to 1800.|Islam--Doctrines--Early works to 1800.|Ethics.,,"Abū al-Layth al-Samarqandī, Naṣr ibn Muḥammad, -983?.",ابو الليث السمرقندي، نصر بن محمد، -983؟,,"","",,"","",,Arabic.,ara,"Jastrow, Marcus, 1829-1903,|Jastrow, Morris, Jr., 1861-1921,",|,,,paper ;,"Extent: 142 leaves, unbound : paper ; 270 x 205 (195 x 160) mm bound to 270 x 215 mm.",,2022-02-08T17:47:37-05:00,2021-09-29
,,,marc-xml,Q49117,University of Pennsylvania,Oversize Ms. Codex 28|9914691863503681,https://franklin.library.upenn.edu/catalog/FRANKLIN_9914691863503681,,"[China?],",,[between 1750 and 1899?],1750-1899,http://vocab.getty.edu/aat/300404512-http://vocab.getty.edu/aat/300404513,,,"","",Tarjumah-ʼi khuṭab-i arbaʻīn.,ترجمۀ خطب اربعین.,"Early works.|Commentaries.|Manuscripts, Persian--18th century.|Manuscripts, Persian--19th century.|Codices (bound manuscripts)|Criticism, interpretation, etc.",,"Hadith--Commentaries--Early works to 1800.|Hadith--Criticism, interpretation, etc.--Early works to 1800.|Hadith.",,"","",,"","",,"","",,Persian with source-text in Arabic; some glosses and notes in Chinese.,per|chi,"","",,,paper ;,"Extent: 174 leaves, chiefly unbound : paper ; 286 x 200 (210 x 150) mm bound to 290 x 210 mm.",,2022-02-08T17:47:37-05:00,2021-09-29
,,,marc-xml,Q49117,University of Pennsylvania,Ms. Codex 40|9914696393503681,https://franklin.library.upenn.edu/catalog/FRANKLIN_9914696393503681,,"[North Africa?],",,[ca. 1811],1811,http://vocab.getty.edu/aat/300404513,,,"","",al-Fatḥ al-rabbānī fīmā dhahala ʻanhu al-Zurqānī.,الفتح الرباني فيما ذهل عنه الزرقاني.,"Manuscripts, Arabic--19th century.|Codices (bound manuscripts)|Commentaries.",,"Zurqānī, ʻAbd al-Bāqī ibn Yūsuf,--1611-1688.--Sharḥ Mukhtaṣar Khalīl.|Khalīl ibn Isḥāq al-Jundī,---1365?--Mukhtaṣar.|Islamic law--Early works to 1800.|Malikites--Early works to 1800.|Islamic law.|Malikites.",,"Bannānī, Muḥammad ibn al-Ḥasan, 1720 or 1721-1780.",بناني، محمد بن الحسن، 1720 أو 1721-1780.,,"","",,"","",,Arabic.,ara,"","",,,paper ;,Extent: 201 leaves : paper ; 205 x 150 (145 x 95) mm bound to 206 x 160 mm.,,2022-02-08T17:47:37-05:00,2021-09-29
,,,marc-xml,Q49117,University of Pennsylvania,Ms. Codex 41|9914696403503681,https://franklin.library.upenn.edu/catalog/FRANKLIN_9914696403503681,,"",,A.H. 986 (1578),1578,http://vocab.getty.edu/aat/300404510,,,"","",Taḥrīr al-qawāʻid al-manṭiqīyah fī sharḥ al-Risālah al-Shamsīyah.,تحرير القواعد المنطقية في شرح الرسالة الشمسية.,"Manuscripts, Arabic--16th century.|Codices (bound manuscripts)|Commentaries.|Tables (documents)|Criticism, interpretation, etc.|Early works.",,"Qazwīnī, ʻAlī ibn ʻUmar,--1203 or 1204-1276 or 1277.--Shamsīyah.|Logic--Early works to 1800.|Logic.",,"Quṭb al-Taḥtānī, Muḥammad ibn Muḥammad, 1294 or 1295-1364 or 1365.",قطب التحتاني، محمد بن محمد، 1294 أو 1295-1364 أو 1365.,,"","",,"Ibrāhīm ibn Qāsim ibn ʻAlī ibn Yūsuf,",ابراهيم بن قاسم بن علي بن يوسف.,,Arabic; some notes in Persian.,ara|per,"ʻAbbāsī, Ḥājī ʻIzz al-Dīn Shīr Bīk,|Smith, Edgar F. 1854-1928,",عباسي، حاجي عاز الدين شير بيك.|,,,"paper, illustrations ;","Extent: 126 leaves : paper, illustrations ; 208 x 148 (140 x 65) mm bound to 205 x 170 mm.",,2022-02-08T17:47:37-05:00,2021-09-29
,,,marc-xml,Q49117,University of Pennsylvania,Oversize Ms. Codex 42|9914696413503681,https://franklin.library.upenn.edu/catalog/FRANKLIN_9914696413503681,,"[North Africa?],",,A.H. 1106 (1695),1695,http://vocab.getty.edu/aat/300404511,,,"","",Kāfiyat al-ṭālib al-rabbānī li-Risālat Ibn Abī Zayd al-Qayrawānī. Fatḥ al-mannān ʻalá naẓm mawrid al-ẓamʼān.,كافية الطالب الرباني لرسالة ابن ابي زيد القيرواني. فتح المنان على نظم مورد الظمآن.,"Manuscripts, Arabic--17th century.|Codices (bound manuscripts)|Qurʼans.|Commentaries.",,"Ibn Abī Zayd al-Qayrawānī, ʻAbd Allāh ibn ʻAbd al-Raḥmān,--active 10th century.--Risālah.|Kharrāz, Muḥammad ibn Muḥammad,---1318 or 1319.--Mawrid al-ẓamʼān.|Islamic law.|Malikites.",,"Ibn Khalaf, ʻAlī ibn Muḥammad, 1453-1532.",ابن خلف، علي بن محمد، 1453- 1532.,,"","",,"Khamsī, Muḥammad ibn ʻAbd Allāh,",خمسي، محمد بن عبد الله.,,Arabic.,ara,"Jastrow, Marcus, 1829-1903,|Jastrow, Morris, Jr., 1861-1921,",|,,,paper ;,"Extent: 125 leaves : paper ; 260 x 184 (205 x 130)mm, bound to 265 x 200 mm.",,2022-02-08T17:47:37-05:00,2021-09-29
,,,marc-xml,Q49117,University of Pennsylvania,Oversize Ms. Codex 43|9914696423503681,https://franklin.library.upenn.edu/catalog/FRANKLIN_9914696423503681,,"[Syria?],",,A.H. 1268 (1852),1852,http://vocab.getty.edu/aat/300404513,,,"","",Manhaj al-ʻilm wa-al-bayān wa-nuzhat al-samʻ wa-al-aʻyān.,منهج العلم والبيان ونزهة السمع والعيان.,"Codices (bound manuscripts)|Stamps (Provenance)|Manuscripts, Arabic--19th century.",,Nosairians.|Nosairians.,,"Ibn Kabūlakh, Muḥammad ibn ʻAlī ibn ʻĪsá.",ابن كبولخ، محمد بن علي بن عيسى.,,"","",,"Sulaymān ibn Yūsuf ibn Sulaymān,",سليمان بن يوسف بن سليمان.,,Arabic.,ara,"Easson, Henry, Reverend,|Jastrow, Morris, Jr., 1861-1921,",|,,,paper ;,Extent: 214 leaves : paper ; 322 x 215 (235 x 150) mm bound to 315 x 220 mm.,,2022-02-08T17:47:37-05:00,2021-09-29
,,,marc-xml,Q49117,University of Pennsylvania,Ms. Codex 44|9914696433503681,https://franklin.library.upenn.edu/catalog/FRANKLIN_9914696433503681,,"",,[A.H. 1123?-1225 (1711?-1810)],1711-1810,http://vocab.getty.edu/aat/300404512-http://vocab.getty.edu/aat/300404513,,,"","",Dalāʼil al-khayrāt... etc..,دلائل الخيرات... إلخ.,"Manuscripts, Arabic--18th century.|Manuscripts, Arabic--19th century.|Codices (bound manuscripts)|Miniatures (paintings)|Prayers (literary works)|Early works.|Pictorial works.|Prayers and devotions.",,"Muḥammad,--Prophet,---632--Companions.|Islam--Prayers and devotions--Early works to 1800.|Prayer--Islam--Early works to 1800.|Islam.|Prayer--Islam.|Mecca (Saudi Arabia)--Pictorial works.|Medina (Saudi Arabia)--Pictorial works.|Saudi Arabia--Mecca.",,"Jazūlī, Muḥammad ibn Sulaymān, 1404-1465.",جزولي، محمد بن سليمان، -1465.,,"","",,"","",,Arabic.,ara,"Camac, William, 1829-1900,","",,,"paper, illustrations, illuminations ;","Extent: 179 leaves : paper, illustrations, illuminations ; 182 x 102 (124 x 56) mm bound to 184 x 118 mm.",,2022-02-08T17:47:37-05:00,2021-09-29
