ds_id,date_added,date_last_updated,source_type,cataloging_convention,holding_institution,holding_institution_as_recorded,holding_institution_id_number,holding_institution_shelfmark,link_to_holding_institution_record,iiif_manifest,production_place_as_recorded,production_place,production_place_label,production_date_as_recorded,production_date,century,century_aat,dated,uniform_title_as_recorded,uniform_title_agr,title_as_recorded,title_as_recorded_agr,standard_title,genre_as_recorded,genre,genre_label,subject_as_recorded,subject,subject_label,author_as_recorded,author_as_recorded_agr,author,author_wikidata,author_instance_of,author_label,artist_as_recorded,artist_as_recorded_agr,artist,artist_label,artist_wikidata,artist_instance_of,scribe_as_recorded,scribe_as_recorded_agr,scribe,scribe_label,scribe_wikidata,scribe_instance_of,associated_agent_as_recorded,associated_agent_as_recorded_agr,associated_agent,associated_agent_label,associated_agent_wikidata,associated_agent_instance_of,language_as_recorded,language,language_label,former_owner_as_recorded,former_owner_as_recorded_agr,former_owner,former_owner_label,former_owner_wikidata,former_owner_instance_of,material_as_recorded,material,material_label,physical_description,note,acknowledgements,data_processed_at,data_source_modified,source_file
,,,marc-xml,dacs,Q49117,University of Pennsylvania,9947608343503681,Ms. Coll. 742 Folder 23,https://franklin.library.upenn.edu/catalog/FRANKLIN_9947608343503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3np8t/manifest,"","","",1387.,1387,14,http://vocab.getty.edu/aat/300404506,,"","","Terms of payment,","",Terms of payment,"Legal documents|Notarial documents|Manuscripts, Latin|Manuscripts, Renaissance",http://vocab.getty.edu/aat/300027590|http://vocab.getty.edu/aat/300164785|http://id.worldcat.org/fast/1008395|http://id.worldcat.org/fast/1008472,"legal documents|notarial documents|Manuscripts, Latin|Manuscripts, Renaissance",14th century|Real property--Italy--14th century|Real property|Pienza (Italy)--History--14th century|Siena (Italy)--History--14th century|Italy,http://id.worldcat.org/fast/933420|http://id.worldcat.org/fast/1091096;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/933420|http://id.worldcat.org/fast/1091096|http://id.worldcat.org/fast/1205611;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/933420|http://id.worldcat.org/fast/1204409;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/933420|http://id.worldcat.org/fast/1204565,Fourteenth century|Real property;Italy;Fourteenth century|Real property|Italy--Pienza;History;Fourteenth century|Italy--Siena;History;Fourteenth century|Italy,"Piccolomini, Tengoccio d'Enea de","","",Q116520530,human,Tengoccio d'Enea de Piccolomini,"","","","","","","","","","","","",,,,,,,In Latin,Q397,Latin,"North, Frederick, Earl of Guilford, 1766-1827|Phillipps, Thomas, Sir, 1792-1872",|,"",Frederick North|Thomas Phillipps,Q333623|Q2147709,human|human,parchment,http://vocab.getty.edu/aat/300011851,parchment,Extent: 1 parchment,"Formerly owned by Frederick North, Earl of Guilford, and Sir Thomas Phillipps (part of ms. 6067).",,2023-09-11 18:14:36 -0400,2022-08-03,9947608343503681_marc.xml
,,,marc-xml,dacs,Q49117,University of Pennsylvania,9947608673503681,Ms. Coll. 742 Folder 24,https://franklin.library.upenn.edu/catalog/FRANKLIN_9947608673503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3j067/manifest,"","","",1392.,1392,14,http://vocab.getty.edu/aat/300404506,,"","","Fazio de Piccolomini claim,","",Claim,"Legal documents|Manuscripts, Renaissance|Manuscripts, Latin|Notarial documents",http://vocab.getty.edu/aat/300027590|http://id.worldcat.org/fast/1008472|http://id.worldcat.org/fast/1008395|http://vocab.getty.edu/aat/300164785,"legal documents|Manuscripts, Renaissance|Manuscripts, Latin|notarial documents","Piccolomini, Buonsignore di Fazio di|Piccolomini, Landoccio di Fazio|Inheritance and succession--Italy|Inheritance and succession|Italy|Siena (Italy)--History--14th century",||http://id.worldcat.org/fast/973371;http://id.worldcat.org/fast/1204565|http://id.worldcat.org/fast/973371|http://id.worldcat.org/fast/1204565|http://id.worldcat.org/fast/1204409;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/933420,||Inheritance and succession;Italy|Inheritance and succession|Italy|Italy--Siena;History;Fourteenth century,"Piccolomini, Fazio de","","",Q116520476,human,Fazio de Piccolomini,"","","","","","","","","","","","",,,,,,,In Latin,Q397,Latin,"Phillipps, Thomas, Sir, 1792-1872","","",Thomas Phillipps,Q2147709,human,parchment,http://vocab.getty.edu/aat/300011851,parchment,Extent: 1 parchment,Formerly owned by Sir Thomas Phillipps (part of ms. 20709).,,2023-09-11 18:14:36 -0400,2022-08-03,9947608673503681_marc.xml
,,,marc-xml,dacs,Q49117,University of Pennsylvania,9946452313503681,Ms. Coll. 742 Folder 25,https://franklin.library.upenn.edu/catalog/FRANKLIN_9946452313503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3d63x/manifest,"","","",1403.,1403,15,http://vocab.getty.edu/aat/300404465,,"","","Balia of Siena privilege,","",Privileges,"Legal documents|Manuscripts, Renaissance|Manuscripts, Latin|Notarial documents",http://vocab.getty.edu/aat/300027590|http://id.worldcat.org/fast/1008472|http://id.worldcat.org/fast/1008395|http://vocab.getty.edu/aat/300164785,"legal documents|Manuscripts, Renaissance|Manuscripts, Latin|notarial documents",Siena (Italy)--History--15th century,http://id.worldcat.org/fast/1204409;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/923962,Italy--Siena;History;Fifteenth century,Siena (Italy). Balia,"","",Q116707517,organization,Balia of Siena,"","","","","","","","","","","","",,,,,,,In Latin,Q397,Latin,"Phillipps, Thomas, Sir, 1792-1872","","",Thomas Phillipps,Q2147709,human,parchment,http://vocab.getty.edu/aat/300011851,parchment,Extent: 1 parchment,Formerly owned by Sir Thomas Phillipps (part of ms. 20709).,,2023-09-11 18:14:36 -0400,2022-08-03,9946452313503681_marc.xml
,,,marc-xml,dacs,Q49117,University of Pennsylvania,9946260223503681,Ms. Coll. 742 Folder 26,https://franklin.library.upenn.edu/catalog/FRANKLIN_9946260223503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p38h11/manifest,"","","",1410.,1410,15,http://vocab.getty.edu/aat/300404465,,"","","Guido di Biagio di Carlo Piccolomini will,","",Will,"Legal documents|Wills|Notarial documents|Manuscripts, Renaissance|Manuscripts, Latin",http://vocab.getty.edu/aat/300027590|http://vocab.getty.edu/aat/300027764|http://vocab.getty.edu/aat/300164785|http://id.worldcat.org/fast/1008472|http://id.worldcat.org/fast/1008395,"legal documents|wills|notarial documents|Manuscripts, Renaissance|Manuscripts, Latin","Piccolomini family|Piccolomini family|Piccolomini, Carlo|Catholic Church. Archdiocese of Siena (Italy)|Catholic Church. Archdiocese of Siena (Italy)|Inheritance and succession|Inheritance and succession--Italy|Italy|Siena (Italy)--History--15th century",http://id.worldcat.org/fast/1676690|http://id.worldcat.org/fast/1676690||http://id.worldcat.org/fast/694547|http://id.worldcat.org/fast/694547|http://id.worldcat.org/fast/973371|http://id.worldcat.org/fast/973371;http://id.worldcat.org/fast/1204565|http://id.worldcat.org/fast/1204565|http://id.worldcat.org/fast/1204409;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/923962,Piccolomini family|Piccolomini family||Catholic Church. Archdiocese of Siena (Italy)|Catholic Church. Archdiocese of Siena (Italy)|Inheritance and succession|Inheritance and succession;Italy|Italy|Italy--Siena;History;Fifteenth century,"Piccolomini, Guido di Biagio di Carlo","","",Q116525629,human,Guido di Biagio di Carlo Piccolomini,"","","","","","","","","","","","",,,,,,,In Latin,Q397,Latin,"North, Frederick, Earl of Guilford, 1766-1827|Phillipps, Thomas, Sir, 1792-1872",|,"",Frederick North|Thomas Phillipps,Q333623|Q2147709,human|human,"","","",Extent: 1,"Formerly owned by Frederick North, Earl of Guilford and Sir Thomas Phillipps (part of ms. 6067).",,2023-09-11 18:14:36 -0400,2022-08-03,9946260223503681_marc.xml
,,,marc-xml,dacs,Q49117,University of Pennsylvania,9946124373503681,Ms. Coll. 742 Folder 27,https://franklin.library.upenn.edu/catalog/FRANKLIN_9946124373503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p34p7s/manifest,"","","",1411.,1411,15,http://vocab.getty.edu/aat/300404465,,"","","Batista Piccolomini petition,","",Petition,"Petitions|Legal documents|Notarial documents|Manuscripts, Latin|Manuscripts, Renaissance",http://vocab.getty.edu/aat/300027219|http://vocab.getty.edu/aat/300027590|http://vocab.getty.edu/aat/300164785|http://id.worldcat.org/fast/1008395|http://id.worldcat.org/fast/1008472,"petitions|legal documents|notarial documents|Manuscripts, Latin|Manuscripts, Renaissance",Civil procedure|Civil procedure--Italy|Italy|Siena (Italy)--History--15th century,http://id.worldcat.org/fast/862585|http://id.worldcat.org/fast/862585;http://id.worldcat.org/fast/1204565|http://id.worldcat.org/fast/1204565|http://id.worldcat.org/fast/1204409;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/923962,Civil procedure|Civil procedure;Italy|Italy|Italy--Siena;History;Fifteenth century,"Piccolomini, Batista","","",Q116520380,human,Batista Piccolomini,"","","","","","","","","","","","",,,,,,,In Latin,Q397,Latin,"Phillipps, Thomas, Sir, 1792-1872","","",Thomas Phillipps,Q2147709,human,"","","",Extent: 1,Formerly owned by Sir Thomas Phillipps (part of ms. 20709).,,2023-09-11 18:14:36 -0400,2022-08-03,9946124373503681_marc.xml
,,,marc-xml,dacs,Q49117,University of Pennsylvania,9947610493503681,Ms. Coll. 742 Folder 28,https://franklin.library.upenn.edu/catalog/FRANKLIN_9947610493503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3106k/manifest,"","","",1413.,1413,15,http://vocab.getty.edu/aat/300404465,,"","","Malavolti family records of guardianship,","",Family documents,"Financial documents|Notarial documents|Manuscripts, Renaissance|Manuscripts, Latin",http://vocab.getty.edu/aat/300027473|http://vocab.getty.edu/aat/300164785|http://id.worldcat.org/fast/1008472|http://id.worldcat.org/fast/1008395,"financial records|notarial documents|Manuscripts, Renaissance|Manuscripts, Latin","Malavolti, Donusdei Margarita de|Malavolti, Orlando Donusdei de|Malavolti, Francesco di Bartolomeo de|Malavolti, Bartolomeo de|Guardian and ward--Italy--Siena|Inheritance and succession--Italy|Inheritance and succession|Guardian and ward|Italy|Italy--Siena|Siena (Italy)--History--15th century",||||http://id.worldcat.org/fast/948819;http://id.worldcat.org/fast/1204409|http://id.worldcat.org/fast/973371;http://id.worldcat.org/fast/1204565|http://id.worldcat.org/fast/973371|http://id.worldcat.org/fast/948819|http://id.worldcat.org/fast/1204565|http://id.worldcat.org/fast/1204409|http://id.worldcat.org/fast/1204409;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/923962,||||Guardian and ward;Italy--Siena|Inheritance and succession;Italy|Inheritance and succession|Guardian and ward|Italy|Italy--Siena|Italy--Siena;History;Fifteenth century,Malavolti family,"","",Q25410360,organization,Malavolti family,"","","","","","","","","","","","",,,,,,,In Latin,Q397,Latin,"North, Frederick, Earl of Guilford, 1766-1827|Phillipps, Thomas, Sir, 1792-1872",|,"",Frederick North|Thomas Phillipps,Q333623|Q2147709,human|human,parchment,http://vocab.getty.edu/aat/300011851,parchment,Extent: 1 parchment,"Formerly owned by Frederick North, Earl of Guilford (Zacour-Hirsch).|Formerly owned by Sir Thomas Phillipps (part of ms. 6067).",,2023-09-11 18:14:36 -0400,2022-08-03,9947610493503681_marc.xml
,,,marc-xml,dacs,Q49117,University of Pennsylvania,9946124113503681,Ms. Coll. 742 Folder 29,https://franklin.library.upenn.edu/catalog/FRANKLIN_9946124113503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3w638/manifest,"","","",1421.,1421,15,http://vocab.getty.edu/aat/300404465,,"","","Giovanni Piccolomini petition,","",Petition,"Legal documents|Petitions|Manuscripts, Latin|Manuscripts, Renaissance",http://vocab.getty.edu/aat/300027590|http://vocab.getty.edu/aat/300027219|http://id.worldcat.org/fast/1008395|http://id.worldcat.org/fast/1008472,"legal documents|petitions|Manuscripts, Latin|Manuscripts, Renaissance",Economic conditions|Italy--Economic conditions|Italy|Siena (Italy)--History--15th century,http://id.worldcat.org/fast/1919582|http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1919582|http://id.worldcat.org/fast/1204565|http://id.worldcat.org/fast/1204409;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/923962,Economic conditions|Italy;Economic conditions|Italy|Italy--Siena;History;Fifteenth century,"Piccolomini, Giovanni","","",Q940630,human,Giovanni Piccolomini,"","","","","","","","","","","","",,,,,,,In Latin,Q397,Latin,"Phillipps, Thomas, Sir, 1792-1872","","",Thomas Phillipps,Q2147709,human,parchment,http://vocab.getty.edu/aat/300011851,parchment,Extent: 1 parchment,Formerly owned by Sir Thomas Phillipps (part of ms. 20709).,,2023-09-11 18:14:36 -0400,2022-08-03,9946124113503681_marc.xml
,,,marc-xml,dacs,Q49117,University of Pennsylvania,9946452423503681,Ms. Coll. 742 Folder 2,https://franklin.library.upenn.edu/catalog/FRANKLIN_9946452423503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p35p9v/manifest,"","","",1239.,1239,13,http://vocab.getty.edu/aat/300404505,,"","","Pietro Parenzi notarial document,","",Notarial documents,"Legal documents|Notarial documents|Manuscripts, Latin|Manuscripts, Medieval",http://vocab.getty.edu/aat/300027590|http://vocab.getty.edu/aat/300164785|http://id.worldcat.org/fast/1008395|http://id.worldcat.org/fast/1008422,"legal documents|notarial documents|Manuscripts, Latin|Manuscripts, Medieval","Vincentis, Francesco|Gocci, Ildebrandino",|,|,"Parenzi, Pietro","","",Q116487008,human,Pietro Parenzi,"","","","","","","","","","","","",,,,,,,In Latin,Q397,Latin,"Phillipps, Thomas, Sir, 1792-1872","","",Thomas Phillipps,Q2147709,human,parchment,http://vocab.getty.edu/aat/300011851,parchment,Extent: 1 parchment,Formerly owned by Sir Thomas Phillipps (part of ms. 22925).,,2023-09-11 18:14:36 -0400,2022-08-03,9946452423503681_marc.xml
,,,marc-xml,"",Q49117,University of Pennsylvania,9947613013503681,Ms. Coll. 742 Folder 30,https://franklin.library.upenn.edu/catalog/FRANKLIN_9947613013503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3mp8h/manifest,"","","",1431.,1431,15,http://vocab.getty.edu/aat/300404465,,"","","Consilium notarial document,","",Notarial documents,"Notarial documents|Legal documents|Manuscripts, Renaissance|Manuscripts, Latin",http://vocab.getty.edu/aat/300164785|http://vocab.getty.edu/aat/300027590|http://id.worldcat.org/fast/1008472|http://id.worldcat.org/fast/1008395,"notarial documents|legal documents|Manuscripts, Renaissance|Manuscripts, Latin","Sognia, Enrico de|Sognia, Francesco de|Sognia, Antonio de|Castello di Rapolano (Rapolano Terme, Italy)|Siena (Italy)--History--15th century",||||http://id.worldcat.org/fast/1204409;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/923962,||||Italy--Siena;History;Fifteenth century,Rapolano Terme (Italy). Consilium,"","",Q91395,organization,Rapolano Terme,"","","","","","","","","","","","",,,,,,,In Latin,Q397,Latin,"Phillipps, Thomas, Sir, 1792-1872","","",Thomas Phillipps,Q2147709,human,parchment,http://vocab.getty.edu/aat/300011851,parchment,Extent: 1 parchment,Formerly owned by Sir Thomas Phillipps (part of ms. 20709).,,2023-09-11 18:14:36 -0400,2022-08-03,9947613013503681_marc.xml
,,,marc-xml,dacs,Q49117,University of Pennsylvania,9946441313503681,Ms. Coll. 742 Folder 31,https://franklin.library.upenn.edu/catalog/FRANKLIN_9946441313503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3h06x/manifest,"","","",1432.,1432,15,http://vocab.getty.edu/aat/300404465,,"","","Emperor Sigismund appointment,","",Appointment,"Manuscripts, Renaissance|Manuscripts, Latin",http://id.worldcat.org/fast/1008472|http://id.worldcat.org/fast/1008395,"Manuscripts, Renaissance|Manuscripts, Latin","Umidis, Jacomo di Pietro de|Early works to 1800|Notaries--Italy|Writing materials and instruments|Writing materials and instruments--Early works to 1800|Notaries|Italy",|http://id.worldcat.org/fast/1411636|http://id.worldcat.org/fast/1039553;http://id.worldcat.org/fast/1204565|http://id.worldcat.org/fast/1181650|http://id.worldcat.org/fast/1181650;http://id.worldcat.org/fast/1411636|http://id.worldcat.org/fast/1039553|http://id.worldcat.org/fast/1204565,|Early works|Notaries;Italy|Writing materials and instruments|Writing materials and instruments;Early works|Notaries|Italy,"Sigismund, Holy Roman Emperor, 1368-1437","","",Q57124,human,Sigismund,"","","","","","","","","","","","",,,,,,,In Latin,Q397,Latin,"Phillipps, Thomas, Sir, 1792-1872|North, Frederick, Earl of Guilford, 1766-1827",|,"",Thomas Phillipps|Frederick North,Q2147709|Q333623,human|human,parchment,http://vocab.getty.edu/aat/300011851,parchment,Extent: 1 parchment,"Formerly owned by Frederick North, Earl of Guilford, and Sir Thomas Phillipps (part of ms. 6067).",,2023-09-11 18:14:36 -0400,2022-08-03,9946441313503681_marc.xml
