ds_id,date_added,date_last_updated,source_type,cataloging_convention,holding_institution_ds_qid,holding_institution_as_recorded,holding_institution_id_number,holding_institution_shelfmark,link_to_holding_institution_record,iiif_manifest,production_place_as_recorded,production_place_ds_qid,production_date_as_recorded,production_date,century,century_aat,dated,title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_agr,standard_title_ds_qid,genre_as_recorded,genre_ds_qid,subject_as_recorded,subject_ds_qid,author_as_recorded,author_as_recorded_agr,author_ds_qid,artist_as_recorded,artist_as_recorded_agr,artist_ds_qid,scribe_as_recorded,scribe_as_recorded_agr,scribe_ds_qid,associated_agent_as_recorded,associated_agent_as_recorded_agr,associated_agent_ds_qid,former_owner_as_recorded,former_owner_as_recorded_agr,former_owner_ds_qid,language_as_recorded,language_ds_qid,material_as_recorded,material_ds_qid,physical_description,note,acknowledgments,data_processed_at,data_source_modified,source_file
DS1966,"","",marc-xml,"",Q374,University of Pennsylvania,9949512273503681,Ms. Coll. 764 Item 138,https://find.library.upenn.edu/catalog/9949512273503681,https://colenda.library.upenn.edu/items/ark:/81431/p3rq02/manifest,"","",1450.,1450,15,http://vocab.getty.edu/aat/300404465,true,Bill of exchange dispute,"","","",Q8302,"Notarial documents|Legal documents|Manuscripts, Latin|Manuscripts, Renaissance",Q2777|Q236|Q210|Q311,"Spini, Giacomo|Pazzi, Antonio de'|Pazzi, Piero de'|Baroncelli, Francesco|Rucellai, Guglielmo de'|Early works to 1800|Finance--Italy--Early works to 1800|Finance|Florence (Italy)--History--15th century|Lucca (Italy)--History--15th century|Pescia (Italy)--History|Italy",|||||Q300|Q5469;Q249;Q300|Q5469|Q3604;Q6879;Q154|Q7954;Q6879;Q154|Q8272;Q6879|Q249,"","","","","","","","","","","","","","","",In Latin,Q113,parchment,Q33,Extent: 1 parchment,Sold by Renzo Rizzi (Milan).,"",2025-04-15 09:46:17 -0400,20230126,20250313-penn-marcxml-combined.xml
DS106,"","",marc-xml,dcrmmss,Q374,University of Pennsylvania,9949349953503681,Oversize LJS 124.1,https://find.library.upenn.edu/catalog/9949349953503681,https://colenda.library.upenn.edu/items/ark:/81431/p3qw74/manifest,"Paris?, France",Q136;Q122,circa 1400.,1400,15,http://vocab.getty.edu/aat/300404465,false,"Leaf from Speculum historiale, Book 29","",Speculum historiale,"",Q360,"Fragments (object portions)|Excerpts|Manuscripts, Latin--14th century|Manuscripts, Latin--15th century|Manuscripts, Medieval",Q222|Q220|Q210;Q295|Q210;Q154|Q325,Early works to 1800|Abbots--Early works to 1800|Bishops--Early works to 1800|Bishops|Abbots,Q300|Q190;Q300|Q307;Q300|Q307|Q190,"Vincent, of Beauvais, -1264","",Q381,"","","","","","","","","","Libri, Guillaume, 1803-1869|Phillipps, Thomas, Sir, 1792-1872|Creswick, H. R., 1902-1988|Masson, Irvine, 1887-1962|Schoenberg, Lawrence J",||||,Q382|Q385|Q384|Q388|Q383,Latin,Q113,parchment,Q33,Extent: 1 item (1 leaf) : parchment ; 37 x 26 cm,"Title supplied by cataloger.|Manuscript leaf is housed with Oversize LJS 16, from which it was separated in the 20th century.|Part of manuscript formerly owned by Guillaume Libri; sold at auction at Sotheby's in a sale of part of the Libri collection, 1 June 1864, lot 71, to Boone (Thomas and William Boone or Thomas Boone & Son or a related firm, all London).|Part of manuscript formerly owned by Sir Thomas Phillipps (ms. 24654); appeared at auction at Sotheby's in a sale of part of the Phillipps collection, 6 June 1899, lot 367, but presumably not sold; sold at auction at Sotheby's in a sale of part of the Phillipps collection, 24 June 1935, lot 74.|Part of manuscript formerly owned by H. R. Creswick, Bodley's Librarian and Cambridge University Librarian; this leaf removed and given as a gift by Creswick to Irvine Masson.|Sold at auction at Sotheby's with other items from Masson's collection, 16 Dec. 1957, lot 32, to Francis Edwards, Ltd.|Sold at auction at Sotheby's, 17 June 1997, lot 1, to Lawrence J. Schoenberg.|Gift of Lawrence J. Schoenberg and Barbara Brizdle, 2010.","",2025-04-15 09:46:17 -0400,20230925,20250313-penn-marcxml-combined.xml
DS1676,"","",marc-xml,amremm,Q374,University of Pennsylvania,9929766853503681,Ms. Codex 824,https://find.library.upenn.edu/catalog/9929766853503681,https://colenda.library.upenn.edu/items/ark:/81431/p3pz51m3p/manifest,Cologne?,Q4329,between 1400 and 1450,1400^1450,15,http://vocab.getty.edu/aat/300404465,false,German religious and literary miscellany,"","","",Q5037;Q5081,"Codices|Hagiographies (works)|Hymns|Manuscripts, German--15th century|Manuscripts, Medieval|Manuscripts, Renaissance|Prayers|Prayers|Devotional literature|Devotional literature",Q168|Q2966|Q3548|Q142;Q154|Q325|Q311|Q38528|Q38528|Q38696|Q38696,"Catherine, of Alexandria, Saint|Catherine, of Alexandria, Saint|Alexius, Saint|Alexius, Saint|Mary, Blessed Virgin, Saint|Mary, Blessed Virgin, Saint|Early works to 1800|Christian saints--Prayers and devotions--Early works to 1800|Christian hagiography--Early works to 1800|Confession--Catholic Church--Early works to 1800|German poetry--Middle High German, 1050-1500|German poetry|Middle High German, 1050-1500|German poetry--Middle High German|Humorous poetry, German--Early works to 1800|Humorous poetry, German|Confession--Catholic Church|Christian hagiography|Christian saints--Prayers and devotions",Q4790|Q4790|Q7705|Q7705|Q244|Q244|Q300|Q10812;Q3052;Q300|Q5913;Q300|Q280;Q300|Q4944;Q39084;Q7669|Q4944|Q39084|Q7669|Q7681;Q300|Q7681|Q280|Q5913|Q7429,"","","","","","","","","","","","","","","","Middle High German, Rhenish (Middle Franconian) dialect",Q115;Q7802,paper,Q31,Extent: 79 leaves : paper ; 207 x 141 mm bound to 215 x 146 mm,"Ms. codex.|Title supplied by cataloger. Other title, Katherinenlegende, from Zacour-Hirsch; however, Jefferis states this is a Katharinenspiel not Katherinenlegende.|Incipit (1st work): Ein kyser hies maxencius / der geboit vns alsus...[Exp.] Dar hilff vns liebe Kathrina / Costi regis filia Amen.|Incipit (2nd work): Wyllet ir horen wass geschach / van eyme werden studenten eyn sache...[Exp.] Sie hait dit boich eyn ende / Got unss syne gnade sende / Amen.|Incipt (3rd work): O Kathrina hochgeborn frucht / synt dyn junffrauliche zucht...[Exp.] mir behude lip gut syn und ere / und mich van alle sunden kere / Amen.|Incipit (4th work): Ich wil uch eyn gedichte geben / van dem heilligen lexius leben...[Exp.] und myt gnaden dar gelerden / so wir van hynen scheiden / Amen.|Incipit (5th work): Horent ir lude uber alle / wass dit spiel beduden sal [vertical line in ms.]...[Exp.] Alle ungeluck muss den bestane / der nyt fraugen lieff wil han.|Incipit (6th work): Dye schriefft bedudet wass geschach / dass man jn hoen eren sitzen sach...[Exp.] Zu den hemelschen gnaden dyn / Maria dass muyss war syn / Amen.|Incipit (7th work): Ave preclara maris stella / Got grusse dich luter sterne glantz...[Exp.] myt dyme segon umberme / laiss vns zu dir transire / Amen.|Incipit (8th work): monch / Ir herschaff nu horent alle / Wie uch diesse mere gefalle...[Exp.] Lieff al vmb vnd vmbe / Als er doricht were.|Incipit (9th work): O Maria heubt frauwe der cristenheit / Du bist dess sunders hoiste suyssickeit...[Exp.] Durch dyne werde namen gedriet / Syn got vnd ewich gebenedict / Amen|Incipit (10th work): Gelobet vnd geeret sie der name unssra hern Ihesu/ Cristi das vns das bilde der Warheit...[Exp.] alsus kumet alle creature et gude mentsche zu notze nu helff vns got zu synem ewigen riche Amen.|Work 4 is not identical with any of the versions printed or described in H. F. Massmann, Sanct Alexius Leben, Quedlinburg, 1843.|Work 8 is incomplete and was crossed out by a contemporary hand; it is identified by Zacour-Hirsch as ""Des Moenchs not.""|Foliation: Paper, iii (modern paper) + 79 + iii (modern paper); 1-6, [7-79]; contemporary foliation in red ink, upper center; modern foliation in pencil, upper right recto.|Script: Written in a Gothic cursive script by a single hand.|Decoration: Red used for initials and capital strokes.|Binding: 18th-century calf.|Origin: Written in the lower Rhine, possibly Cologne, in the first half of the 15th century.|Sold by Emil Offenbacher (New York), 1955.","",2025-04-15 09:46:17 -0400,20221221,20250313-penn-marcxml-combined.xml
DS1655,"","",marc-xml,amremm,Q374,University of Pennsylvania,9924875863503681,Ms. Codex 754,https://find.library.upenn.edu/catalog/9924875863503681,https://colenda.library.upenn.edu/items/ark:/81431/p37s7hw9z/manifest,Florence?,Q3084,between 1464 and 1476,1464^1476,15,http://vocab.getty.edu/aat/300404465,false,Chronicle,"","","",Q1475,"Codices|Chronicles|Manuscripts, Renaissance|Manuscripts, Latin",Q168|Q176|Q311|Q210,Early works to 1800|World history--Early works to 1800|World history|Church history--Early works to 1800|Church history,Q300|Q189;Q300|Q189|Q38895;Q300|Q38895,"","","","","","","","","","","","","","","",Latin,Q113,paper,Q31,Extent: 57 leaves : paper ; 211 x 141 (110 x 80) mm bound to 218 x 150 mm,"Ms. codex.|Title supplied by cataloger (Zacour-Hirsch).|Incipit: Pontius pillatus [sic] procurator Iudee mittitur a Tiberio.|Foliation: i (modern paper) + 57 + i (modern paper); 3-59; contemporary foliation in ink, upper right recto; modern foliation in pencil, upper right recto.|Layout: Written in 19 long lines; ruled in drypoint.|Script: Written in a cursive script by one hand.|Binding: Modern boards.|Origin: Written in Florence[?] between 1464 and 1476 (Zacour-Hirsch).|Sold from the collection of Giuseppe Martini to H.P. Kraus, ca. 1948.|Appears in Kraus's list 189 (1956), no. 182.|Sold by H.P. Kraus (New York), 1962.","",2025-04-15 09:46:17 -0400,20220803,20250313-penn-marcxml-combined.xml
DS1084,"","",marc-xml,amremm,Q374,University of Pennsylvania,9944467223503681,Ms. Codex 1380,https://find.library.upenn.edu/catalog/9944467223503681,https://colenda.library.upenn.edu/items/ark:/81431/p3k06x33h/manifest,Italy,Q134,1543-1546.,1543^1546,16,http://vocab.getty.edu/aat/300404510,true,Ledger of Amadori debtors and creditors,"","","",Q5484,"Codices|Accounts|Credit records|Ledgers (account books)|Manuscripts, Italian|Manuscripts, Renaissance",Q168|Q178|Q3602|Q4313|Q269|Q311,"Amadori family|Amadori, Bartolomeo|Amadori, Francesco|16th century|Accounting--Italy--16th century|Accounting|Italy",|||Q335|Q291;Q249;Q335|Q291|Q249,"","","","","","","","","","","","","","","",Italian,Q116,paper,Q31,Extent: 192 leaves : paper ; 287 x 215 mm bound to 302 x 228 mm,"Ms. codex.|Title supplied by cataloger.|Foliation: Paper, 192; versos numbered 1-191, contemporary foliation in arabic numerals in ink, upper left verso; rectos numbered irregularly in roman numberals, contemporary foliation in ink, upper right recto.|Layout: Written in 2 columns with vertical bounding lines in lead; the large column on the left with the debtor or creditor and a brief description of the credit or debt, and the smaller one on the right with the amount of the credit or debt. Usually credits are listed on the left page and debts on the right page of an opening, with the same individuals or institutions appearing as debtors or creditors on facing pages.|Script: Written in a cursive script, perhaps by multiple hands.|Watermark: Similar to Briquet, Ancre 492 (Lucca, 1522).|Binding: Contemporary vellum, no. 178 on spine; the heading Debitori, creditori e ricordi and letter A with decorative penwork on upper cover; lower cover wraps around upper cover with remnants of leather ties; decorative leatherwork on spine.|Origin: Written in Italy between 1543 (f. 1v) and 1546 (f. 146v).|Forms part of: Gondi-Medici Business Records.|Sold by Bernard M. Rosenthal, 1961.","",2025-04-15 09:46:17 -0400,20220803,20250313-penn-marcxml-combined.xml
DS1408,"","",marc-xml,amremm,Q374,University of Pennsylvania,9945167223503681,Ms. Codex 1548,https://find.library.upenn.edu/catalog/9945167223503681,https://colenda.library.upenn.edu/items/ark:/81431/p3ww7789h/manifest,Florence,Q3084,1478-1667.,1478^1667,15;16;17,http://vocab.getty.edu/aat/300404465;http://vocab.getty.edu/aat/300404510;http://vocab.getty.edu/aat/300404511,true,Filza LII: seg[nat]a: F.3 Gondi et altri,"","","",Q7007,"Codices|Legal documents|Manuscripts, Latin|Manuscripts, Latin|Manuscripts, Latin|Manuscripts, Italian|Manuscripts, Renaissance|Manuscripts, European",Q168|Q236|Q210|Q210|Q210|Q269|Q311|Q289,"Gondi family|Gondi family|Medici, House of|Medici, House of|Machiavelli family|Buonaccorsi family|Buonaccorsi, Constanza|Gondi, Giovanbattista|Gondi, Giulio|Gondi, Simone|Medici, Niccolò de'|Buonaccorsi, Piero|Buonaccorsi, Niccolò di Piero|Arte della lana (Guild : Florence, Italy)|Arte della lana (Guild : Florence, Italy)|Monte di pietà (Florence, Italy)|Monte di pietà (Florence, Italy)|Civil law--Italy|Civil law|Dowry|Italy|Inheritance and succession--Italy|Inheritance and succession|Real property--Italy|Real property|Dowry--Italy|Marriage law--Italy|Marriage law|accounts",Q5466|Q5466|Q4133|Q4133||||||||||Q5464|Q5464|Q6926|Q6926|Q2961;Q249|Q2961|Q6882|Q249|Q3565;Q249|Q3565|Q161;Q249|Q161|Q6882;Q249|Q6941;Q249|Q6941|Q178,"","","","","","","","","","","","","","","","Latin, with a few documents in Italian",Q113;Q116,paper,Q31,Extent: 756 leaves : paper ; 295 x 220-230 mm,"Ms. codex.|Title from caption title (f. [i] recto).|Foliation: Paper, 756; [i], 1-584, [i], 585-640, [641-693], 694, [695-752]; contemporary foliation in ink, modern foliation in pencil, upper right recto.|Script: Written in various cursive hands.|Decoration: Profile in initial (f. 569r); small genealogical tables in ink of the Buonaccorsi family (f. 640r, f. 644r, f. 646r, f. 648r, f. 654r, f. 685r); small genealogical table in ink of the Machiavelli family (f. 663); and small genealogical table in ink of Giuliano Gondi (f. 673).|Binding: 18th-century wrapper with leather ties. Filza LII, F.3, Gondi, and no. 335 on a label on spine. Gatherings tied with string with metal tips.|Origin: Written in Florence between 1478 (f. 671r) and 1667 (f. 673r).|Forms part of: Gondi-Medici Business Records.|Sold by Bernard M. Rosenthal, 1963.","",2025-04-15 09:46:17 -0400,20220803,20250313-penn-marcxml-combined.xml
DS764,"","",marc-xml,amremm,Q374,University of Pennsylvania,9924372983503681,CAJS Rar Ms 242,https://find.library.upenn.edu/catalog/9924372983503681,https://colenda.library.upenn.edu/items/ark:/81431/p3x921k7n/manifest,"","",1492-1509,1492^1509,15;16,http://vocab.getty.edu/aat/300404465;http://vocab.getty.edu/aat/300404510,false,"Yemenite manuscript consisting of Va-yiḳra, Ba-midbar, Devarim","חומש תימני כולל ויקרא, במדבר, דברים",Bible,תורה,Q661,"Codices|Bibles|Manuscripts, Hebrew|Manuscripts, Renaissance|Manuscripts, Digital",Q168|Q3561|Q150|Q311|,"","","","","","","","",Daṿid ben Benayah ben Seʻadyah ben Zekharyah,דוד בן בניה בן זכריה,Q3805,"","","","Altsaʻadi, Seʻadyah ben Yehudah|Dropsie College for Hebrew and Cognate Learning","אלצעבי, סדעיה בן יהודה|",Q3806|Q3785,Hebrew,Q117,paper,Q31,Extent: 157 leaves : paper ; 275 x 205 (195 x 95) mm bound to 285 x 210 mm,"Ms. codex.|Title supplied by cataloger.|Foliation: Paper, iii (modern) + 157 + iii (modern); [i, 1-106, 108, 107, 109-156], modern foliation in pencil, upper left recto.|Layout: Written in 20 lines.|Script: Writen in square Temanic script, by Daṿid ben Benayah ben Seʻadyah ben Zekharyah and possibly additional hands, vocalized and punctuated. Masorah is written on each page on upper, lower and outer margins, in the latter in a zigzag form (f. 2-152); text unvocalized and lacking masorah (f. 153-154); the writing at the beginning and at the end looks later.|Binding: Modern leather, blind-tooled.|Origin: Written in Yemen in 1509 (Menachem Glatzer).|""Nikhtevah zot ha-Torah ha-ṭohorah ṿeha-temimah le-ḥaver ha-ṭov ṿeha-naʼim neṭaʻ shaʻashuʻim... Seʻadyah ... b.Yehudah . b.Yosef ha-yaduʻa al-Tsaʻadi ... .""--Colophon (leaf 156 recto)|David Sasson ascibes authorship of the the poem ""Shir l'Adonai shir emunah"" to Benayah ben Seʻadyah ben Zekharyah (Ohel Daṿid, 1943, v. 2, p. 605). M. Beit-Arye acribes authorship of the poem to ""Mosheh"" (Sefer Haberman, 1977, p. 37-150).|Item cataloged from digital facsimile and existing description.|Formerly owned by Seʻadyah ben Yehudah Altsaʻadi.|Sold as part of the Romanoff Collection.|Formerly held in the Library of the Dropsie College for Hebrew and Cognate Learning; gift from the Dropsie College Alumni Association, 1940s.","",2025-04-15 09:46:17 -0400,20220803,20250313-penn-marcxml-combined.xml
DS1851,"","",marc-xml,dacs,Q374,University of Pennsylvania,9947620383503681,Ms. Coll. 742 Folder 32,https://find.library.upenn.edu/catalog/9947620383503681,https://colenda.library.upenn.edu/items/ark:/81431/p3c928/manifest,"","",1438.,1438,15,http://vocab.getty.edu/aat/300404465,true,Tribunal arbitration,"","","",Q8181,"Legal documents|Notarial documents|Manuscripts, Latin|Manuscripts, Renaissance",Q236|Q2777|Q210|Q311,"Cino, Nofrio di|Cino, Francesca Piccolomini di|Piccolomini, Giacomo di Piero|Cino, Bartholomeo di|Cino, Francesco di|Inheritance and succession--Italy|Inheritance and succession|Italy|Siena (Italy)--History--15th century",|||||Q3565;Q249|Q3565|Q249|Q4200;Q6879;Q154,Siena (Italy). Tribunal,"",Q8111,"","","","","","","","","","North, Frederick, Earl of Guilford, 1766-1827|Phillipps, Thomas, Sir, 1792-1872",|,Q405|Q385,In Italian and Latin,Q116;Q113,parchment,Q33,Extent: 1 parchment,"Formerly owned by Frederick North, Earl of Guilford and Sir Thomas Phillipps (part of ms. 6067).","",2025-04-15 09:46:17 -0400,20230126,20250313-penn-marcxml-combined.xml
DS803,"","",marc-xml,dacs,Q374,University of Pennsylvania,9944209203503681,Misc Mss Box 4 Folder 25,https://find.library.upenn.edu/catalog/9944209203503681,https://colenda.library.upenn.edu/items/ark:/81431/p3t63n/manifest,"","",1532.,1532,16,http://vocab.getty.edu/aat/300404510,true,Miscellaneous manuscripts,"","","",Q3673,"Church records|Manuscripts, Latin|Manuscripts, Renaissance",Q3520|Q210|Q311,"Remoldus, Bishop of Ozilia|Bishops--Appointment, call, and election|Bishops--Appointment, call, and election|Saaremaa Island (Estonia)",|Q4220|Q4220|Q4194,"Clement VII, Pope, 1478-1534","",Q4359,"","","","","","","","","","","","",In Latin,Q113,"","",Extent: 1,"","",2025-04-15 09:46:17 -0400,20230811,20250313-penn-marcxml-combined.xml
DS1401,"","",marc-xml,amremm,Q374,University of Pennsylvania,9944999693503681,Ms. Codex 1537,https://find.library.upenn.edu/catalog/9944999693503681,https://colenda.library.upenn.edu/items/ark:/81431/p3df6k466/manifest,Florence,Q3084,1506-1538.,1506^1538,16,http://vocab.getty.edu/aat/300404510,true,Filza di scritture de sig[no]ri Medici; seg[nat]a: con la lettera F.,"","","",Q39389,"Codices|Legal documents|Notarial documents|Manuscripts, Italian|Manuscripts, Renaissance|Archives",Q168|Q236|Q2777|Q269|Q311|Q4174,"Medici, House of--Archives|Medici, Bernardo de'|Capponi, Alvisia|Capponi, Niccolò|Martini, Giovanni|Martini, Giovanni|Medici, House of|Trials (Murder)--Italy|Civil law--Italy|Civil law|Torture|Marriage|Trials (Murder)|Italy|Criminal law--Italy|Criminal law|Marriage--Italy--Florence|Torture--Italy|Italy--Florence",Q4133;Q4174||||Q6921|Q6921|Q4133|Q6924;Q249|Q2961;Q249|Q2961|Q6862|Q3553|Q6924|Q249|Q4291;Q249|Q4291|Q3553;Q3604|Q6862;Q249|Q3604,"","","","","","","","","","","","","","","",Latin and Italian,Q113;Q116,paper,Q31,Extent: 159 leaves : paper ; 298 x 223 mm,"Ms. codex.|Title from title page.|Foliation: Paper, 159; [i], 1-4, [i], 5-56, 58-59, 59-93, [i], 94-152, [i], 153-155, contemporary foliation in ink, modern foliation in pencil, upper right recto (f.14-18, 52-58, 60-61 and 154-155 are blank).|Script: Written in cursive script with a few documents in italic script, by multiple hands.|Origin: Written in Florence between 1506 (f.1r) and 1538 (f.62r).|Forms part of: Gondi-Medici Business Records.|Sold by Bernard M. Rosenthal, 1963.","",2025-04-15 09:46:17 -0400,20220803,20250313-penn-marcxml-combined.xml
